Orthogroup	Praa	Other
OG0000024	Praa.g_01409	Pral.g_00732, Pral.g_01261
OG0000024	Praa.g_01409	Prat.g_00314, Prat.g_01267
OG0000024	Praa.g_01409	Prbj.g_01442
OG0000024	Praa.g_01409	Prbk.g_00454
OG0000024	Praa.g_01409	Prbl.g_01416
OG0000024	Praa.g_01409	Praf.g_02319, Praf.g_00112
OG0000024	Praa.g_01409	Prah.g_02171
OG0000024	Praa.g_01409	Prak.g_00325
OG0000024	Praa.g_01409	Prap.g_01403
OG0000024	Praa.g_01409	Prbe.g_01861
OG0000024	Praa.g_01409	Prbf.g_01647
OG0000024	Praa.g_01409	Prbg.g_00086
OG0000024	Praa.g_01409	Prbn.g_00074
OG0000024	Praa.g_01409	Pram.g_00295
OG0000024	Praa.g_01409	Prbh.g_00472
OG0000024	Praa.g_01409	Prbb.g_00357
OG0000024	Praa.g_01409	Prbc.g_01198, Prbc.g_00680
OG0000024	Praa.g_01409	Praj.g_00341, Praj.g_01609
OG0000024	Praa.g_01409	Prbm.g_00362, Prbm.g_02126
OG0000024	Praa.g_01409	Prao.g_01213
OG0000024	Praa.g_01409	Pras.g_00304
OG0000024	Praa.g_01409	Prae.g_01401
OG0000024	Praa.g_01409	Prau.g_01470
OG0000024	Praa.g_01409	Pras.g_00304
OG0000024	Praa.g_01409	Prae.g_01401
OG0000024	Praa.g_01409	Prau.g_01470
OG0000027	Praa.g_01564	Prai.g_01549
OG0000034	Praa.g_01447	Prak.g_01369
OG0000034	Praa.g_01447	Prap.g_00099
OG0000034	Praa.g_01447	Prbe.g_00333
OG0000034	Praa.g_01447	Prbf.g_00135
OG0000034	Praa.g_01447	Prbg.g_00569
OG0000034	Praa.g_01447	Prbn.g_00190
OG0000058	Praa.g_01414	Prai.g_00505
OG0000058	Praa.g_01414	Prbb.g_00873
OG0000058	Praa.g_01414	Prah.g_00105
OG0000063	Praa.g_01255	Pral.g_01881
OG0000086	Praa.g_00409	Prai.g_00443
OG0000095	Praa.g_00207	Pras.g_01058
OG0001256	Praa.g_00396	Prax.g_00776
OG0001256	Praa.g_00396	Prbd.g_00836
OG0001365	Praa.g_01611	Prai.g_01699
OG0001365	Praa.g_01611	Prab.g_01729
OG0001365	Praa.g_01611	Pran.g_01030
OG0001365	Praa.g_01611	Prag.g_01422
OG0001365	Praa.g_01611	Praw.g_01049
OG0001365	Praa.g_01611	Prav.g_01504
OG0001365	Praa.g_01611	Prae.g_01425
OG0001365	Praa.g_01611	Prae.g_01425
OG0001365	Praa.g_01611	Prak.g_00061
OG0001365	Praa.g_01611	Prap.g_00894
OG0001365	Praa.g_01611	Prbe.g_00161
OG0001365	Praa.g_01611	Prbf.g_01383
OG0001365	Praa.g_01611	Prbg.g_00813
OG0001365	Praa.g_01611	Prbn.g_00721
OG0001365	Praa.g_01611	Pram.g_00041
OG0001365	Praa.g_01611	Prbh.g_00726
OG0001365	Praa.g_01611	Prbm.g_00952
OG0001365	Praa.g_01611	Prbc.g_02000
OG0001365	Praa.g_01611	Praj.g_00910
OG0001365	Praa.g_01611	Prbb.g_00955
OG0001365	Praa.g_01611	Pral.g_01055
OG0001365	Praa.g_01611	Prat.g_01460
OG0001365	Praa.g_01611	Pras.g_00482
OG0001792	Praa.g_01428	Praf.g_00131
OG0001823	Praa.g_01405	Praf.g_00140
