Orthogroup	Prbm	Other
OG0000024	Prbm.g_00362, Prbm.g_02126	Praa.g_01409
OG0000024	Prbm.g_02126	Pras.g_00304
OG0000024	Prbm.g_02126	Prae.g_01401
OG0000024	Prbm.g_02126	Prau.g_01470
OG0000027	Prbm.g_01124, Prbm.g_01110, Prbm.g_01445, Prbm.g_01461	Prai.g_01549
OG0000054	Prbm.g_00047	Prax.g_00457
OG0000069	Prbm.g_01747	Prau.g_01475
OG0000069	Prbm.g_01747	Prad.g_00572
OG0000073	Prbm.g_00702	Pras.g_00327
OG0000079	Prbm.g_01792	Prbi.g_01482
OG0000083	Prbm.g_00003	Prae.g_01306
OG0000086	Prbm.g_01170	Prai.g_00443
OG0000091	Prbm.g_00228	Prae.g_01396
OG0000096	Prbm.g_00310	Prax.g_00488
OG0000101	Prbm.g_00425	Prax.g_01573
OG0000118	Prbm.g_01210	Prax.g_01759
OG0000138	Prbm.g_02176	Prba.g_01089
OG0001256	Prbm.g_01202	Prax.g_00460, Prax.g_00776
OG0001256	Prbm.g_01202	Prbd.g_00836
OG0001363	Prbm.g_02115	Prau.g_01457
OG0001365	Prbm.g_00952	Prae.g_01425
OG0001365	Prbm.g_00952	Praa.g_01611
OG0001367	Prbm.g_00080	Prbi.g_00155, Prbi.g_00722
OG0001474	Prbm.g_01925	Pras.g_00311
OG0001491	Prbm.g_01100	Prau.g_01719
OG0001539	Prbm.g_01327	Prao.g_00012
OG0001792	Prbm.g_02117	Praf.g_00131
OG0001823	Prbm.g_02130	Praf.g_00140
