Orthogroup	Prbh	Other
OG0000024	Prbh.g_00472	Praa.g_01409
OG0000054	Prbh.g_01897	Prax.g_00457
OG0000056	Prbh.g_01334	Prav.g_01388
OG0000056	Prbh.g_01334	Prau.g_00749
OG0000069	Prbh.g_00138	Prau.g_01475
OG0000069	Prbh.g_00138	Prad.g_00572
OG0000073	Prbh.g_01182	Pras.g_00327
OG0000079	Prbh.g_00184	Prbi.g_01482
OG0000083	Prbh.g_01473	Prae.g_01306
OG0000086	Prbh.g_01826	Prai.g_00443
OG0000091	Prbh.g_00613	Prae.g_01396
OG0000096	Prbh.g_00528	Prax.g_00488
OG0000101	Prbh.g_00413	Prax.g_01573
OG0000118	Prbh.g_01328	Prax.g_01759
OG0000138	Prbh.g_01528	Prba.g_01089
OG0001363	Prbh.g_00039	Prau.g_01457
OG0001365	Prbh.g_00726	Prae.g_01425
OG0001365	Prbh.g_00726	Praa.g_01611
OG0001823	Prbh.g_00046	Praf.g_00140
