Orthogroup	Prbn	Pral
OG0000000	Prbn.g_01151	Pral.g_00040
OG0000000	Prbn.g_01662	Pral.g_00037
OG0000000	Prbn.g_01152	Pral.g_00038
OG0000000	Prbn.g_01663	Pral.g_00038
OG0000000	Prbn.g_01152	Pral.g_01333
OG0000000	Prbn.g_01663	Pral.g_01333
OG0000001	Prbn.g_01213	Pral.g_01236
OG0000001	Prbn.g_01923	Pral.g_01671
OG0000002	Prbn.g_01483	Pral.g_01549
OG0000002	Prbn.g_01478	Pral.g_01554
OG0000002	Prbn.g_01159	Pral.g_01340
OG0000002	Prbn.g_01234	Pral.g_00430
OG0000002	Prbn.g_01161	Pral.g_01342
OG0000002	Prbn.g_01154	Pral.g_01337
OG0000002	Prbn.g_00879	Pral.g_01052
OG0000002	Prbn.g_01586	Pral.g_01764
OG0000004	Prbn.g_01565	Pral.g_01743
OG0000004	Prbn.g_00318	Pral.g_00809
OG0000005	Prbn.g_00899	Pral.g_01075
OG0000006	Prbn.g_00308	Pral.g_00797
OG0000007	Prbn.g_00617	Pral.g_00593
OG0000007	Prbn.g_01745	Pral.g_00107
OG0000008	Prbn.g_01645	Pral.g_00020
OG0000008	Prbn.g_01646	Pral.g_00021
OG0000009	Prbn.g_00887	Pral.g_01065
OG0000010	Prbn.g_00640	Pral.g_00618
OG0000010	Prbn.g_01939	Pral.g_01832
OG0000010	Prbn.g_01357	Pral.g_01848
OG0000012	Prbn.g_00867	Pral.g_00015
OG0000013	Prbn.g_00092	Pral.g_00712
OG0000014	Prbn.g_00074	Pral.g_00732
OG0000015	Prbn.g_01684, Prbn.g_01730	Pral.g_01813
OG0000017	Prbn.g_00517	Pral.g_00491
OG0000017	Prbn.g_00510	Pral.g_00484
OG0000018	Prbn.g_01518	Pral.g_01516
OG0000018	Prbn.g_01167	Pral.g_01346
OG0000019	Prbn.g_00015	Pral.g_00790
OG0000019	Prbn.g_01165	Pral.g_01344
OG0000020	Prbn.g_00133	Pral.g_01891
OG0000021	Prbn.g_00874	Pral.g_01667
OG0000021	Prbn.g_01560	Pral.g_01738
OG0000022	Prbn.g_00891	Pral.g_00044
OG0000023	Prbn.g_01030	Pral.g_01687
OG0000024	Prbn.g_01353	Pral.g_01895
OG0000025	Prbn.g_01510	Pral.g_01523
OG0000026	Prbn.g_00750	Pral.g_01012
OG0000027	Prbn.g_01664	Pral.g_00039
OG0000028	Prbn.g_01644	Pral.g_00053
OG0000029	Prbn.g_01676	Pral.g_01890
OG0000030	Prbn.g_00985	Pral.g_00316
OG0000031	Prbn.g_00171	Pral.g_01193
OG0000032	Prbn.g_00251	Pral.g_01121
OG0000033	Prbn.g_01244	Pral.g_00874
OG0000034	Prbn.g_01073	Pral.g_01271
OG0000035	Prbn.g_00212	Pral.g_01161, Pral.g_01165
OG0000037	Prbn.g_01310	Pral.g_00938
OG0000038	Prbn.g_00946	Pral.g_00356
OG0000039	Prbn.g_01577	Pral.g_01755
OG0000041	Prbn.g_01793	Pral.g_00155
OG0000042	Prbn.g_00988	Pral.g_00313
OG0000043	Prbn.g_01168	Pral.g_01347
OG0000045	Prbn.g_01145	Pral.g_01322
OG0000046	Prbn.g_00093	Pral.g_00711
OG0000047	Prbn.g_00690	Pral.g_00672
OG0000048	Prbn.g_01097	Pral.g_00768
OG0000050	Prbn.g_01937	Pral.g_01829
OG0000052	Prbn.g_00724	Pral.g_00987
OG0000053	Prbn.g_01690	Pral.g_00066
OG0000054	Prbn.g_00508	Pral.g_00482
OG0000055	Prbn.g_01140	Pral.g_01670
OG0000055	Prbn.g_01719	Pral.g_00082
OG0000057	Prbn.g_01562	Pral.g_01740
OG0000058	Prbn.g_00172	Pral.g_01202
OG0000059	Prbn.g_01833	Pral.g_00195
OG0000061	Prbn.g_01189	Pral.g_01367
OG0000062	Prbn.g_00897	Pral.g_01073
OG0000063	Prbn.g_00130	Pral.g_00435
OG0000064	Prbn.g_00710	Pral.g_00980
OG0000065	Prbn.g_01312	Pral.g_00940
OG0000066	Prbn.g_00577, Prbn.g_01657	Pral.g_00551
OG0000067	Prbn.g_01546	Pral.g_01488
OG0000068	Prbn.g_01240	Pral.g_01222
OG0000069	Prbn.g_00659	Pral.g_01114
OG0000070	Prbn.g_00663	Pral.g_00643
OG0000071	Prbn.g_01084	Pral.g_01281
OG0000072	Prbn.g_00383	Pral.g_00872
OG0000073	Prbn.g_00614	Pral.g_00591
OG0000074	Prbn.g_01582	Pral.g_01760
OG0000074	Prbn.g_01928	Pral.g_01818
OG0000075	Prbn.g_01917	Pral.g_00279
OG0000076	Prbn.g_00996	Pral.g_00305
OG0000077	Prbn.g_01342	Pral.g_00969
OG0000078	Prbn.g_00310	Pral.g_00800
OG0000079	Prbn.g_00018	Pral.g_00787
OG0000081	Prbn.g_00585	Pral.g_00559
OG0000082	Prbn.g_01734	Pral.g_00057
OG0000084	Prbn.g_00209	Pral.g_01169
OG0000085	Prbn.g_01737	Pral.g_00099
OG0000086	Prbn.g_01333	Pral.g_00959
OG0000087	Prbn.g_01278	Pral.g_00906
OG0000088	Prbn.g_01247	Pral.g_00878
OG0000089	Prbn.g_00696	Pral.g_00676
OG0000090	Prbn.g_00583	Pral.g_00557
OG0000091	Prbn.g_00434	Pral.g_01443
OG0000092	Prbn.g_01616	Pral.g_01794
OG0000093	Prbn.g_00846	Pral.g_01472
OG0000094	Prbn.g_01369	Pral.g_01604
OG0000095	Prbn.g_01471	Pral.g_01561
OG0000096	Prbn.g_01049	Pral.g_00444
OG0000097	Prbn.g_00408	Pral.g_01416
OG0000098	Prbn.g_01216	Pral.g_01239
OG0000099	Prbn.g_00173	Pral.g_01201
OG0000100	Prbn.g_00903	Pral.g_01078
OG0000101	Prbn.g_01881	Pral.g_00243
OG0000102	Prbn.g_00991	Pral.g_00310
OG0000103	Prbn.g_00907	Pral.g_00397
OG0000104	Prbn.g_00296	Pral.g_00406
OG0000105	Prbn.g_00041	Pral.g_00765
OG0000106	Prbn.g_00829	Pral.g_01859
OG0000107	Prbn.g_01810	Pral.g_00171
OG0000108	Prbn.g_00634	Pral.g_00611
OG0000109	Prbn.g_00620	Pral.g_00596
OG0000110	Prbn.g_00541	Pral.g_00513
OG0000111	Prbn.g_01561	Pral.g_01739
OG0000112	Prbn.g_00468	Pral.g_01635
OG0000113	Prbn.g_01523	Pral.g_01511
OG0000114	Prbn.g_01621	Pral.g_01799
OG0000115	Prbn.g_01120	Pral.g_01141
OG0000116	Prbn.g_01178	Pral.g_01356
OG0000117	Prbn.g_00389	Pral.g_01396, Pral.g_01398, Pral.g_01397
OG0000118	Prbn.g_01071	Pral.g_01269
OG0000119	Prbn.g_01135	Pral.g_01861
OG0000119	Prbn.g_00885	Pral.g_01063
OG0000120	Prbn.g_00170	Pral.g_00702
