Orthogroup	Prbn	Prat
OG0000000	Prbn.g_01151	Prat.g_01190
OG0000000	Prbn.g_01662	Prat.g_01549
OG0000000	Prbn.g_01678	Prat.g_01189
OG0000001	Prbn.g_01213	Prat.g_01285, Prat.g_01286
OG0000001	Prbn.g_01923	Prat.g_00851
OG0000002	Prbn.g_01483	Prat.g_00977
OG0000002	Prbn.g_01159	Prat.g_01184
OG0000002	Prbn.g_01234	Prat.g_01487
OG0000002	Prbn.g_01161	Prat.g_01182
OG0000002	Prbn.g_01154	Prat.g_01187
OG0000002	Prbn.g_00879	Prat.g_01462
OG0000002	Prbn.g_01586	Prat.g_00751
OG0000004	Prbn.g_01565	Prat.g_00772
OG0000004	Prbn.g_00318	Prat.g_00236
OG0000005	Prbn.g_00899	Prat.g_01440
OG0000006	Prbn.g_00308	Prat.g_00248
OG0000007	Prbn.g_00617	Prat.g_00458
OG0000007	Prbn.g_01745	Prat.g_01592
OG0000008	Prbn.g_01645	Prat.g_00376
OG0000008	Prbn.g_01646	Prat.g_00377
OG0000009	Prbn.g_00887	Prat.g_01451
OG0000010	Prbn.g_00640	Prat.g_00433
OG0000010	Prbn.g_01939	Prat.g_00682
OG0000010	Prbn.g_01357	Prat.g_00662
OG0000012	Prbn.g_00492	Prat.g_00586
OG0000013	Prbn.g_00092	Prat.g_00334
OG0000014	Prbn.g_00074	Prat.g_00314
OG0000015	Prbn.g_01684, Prbn.g_01730	Prat.g_00701
OG0000016	Prbn.g_01131	Prat.g_01219
OG0000017	Prbn.g_00517	Prat.g_00560
OG0000017	Prbn.g_00510	Prat.g_00567
OG0000018	Prbn.g_01518	Prat.g_01009
OG0000018	Prbn.g_01167	Prat.g_01177
OG0000019	Prbn.g_00015	Prat.g_00255
OG0000019	Prbn.g_01165	Prat.g_01180
OG0000020	Prbn.g_00133	Prat.g_00648
OG0000021	Prbn.g_00874	Prat.g_00854
OG0000021	Prbn.g_01560	Prat.g_00461
OG0000022	Prbn.g_00891	Prat.g_01192
OG0000023	Prbn.g_01030	Prat.g_00834
OG0000024	Prbn.g_01353	Prat.g_00622
OG0000024	Prbn.g_01589	Prat.g_00749
OG0000025	Prbn.g_01510	Prat.g_01003
OG0000026	Prbn.g_00750	Prat.g_00033
OG0000027	Prbn.g_01664	Prat.g_01548
