Orthogroup	Prbn	Syal
OG0000001	Prbn.g_01213	Syal.g_02193, Syal.g_02215, Syal.g_00874, Syal.g_01184
OG0000004	Prbn.g_01565	Syal.g_01809
OG0000004	Prbn.g_00318	Syal.g_02718, Syal.g_00691
OG0000005	Prbn.g_00899	Syal.g_00565
OG0000006	Prbn.g_00308	Syal.g_02611, Syal.g_00674
OG0000007	Prbn.g_00617	Syal.g_02918
OG0000007	Prbn.g_01745	Syal.g_00587
OG0000008	Prbn.g_01645	Syal.g_02512
OG0000008	Prbn.g_01646	Syal.g_01783
OG0000009	Prbn.g_00887	Syal.g_02089
OG0000010	Prbn.g_01939, Prbn.g_01357	Syal.g_00464
OG0000013	Prbn.g_00092	Syal.g_00315, Syal.g_00322, Syal.g_00310
OG0000014	Prbn.g_00074	Syal.g_01305
OG0000015	Prbn.g_01684, Prbn.g_01730	Syal.g_02210, Syal.g_01183
OG0000016	Prbn.g_01131	Syal.g_01734
OG0000017	Prbn.g_00517	Syal.g_02752
OG0000017	Prbn.g_00510	Syal.g_02745
OG0000018	Prbn.g_01167	Syal.g_00410
OG0000019	Prbn.g_00015, Prbn.g_01165	Syal.g_01209
OG0000023	Prbn.g_01030	Syal.g_02485, Syal.g_02858, Syal.g_01894
OG0000024	Prbn.g_01353, Prbn.g_01589	Syal.g_02597
OG0000025	Prbn.g_01510	Syal.g_02459
OG0000026	Prbn.g_00750	Syal.g_00132
OG0000027	Prbn.g_00139, Prbn.g_01664	Syal.g_02543
OG0000028	Prbn.g_01644	Syal.g_01319
OG0000029	Prbn.g_00126, Prbn.g_01676, Prbn.g_01836	Syal.g_03014
OG0000030	Prbn.g_00985	Syal.g_01511, Syal.g_01512
OG0000031	Prbn.g_00171	Syal.g_01404, Syal.g_01432
OG0000032	Prbn.g_00251	Syal.g_00428
OG0000033	Prbn.g_00178	Syal.g_00912
OG0000034	Prbn.g_01073	Syal.g_00881, Syal.g_01586
OG0000035	Prbn.g_00212	Syal.g_00370, Syal.g_00020
OG0000037	Prbn.g_01310	Syal.g_00601, Syal.g_00824
OG0000038	Prbn.g_00946	Syal.g_01071, Syal.g_01073
OG0000039	Prbn.g_01577	Syal.g_01097
OG0000041	Prbn.g_01793	Syal.g_00649
OG0000042	Prbn.g_00988	Syal.g_01705, Syal.g_01508
OG0000043	Prbn.g_01168	Syal.g_01110, Syal.g_02547, Syal.g_02183
OG0000046	Prbn.g_00093	Syal.g_00316, Syal.g_00321, Syal.g_00309
OG0000047	Prbn.g_00690	Syal.g_01568
OG0000048	Prbn.g_01097	Syal.g_01250
OG0000052	Prbn.g_00724	Syal.g_01338
OG0000053	Prbn.g_00233, Prbn.g_01690	Syal.g_00406
OG0000054	Prbn.g_00508	Syal.g_02739, Syal.g_02098
OG0000057	Prbn.g_01562	Syal.g_01812
OG0000058	Prbn.g_00172	Syal.g_01326
OG0000059	Prbn.g_01833	Syal.g_00225
OG0000061	Prbn.g_01189	Syal.g_01653
OG0000062	Prbn.g_00897	Syal.g_00567
OG0000063	Prbn.g_00130	Syal.g_00136
OG0000064	Prbn.g_00710	Syal.g_01545, Syal.g_01115, Syal.g_02544, Syal.g_01681
OG0000065	Prbn.g_01312	Syal.g_00820, Syal.g_02528
OG0000066	Prbn.g_00577, Prbn.g_01657	Syal.g_02828
OG0000067	Prbn.g_01546	Syal.g_02414
OG0000068	Prbn.g_01240	Syal.g_02888
OG0000070	Prbn.g_00663	Syal.g_00509
OG0000071	Prbn.g_01084	Syal.g_02099, Syal.g_01601
OG0000072	Prbn.g_00383	Syal.g_00914
OG0000073	Prbn.g_00614	Syal.g_02920
OG0000075	Prbn.g_01917	Syal.g_01350
OG0000076	Prbn.g_00996	Syal.g_01459
OG0000077	Prbn.g_01342	Syal.g_00763, Syal.g_00506
OG0000078	Prbn.g_00310	Syal.g_00680
OG0000079	Prbn.g_00018	Syal.g_01213
OG0000080	Prbn.g_00184, Prbn.g_00186	Syal.g_01394
OG0000081	Prbn.g_00585	Syal.g_02555
OG0000082	Prbn.g_00530, Prbn.g_01734	Syal.g_02769
OG0000084	Prbn.g_00209	Syal.g_01896, Syal.g_00023
OG0000085	Prbn.g_00144, Prbn.g_01737	Syal.g_00575
OG0000086	Prbn.g_01333	Syal.g_00784
OG0000087	Prbn.g_01278	Syal.g_00871
OG0000088	Prbn.g_01247	Syal.g_00908
OG0000089	Prbn.g_00696	Syal.g_00555
OG0000090	Prbn.g_00583	Syal.g_02838
OG0000091	Prbn.g_00434	Syal.g_02628
