Orthogroup	Prbn	Syai
OG0000001	Prbn.g_01213	Syai.g_01716, Syai.g_01197, Syai.g_02594, Syai.g_00891, Syai.g_02595, Syai.g_01729
OG0000002	Prbn.g_01483, Prbn.g_01478, Prbn.g_01159, Prbn.g_01234, Prbn.g_01161, Prbn.g_01154, Prbn.g_00879, Prbn.g_01586	Syai.g_01728
OG0000004	Prbn.g_01565	Syai.g_01994
OG0000004	Prbn.g_00318	Syai.g_01062, Syai.g_00530
OG0000005	Prbn.g_00899	Syai.g_02356
OG0000006	Prbn.g_00308	Syai.g_01126, Syai.g_00317, Syai.g_00547
OG0000007	Prbn.g_00617	Syai.g_00657
OG0000007	Prbn.g_01745	Syai.g_02378
OG0000008	Prbn.g_01645	Syai.g_01956
OG0000008	Prbn.g_01646	Syai.g_01955
OG0000009	Prbn.g_00887	Syai.g_01626
OG0000010	Prbn.g_01939, Prbn.g_01357	Syai.g_00864
OG0000012	Prbn.g_00492	Syai.g_01068
OG0000013	Prbn.g_00092	Syai.g_00442, Syai.g_00450, Syai.g_00436
OG0000014	Prbn.g_00074	Syai.g_00220
OG0000015	Prbn.g_01684, Prbn.g_01730	Syai.g_01246, Syai.g_01245
OG0000016	Prbn.g_01131	Syai.g_01785, Syai.g_01632
OG0000017	Prbn.g_00517	Syai.g_00801
OG0000017	Prbn.g_00510	Syai.g_00808
OG0000018	Prbn.g_01167	Syai.g_00915
OG0000019	Prbn.g_00015, Prbn.g_01165	Syai.g_00304
OG0000020	Prbn.g_00875, Prbn.g_00133	Syai.g_00476
OG0000021	Prbn.g_00874, Prbn.g_01560	Syai.g_00556
OG0000023	Prbn.g_01030	Syai.g_01027, Syai.g_01875, Syai.g_02821, Syai.g_01681, Syai.g_01022, Syai.g_02318
OG0000024	Prbn.g_01353, Prbn.g_01589	Syai.g_01951
OG0000025	Prbn.g_01510	Syai.g_02044
OG0000026	Prbn.g_00750	Syai.g_00038
OG0000027	Prbn.g_00139, Prbn.g_01664	Syai.g_01128, Syai.g_01654
OG0000028	Prbn.g_01644	Syai.g_00205
OG0000029	Prbn.g_00126, Prbn.g_01676, Prbn.g_01836	Syai.g_01035, Syai.g_01584
OG0000030	Prbn.g_00985	Syai.g_00096, Syai.g_00095
OG0000031	Prbn.g_00171	Syai.g_00197
OG0000032	Prbn.g_00251	Syai.g_00895
OG0000033	Prbn.g_00178	Syai.g_02634
OG0000034	Prbn.g_01073	Syai.g_02192, Syai.g_02604
OG0000035	Prbn.g_00212	Syai.g_00955
OG0000037	Prbn.g_01310	Syai.g_02544, Syai.g_02815
OG0000038	Prbn.g_00946	Syai.g_02780
OG0000039	Prbn.g_01577	Syai.g_02034
OG0000041	Prbn.g_01793	Syai.g_02265, Syai.g_02016
OG0000042	Prbn.g_00988	Syai.g_00099
OG0000043	Prbn.g_01168	Syai.g_01599
OG0000046	Prbn.g_00093	Syai.g_00443, Syai.g_00449, Syai.g_00435
OG0000047	Prbn.g_00690	Syai.g_00462
OG0000048	Prbn.g_01097	Syai.g_00272
OG0000052	Prbn.g_00724	Syai.g_00176
OG0000053	Prbn.g_00233, Prbn.g_01690	Syai.g_00930
OG0000054	Prbn.g_00508	Syai.g_01040
OG0000057	Prbn.g_01562	Syai.g_01997
OG0000058	Prbn.g_00172	Syai.g_00195
OG0000059	Prbn.g_01833	Syai.g_00351
OG0000061	Prbn.g_01189	Syai.g_02144
OG0000062	Prbn.g_00897	Syai.g_02358
OG0000063	Prbn.g_00130	Syai.g_00042
OG0000064	Prbn.g_00710	Syai.g_02350, Syai.g_02844, Syai.g_01162, Syai.g_01163, Syai.g_01668
OG0000066	Prbn.g_00577, Prbn.g_01657	Syai.g_01709, Syai.g_00719
OG0000067	Prbn.g_01546	Syai.g_01321
OG0000068	Prbn.g_01240	Syai.g_00628
OG0000070	Prbn.g_00663	Syai.g_02196
OG0000071	Prbn.g_01084	Syai.g_02179
OG0000072	Prbn.g_00383	Syai.g_02636
OG0000073	Prbn.g_00614	Syai.g_00659
OG0000075	Prbn.g_01917	Syai.g_00161
OG0000076	Prbn.g_00996	Syai.g_00111
OG0000077	Prbn.g_01342	Syai.g_02486
OG0000078	Prbn.g_00310	Syai.g_00543
OG0000079	Prbn.g_00018	Syai.g_00300
OG0000081	Prbn.g_00585	Syai.g_00553, Syai.g_02292
OG0000082	Prbn.g_00530, Prbn.g_01734	Syai.g_00781
OG0000084	Prbn.g_00209	Syai.g_01196, Syai.g_00958
OG0000085	Prbn.g_00144, Prbn.g_01737	Syai.g_02365
OG0000086	Prbn.g_01333	Syai.g_02507
OG0000087	Prbn.g_01278	Syai.g_02592
OG0000088	Prbn.g_01247	Syai.g_02630
OG0000089	Prbn.g_00696	Syai.g_00517
OG0000090	Prbn.g_00583	Syai.g_00707
OG0000091	Prbn.g_00434	Syai.g_01112
OG0000092	Prbn.g_01616	Syai.g_01358
OG0000093	Prbn.g_00846	Syai.g_01306
OG0000094	Prbn.g_01369	Syai.g_01424
OG0000095	Prbn.g_01471	Syai.g_02007
OG0000097	Prbn.g_00408	Syai.g_01787
OG0000098	Prbn.g_01216	Syai.g_01718
OG0000099	Prbn.g_00173	Syai.g_00199
OG0000100	Prbn.g_00903	Syai.g_01372
OG0000101	Prbn.g_01881	Syai.g_00404
OG0000102	Prbn.g_00991	Syai.g_00106
OG0000103	Prbn.g_00907	Syai.g_02912
OG0000104	Prbn.g_00296	Syai.g_02929
OG0000105	Prbn.g_00041	Syai.g_00267
OG0000106	Prbn.g_00829	Syai.g_01601
OG0000107	Prbn.g_01810	Syai.g_00319
OG0000108	Prbn.g_00634	Syai.g_00638
OG0000109	Prbn.g_00620	Syai.g_00653
OG0000110	Prbn.g_00541	Syai.g_00878, Syai.g_00766
OG0000111	Prbn.g_01561	Syai.g_00884, Syai.g_01998
OG0000112	Prbn.g_00468	Syai.g_01512
OG0000113	Prbn.g_01523	Syai.g_01367
OG0000114	Prbn.g_01621	Syai.g_01261
OG0000115	Prbn.g_01120	Syai.g_00932
OG0000116	Prbn.g_01178	Syai.g_02156
OG0000117	Prbn.g_00389	Syai.g_01756
OG0000118	Prbn.g_01071	Syai.g_00818
OG0000119	Prbn.g_01135, Prbn.g_00885	Syai.g_02127
OG0000120	Prbn.g_00170	Syai.g_00198
OG0000121	Prbn.g_00214	Syai.g_00951
OG0000122	Prbn.g_01113, Prbn.g_00255	Syai.g_01143
OG0000123	Prbn.g_01888	Syai.g_00411
OG0000124	Prbn.g_00979	Syai.g_00089
OG0000125	Prbn.g_00944	Syai.g_02782
OG0000126	Prbn.g_00295	Syai.g_02927
OG0000128	Prbn.g_00002, Prbn.g_00003	Syai.g_00012
OG0000129	Prbn.g_00737	Syai.g_02771
OG0000130	Prbn.g_00708	Syai.g_02474
OG0000131	Prbn.g_01269	Syai.g_02608
OG0000132	Prbn.g_01249	Syai.g_02628
OG0000133	Prbn.g_00088	Syai.g_01507
OG0000134	Prbn.g_00694	Syai.g_00520
OG0000135	Prbn.g_01102	Syai.g_02826
OG0000136	Prbn.g_00672	Syai.g_02217
OG0000137	Prbn.g_00639	Syai.g_00865
OG0000138	Prbn.g_00619	Syai.g_00654
OG0000139	Prbn.g_00579	Syai.g_00714
OG0000140	Prbn.g_00578	Syai.g_00716
OG0000141	Prbn.g_00507	Syai.g_01041
OG0000142	Prbn.g_00426	Syai.g_01104
OG0000143	Prbn.g_00430	Syai.g_01108
OG0000144	Prbn.g_00444	Syai.g_01608
OG0000145	Prbn.g_01100	Syai.g_00660
OG0000146	Prbn.g_00469	Syai.g_01513
OG0000147	Prbn.g_00470	Syai.g_01514
OG0000148	Prbn.g_01529	Syai.g_01361
OG0000149	Prbn.g_01497	Syai.g_02059
OG0000150	Prbn.g_01487	Syai.g_00717
OG0000151	Prbn.g_01611	Syai.g_01280
OG0000152	Prbn.g_01418	Syai.g_01503
OG0000153	Prbn.g_01399	Syai.g_01461
OG0000154	Prbn.g_01379	Syai.g_01434
OG0000155	Prbn.g_01210	Syai.g_02109
OG0000156	Prbn.g_01095	Syai.g_02162
OG0000157	Prbn.g_01094	Syai.g_02163
OG0000158	Prbn.g_01014	Syai.g_00135
OG0000160	Prbn.g_00213	Syai.g_00952
OG0000161	Prbn.g_00219	Syai.g_00946
OG0000162	Prbn.g_00225	Syai.g_00939
OG0000163	Prbn.g_00264	Syai.g_02300
OG0000164	Prbn.g_01770	Syai.g_02411
OG0000165	Prbn.g_01777	Syai.g_02244
OG0000166	Prbn.g_01844	Syai.g_00364
OG0000167	Prbn.g_01915	Syai.g_00164
OG0000168	Prbn.g_01013	Syai.g_00134
OG0000169	Prbn.g_01003	Syai.g_00123
OG0000170	Prbn.g_01000	Syai.g_00116
OG0000171	Prbn.g_00980	Syai.g_00090
OG0000172	Prbn.g_00973	Syai.g_00083
OG0000173	Prbn.g_00958	Syai.g_00064
OG0000174	Prbn.g_00929	Syai.g_02828
OG0000175	Prbn.g_00916	Syai.g_02901
OG0000176	Prbn.g_00010	Syai.g_00004
OG0000177	Prbn.g_00009	Syai.g_00005
OG0000178	Prbn.g_00008	Syai.g_00006
OG0000179	Prbn.g_00766	Syai.g_00023
OG0000180	Prbn.g_00765	Syai.g_00024
OG0000181	Prbn.g_00764	Syai.g_00025
OG0000182	Prbn.g_00763	Syai.g_00026
OG0000183	Prbn.g_00759	Syai.g_00030
OG0000184	Prbn.g_00733	Syai.g_02756
OG0000185	Prbn.g_00730	Syai.g_02734
OG0000186	Prbn.g_00714	Syai.g_02469
OG0000187	Prbn.g_00713	Syai.g_02471
OG0000188	Prbn.g_01339	Syai.g_00696, Syai.g_02494
OG0000189	Prbn.g_01325	Syai.g_02530
OG0000190	Prbn.g_01323	Syai.g_02532
OG0000191	Prbn.g_01300	Syai.g_02562
OG0000192	Prbn.g_01295	Syai.g_02569
OG0000193	Prbn.g_01268	Syai.g_02609
OG0000194	Prbn.g_01265	Syai.g_02612
OG0000195	Prbn.g_01263	Syai.g_02614
OG0000196	Prbn.g_01252	Syai.g_02625
OG0000197	Prbn.g_01251	Syai.g_02626
OG0000198	Prbn.g_01250	Syai.g_02627
OG0000199	Prbn.g_01243, Prbn.g_00384	Syai.g_02635
OG0000200	Prbn.g_00370	Syai.g_02651
OG0000201	Prbn.g_00361	Syai.g_02667
OG0000202	Prbn.g_00360	Syai.g_02668
OG0000203	Prbn.g_00359	Syai.g_02669
OG0000204	Prbn.g_00358	Syai.g_02670
OG0000205	Prbn.g_00351	Syai.g_02677
OG0000206	Prbn.g_00346	Syai.g_02684
OG0000207	Prbn.g_00343	Syai.g_02686
OG0000208	Prbn.g_00342	Syai.g_02687
OG0000209	Prbn.g_00333	Syai.g_02699
OG0000210	Prbn.g_00332	Syai.g_02700
OG0000211	Prbn.g_00317	Syai.g_00533
OG0000212	Prbn.g_00309	Syai.g_00544
OG0000213	Prbn.g_00024	Syai.g_00292
OG0000214	Prbn.g_00034	Syai.g_00276
OG0000215	Prbn.g_00061	Syai.g_00245
OG0000216	Prbn.g_00062	Syai.g_00241
OG0000217	Prbn.g_00065	Syai.g_00237
OG0000218	Prbn.g_00067	Syai.g_00235
OG0000219	Prbn.g_00068	Syai.g_00234
OG0000220	Prbn.g_00069	Syai.g_00233
OG0000221	Prbn.g_00070	Syai.g_00227
OG0000222	Prbn.g_00077	Syai.g_00215
