Orthogroup	Prbn	Syap
OG0000001	Prbn.g_01213	Syap.g_00785, Syap.g_02195, Syap.g_02194, Syap.g_02201, Syap.g_02615, Syap.g_00399
OG0000004	Prbn.g_00318	Syap.g_01987
OG0000005	Prbn.g_00899	Syap.g_01218
OG0000006	Prbn.g_00308	Syap.g_02770
OG0000007	Prbn.g_00617	Syap.g_00275
OG0000007	Prbn.g_01745	Syap.g_00621
OG0000010	Prbn.g_01939, Prbn.g_01357	Syap.g_02757
OG0000013	Prbn.g_00092	Syap.g_01397, Syap.g_00586, Syap.g_00580, Syap.g_00583, Syap.g_00972
OG0000014	Prbn.g_00074	Syap.g_01675
OG0000015	Prbn.g_01684, Prbn.g_01730	Syap.g_02606, Syap.g_00786
OG0000016	Prbn.g_01131	Syap.g_00404
OG0000018	Prbn.g_01518	Syap.g_02708
OG0000018	Prbn.g_01167	Syap.g_02010
OG0000019	Prbn.g_00015, Prbn.g_01165	Syap.g_01586
OG0000025	Prbn.g_01510	Syap.g_01846
OG0000027	Prbn.g_00139, Prbn.g_01664	Syap.g_01440
OG0000028	Prbn.g_01644	Syap.g_01658
OG0000030	Prbn.g_00985	Syap.g_00787, Syap.g_00788
OG0000031	Prbn.g_00171	Syap.g_02479, Syap.g_01083, Syap.g_02076, Syap.g_00722
OG0000033	Prbn.g_00178	Syap.g_01198
OG0000034	Prbn.g_01073	Syap.g_02193, Syap.g_02614, Syap.g_02280
OG0000035	Prbn.g_00212	Syap.g_02125, Syap.g_02465
OG0000037	Prbn.g_01310	Syap.g_02492
OG0000038	Prbn.g_00946	Syap.g_00139
OG0000039	Prbn.g_01577	Syap.g_01749, Syap.g_01748
OG0000041	Prbn.g_01793	Syap.g_01510
OG0000042	Prbn.g_00988	Syap.g_01891, Syap.g_01120
OG0000043	Prbn.g_01168	Syap.g_01998
OG0000045	Prbn.g_01145	Syap.g_02525
OG0000046	Prbn.g_00093	Syap.g_00581, Syap.g_00584, Syap.g_00587, Syap.g_00973
OG0000048	Prbn.g_01097	Syap.g_02340
OG0000051	Prbn.g_00809	Syap.g_01574
OG0000053	Prbn.g_00233, Prbn.g_01690	Syap.g_02006
OG0000054	Prbn.g_00508	Syap.g_00678, Syap.g_02652, Syap.g_00774
OG0000057	Prbn.g_01562	Syap.g_01569
OG0000058	Prbn.g_00172	Syap.g_02074
OG0000059	Prbn.g_01833	Syap.g_01918
OG0000061	Prbn.g_01189	Syap.g_00228
OG0000062	Prbn.g_00897	Syap.g_01220
OG0000063	Prbn.g_00130	Syap.g_01796
OG0000066	Prbn.g_00577, Prbn.g_01657	Syap.g_01972
OG0000067	Prbn.g_01546	Syap.g_00194
OG0000068	Prbn.g_01240	Syap.g_00108, Syap.g_00144
OG0000069	Prbn.g_00659	Syap.g_01936, Syap.g_01543, Syap.g_01545
OG0000070	Prbn.g_00663	Syap.g_00930, Syap.g_00931, Syap.g_00966, Syap.g_00802, Syap.g_00915, Syap.g_00953
OG0000071	Prbn.g_01084	Syap.g_01483
OG0000072	Prbn.g_00383	Syap.g_00555
OG0000073	Prbn.g_00614	Syap.g_00273
OG0000075	Prbn.g_01917	Syap.g_01064, Syap.g_00664
OG0000076	Prbn.g_00996	Syap.g_01111
OG0000077	Prbn.g_01342	Syap.g_00416
OG0000078	Prbn.g_00310	Syap.g_01149
OG0000079	Prbn.g_00018	Syap.g_01589
OG0000080	Prbn.g_00184, Prbn.g_00186	Syap.g_01707, Syap.g_00630, Syap.g_01035
OG0000085	Prbn.g_00144, Prbn.g_01737	Syap.g_00611
OG0000087	Prbn.g_01278	Syap.g_02617, Syap.g_02202, Syap.g_02203
OG0000088	Prbn.g_01247	Syap.g_01202
OG0000089	Prbn.g_00696	Syap.g_00115, Syap.g_02042
OG0000090	Prbn.g_00583	Syap.g_01451
OG0000091	Prbn.g_00434	Syap.g_01861
OG0000094	Prbn.g_01369	Syap.g_02781
OG0000095	Prbn.g_01471	Syap.g_01556
OG0000098	Prbn.g_01216	Syap.g_01975
OG0000099	Prbn.g_00173	Syap.g_01385
OG0000101	Prbn.g_01881	Syap.g_00472
OG0000102	Prbn.g_00991	Syap.g_01116
OG0000103	Prbn.g_00907	Syap.g_02607, Syap.g_02608
OG0000104	Prbn.g_00296	Syap.g_02321, Syap.g_00051, Syap.g_02320, Syap.g_02318
OG0000105	Prbn.g_00041	Syap.g_01369, Syap.g_01368
OG0000107	Prbn.g_01810	Syap.g_02496
OG0000108	Prbn.g_00634	Syap.g_02256, Syap.g_00733, Syap.g_02255
OG0000109	Prbn.g_00620	Syap.g_00279, Syap.g_02237
OG0000110	Prbn.g_00541	Syap.g_01313
OG0000111	Prbn.g_01561	Syap.g_01566, Syap.g_01568
OG0000112	Prbn.g_00468	Syap.g_02023
OG0000113	Prbn.g_01523	Syap.g_02714
OG0000114	Prbn.g_01621	Syap.g_01255
OG0000115	Prbn.g_01120	Syap.g_02004
OG0000116	Prbn.g_01178	Syap.g_00241
OG0000117	Prbn.g_00389	Syap.g_01889
OG0000118	Prbn.g_01071	Syap.g_02286
OG0000120	Prbn.g_00170	Syap.g_02075
OG0000121	Prbn.g_00214	Syap.g_02471
OG0000123	Prbn.g_01888	Syap.g_00100, Syap.g_00099, Syap.g_00098, Syap.g_00464
OG0000124	Prbn.g_00979	Syap.g_02456, Syap.g_02457, Syap.g_01130
OG0000125	Prbn.g_00944	Syap.g_01046, Syap.g_01047
OG0000126	Prbn.g_00295	Syap.g_02317, Syap.g_02316, Syap.g_02576
OG0000128	Prbn.g_00002, Prbn.g_00003	Syap.g_00069
OG0000129	Prbn.g_00737	Syap.g_00130, Syap.g_00129
OG0000130	Prbn.g_00708	Syap.g_01688, Syap.g_01689
OG0000131	Prbn.g_01269	Syap.g_02189
OG0000132	Prbn.g_01249	Syap.g_01205
OG0000133	Prbn.g_00088	Syap.g_02017
OG0000134	Prbn.g_00694	Syap.g_02047
OG0000135	Prbn.g_01102	Syap.g_02090
OG0000136	Prbn.g_00672	Syap.g_00089
OG0000137	Prbn.g_00639	Syap.g_02756
OG0000138	Prbn.g_00619	Syap.g_00278
OG0000139	Prbn.g_00579	Syap.g_00410
OG0000140	Prbn.g_00578	Syap.g_01976
OG0000141	Prbn.g_00507	Syap.g_01541, Syap.g_01542, Syap.g_01544
OG0000142	Prbn.g_00426	Syap.g_00895, Syap.g_00894
OG0000143	Prbn.g_00430	Syap.g_00900, Syap.g_00899, Syap.g_00901
OG0000144	Prbn.g_00444	Syap.g_02504, Syap.g_02503, Syap.g_02502, Syap.g_02772
OG0000145	Prbn.g_01100	Syap.g_01860, Syap.g_01859
OG0000146	Prbn.g_00469	Syap.g_02024
OG0000147	Prbn.g_00470	Syap.g_02025
OG0000148	Prbn.g_01529	Syap.g_02720
