Orthogroup	Praa	Syan
OG0000004	Praa.g_00695	Syan.g_00183
OG0000004	Praa.g_00232	Syan.g_00989
OG0000005	Praa.g_01648	Syan.g_01423
OG0000005	Praa.g_01553	Syan.g_01378
OG0000006	Praa.g_00241, Praa.g_01245	Syan.g_00057, Syan.g_00936, Syan.g_01505, Syan.g_02101, Syan.g_02441
OG0000007	Praa.g_00497	Syan.g_02743
OG0000007	Praa.g_01635	Syan.g_01400
OG0000008	Praa.g_01241	Syan.g_00640, Syan.g_02532
OG0000009	Praa.g_01264, Praa.g_01589, Praa.g_00105	Syan.g_02972
OG0000010	Praa.g_01047, Praa.g_00474	Syan.g_02847
OG0000012	Praa.g_00623	Syan.g_01076, Syan.g_00452, Syan.g_02349, Syan.g_02485
OG0000013	Praa.g_00327	Syan.g_02156, Syan.g_02159, Syan.g_00101
OG0000014	Praa.g_00306	Syan.g_01987
OG0000016	Praa.g_00013	Syan.g_01766
OG0000017	Praa.g_00598	Syan.g_01006
OG0000018	Praa.g_01141, Praa.g_00831	Syan.g_02816
OG0000019	Praa.g_00249, Praa.g_00782	Syan.g_02088
OG0000021	Praa.g_01623, Praa.g_00364	Syan.g_01001
OG0000022	Praa.g_00763, Praa.g_01124	Syan.g_00089
OG0000023	Praa.g_00359	Syan.g_00404
OG0000025	Praa.g_00839, Praa.g_00331	Syan.g_00374
OG0000026	Praa.g_00031, Praa.g_01054	Syan.g_01743
OG0000027	Praa.g_00470, Praa.g_01301	Syan.g_02678
OG0000028	Praa.g_00320, Praa.g_01248	Syan.g_01971
OG0000030	Praa.g_01842	Syan.g_01884, Syan.g_01883
OG0000033	Praa.g_01437, Praa.g_00169	Syan.g_03036
OG0000034	Praa.g_01328	Syan.g_01227, Syan.g_03003
OG0000035	Praa.g_01476	Syan.g_01276
OG0000037	Praa.g_00109	Syan.g_00136, Syan.g_02978, Syan.g_00917
OG0000038	Praa.g_01883	Syan.g_00064, Syan.g_01569, Syan.g_01571
OG0000039	Praa.g_00686	Syan.g_02771, Syan.g_00535
OG0000041	Praa.g_01683	Syan.g_01465
OG0000042	Praa.g_01839	Syan.g_00991, Syan.g_02643, Syan.g_01888
OG0000045	Praa.g_00370	Syan.g_00086, Syan.g_00151
OG0000048	Praa.g_00373	Syan.g_02036
OG0000053	Praa.g_01496	Syan.g_02812
OG0000054	Praa.g_00606	Syan.g_02503
OG0000055	Praa.g_00783	Syan.g_00312
OG0000058	Praa.g_01425	Syan.g_01128, Syan.g_01124
OG0000061	Praa.g_01415, Praa.g_01159	Syan.g_02696
OG0000062	Praa.g_01555	Syan.g_00098
OG0000063	Praa.g_00033	Syan.g_01739
OG0000065	Praa.g_00107	Syan.g_02974
OG0000066	Praa.g_00539	Syan.g_01156
OG0000067	Praa.g_00803	Syan.g_00690
OG0000068	Praa.g_01366	Syan.g_00845, Syan.g_00257, Syan.g_02773
OG0000069	Praa.g_01590	Syan.g_00278
OG0000070	Praa.g_00449	Syan.g_00289
OG0000071	Praa.g_01318	Syan.g_01213
OG0000072	Praa.g_00171	Syan.g_03038, Syan.g_02999
OG0000073	Praa.g_00499	Syan.g_02741
OG0000075	Praa.g_01808	Syan.g_00981, Syan.g_01937
OG0000076	Praa.g_01832	Syan.g_01896
OG0000079	Praa.g_00252	Syan.g_02079, Syan.g_02067, Syan.g_02085
OG0000082	Praa.g_00585	Syan.g_00952
OG0000085	Praa.g_01628	Syan.g_01387
OG0000086	Praa.g_00088	Syan.g_02946, Syan.g_02515, Syan.g_00114
OG0000087	Praa.g_00139	Syan.g_02268
OG0000088	Praa.g_00166	Syan.g_03031
OG0000089	Praa.g_00355	Syan.g_02316
OG0000090	Praa.g_00533	Syan.g_01166
OG0000091	Praa.g_00642	Syan.g_00235, Syan.g_00808
OG0000092	Praa.g_00912	Syan.g_02502
OG0000094	Praa.g_01020	Syan.g_00353, Syan.g_00065
OG0000097	Praa.g_01200	Syan.g_00160, Syan.g_00733
OG0000098	Praa.g_01348	Syan.g_00043
OG0000099	Praa.g_01394	Syan.g_01968
OG0000100	Praa.g_01551	Syan.g_00658
OG0000101	Praa.g_01775	Syan.g_02199
OG0000102	Praa.g_01837	Syan.g_01891
OG0000103	Praa.g_01916	Syan.g_01692
OG0000104	Praa.g_01924	Syan.g_01792
OG0000105	Praa.g_00274	Syan.g_02031
OG0000106	Praa.g_00369	Syan.g_00076
OG0000107	Praa.g_00383	Syan.g_02106
OG0000108	Praa.g_00480	Syan.g_02764
OG0000109	Praa.g_00494	Syan.g_02748
OG0000110	Praa.g_00575	Syan.g_00882
OG0000111	Praa.g_00699	Syan.g_00187
OG0000112	Praa.g_00766	Syan.g_00556, Syan.g_00252
OG0000113	Praa.g_00826	Syan.g_00664
OG0000114	Praa.g_00907	Syan.g_00741
OG0000115	Praa.g_01101	Syan.g_02810
OG0000116	Praa.g_01150	Syan.g_02710, Syan.g_00460
OG0000117	Praa.g_01255	Syan.g_02644
OG0000118	Praa.g_01330	Syan.g_01241, Syan.g_01237
OG0000119	Praa.g_01362	Syan.g_02672
OG0000120	Praa.g_01387	Syan.g_01966
OG0000121	Praa.g_01478	Syan.g_01273
OG0000123	Praa.g_01782	Syan.g_02190
OG0000124	Praa.g_01848	Syan.g_01873
OG0000125	Praa.g_01885	Syan.g_01573
OG0000126	Praa.g_01923	Syan.g_01705
OG0000128	Praa.g_00011	Syan.g_01768
OG0000129	Praa.g_00044	Syan.g_01563
OG0000130	Praa.g_00069	Syan.g_02906, Syan.g_02907
OG0000131	Praa.g_00145	Syan.g_03008
OG0000132	Praa.g_00164	Syan.g_03029
OG0000133	Praa.g_00322	Syan.g_00561
OG0000134	Praa.g_00356	Syan.g_02319
OG0000135	Praa.g_00381	Syan.g_01616
OG0000136	Praa.g_00440	Syan.g_01342
OG0000137	Praa.g_01414, Praa.g_00475	Syan.g_02846
OG0000138	Praa.g_00495	Syan.g_02747
OG0000140	Praa.g_00538	Syan.g_00042
OG0000141	Praa.g_00607	Syan.g_01032
OG0000142	Praa.g_00635	Syan.g_00816
OG0000143	Praa.g_00639	Syan.g_00812
OG0000144	Praa.g_00652	Syan.g_00782
OG0000145	Praa.g_00764	Syan.g_02740
OG0000146	Praa.g_00767	Syan.g_00555, Syan.g_00253
OG0000147	Praa.g_00768	Syan.g_00254, Syan.g_00554
OG0000148	Praa.g_00820	Syan.g_00670
OG0000149	Praa.g_00851	Syan.g_00393
OG0000150	Praa.g_00859	Syan.g_01031
OG0000151	Praa.g_00917	Syan.g_00731
OG0000152	Praa.g_00964	Syan.g_00565
OG0000153	Praa.g_00983	Syan.g_00601
OG0000154	Praa.g_01013	Syan.g_00363
OG0000155	Praa.g_01179	Syan.g_02654
OG0000156	Praa.g_01307	Syan.g_02717
OG0000157	Praa.g_01308	Syan.g_02718
OG0000158	Praa.g_01395	Syan.g_01078, Syan.g_01926
OG0000159	Praa.g_01396	Syan.g_01120
OG0000160	Praa.g_01477	Syan.g_01274
OG0000161	Praa.g_01483	Syan.g_01268
OG0000162	Praa.g_01489	Syan.g_01059, Syan.g_01254, Syan.g_01330
OG0000163	Praa.g_01523	Syan.g_02405
OG0000164	Praa.g_01659	Syan.g_01440
OG0000165	Praa.g_01667	Syan.g_01448
OG0000166	Praa.g_01739	Syan.g_02239
OG0000167	Praa.g_01806	Syan.g_01941
OG0000168	Praa.g_01816	Syan.g_01924, Syan.g_01121, Syan.g_01925
OG0000169	Praa.g_01826	Syan.g_01912
OG0000170	Praa.g_01828	Syan.g_01901
OG0000171	Praa.g_01847	Syan.g_01875
OG0000172	Praa.g_01856	Syan.g_01810
OG0000173	Praa.g_01871	Syan.g_01720
OG0000174	Praa.g_01898	Syan.g_01619
OG0000175	Praa.g_01908	Syan.g_01678, Syan.g_00258
OG0000176	Praa.g_00004	Syan.g_01801
OG0000177	Praa.g_00005	Syan.g_01775
OG0000178	Praa.g_00006	Syan.g_01774
OG0000179	Praa.g_00016	Syan.g_01759
OG0000180	Praa.g_00017	Syan.g_01758
OG0000181	Praa.g_00018	Syan.g_01757
OG0000182	Praa.g_00019	Syan.g_01756
OG0000183	Praa.g_00023	Syan.g_01752
OG0000184	Praa.g_00046	Syan.g_01549
OG0000185	Praa.g_00049	Syan.g_01540
OG0000186	Praa.g_00064	Syan.g_02902
OG0000187	Praa.g_00065	Syan.g_02904
OG0000188	Praa.g_00082	Syan.g_02926
OG0000189	Praa.g_00096	Syan.g_02966
OG0000190	Praa.g_00097	Syan.g_00971
OG0000191	Praa.g_00117	Syan.g_02300
OG0000192	Praa.g_00121	Syan.g_02294
OG0000193	Praa.g_00146	Syan.g_03009
OG0000194	Praa.g_00149	Syan.g_03012
OG0000195	Praa.g_00151	Syan.g_03014
OG0000196	Praa.g_00161	Syan.g_03026
OG0000197	Praa.g_00162	Syan.g_03027
OG0000198	Praa.g_00163	Syan.g_03028
OG0000199	Praa.g_00170	Syan.g_03037
OG0000200	Praa.g_00184	Syan.g_03055
OG0000201	Praa.g_00192	Syan.g_03074
OG0000202	Praa.g_00193	Syan.g_03075
OG0000203	Praa.g_00194	Syan.g_03076
OG0000204	Praa.g_00195	Syan.g_03077
OG0000205	Praa.g_00202	Syan.g_03087
OG0000206	Praa.g_00207	Syan.g_03095
OG0000207	Praa.g_00209	Syan.g_03100
OG0000208	Praa.g_00210	Syan.g_03101
OG0000209	Praa.g_00219	Syan.g_01521
OG0000210	Praa.g_00220	Syan.g_01522
OG0000211	Praa.g_00233	Syan.g_02416
OG0000212	Praa.g_00240	Syan.g_01508, Syan.g_02438
OG0000213	Praa.g_00257	Syan.g_02059
OG0000214	Praa.g_00267	Syan.g_02040
OG0000215	Praa.g_00292	Syan.g_02010
OG0000216	Praa.g_00294	Syan.g_02006
OG0000217	Praa.g_00297	Syan.g_02001
OG0000218	Praa.g_00299	Syan.g_01999
OG0000219	Praa.g_00300	Syan.g_01998
OG0000220	Praa.g_00301	Syan.g_01997
OG0000221	Praa.g_00302	Syan.g_01994
OG0000222	Praa.g_00310	Syan.g_01981
OG0000223	Praa.g_00323	Syan.g_00228
OG0000224	Praa.g_00325	Syan.g_01959
OG0000225	Praa.g_00345	Syan.g_02997
OG0000226	Praa.g_00349	Syan.g_02990
OG0000227	Praa.g_00351	Syan.g_02988
OG0000228	Praa.g_00354	Syan.g_02315
OG0000229	Praa.g_00436	Syan.g_02396
OG0000230	Praa.g_00437	Syan.g_02398
OG0000231	Praa.g_00448	Syan.g_01333
OG0000232	Praa.g_00457	Syan.g_02801
OG0000233	Praa.g_00463	Syan.g_02876
OG0000234	Praa.g_00476	Syan.g_02844
OG0000235	Praa.g_00479	Syan.g_02765
OG0000236	Praa.g_00493	Syan.g_02749
OG0000237	Praa.g_00506	Syan.g_02731
OG0000238	Praa.g_00512	Syan.g_02726
OG0000239	Praa.g_00525	Syan.g_01187
OG0000240	Praa.g_00526	Syan.g_01186
OG0000241	Praa.g_00530	Syan.g_00822
OG0000242	Praa.g_00532	Syan.g_01168
OG0000243	Praa.g_00544	Syan.g_00840
OG0000244	Praa.g_00547	Syan.g_00848
OG0000245	Praa.g_00549	Syan.g_00850
OG0000246	Praa.g_00553	Syan.g_00854
OG0000247	Praa.g_00563	Syan.g_00866
OG0000248	Praa.g_00565	Syan.g_00869
