Orthogroup	Praa	Prbn
OG0000000	Praa.g_01235, Praa.g_01598, Praa.g_01244	Prbn.g_01662
OG0000000	Praa.g_01597	Prbn.g_01152, Prbn.g_01663, Prbn.g_01678
OG0000002	Praa.g_01359	Prbn.g_01483, Prbn.g_01478
OG0000002	Praa.g_00678	Prbn.g_01159, Prbn.g_01234, Prbn.g_01161, Prbn.g_01154, Prbn.g_00879, Prbn.g_01586
OG0000004	Praa.g_00695	Prbn.g_01565
OG0000004	Praa.g_00232	Prbn.g_00318
OG0000005	Praa.g_01553	Prbn.g_00899
OG0000006	Praa.g_00241, Praa.g_01245	Prbn.g_00308
OG0000007	Praa.g_00497	Prbn.g_00617
OG0000007	Praa.g_01635	Prbn.g_01745
OG0000008	Praa.g_01241	Prbn.g_01645
OG0000009	Praa.g_01264	Prbn.g_00887
OG0000010	Praa.g_00474	Prbn.g_01939, Prbn.g_01357, Prbn.g_00640
OG0000011	Praa.g_00396	Prbn.g_00802
OG0000012	Praa.g_00623	Prbn.g_00867, Prbn.g_00492
OG0000013	Praa.g_00327	Prbn.g_00092
OG0000014	Praa.g_00306	Prbn.g_00074
OG0000015	Praa.g_00765	Prbn.g_01684, Prbn.g_01730
OG0000017	Praa.g_00598	Prbn.g_00517
OG0000018	Praa.g_01141	Prbn.g_01167
OG0000018	Praa.g_00831	Prbn.g_01518
OG0000019	Praa.g_00249	Prbn.g_00015
OG0000019	Praa.g_00782	Prbn.g_01165
OG0000020	Praa.g_01107	Prbn.g_00875
OG0000021	Praa.g_01623, Praa.g_00364	Prbn.g_00874
OG0000022	Praa.g_00763	Prbn.g_00891
OG0000023	Praa.g_00359	Prbn.g_01030
OG0000024	Praa.g_00747	Prbn.g_01353
OG0000024	Praa.g_00675	Prbn.g_01589
OG0000025	Praa.g_00839, Praa.g_00331	Prbn.g_01510
OG0000026	Praa.g_00031, Praa.g_01054	Prbn.g_00750
OG0000027	Praa.g_00470, Praa.g_01301	Prbn.g_00139
OG0000028	Praa.g_01248	Prbn.g_01644
OG0000029	Praa.g_00374	Prbn.g_01836
OG0000029	Praa.g_00754	Prbn.g_00126, Prbn.g_01676
OG0000030	Praa.g_01842	Prbn.g_00985
OG0000033	Praa.g_01437	Prbn.g_00178
OG0000033	Praa.g_00169	Prbn.g_01244
OG0000034	Praa.g_01328	Prbn.g_01073
OG0000037	Praa.g_00109	Prbn.g_01310
OG0000038	Praa.g_01883	Prbn.g_00946
OG0000039	Praa.g_00686	Prbn.g_01577
OG0000041	Praa.g_01683	Prbn.g_01793
OG0000042	Praa.g_01839	Prbn.g_00988
OG0000043	Praa.g_00876	Prbn.g_01168
OG0000045	Praa.g_00370	Prbn.g_01145
OG0000048	Praa.g_00373	Prbn.g_00038
OG0000052	Praa.g_01447	Prbn.g_00190
OG0000053	Praa.g_01496	Prbn.g_01690, Prbn.g_00233
OG0000054	Praa.g_00606	Prbn.g_00508
OG0000055	Praa.g_00783	Prbn.g_01140
OG0000057	Praa.g_00698	Prbn.g_01562
OG0000058	Praa.g_01425	Prbn.g_00172
OG0000059	Praa.g_01723	Prbn.g_01833
OG0000061	Praa.g_01415, Praa.g_01159	Prbn.g_01189
OG0000062	Praa.g_01555	Prbn.g_00897
OG0000063	Praa.g_00033	Prbn.g_00130
OG0000065	Praa.g_00107	Prbn.g_01312
OG0000066	Praa.g_00539	Prbn.g_00577, Prbn.g_01657
OG0000067	Praa.g_00803	Prbn.g_01546
OG0000068	Praa.g_01366	Prbn.g_01240
OG0000069	Praa.g_01590	Prbn.g_00659
OG0000070	Praa.g_00449	Prbn.g_00663
OG0000071	Praa.g_01318	Prbn.g_01084
OG0000072	Praa.g_00171	Prbn.g_00383
OG0000073	Praa.g_00499	Prbn.g_00614
OG0000074	Praa.g_00682	Prbn.g_01582
OG0000075	Praa.g_01808	Prbn.g_01917
OG0000076	Praa.g_01832	Prbn.g_00996
OG0000077	Praa.g_00078	Prbn.g_01342
OG0000078	Praa.g_00239	Prbn.g_00310
OG0000079	Praa.g_00252	Prbn.g_00018
OG0000080	Praa.g_01392	Prbn.g_00184
OG0000080	Praa.g_01390	Prbn.g_00186
OG0000081	Praa.g_00531	Prbn.g_00585
OG0000082	Praa.g_00585	Prbn.g_00530, Prbn.g_01734
OG0000084	Praa.g_01472	Prbn.g_00209
OG0000085	Praa.g_01628	Prbn.g_01737, Prbn.g_00144
OG0000086	Praa.g_00088	Prbn.g_01333
OG0000087	Praa.g_00139	Prbn.g_01278
OG0000088	Praa.g_00166	Prbn.g_01247
OG0000089	Praa.g_00355	Prbn.g_00696
OG0000090	Praa.g_00533	Prbn.g_00583
OG0000091	Praa.g_00642	Prbn.g_00434
OG0000092	Praa.g_00912	Prbn.g_01616
OG0000093	Praa.g_00932	Prbn.g_00846
OG0000094	Praa.g_01020	Prbn.g_01369
OG0000095	Praa.g_01039	Prbn.g_01471
OG0000096	Praa.g_01110, Praa.g_01280	Prbn.g_01049
OG0000097	Praa.g_01200	Prbn.g_00408
OG0000098	Praa.g_01348	Prbn.g_01216
OG0000099	Praa.g_01394	Prbn.g_00173
OG0000100	Praa.g_01551	Prbn.g_00903
OG0000101	Praa.g_01775	Prbn.g_01881
OG0000102	Praa.g_01837	Prbn.g_00991
OG0000103	Praa.g_01916	Prbn.g_00907
OG0000104	Praa.g_01924	Prbn.g_00296
OG0000105	Praa.g_00274	Prbn.g_00041
OG0000106	Praa.g_00369	Prbn.g_00829
OG0000107	Praa.g_00383	Prbn.g_01810
OG0000108	Praa.g_00480	Prbn.g_00634
OG0000109	Praa.g_00494	Prbn.g_00620
OG0000110	Praa.g_00575	Prbn.g_00541
OG0000111	Praa.g_00699	Prbn.g_01561
OG0000112	Praa.g_00766	Prbn.g_00468
OG0000113	Praa.g_00826	Prbn.g_01523
OG0000114	Praa.g_00907	Prbn.g_01621
OG0000115	Praa.g_01101	Prbn.g_01120
OG0000116	Praa.g_01150	Prbn.g_01178
OG0000117	Praa.g_01255	Prbn.g_00389
OG0000118	Praa.g_01330	Prbn.g_01071
OG0000119	Praa.g_01362	Prbn.g_01135, Prbn.g_00885
OG0000120	Praa.g_01387	Prbn.g_00170
OG0000121	Praa.g_01478	Prbn.g_00214
OG0000122	Praa.g_01516	Prbn.g_01113, Prbn.g_00255
OG0000123	Praa.g_01782	Prbn.g_01888
OG0000124	Praa.g_01848	Prbn.g_00979
OG0000125	Praa.g_01885	Prbn.g_00944
OG0000126	Praa.g_01923	Prbn.g_00295
OG0000128	Praa.g_00011	Prbn.g_00002, Prbn.g_00003
OG0000129	Praa.g_00044	Prbn.g_00737
OG0000130	Praa.g_00069	Prbn.g_00708
OG0000131	Praa.g_00145	Prbn.g_01269
OG0000132	Praa.g_00164	Prbn.g_01249
OG0000133	Praa.g_00322	Prbn.g_00088
OG0000134	Praa.g_00356	Prbn.g_00694
OG0000135	Praa.g_00381	Prbn.g_01102
OG0000136	Praa.g_00440	Prbn.g_00672
OG0000137	Praa.g_01414, Praa.g_00475	Prbn.g_00639
OG0000138	Praa.g_00495	Prbn.g_00619
OG0000139	Praa.g_00537	Prbn.g_00579
OG0000140	Praa.g_00538	Prbn.g_00578
OG0000141	Praa.g_00607	Prbn.g_00507
OG0000142	Praa.g_00635	Prbn.g_00426
OG0000143	Praa.g_00639	Prbn.g_00430
OG0000144	Praa.g_00652	Prbn.g_00444
OG0000145	Praa.g_00764	Prbn.g_01100
OG0000146	Praa.g_00767	Prbn.g_00469
OG0000147	Praa.g_00768	Prbn.g_00470
OG0000148	Praa.g_00820	Prbn.g_01529
OG0000149	Praa.g_00851	Prbn.g_01497
OG0000150	Praa.g_00859	Prbn.g_01487
OG0000151	Praa.g_00917	Prbn.g_01611
OG0000152	Praa.g_00964	Prbn.g_01418
OG0000153	Praa.g_00983	Prbn.g_01399
OG0000154	Praa.g_01013	Prbn.g_01379
OG0000155	Praa.g_01179	Prbn.g_01210
OG0000156	Praa.g_01307	Prbn.g_01095
OG0000157	Praa.g_01308	Prbn.g_01094
OG0000158	Praa.g_01395	Prbn.g_01014
OG0000159	Praa.g_01396	Prbn.g_00717
OG0000160	Praa.g_01477	Prbn.g_00213
