Orthogroup	Praa	Syaj
OG0000001	Praa.g_01351, Praa.g_01220, Praa.g_01222	Syaj.g_02674
OG0000002	Praa.g_01359, Praa.g_00678	Syaj.g_02667
OG0000004	Praa.g_00695	Syaj.g_00441
OG0000004	Praa.g_00232	Syaj.g_01314, Syaj.g_02853
OG0000005	Praa.g_01648	Syaj.g_01736
OG0000005	Praa.g_01553	Syaj.g_01698
OG0000006	Praa.g_00241, Praa.g_01245	Syaj.g_02635
OG0000007	Praa.g_00497	Syaj.g_00091
OG0000007	Praa.g_01635	Syaj.g_01721
OG0000008	Praa.g_01241	Syaj.g_00496
OG0000009	Praa.g_01264, Praa.g_01589	Syaj.g_01069
OG0000009	Praa.g_00105	Syaj.g_01885
OG0000010	Praa.g_01047, Praa.g_00474	Syaj.g_01445
OG0000011	Praa.g_01288	Syaj.g_01133
OG0000011	Praa.g_00396	Syaj.g_01780
OG0000012	Praa.g_00623	Syaj.g_00003, Syaj.g_01793, Syaj.g_00831, Syaj.g_00172, Syaj.g_01306
OG0000013	Praa.g_00327	Syaj.g_02782, Syaj.g_02769, Syaj.g_02774
OG0000014	Praa.g_00306	Syaj.g_02522
OG0000014	Praa.g_01409	Syaj.g_02344
OG0000015	Praa.g_00765	Syaj.g_00725, Syaj.g_02659
OG0000016	Praa.g_00013	Syaj.g_02276
OG0000017	Praa.g_00598	Syaj.g_00248
OG0000018	Praa.g_01141, Praa.g_00831	Syaj.g_01413
OG0000019	Praa.g_00249, Praa.g_00782	Syaj.g_02613
OG0000021	Praa.g_01623, Praa.g_00364	Syaj.g_00982
OG0000022	Praa.g_00763, Praa.g_01124	Syaj.g_01220
OG0000023	Praa.g_00359	Syaj.g_00829, Syaj.g_01791
OG0000024	Praa.g_00747, Praa.g_00675	Syaj.g_00500
OG0000025	Praa.g_00839, Praa.g_00331	Syaj.g_00383
OG0000026	Praa.g_00031, Praa.g_01054	Syaj.g_02298
OG0000027	Praa.g_00470, Praa.g_01301	Syaj.g_00396
OG0000028	Praa.g_00320, Praa.g_01248	Syaj.g_02506
OG0000029	Praa.g_00374, Praa.g_00754	Syaj.g_01229
OG0000030	Praa.g_01842	Syaj.g_02396, Syaj.g_02395
OG0000033	Praa.g_00169	Syaj.g_01990
OG0000034	Praa.g_01328	Syaj.g_01959
OG0000035	Praa.g_01476	Syaj.g_01378
OG0000037	Praa.g_00109	Syaj.g_01891, Syaj.g_02902
OG0000038	Praa.g_01883	Syaj.g_02115
OG0000039	Praa.g_00686	Syaj.g_00392, Syaj.g_00275
OG0000041	Praa.g_01683	Syaj.g_01602
OG0000042	Praa.g_01839	Syaj.g_02399
OG0000043	Praa.g_00876, Praa.g_01259	Syaj.g_01247
OG0000047	Praa.g_00330	Syaj.g_02799
OG0000048	Praa.g_00373	Syaj.g_02578
OG0000051	Praa.g_01291	Syaj.g_02898
OG0000052	Praa.g_01447, Praa.g_01407	Syaj.g_02476
OG0000053	Praa.g_01496	Syaj.g_01409
OG0000054	Praa.g_00606	Syaj.g_01341
OG0000055	Praa.g_00783	Syaj.g_00394
OG0000057	Praa.g_00698	Syaj.g_00438
OG0000058	Praa.g_01425	Syaj.g_02495
OG0000059	Praa.g_01723	Syaj.g_02686
OG0000061	Praa.g_01415, Praa.g_01159	Syaj.g_00302
OG0000063	Praa.g_00033	Syaj.g_02302
OG0000065	Praa.g_00107	Syaj.g_00007, Syaj.g_01887
OG0000066	Praa.g_00539	Syaj.g_00157
OG0000067	Praa.g_00803	Syaj.g_01023
OG0000068	Praa.g_01366	Syaj.g_00059
