Orthogroup	Praa	Syae
OG0000001	Praa.g_01351, Praa.g_01220, Praa.g_01222	Syae.g_02061
OG0000004	Praa.g_00695	Syae.g_00779
OG0000004	Praa.g_00232	Syae.g_00042, Syae.g_02231
OG0000005	Praa.g_01648	Syae.g_01179
OG0000005	Praa.g_01553	Syae.g_01143
OG0000006	Praa.g_00241, Praa.g_01245	Syae.g_02030, Syae.g_02248
OG0000007	Praa.g_00497	Syae.g_02328
OG0000007	Praa.g_01635	Syae.g_01163
OG0000008	Praa.g_01241	Syae.g_00753
OG0000009	Praa.g_01264, Praa.g_01589	Syae.g_00561, Syae.g_00171
OG0000009	Praa.g_00105	Syae.g_00100, Syae.g_01361
OG0000010	Praa.g_01047, Praa.g_00474	Syae.g_02529
OG0000011	Praa.g_01288	Syae.g_00268
OG0000012	Praa.g_00623	Syae.g_02397, Syae.g_02562, Syae.g_00049
OG0000013	Praa.g_00327	Syae.g_02169, Syae.g_02155, Syae.g_02160
OG0000014	Praa.g_00306	Syae.g_01930
OG0000014	Praa.g_01409	Syae.g_01850
OG0000015	Praa.g_00765	Syae.g_00590
OG0000016	Praa.g_00013	Syae.g_01726
OG0000017	Praa.g_00598	Syae.g_02462
OG0000018	Praa.g_01141, Praa.g_00831	Syae.g_02625
OG0000019	Praa.g_00249, Praa.g_00782	Syae.g_02015
OG0000021	Praa.g_01623, Praa.g_00364	Syae.g_01261
OG0000022	Praa.g_00763, Praa.g_01124	Syae.g_00144
OG0000023	Praa.g_00359	Syae.g_00439, Syae.g_00930
OG0000025	Praa.g_00839, Praa.g_00331	Syae.g_00833
OG0000026	Praa.g_00031, Praa.g_01054	Syae.g_01748
OG0000027	Praa.g_00470, Praa.g_01301	Syae.g_00103, Syae.g_00814
OG0000028	Praa.g_00320, Praa.g_01248	Syae.g_01916
OG0000029	Praa.g_00374, Praa.g_00754	Syae.g_00136
OG0000030	Praa.g_01842	Syae.g_01817, Syae.g_01816
OG0000033	Praa.g_00169	Syae.g_01453
OG0000034	Praa.g_01328	Syae.g_00975, Syae.g_01424
OG0000035	Praa.g_01476	Syae.g_02653
OG0000037	Praa.g_00109	Syae.g_01367
OG0000038	Praa.g_01883	Syae.g_01571
OG0000039	Praa.g_00686	Syae.g_00822, Syae.g_02495
OG0000041	Praa.g_01683	Syae.g_01042
OG0000042	Praa.g_01839	Syae.g_01821
OG0000043	Praa.g_00876, Praa.g_01259	Syae.g_00117
OG0000047	Praa.g_00330	Syae.g_02184
OG0000048	Praa.g_00373	Syae.g_01982
OG0000051	Praa.g_01291	Syae.g_00438
OG0000052	Praa.g_01447, Praa.g_01407	Syae.g_01886
OG0000053	Praa.g_01496	Syae.g_02629
OG0000054	Praa.g_00606	Syae.g_00014
OG0000055	Praa.g_00783	Syae.g_00817
OG0000057	Praa.g_00698	Syae.g_00782
OG0000058	Praa.g_01425	Syae.g_01905
OG0000059	Praa.g_01723	Syae.g_02074
OG0000061	Praa.g_01415, Praa.g_01159	Syae.g_00921
OG0000063	Praa.g_00033	Syae.g_01752
OG0000065	Praa.g_00107	Syae.g_00722, Syae.g_01363
OG0000066	Praa.g_00539	Syae.g_02386
OG0000067	Praa.g_00803	Syae.g_00521
OG0000068	Praa.g_01366	Syae.g_02299
OG0000069	Praa.g_01590	Syae.g_00458
OG0000070	Praa.g_00449	Syae.g_00979
OG0000071	Praa.g_01318	Syae.g_00961
OG0000072	Praa.g_00171	Syae.g_01455
OG0000073	Praa.g_00499	Syae.g_02330
OG0000075	Praa.g_01808	Syae.g_01871
