Orthogroup	Praa	Syam
OG0000001	Praa.g_01351, Praa.g_01220, Praa.g_01222	Syam.g_00946
OG0000002	Praa.g_01359, Praa.g_00678	Syam.g_00931
OG0000004	Praa.g_00695	Syam.g_00787
OG0000004	Praa.g_00232	Syam.g_01499, Syam.g_00501
OG0000005	Praa.g_01648	Syam.g_02004
OG0000005	Praa.g_01553	Syam.g_01970
OG0000006	Praa.g_00241, Praa.g_01245	Syam.g_00286, Syam.g_00518
OG0000007	Praa.g_00497	Syam.g_00602
OG0000007	Praa.g_01635	Syam.g_01990
OG0000008	Praa.g_01241	Syam.g_00810
OG0000009	Praa.g_00105	Syam.g_02119
OG0000010	Praa.g_01047, Praa.g_00474	Syam.g_01669
OG0000012	Praa.g_00623	Syam.g_00794, Syam.g_00994, Syam.g_01492
OG0000013	Praa.g_00327	Syam.g_00421, Syam.g_00404, Syam.g_00409
OG0000014	Praa.g_00306	Syam.g_00191
OG0000015	Praa.g_00765	Syam.g_01218, Syam.g_01362
OG0000016	Praa.g_00013	Syam.g_00014
OG0000017	Praa.g_00598	Syam.g_01715
OG0000018	Praa.g_01141, Praa.g_00831	Syam.g_01640
OG0000019	Praa.g_00249, Praa.g_00782	Syam.g_00274
OG0000022	Praa.g_00763, Praa.g_01124	Syam.g_01418
OG0000023	Praa.g_00359	Syam.g_01217, Syam.g_01553, Syam.g_01583, Syam.g_01075, Syam.g_01943
OG0000024	Praa.g_00747, Praa.g_00675	Syam.g_00815
OG0000025	Praa.g_00839, Praa.g_00331	Syam.g_00740
OG0000026	Praa.g_00031, Praa.g_01054	Syam.g_00035
OG0000027	Praa.g_00470, Praa.g_01301	Syam.g_01442, Syam.g_00989
OG0000028	Praa.g_00320, Praa.g_01248	Syam.g_00176
OG0000029	Praa.g_00374, Praa.g_00754	Syam.g_01390, Syam.g_01055
OG0000030	Praa.g_01842	Syam.g_00104, Syam.g_00103
OG0000033	Praa.g_00169	Syam.g_02217
OG0000034	Praa.g_01328	Syam.g_02185, Syam.g_01843, Syam.g_02187
OG0000035	Praa.g_01476	Syam.g_01612
OG0000037	Praa.g_00109	Syam.g_02125
OG0000038	Praa.g_01883	Syam.g_02317
OG0000039	Praa.g_00686	Syam.g_00749
OG0000041	Praa.g_01683	Syam.g_01899
OG0000042	Praa.g_01839	Syam.g_00107
OG0000043	Praa.g_01259	Syam.g_01041
OG0000045	Praa.g_00370	Syam.g_02028
OG0000047	Praa.g_00330	Syam.g_00434
OG0000048	Praa.g_00373	Syam.g_00243
OG0000052	Praa.g_01447, Praa.g_01407	Syam.g_00161
OG0000053	Praa.g_01496	Syam.g_01636
OG0000054	Praa.g_00606	Syam.g_01515
OG0000055	Praa.g_00783	Syam.g_00754
OG0000057	Praa.g_00698	Syam.g_00784
OG0000058	Praa.g_01425	Syam.g_00169
OG0000059	Praa.g_01723	Syam.g_00320
OG0000061	Praa.g_01415, Praa.g_01159	Syam.g_01795
OG0000063	Praa.g_00033	Syam.g_00039
OG0000065	Praa.g_00107	Syam.g_02121
OG0000066	Praa.g_00539	Syam.g_00552, Syam.g_00662
OG0000067	Praa.g_00803	Syam.g_01290
OG0000068	Praa.g_01366	Syam.g_00575
OG0000070	Praa.g_00449	Syam.g_01847
OG0000071	Praa.g_01318	Syam.g_01830
OG0000072	Praa.g_00171	Syam.g_02219
OG0000073	Praa.g_00499	Syam.g_00604
OG0000075	Praa.g_01808	Syam.g_00148
OG0000076	Praa.g_01832	Syam.g_00115
OG0000077	Praa.g_00078	Syam.g_02074
OG0000078	Praa.g_00239	Syam.g_00514
OG0000079	Praa.g_00252	Syam.g_00270
OG0000081	Praa.g_00531	Syam.g_00520
OG0000082	Praa.g_00585	Syam.g_01730
OG0000085	Praa.g_01628	Syam.g_01979
OG0000086	Praa.g_00088	Syam.g_02092
OG0000087	Praa.g_00139	Syam.g_02175
OG0000088	Praa.g_00166	Syam.g_02213
OG0000089	Praa.g_00355	Syam.g_00489
OG0000090	Praa.g_00533	Syam.g_00651
OG0000091	Praa.g_00642	Syam.g_01460
OG0000094	Praa.g_01020	Syam.g_01198
OG0000097	Praa.g_01200	Syam.g_00874
OG0000098	Praa.g_01348	Syam.g_00944
OG0000099	Praa.g_01394	Syam.g_00173
OG0000100	Praa.g_01551	Syam.g_01259
OG0000101	Praa.g_01775	Syam.g_00371
OG0000102	Praa.g_01837	Syam.g_00110
OG0000103	Praa.g_01916	Syam.g_02428
OG0000104	Praa.g_01924	Syam.g_02442
OG0000105	Praa.g_00274	Syam.g_00238
OG0000106	Praa.g_00369	Syam.g_01039
OG0000107	Praa.g_00383	Syam.g_00288
OG0000108	Praa.g_00480	Syam.g_00583
OG0000109	Praa.g_00494	Syam.g_00598
OG0000110	Praa.g_00575	Syam.g_01743
OG0000112	Praa.g_00766	Syam.g_01115
OG0000113	Praa.g_00826	Syam.g_01264
OG0000114	Praa.g_00907	Syam.g_01349
OG0000115	Praa.g_01101	Syam.g_01634
OG0000116	Praa.g_01150	Syam.g_01807
OG0000117	Praa.g_01255	Syam.g_00904
OG0000118	Praa.g_01330	Syam.g_01698
OG0000120	Praa.g_01387	Syam.g_00172
OG0000121	Praa.g_01478	Syam.g_01615
OG0000122	Praa.g_01516	Syam.g_01436
OG0000123	Praa.g_01782	Syam.g_00379
OG0000124	Praa.g_01848	Syam.g_00096
OG0000125	Praa.g_01885	Syam.g_02319
OG0000126	Praa.g_01923	Syam.g_02440
OG0000128	Praa.g_00011	Syam.g_00012
OG0000129	Praa.g_00044	Syam.g_02307
OG0000130	Praa.g_00069	Syam.g_02062
OG0000131	Praa.g_00145	Syam.g_02191
OG0000132	Praa.g_00164	Syam.g_02211
OG0000133	Praa.g_00322	Syam.g_01120
OG0000134	Praa.g_00356	Syam.g_00492
OG0000135	Praa.g_00381	Syam.g_02347
OG0000136	Praa.g_00440	Syam.g_01857
OG0000137	Praa.g_01414, Praa.g_00475	Syam.g_01668
OG0000138	Praa.g_00495	Syam.g_00599
OG0000139	Praa.g_00537	Syam.g_00657
OG0000140	Praa.g_00538	Syam.g_00659
OG0000141	Praa.g_00607	Syam.g_01514
OG0000142	Praa.g_00635	Syam.g_01468
