Orthogroup	Praa	Syal
OG0000000	Praa.g_01300, Praa.g_00413, Praa.g_01235, Praa.g_01598, Praa.g_01244, Praa.g_01597, Praa.g_01297, Praa.g_01298, Praa.g_01599	Syal.g_01111, Syal.g_01832
OG0000001	Praa.g_01351, Praa.g_01220, Praa.g_01222	Syal.g_02193
OG0000004	Praa.g_00695	Syal.g_01809
OG0000004	Praa.g_00232	Syal.g_02718, Syal.g_00691
OG0000005	Praa.g_01648	Syal.g_00606
OG0000005	Praa.g_01553	Syal.g_00565
OG0000006	Praa.g_00241, Praa.g_01245	Syal.g_00674
OG0000007	Praa.g_00497	Syal.g_02918
OG0000007	Praa.g_01635	Syal.g_00587
OG0000008	Praa.g_01241	Syal.g_02512
OG0000009	Praa.g_01264, Praa.g_01589	Syal.g_02089
OG0000009	Praa.g_00105	Syal.g_00818
OG0000010	Praa.g_01047, Praa.g_00474	Syal.g_00464
OG0000011	Praa.g_00396	Syal.g_00702
OG0000012	Praa.g_00623	Syal.g_02535, Syal.g_01639
OG0000013	Praa.g_00327	Syal.g_00322, Syal.g_00310, Syal.g_00315
OG0000014	Praa.g_00306	Syal.g_01305
OG0000014	Praa.g_01409	Syal.g_01393
OG0000016	Praa.g_00013	Syal.g_00111
OG0000017	Praa.g_00598	Syal.g_02752
OG0000018	Praa.g_01141, Praa.g_00831	Syal.g_00410
OG0000019	Praa.g_00249, Praa.g_00782	Syal.g_01209
OG0000022	Praa.g_00763, Praa.g_01124	Syal.g_02587
OG0000023	Praa.g_00359	Syal.g_02485, Syal.g_02858, Syal.g_01894
OG0000024	Praa.g_00747, Praa.g_00675	Syal.g_02597
OG0000025	Praa.g_00839, Praa.g_00331	Syal.g_02459
OG0000026	Praa.g_00031, Praa.g_01054	Syal.g_00132
OG0000027	Praa.g_00470, Praa.g_01301	Syal.g_02543
OG0000028	Praa.g_00320, Praa.g_01248	Syal.g_01319
OG0000029	Praa.g_00374, Praa.g_00754	Syal.g_03014
OG0000030	Praa.g_01842	Syal.g_01511, Syal.g_01512
OG0000033	Praa.g_00169	Syal.g_00912
OG0000034	Praa.g_01328	Syal.g_00881, Syal.g_01586
OG0000035	Praa.g_01476	Syal.g_00370
OG0000037	Praa.g_00109	Syal.g_00824
OG0000038	Praa.g_01883	Syal.g_01071, Syal.g_01073
OG0000039	Praa.g_00686	Syal.g_01097
OG0000040	Praa.g_01618	Syal.g_01187
OG0000041	Praa.g_01683	Syal.g_00649
OG0000042	Praa.g_01839	Syal.g_01705, Syal.g_01508
OG0000043	Praa.g_00876	Syal.g_02183
OG0000043	Praa.g_01259	Syal.g_02547
OG0000047	Praa.g_00330	Syal.g_01568
OG0000048	Praa.g_00373	Syal.g_01250
OG0000051	Praa.g_01291	Syal.g_01550
OG0000052	Praa.g_01447, Praa.g_01407	Syal.g_01338
OG0000053	Praa.g_01496	Syal.g_00406
OG0000054	Praa.g_00606	Syal.g_02739
OG0000055	Praa.g_00783	Syal.g_01845
OG0000057	Praa.g_00698	Syal.g_01812
OG0000058	Praa.g_01425	Syal.g_01326
OG0000059	Praa.g_01723	Syal.g_00225
OG0000061	Praa.g_01415, Praa.g_01159	Syal.g_01653
OG0000062	Praa.g_01555	Syal.g_02113
OG0000063	Praa.g_00033	Syal.g_00136
OG0000065	Praa.g_00107	Syal.g_00820, Syal.g_02528
OG0000066	Praa.g_00539	Syal.g_02828
OG0000067	Praa.g_00803	Syal.g_02414
OG0000068	Praa.g_01366	Syal.g_02888
OG0000070	Praa.g_00449	Syal.g_00509
OG0000071	Praa.g_01318	Syal.g_01601
OG0000072	Praa.g_00171	Syal.g_00914
OG0000073	Praa.g_00499	Syal.g_02920
OG0000075	Praa.g_01808	Syal.g_01350
OG0000076	Praa.g_01832	Syal.g_01459
OG0000077	Praa.g_00078	Syal.g_00763
OG0000078	Praa.g_00239	Syal.g_00680
OG0000079	Praa.g_00252	Syal.g_01213
OG0000080	Praa.g_01423, Praa.g_00385, Praa.g_01392, Praa.g_01390	Syal.g_01394
OG0000081	Praa.g_00531	Syal.g_02555
OG0000082	Praa.g_00585	Syal.g_02769
OG0000084	Praa.g_01472	Syal.g_00023
OG0000085	Praa.g_01628	Syal.g_00575
OG0000086	Praa.g_00088	Syal.g_00784
OG0000087	Praa.g_00139	Syal.g_00871
OG0000088	Praa.g_00166	Syal.g_00908
OG0000089	Praa.g_00355	Syal.g_00555
OG0000090	Praa.g_00533	Syal.g_02838
OG0000091	Praa.g_00642	Syal.g_02628
OG0000092	Praa.g_00912	Syal.g_00470
OG0000094	Praa.g_01020	Syal.g_01907
OG0000097	Praa.g_01200	Syal.g_01735, Syal.g_01553
OG0000098	Praa.g_01348	Syal.g_02196
OG0000099	Praa.g_01394	Syal.g_01323
OG0000100	Praa.g_01551	Syal.g_02448
OG0000101	Praa.g_01775	Syal.g_00275
OG0000102	Praa.g_01837	Syal.g_01488
OG0000103	Praa.g_01916	Syal.g_01897, Syal.g_00077
OG0000104	Praa.g_01924	Syal.g_00092
OG0000105	Praa.g_00274	Syal.g_01255
OG0000106	Praa.g_00369	Syal.g_02577
OG0000107	Praa.g_00383	Syal.g_00194
OG0000108	Praa.g_00480	Syal.g_02897
OG0000109	Praa.g_00494	Syal.g_02913
OG0000110	Praa.g_00575	Syal.g_02782
OG0000111	Praa.g_00699	Syal.g_01813
OG0000112	Praa.g_00766	Syal.g_02000
OG0000113	Praa.g_00826	Syal.g_02443
OG0000114	Praa.g_00907	Syal.g_02286
OG0000115	Praa.g_01101	Syal.g_00404
OG0000116	Praa.g_01150	Syal.g_01630
OG0000117	Praa.g_01255	Syal.g_01704
OG0000118	Praa.g_01330	Syal.g_01583
OG0000119	Praa.g_01362	Syal.g_02056
OG0000120	Praa.g_01387	Syal.g_01324
OG0000121	Praa.g_01478	Syal.g_00374
OG0000122	Praa.g_01516	Syal.g_02602
OG0000123	Praa.g_01782	Syal.g_00283
OG0000124	Praa.g_01848	Syal.g_01519
OG0000125	Praa.g_01885	Syal.g_01075
OG0000126	Praa.g_01923	Syal.g_00090
OG0000128	Praa.g_00011	Syal.g_00109
OG0000129	Praa.g_00044	Syal.g_01062
OG0000130	Praa.g_00069	Syal.g_00751
OG0000131	Praa.g_00145	Syal.g_00886
OG0000132	Praa.g_00164	Syal.g_00906
OG0000133	Praa.g_00322	Syal.g_01995
OG0000134	Praa.g_00356	Syal.g_00552
OG0000135	Praa.g_00381	Syal.g_01119
OG0000136	Praa.g_00440	Syal.g_00520
OG0000137	Praa.g_01414, Praa.g_00475	Syal.g_00463
OG0000138	Praa.g_00495	Syal.g_02914
OG0000139	Praa.g_00537	Syal.g_02832
OG0000140	Praa.g_00538	Syal.g_02830
OG0000141	Praa.g_00607	Syal.g_02738
OG0000142	Praa.g_00635	Syal.g_02636
OG0000143	Praa.g_00639	Syal.g_02632
OG0000144	Praa.g_00652	Syal.g_02515
OG0000145	Praa.g_00764	Syal.g_02921
OG0000146	Praa.g_00767	Syal.g_02001
OG0000147	Praa.g_00768	Syal.g_02002
OG0000148	Praa.g_00820	Syal.g_02437
OG0000149	Praa.g_00851	Syal.g_02475
OG0000150	Praa.g_00859	Syal.g_02737
OG0000151	Praa.g_00917	Syal.g_02263
OG0000152	Praa.g_00964	Syal.g_01991
OG0000153	Praa.g_00983	Syal.g_01958
OG0000154	Praa.g_01013	Syal.g_01918
OG0000155	Praa.g_01179	Syal.g_01695
OG0000156	Praa.g_01307	Syal.g_01620
OG0000157	Praa.g_01308	Syal.g_01619
OG0000158	Praa.g_01395	Syal.g_01431
OG0000160	Praa.g_01477	Syal.g_00372
OG0000161	Praa.g_01483	Syal.g_00384
OG0000162	Praa.g_01489	Syal.g_00396
OG0000163	Praa.g_01523	Syal.g_02971
OG0000164	Praa.g_01659	Syal.g_00623
OG0000165	Praa.g_01667	Syal.g_00632
OG0000166	Praa.g_01739	Syal.g_00236
OG0000167	Praa.g_01806	Syal.g_01347
OG0000168	Praa.g_01816	Syal.g_01433
OG0000169	Praa.g_01826	Syal.g_01447
OG0000170	Praa.g_01828	Syal.g_01454
OG0000171	Praa.g_01847	Syal.g_01518
OG0000172	Praa.g_01856	Syal.g_00174, Syal.g_00173
OG0000173	Praa.g_01871	Syal.g_00155
OG0000174	Praa.g_01898	Syal.g_01121
OG0000175	Praa.g_01908	Syal.g_01172
OG0000176	Praa.g_00004	Syal.g_00101
OG0000177	Praa.g_00005	Syal.g_00102
OG0000178	Praa.g_00006	Syal.g_00103
OG0000179	Praa.g_00016	Syal.g_00118
OG0000180	Praa.g_00017	Syal.g_00119
OG0000181	Praa.g_00018	Syal.g_00120
OG0000182	Praa.g_00019	Syal.g_00121
OG0000183	Praa.g_00023	Syal.g_00125
OG0000184	Praa.g_00046	Syal.g_01050
OG0000185	Praa.g_00049	Syal.g_01025
OG0000186	Praa.g_00064	Syal.g_02684, Syal.g_00747
OG0000187	Praa.g_00065	Syal.g_02685, Syal.g_00748
OG0000188	Praa.g_00082	Syal.g_00771
OG0000189	Praa.g_00096	Syal.g_00807
OG0000190	Praa.g_00097	Syal.g_01364
OG0000191	Praa.g_00117	Syal.g_00841
OG0000192	Praa.g_00121	Syal.g_00847
OG0000193	Praa.g_00146	Syal.g_00887
OG0000194	Praa.g_00149	Syal.g_00890
OG0000195	Praa.g_00151	Syal.g_00892
OG0000196	Praa.g_00161	Syal.g_00903
OG0000197	Praa.g_00162	Syal.g_00904
OG0000198	Praa.g_00163	Syal.g_00905
OG0000199	Praa.g_00170	Syal.g_00913
OG0000200	Praa.g_00184	Syal.g_00932
OG0000201	Praa.g_00192	Syal.g_00949
OG0000202	Praa.g_00193	Syal.g_00950
OG0000203	Praa.g_00194	Syal.g_00951
OG0000204	Praa.g_00195	Syal.g_00952
OG0000205	Praa.g_00202	Syal.g_00959
OG0000206	Praa.g_00207	Syal.g_00971
OG0000207	Praa.g_00209	Syal.g_00974
OG0000208	Praa.g_00210	Syal.g_00975
OG0000209	Praa.g_00219	Syal.g_01000
OG0000210	Praa.g_00220	Syal.g_01001
OG0000212	Praa.g_00240	Syal.g_00679
OG0000213	Praa.g_00257	Syal.g_01229
OG0000214	Praa.g_00267	Syal.g_01246
OG0000215	Praa.g_00292	Syal.g_01277
OG0000216	Praa.g_00294	Syal.g_01281
OG0000217	Praa.g_00297	Syal.g_01285
OG0000218	Praa.g_00299	Syal.g_01287
OG0000219	Praa.g_00300	Syal.g_01288
OG0000220	Praa.g_00301	Syal.g_01289
OG0000221	Praa.g_00302	Syal.g_01297
OG0000222	Praa.g_00310	Syal.g_01309
OG0000223	Praa.g_00323	Syal.g_01327
OG0000224	Praa.g_00325	Syal.g_01329
OG0000225	Praa.g_00345	Syal.g_00363
OG0000226	Praa.g_00349	Syal.g_00367
OG0000227	Praa.g_00351	Syal.g_00369
OG0000228	Praa.g_00354	Syal.g_00556
OG0000229	Praa.g_00436	Syal.g_00525
OG0000230	Praa.g_00437	Syal.g_00523
OG0000231	Praa.g_00448	Syal.g_00510
OG0000232	Praa.g_00457	Syal.g_00495
OG0000233	Praa.g_00463	Syal.g_00487
OG0000234	Praa.g_00476	Syal.g_00461
OG0000235	Praa.g_00479	Syal.g_02896
OG0000236	Praa.g_00493	Syal.g_02912
OG0000237	Praa.g_00506	Syal.g_02930
OG0000238	Praa.g_00512	Syal.g_02935
OG0000239	Praa.g_00525	Syal.g_02951
OG0000240	Praa.g_00526	Syal.g_02952
OG0000241	Praa.g_00530	Syal.g_02696
OG0000242	Praa.g_00532	Syal.g_02840
OG0000243	Praa.g_00544	Syal.g_02822
OG0000244	Praa.g_00547	Syal.g_02815
OG0000245	Praa.g_00549	Syal.g_02813
OG0000246	Praa.g_00553	Syal.g_02809
OG0000247	Praa.g_00563	Syal.g_02797
OG0000248	Praa.g_00565	Syal.g_02794
OG0000249	Praa.g_00567	Syal.g_02792
OG0000250	Praa.g_00572	Syal.g_02786
OG0000251	Praa.g_00591	Syal.g_02760
OG0000252	Praa.g_00594	Syal.g_02757
OG0000253	Praa.g_00595	Syal.g_02755
OG0000254	Praa.g_00611	Syal.g_02732
OG0000255	Praa.g_00617	Syal.g_02719
OG0000256	Praa.g_00627	Syal.g_02705
OG0000257	Praa.g_00630	Syal.g_02697
OG0000258	Praa.g_00643	Syal.g_02623
OG0000259	Praa.g_00660	Syal.g_02182
OG0000260	Praa.g_00663	Syal.g_02188
OG0000261	Praa.g_00665	Syal.g_02199
OG0000262	Praa.g_00669	Syal.g_02204
OG0000263	Praa.g_00681	Syal.g_01720
OG0000264	Praa.g_00691	Syal.g_01788
OG0000265	Praa.g_00711	Syal.g_02534
OG0000266	Praa.g_00721	Syal.g_02421
OG0000267	Praa.g_00732	Syal.g_02043
OG0000268	Praa.g_00733	Syal.g_02042
OG0000269	Praa.g_00798	Syal.g_02409
OG0000270	Praa.g_00801	Syal.g_02412
OG0000271	Praa.g_00809	Syal.g_01871
OG0000272	Praa.g_00810, Praa.g_00811	Syal.g_01872
OG0000274	Praa.g_00835	Syal.g_02455
OG0000275	Praa.g_00838	Syal.g_02458
OG0000276	Praa.g_00843	Syal.g_02467
OG0000277	Praa.g_00844	Syal.g_02468
OG0000278	Praa.g_00847	Syal.g_02471
OG0000279	Praa.g_00854	Syal.g_02479
OG0000280	Praa.g_00855	Syal.g_02493
OG0000281	Praa.g_00860	Syal.g_02190
OG0000282	Praa.g_00909	Syal.g_02284
OG0000283	Praa.g_00941	Syal.g_02028
OG0000284	Praa.g_00946	Syal.g_02023
OG0000285	Praa.g_00951	Syal.g_02012
OG0000286	Praa.g_00963	Syal.g_01992
OG0000288	Praa.g_01012	Syal.g_01919
OG0000289	Praa.g_01023	Syal.g_01904
OG0000290	Praa.g_01036	Syal.g_01826
OG0000291	Praa.g_01038	Syal.g_01824
OG0000292	Praa.g_01089	Syal.g_00089
OG0000293	Praa.g_01151	Syal.g_01631
OG0000294	Praa.g_01152	Syal.g_01632
OG0000295	Praa.g_01171	Syal.g_01687
OG0000296	Praa.g_01173	Syal.g_01689
OG0000297	Praa.g_01181	Syal.g_01702
OG0000298	Praa.g_01182	Syal.g_01703
OG0000299	Praa.g_01199	Syal.g_01732
OG0000300	Praa.g_01202	Syal.g_01738
OG0000301	Praa.g_01203	Syal.g_01739
OG0000302	Praa.g_01205	Syal.g_01740
OG0000303	Praa.g_01212	Syal.g_01763
OG0000304	Praa.g_01216	Syal.g_01756
OG0000305	Praa.g_01358	Syal.g_01821
OG0000306	Praa.g_01361	Syal.g_02579
OG0000307	Praa.g_01375	Syal.g_02880
OG0000308	Praa.g_01376	Syal.g_02878
OG0000309	Praa.g_01380	Syal.g_02873
OG0000310	Praa.g_01461	Syal.g_01537
OG0000311	Praa.g_01463	Syal.g_00061
OG0000312	Praa.g_01466	Syal.g_00031
OG0000313	Praa.g_01480	Syal.g_00381
OG0000314	Praa.g_01503	Syal.g_00416
OG0000315	Praa.g_01513	Syal.g_00426
OG0000316	Praa.g_01533	Syal.g_02987
OG0000317	Praa.g_01633	Syal.g_00583
OG0000318	Praa.g_01636	Syal.g_00588
OG0000319	Praa.g_01649	Syal.g_00608
OG0000320	Praa.g_01651	Syal.g_00610
OG0000321	Praa.g_01652	Syal.g_00611
OG0000322	Praa.g_01653	Syal.g_00612
OG0000323	Praa.g_01662	Syal.g_00626
OG0000324	Praa.g_01690	Syal.g_00656
