Orthogroup	Praa	Syap
OG0000004	Praa.g_00232	Syap.g_01987
OG0000005	Praa.g_01648	Syap.g_01773
OG0000005	Praa.g_01553	Syap.g_01218
OG0000007	Praa.g_00497	Syap.g_00275
OG0000007	Praa.g_01635	Syap.g_00621
OG0000009	Praa.g_00105	Syap.g_02081
OG0000010	Praa.g_01047, Praa.g_00474	Syap.g_02757
OG0000013	Praa.g_00327	Syap.g_01397, Syap.g_00586, Syap.g_00580, Syap.g_00583, Syap.g_00972
OG0000014	Praa.g_00306	Syap.g_01675
OG0000014	Praa.g_01409	Syap.g_00813
OG0000016	Praa.g_00013	Syap.g_00071
OG0000017	Praa.g_00598	Syap.g_00449
OG0000018	Praa.g_01141, Praa.g_00831	Syap.g_02010
OG0000019	Praa.g_00249, Praa.g_00782	Syap.g_01586
OG0000025	Praa.g_00839, Praa.g_00331	Syap.g_01846
OG0000027	Praa.g_00470, Praa.g_01301	Syap.g_01440
OG0000028	Praa.g_00320, Praa.g_01248	Syap.g_01658
OG0000030	Praa.g_01842	Syap.g_00787, Syap.g_00788
OG0000033	Praa.g_01437, Praa.g_00169	Syap.g_01198
OG0000034	Praa.g_01328	Syap.g_02193, Syap.g_02614, Syap.g_02280
OG0000035	Praa.g_01476	Syap.g_02465
OG0000037	Praa.g_00109	Syap.g_02492
OG0000038	Praa.g_01883	Syap.g_00139
OG0000039	Praa.g_00686	Syap.g_01749, Syap.g_01748
OG0000042	Praa.g_01839	Syap.g_01891, Syap.g_01120
OG0000043	Praa.g_00876, Praa.g_01259	Syap.g_01998
OG0000045	Praa.g_00370	Syap.g_02525
OG0000048	Praa.g_00373	Syap.g_02340
OG0000051	Praa.g_01291	Syap.g_01574
OG0000053	Praa.g_01496	Syap.g_02006
OG0000054	Praa.g_00606	Syap.g_00678
OG0000059	Praa.g_01723	Syap.g_01082, Syap.g_02478
OG0000061	Praa.g_01415, Praa.g_01159	Syap.g_00228
OG0000062	Praa.g_01555	Syap.g_01365
OG0000063	Praa.g_00033	Syap.g_01796
OG0000066	Praa.g_00539	Syap.g_01972
OG0000067	Praa.g_00803	Syap.g_00194
OG0000068	Praa.g_01366	Syap.g_00108, Syap.g_00144
OG0000070	Praa.g_00449	Syap.g_00930, Syap.g_00931, Syap.g_00966, Syap.g_00802, Syap.g_00915, Syap.g_00953
OG0000072	Praa.g_00171	Syap.g_00555
OG0000073	Praa.g_00499	Syap.g_00273, Syap.g_01020
OG0000075	Praa.g_01808	Syap.g_01064, Syap.g_00664
OG0000076	Praa.g_01832	Syap.g_01111
OG0000079	Praa.g_00252	Syap.g_01589
OG0000085	Praa.g_01628	Syap.g_00611
OG0000087	Praa.g_00139	Syap.g_02617, Syap.g_02202, Syap.g_02203
OG0000088	Praa.g_00166	Syap.g_01202
OG0000089	Praa.g_00355	Syap.g_00115, Syap.g_02042
OG0000090	Praa.g_00533	Syap.g_01451
OG0000091	Praa.g_00642	Syap.g_01861
OG0000094	Praa.g_01020	Syap.g_02781
OG0000095	Praa.g_01039	Syap.g_01556
OG0000098	Praa.g_01348	Syap.g_01975
OG0000099	Praa.g_01394	Syap.g_01385
OG0000101	Praa.g_01775	Syap.g_00472
OG0000102	Praa.g_01837	Syap.g_01116
OG0000103	Praa.g_01916	Syap.g_02607, Syap.g_02608
OG0000104	Praa.g_01924	Syap.g_02321, Syap.g_00051, Syap.g_02320, Syap.g_02318
OG0000105	Praa.g_00274	Syap.g_01369, Syap.g_01368
OG0000107	Praa.g_00383	Syap.g_02496
OG0000108	Praa.g_00480	Syap.g_00733, Syap.g_02255
OG0000109	Praa.g_00494	Syap.g_00279, Syap.g_02237
OG0000110	Praa.g_00575	Syap.g_01313
OG0000111	Praa.g_00699	Syap.g_01566, Syap.g_01568
OG0000112	Praa.g_00766	Syap.g_02023
OG0000113	Praa.g_00826	Syap.g_02714
OG0000114	Praa.g_00907	Syap.g_01255
OG0000115	Praa.g_01101	Syap.g_02004
OG0000116	Praa.g_01150	Syap.g_00241
OG0000117	Praa.g_01255	Syap.g_01889
OG0000118	Praa.g_01330	Syap.g_02286
OG0000120	Praa.g_01387	Syap.g_02075
OG0000121	Praa.g_01478	Syap.g_02471
OG0000123	Praa.g_01782	Syap.g_00100, Syap.g_00099, Syap.g_00098, Syap.g_00464
OG0000124	Praa.g_01848	Syap.g_02456, Syap.g_02457, Syap.g_01130
OG0000125	Praa.g_01885	Syap.g_01046, Syap.g_01047
OG0000126	Praa.g_01923	Syap.g_02317, Syap.g_02576, Syap.g_02316
OG0000128	Praa.g_00011	Syap.g_00069
OG0000129	Praa.g_00044	Syap.g_00130, Syap.g_00129
OG0000130	Praa.g_00069	Syap.g_01688, Syap.g_01689
OG0000131	Praa.g_00145	Syap.g_02189
OG0000132	Praa.g_00164	Syap.g_01205
OG0000133	Praa.g_00322	Syap.g_02017
OG0000134	Praa.g_00356	Syap.g_02047
OG0000135	Praa.g_00381	Syap.g_02090
OG0000136	Praa.g_00440	Syap.g_00089
OG0000137	Praa.g_01414, Praa.g_00475	Syap.g_02756
OG0000138	Praa.g_00495	Syap.g_00278
OG0000139	Praa.g_00537	Syap.g_00410
OG0000140	Praa.g_00538	Syap.g_01976
OG0000141	Praa.g_00607	Syap.g_01541, Syap.g_01542, Syap.g_01544
OG0000142	Praa.g_00635	Syap.g_00895, Syap.g_00894
OG0000143	Praa.g_00639	Syap.g_00900, Syap.g_00899, Syap.g_00901
OG0000144	Praa.g_00652	Syap.g_02504, Syap.g_02503, Syap.g_02502, Syap.g_02772
OG0000145	Praa.g_00764	Syap.g_01860, Syap.g_01859
OG0000146	Praa.g_00767	Syap.g_02024
OG0000147	Praa.g_00768	Syap.g_02025
OG0000148	Praa.g_00820	Syap.g_02720
OG0000149	Praa.g_00851	Syap.g_00824
OG0000150	Praa.g_00859	Syap.g_01540
OG0000151	Praa.g_00917	Syap.g_00142
OG0000152	Praa.g_00964	Syap.g_02012
OG0000153	Praa.g_00983	Syap.g_02682
OG0000154	Praa.g_01013	Syap.g_02761, Syap.g_02760, Syap.g_01876
OG0000155	Praa.g_01179	Syap.g_02777, Syap.g_01878, Syap.g_01879
OG0000156	Praa.g_01307	Syap.g_00248, Syap.g_00284, Syap.g_00283
OG0000157	Praa.g_01308	Syap.g_00249, Syap.g_00286
OG0000158	Praa.g_01395	Syap.g_01075
OG0000159	Praa.g_01396	Syap.g_00852
OG0000160	Praa.g_01477	Syap.g_02470, Syap.g_02469
OG0000161	Praa.g_01483	Syap.g_02476
OG0000162	Praa.g_01489	Syap.g_02531
OG0000164	Praa.g_01659	Syap.g_01391, Syap.g_01392
OG0000165	Praa.g_01667	Syap.g_01381, Syap.g_01382
OG0000166	Praa.g_01739	Syap.g_00512, Syap.g_01238
OG0000167	Praa.g_01806	Syap.g_02080
OG0000168	Praa.g_01816	Syap.g_01076
OG0000169	Praa.g_01826	Syap.g_01049, Syap.g_01093
OG0000170	Praa.g_01828	Syap.g_01467, Syap.g_01106, Syap.g_01468
OG0000171	Praa.g_01847	Syap.g_01128, Syap.g_02454, Syap.g_02453
OG0000172	Praa.g_01856	Syap.g_01143, Syap.g_00635
OG0000173	Praa.g_01871	Syap.g_00982, Syap.g_00983
OG0000174	Praa.g_01898	Syap.g_02092
OG0000175	Praa.g_01908	Syap.g_02654
OG0000176	Praa.g_00004	Syap.g_00059
OG0000177	Praa.g_00005	Syap.g_00061, Syap.g_00060
OG0000178	Praa.g_00006	Syap.g_00062
OG0000179	Praa.g_00016	Syap.g_00077, Syap.g_02638
OG0000180	Praa.g_00017	Syap.g_00078, Syap.g_02640
OG0000181	Praa.g_00018	Syap.g_00079, Syap.g_02641
OG0000182	Praa.g_00019	Syap.g_00080, Syap.g_02642
OG0000183	Praa.g_00023	Syap.g_00084
OG0000184	Praa.g_00046	Syap.g_01337
OG0000185	Praa.g_00049	Syap.g_01322
OG0000186	Praa.g_00064	Syap.g_01684
OG0000187	Praa.g_00065	Syap.g_01686
OG0000188	Praa.g_00082	Syap.g_02547
OG0000191	Praa.g_00117	Syap.g_02233
OG0000192	Praa.g_00121	Syap.g_02224
OG0000193	Praa.g_00146	Syap.g_02187, Syap.g_02188
OG0000194	Praa.g_00149	Syap.g_02183
OG0000195	Praa.g_00151	Syap.g_02180
OG0000196	Praa.g_00161	Syap.g_01208, Syap.g_02167
OG0000197	Praa.g_00162	Syap.g_01207, Syap.g_02166
OG0000198	Praa.g_00163	Syap.g_01206
OG0000199	Praa.g_00170	Syap.g_01197
OG0000200	Praa.g_00184	Syap.g_01181
OG0000201	Praa.g_00192	Syap.g_02265
