Orthogroup	Praa	Syac
OG0000001	Praa.g_01351, Praa.g_01220, Praa.g_01222	Syac.g_02154
OG0000002	Praa.g_01359, Praa.g_00678	Syac.g_01084
OG0000004	Praa.g_00695	Syac.g_00898
OG0000004	Praa.g_00232	Syac.g_00948, Syac.g_01975
OG0000005	Praa.g_01648	Syac.g_00527
OG0000005	Praa.g_01553	Syac.g_00569
OG0000006	Praa.g_00241, Praa.g_01245	Syac.g_01958, Syac.g_01961, Syac.g_02194
OG0000007	Praa.g_00497	Syac.g_01885
OG0000007	Praa.g_01635	Syac.g_00544
OG0000008	Praa.g_01241	Syac.g_00921
OG0000009	Praa.g_00105	Syac.g_01004, Syac.g_00398
OG0000010	Praa.g_01047, Praa.g_00474	Syac.g_01701
OG0000012	Praa.g_00623	Syac.g_00758, Syac.g_01577, Syac.g_00955
OG0000013	Praa.g_00327	Syac.g_02046, Syac.g_02062, Syac.g_02056
OG0000014	Praa.g_00306	Syac.g_00253
OG0000014	Praa.g_01409	Syac.g_00100
OG0000015	Praa.g_00765	Syac.g_01408
OG0000016	Praa.g_00013	Syac.g_00014
OG0000017	Praa.g_00598	Syac.g_01749
OG0000018	Praa.g_01141, Praa.g_00831	Syac.g_01660
OG0000019	Praa.g_00249, Praa.g_00782	Syac.g_02207
OG0000022	Praa.g_00763, Praa.g_01124	Syac.g_01031
OG0000023	Praa.g_00359	Syac.g_00760
OG0000024	Praa.g_00747, Praa.g_00675	Syac.g_00925
OG0000025	Praa.g_00839, Praa.g_00331	Syac.g_00847
OG0000026	Praa.g_00031, Praa.g_01054	Syac.g_00034
OG0000027	Praa.g_00470, Praa.g_01301	Syac.g_01095
OG0000028	Praa.g_00320, Praa.g_01248	Syac.g_00237
OG0000029	Praa.g_00374, Praa.g_00754	Syac.g_01942
OG0000030	Praa.g_01842	Syac.g_00143, Syac.g_00142
OG0000033	Praa.g_00169	Syac.g_00304
OG0000034	Praa.g_01328	Syac.g_00334, Syac.g_00715
OG0000035	Praa.g_01476	Syac.g_01630
OG0000037	Praa.g_00109	Syac.g_01077
OG0000038	Praa.g_01883	Syac.g_02357, Syac.g_02358
OG0000039	Praa.g_00686	Syac.g_00856, Syac.g_02378
OG0000040	Praa.g_01618	Syac.g_01006
OG0000041	Praa.g_01683	Syac.g_00655
OG0000042	Praa.g_01839	Syac.g_00146
OG0000043	Praa.g_01259	Syac.g_01100
OG0000045	Praa.g_00370	Syac.g_01040
OG0000047	Praa.g_00330	Syac.g_02031
OG0000048	Praa.g_00373	Syac.g_02240
OG0000051	Praa.g_01291	Syac.g_01073
OG0000052	Praa.g_01447, Praa.g_01407	Syac.g_00207
OG0000053	Praa.g_01496	Syac.g_01657
OG0000054	Praa.g_00606	Syac.g_00933
OG0000055	Praa.g_00783	Syac.g_00859
OG0000057	Praa.g_00698	Syac.g_00894
OG0000058	Praa.g_01425	Syac.g_00226
OG0000059	Praa.g_01723	Syac.g_02142
OG0000061	Praa.g_01415, Praa.g_01159	Syac.g_00769
OG0000063	Praa.g_00033	Syac.g_00037
OG0000065	Praa.g_00107	Syac.g_00490, Syac.g_00396
OG0000066	Praa.g_00539	Syac.g_01827
OG0000067	Praa.g_00803	Syac.g_01341
OG0000068	Praa.g_01366	Syac.g_01916
OG0000069	Praa.g_01590	Syac.g_01272
OG0000070	Praa.g_00449	Syac.g_00711
OG0000071	Praa.g_01318	Syac.g_00729
OG0000072	Praa.g_00171	Syac.g_00302
OG0000073	Praa.g_00499	Syac.g_01883
OG0000075	Praa.g_01808	Syac.g_00191
OG0000076	Praa.g_01832	Syac.g_00156
OG0000077	Praa.g_00078	Syac.g_00439
OG0000079	Praa.g_00252	Syac.g_02211
OG0000081	Praa.g_00531	Syac.g_01954
OG0000082	Praa.g_00585	Syac.g_01766
OG0000084	Praa.g_01472	Syac.g_01627
OG0000085	Praa.g_01628	Syac.g_00560
OG0000086	Praa.g_00088	Syac.g_00423
OG0000087	Praa.g_00139	Syac.g_00343
OG0000088	Praa.g_00166	Syac.g_00308
OG0000089	Praa.g_00355	Syac.g_01988, Syac.g_01543
OG0000090	Praa.g_00533	Syac.g_01836
OG0000091	Praa.g_00642	Syac.g_00987
OG0000094	Praa.g_01020	Syac.g_01251
OG0000097	Praa.g_01200	Syac.g_01507
OG0000098	Praa.g_01348	Syac.g_02157
OG0000099	Praa.g_01394	Syac.g_00234
OG0000100	Praa.g_01551	Syac.g_01309
OG0000101	Praa.g_01775	Syac.g_02094
OG0000102	Praa.g_01837	Syac.g_00151
OG0000103	Praa.g_01916	Syac.g_02476
OG0000104	Praa.g_01924	Syac.g_02490
OG0000105	Praa.g_00274	Syac.g_02245
OG0000106	Praa.g_00369	Syac.g_01098
OG0000107	Praa.g_00383	Syac.g_02191
OG0000108	Praa.g_00480	Syac.g_01904
OG0000109	Praa.g_00494	Syac.g_01889
OG0000110	Praa.g_00575	Syac.g_01778
OG0000112	Praa.g_00766	Syac.g_01173
OG0000113	Praa.g_00826	Syac.g_01314
OG0000114	Praa.g_00907	Syac.g_01394
OG0000115	Praa.g_01101	Syac.g_01655
OG0000116	Praa.g_01150	Syac.g_00753
OG0000117	Praa.g_01255	Syac.g_01477
OG0000118	Praa.g_01330	Syac.g_01728
OG0000120	Praa.g_01387	Syac.g_00233
OG0000121	Praa.g_01478	Syac.g_01635
OG0000122	Praa.g_01516	Syac.g_01013
OG0000123	Praa.g_01782	Syac.g_02086
OG0000124	Praa.g_01848	Syac.g_00135
OG0000125	Praa.g_01885	Syac.g_02360
OG0000126	Praa.g_01923	Syac.g_02488
OG0000128	Praa.g_00011	Syac.g_00012
OG0000129	Praa.g_00044	Syac.g_02349
OG0000130	Praa.g_00069	Syac.g_00450
OG0000131	Praa.g_00145	Syac.g_00330
OG0000132	Praa.g_00164	Syac.g_00310
OG0000133	Praa.g_00322	Syac.g_01178
OG0000134	Praa.g_00356	Syac.g_01985
OG0000135	Praa.g_00381	Syac.g_02398
OG0000136	Praa.g_00440	Syac.g_00701
OG0000137	Praa.g_01414, Praa.g_00475	Syac.g_01700
OG0000138	Praa.g_00495	Syac.g_01888
OG0000139	Praa.g_00537	Syac.g_01830
OG0000140	Praa.g_00538	Syac.g_01829
OG0000141	Praa.g_00607	Syac.g_00934
OG0000142	Praa.g_00635	Syac.g_00979
OG0000143	Praa.g_00639	Syac.g_00983
OG0000144	Praa.g_00652	Syac.g_01090
OG0000145	Praa.g_00764	Syac.g_01882
OG0000146	Praa.g_00767	Syac.g_01172
OG0000147	Praa.g_00768	Syac.g_01171
OG0000148	Praa.g_00820	Syac.g_01320
OG0000149	Praa.g_00851	Syac.g_00832
OG0000150	Praa.g_00859	Syac.g_00935
OG0000151	Praa.g_00917	Syac.g_01383
OG0000152	Praa.g_00964	Syac.g_01182
OG0000153	Praa.g_00983	Syac.g_01217
OG0000154	Praa.g_01013	Syac.g_01241
OG0000155	Praa.g_01179	Syac.g_00804
OG0000156	Praa.g_01307	Syac.g_00743
OG0000157	Praa.g_01308	Syac.g_00742
OG0000158	Praa.g_01395	Syac.g_00182
OG0000160	Praa.g_01477	Syac.g_01633
OG0000161	Praa.g_01483	Syac.g_01641
OG0000162	Praa.g_01489	Syac.g_01648
OG0000163	Praa.g_01523	Syac.g_00619
OG0000164	Praa.g_01659	Syac.g_00508
OG0000165	Praa.g_01667	Syac.g_00674
OG0000166	Praa.g_01739	Syac.g_02132
OG0000167	Praa.g_01806	Syac.g_00194
OG0000168	Praa.g_01816	Syac.g_00179
OG0000169	Praa.g_01826	Syac.g_00168
OG0000170	Praa.g_01828	Syac.g_00161
OG0000171	Praa.g_01847	Syac.g_00136
OG0000172	Praa.g_01856	Syac.g_00084
OG0000173	Praa.g_01871	Syac.g_00057
OG0000174	Praa.g_01898	Syac.g_02401
OG0000175	Praa.g_01908	Syac.g_02465
OG0000176	Praa.g_00004	Syac.g_00004
OG0000177	Praa.g_00005	Syac.g_00005
OG0000178	Praa.g_00006	Syac.g_00006
OG0000179	Praa.g_00016	Syac.g_00019
OG0000180	Praa.g_00017	Syac.g_00020
OG0000181	Praa.g_00018	Syac.g_00021
OG0000182	Praa.g_00019	Syac.g_00022
OG0000183	Praa.g_00023	Syac.g_00026
OG0000184	Praa.g_00046	Syac.g_02339
OG0000185	Praa.g_00049	Syac.g_02336
OG0000186	Praa.g_00064	Syac.g_00454
OG0000187	Praa.g_00065	Syac.g_00453
OG0000188	Praa.g_00082	Syac.g_00433
OG0000189	Praa.g_00096	Syac.g_00408
OG0000190	Praa.g_00097	Syac.g_00406
OG0000191	Praa.g_00117	Syac.g_00373
OG0000192	Praa.g_00121	Syac.g_00368
OG0000193	Praa.g_00146	Syac.g_00329
OG0000194	Praa.g_00149	Syac.g_00326
OG0000195	Praa.g_00151	Syac.g_00324
OG0000196	Praa.g_00161	Syac.g_00313
OG0000197	Praa.g_00162	Syac.g_00312
OG0000198	Praa.g_00163	Syac.g_00311
OG0000199	Praa.g_00170	Syac.g_00303
OG0000200	Praa.g_00184	Syac.g_02261
OG0000202	Praa.g_00193	Syac.g_02279
OG0000203	Praa.g_00194	Syac.g_02280
OG0000204	Praa.g_00195	Syac.g_02281
OG0000205	Praa.g_00202	Syac.g_02288
OG0000206	Praa.g_00207	Syac.g_02297
OG0000207	Praa.g_00209	Syac.g_02300
OG0000208	Praa.g_00210	Syac.g_02301
OG0000209	Praa.g_00219	Syac.g_02316
OG0000210	Praa.g_00220	Syac.g_02317
OG0000212	Praa.g_00240	Syac.g_01963
OG0000213	Praa.g_00257	Syac.g_02219
OG0000214	Praa.g_00267	Syac.g_02236
OG0000215	Praa.g_00292	Syac.g_00281
OG0000216	Praa.g_00294	Syac.g_00277
OG0000217	Praa.g_00297	Syac.g_00273
OG0000218	Praa.g_00299	Syac.g_00271
OG0000219	Praa.g_00300	Syac.g_00270
OG0000220	Praa.g_00301	Syac.g_00269
OG0000221	Praa.g_00302	Syac.g_00261
OG0000222	Praa.g_00310	Syac.g_00247
OG0000223	Praa.g_00323	Syac.g_00225
OG0000224	Praa.g_00325	Syac.g_00217
OG0000225	Praa.g_00345	Syac.g_02004
OG0000226	Praa.g_00349	Syac.g_02000
OG0000227	Praa.g_00351	Syac.g_01998
OG0000228	Praa.g_00354	Syac.g_01989
OG0000229	Praa.g_00436	Syac.g_00692
OG0000230	Praa.g_00437	Syac.g_00694
OG0000231	Praa.g_00448	Syac.g_00710
OG0000232	Praa.g_00457	Syac.g_01717
OG0000233	Praa.g_00463	Syac.g_01713
OG0000234	Praa.g_00476	Syac.g_01699
OG0000235	Praa.g_00479	Syac.g_01905
OG0000236	Praa.g_00493	Syac.g_01890
OG0000237	Praa.g_00506	Syac.g_01873
OG0000238	Praa.g_00512	Syac.g_01868
OG0000239	Praa.g_00525	Syac.g_01852
OG0000240	Praa.g_00526	Syac.g_01851
OG0000241	Praa.g_00530	Syac.g_00970
OG0000242	Praa.g_00532	Syac.g_01839
OG0000243	Praa.g_00544	Syac.g_01821
OG0000244	Praa.g_00547	Syac.g_01814
OG0000245	Praa.g_00549	Syac.g_01811
OG0000246	Praa.g_00553	Syac.g_01807
OG0000247	Praa.g_00563	Syac.g_01795
OG0000248	Praa.g_00565	Syac.g_01792
OG0000249	Praa.g_00567	Syac.g_01790
OG0000250	Praa.g_00572	Syac.g_01782
OG0000251	Praa.g_00591	Syac.g_01757
OG0000252	Praa.g_00594	Syac.g_01753
OG0000253	Praa.g_00595	Syac.g_01752
OG0000254	Praa.g_00611	Syac.g_00939
OG0000255	Praa.g_00617	Syac.g_00947
OG0000256	Praa.g_00627	Syac.g_00963
OG0000257	Praa.g_00630	Syac.g_00969
OG0000258	Praa.g_00643	Syac.g_00988
OG0000259	Praa.g_00660	Syac.g_01425
OG0000260	Praa.g_00663	Syac.g_01422
OG0000261	Praa.g_00665	Syac.g_01418
OG0000262	Praa.g_00669	Syac.g_01413
