Orthogroup	Praa	Syab
OG0000000	Praa.g_01300, Praa.g_00413, Praa.g_01235, Praa.g_01598, Praa.g_01244, Praa.g_01597, Praa.g_01297, Praa.g_01298, Praa.g_01599	Syab.g_01226
OG0000001	Praa.g_01351, Praa.g_01220, Praa.g_01222	Syab.g_01549
OG0000002	Praa.g_01359, Praa.g_00678	Syab.g_02285
OG0000004	Praa.g_00695	Syab.g_00549, Syab.g_01193
OG0000004	Praa.g_00232	Syab.g_01911, Syab.g_02377
OG0000005	Praa.g_01648	Syab.g_02289
OG0000005	Praa.g_01553	Syab.g_02806, Syab.g_02232
OG0000006	Praa.g_00241, Praa.g_01245	Syab.g_00365, Syab.g_01847, Syab.g_02361
OG0000007	Praa.g_00497	Syab.g_02117
OG0000007	Praa.g_01635	Syab.g_02256
OG0000008	Praa.g_01241	Syab.g_01755
OG0000009	Praa.g_01264, Praa.g_01589	Syab.g_00995
OG0000009	Praa.g_00105	Syab.g_02498
OG0000010	Praa.g_01047, Praa.g_00474	Syab.g_00696
OG0000011	Praa.g_01626	Syab.g_01491
OG0000012	Praa.g_00623	Syab.g_01774, Syab.g_00953
OG0000013	Praa.g_00327	Syab.g_00497, Syab.g_00482, Syab.g_00487
OG0000014	Praa.g_00306	Syab.g_00249
OG0000014	Praa.g_01409	Syab.g_00178
OG0000016	Praa.g_00013	Syab.g_00014
OG0000017	Praa.g_00598	Syab.g_01953
OG0000018	Praa.g_01141, Praa.g_00831	Syab.g_00742
OG0000019	Praa.g_00249, Praa.g_00782	Syab.g_00344
OG0000020	Praa.g_01107	Syab.g_02230
OG0000022	Praa.g_00763, Praa.g_01124	Syab.g_01825
OG0000023	Praa.g_00359	Syab.g_00708, Syab.g_02058, Syab.g_01294
OG0000024	Praa.g_00747, Praa.g_00675	Syab.g_01834
OG0000025	Praa.g_00839, Praa.g_00331	Syab.g_01705
OG0000026	Praa.g_00031, Praa.g_01054	Syab.g_00036
OG0000027	Praa.g_00470, Praa.g_01301	Syab.g_01782
OG0000028	Praa.g_00320, Praa.g_01248	Syab.g_00234
OG0000030	Praa.g_01842	Syab.g_00096, Syab.g_00095
OG0000033	Praa.g_00169	Syab.g_02590
OG0000034	Praa.g_01328	Syab.g_00900, Syab.g_02560
OG0000035	Praa.g_01476	Syab.g_00776
OG0000037	Praa.g_00109	Syab.g_02504
OG0000038	Praa.g_01883	Syab.g_02759, Syab.g_02761
OG0000039	Praa.g_00686	Syab.g_02791
OG0000041	Praa.g_01683	Syab.g_02333
OG0000042	Praa.g_01839	Syab.g_01019, Syab.g_00099
OG0000043	Praa.g_00876	Syab.g_01539
OG0000043	Praa.g_01259	Syab.g_01785
OG0000045	Praa.g_00370	Syab.g_01787
OG0000047	Praa.g_00330	Syab.g_00876
OG0000048	Praa.g_00373	Syab.g_00308
OG0000051	Praa.g_01291	Syab.g_01073
OG0000052	Praa.g_01447, Praa.g_01407	Syab.g_00214
OG0000053	Praa.g_01496	Syab.g_00746
OG0000054	Praa.g_00606	Syab.g_01932
OG0000055	Praa.g_00783	Syab.g_01255
OG0000057	Praa.g_00698	Syab.g_01200
OG0000058	Praa.g_01425	Syab.g_00227
OG0000059	Praa.g_01723	Syab.g_00397
OG0000061	Praa.g_01415, Praa.g_01159	Syab.g_00969
OG0000063	Praa.g_00033	Syab.g_00040
OG0000065	Praa.g_00107	Syab.g_02500, Syab.g_01768
OG0000066	Praa.g_00539	Syab.g_02031
OG0000067	Praa.g_00803	Syab.g_01659
OG0000068	Praa.g_01366	Syab.g_02087
OG0000070	Praa.g_00449	Syab.g_00614
OG0000071	Praa.g_01318	Syab.g_00915
OG0000072	Praa.g_00171	Syab.g_02593
OG0000073	Praa.g_00499	Syab.g_02119
OG0000075	Praa.g_01808	Syab.g_00202
OG0000076	Praa.g_01832	Syab.g_00113
OG0000077	Praa.g_00078	Syab.g_02446
OG0000078	Praa.g_00239	Syab.g_02366
OG0000079	Praa.g_00252	Syab.g_00340
OG0000081	Praa.g_00531	Syab.g_01793
OG0000082	Praa.g_00585	Syab.g_01971
OG0000084	Praa.g_01472	Syab.g_00781
OG0000085	Praa.g_01628	Syab.g_02243
OG0000086	Praa.g_00088	Syab.g_02468
OG0000087	Praa.g_00139	Syab.g_02551
OG0000088	Praa.g_00166	Syab.g_02586
OG0000089	Praa.g_00355	Syab.g_00551
OG0000090	Praa.g_00533	Syab.g_02041
OG0000091	Praa.g_00642	Syab.g_01866
OG0000092	Praa.g_00912	Syab.g_01242, Syab.g_00690
OG0000094	Praa.g_01020	Syab.g_01306
OG0000097	Praa.g_01200	Syab.g_01051
OG0000098	Praa.g_01348	Syab.g_01553
OG0000099	Praa.g_01394	Syab.g_00230
OG0000100	Praa.g_01551	Syab.g_01694
OG0000101	Praa.g_01775	Syab.g_00446
OG0000102	Praa.g_01837	Syab.g_00104
OG0000103	Praa.g_01916	Syab.g_01296, Syab.g_02895
OG0000104	Praa.g_01924	Syab.g_02910
OG0000105	Praa.g_00274	Syab.g_00303
OG0000106	Praa.g_00369	Syab.g_01817
OG0000108	Praa.g_00480	Syab.g_02096
OG0000109	Praa.g_00494	Syab.g_02112
OG0000110	Praa.g_00575	Syab.g_01984
OG0000111	Praa.g_00699	Syab.g_01201
OG0000112	Praa.g_00766	Syab.g_01392
OG0000113	Praa.g_00826	Syab.g_01689
OG0000114	Praa.g_00907	Syab.g_01633
OG0000115	Praa.g_01101	Syab.g_00748
OG0000116	Praa.g_01150	Syab.g_00945
OG0000117	Praa.g_01255	Syab.g_01018
OG0000118	Praa.g_01330	Syab.g_00897
OG0000120	Praa.g_01387	Syab.g_00229
OG0000121	Praa.g_01478	Syab.g_00772
OG0000122	Praa.g_01516	Syab.g_01839
OG0000123	Praa.g_01782	Syab.g_00454
OG0000124	Praa.g_01848	Syab.g_00088
OG0000125	Praa.g_01885	Syab.g_02763
OG0000126	Praa.g_01923	Syab.g_02908
OG0000128	Praa.g_00011	Syab.g_00012
OG0000129	Praa.g_00044	Syab.g_02749
OG0000130	Praa.g_00069	Syab.g_02434
OG0000131	Praa.g_00145	Syab.g_02564
OG0000132	Praa.g_00164	Syab.g_02584
OG0000133	Praa.g_00322	Syab.g_01387
OG0000134	Praa.g_00356	Syab.g_00554
OG0000135	Praa.g_00381	Syab.g_02815
OG0000136	Praa.g_00440	Syab.g_00588
OG0000137	Praa.g_01414, Praa.g_00475	Syab.g_00697
OG0000138	Praa.g_00495	Syab.g_02113
OG0000139	Praa.g_00537	Syab.g_02035
OG0000140	Praa.g_00538	Syab.g_02033
OG0000141	Praa.g_00607	Syab.g_01931
OG0000142	Praa.g_00635	Syab.g_01873
OG0000143	Praa.g_00639	Syab.g_01870
OG0000144	Praa.g_00652	Syab.g_01757
OG0000145	Praa.g_00764	Syab.g_02120
OG0000146	Praa.g_00767	Syab.g_01393
OG0000147	Praa.g_00768	Syab.g_01394
OG0000148	Praa.g_00820	Syab.g_01682
OG0000149	Praa.g_00851	Syab.g_01720
