Orthogroup	Praa	Syai
OG0000001	Praa.g_01351, Praa.g_01220, Praa.g_01222	Syai.g_01716
OG0000002	Praa.g_01359, Praa.g_00678	Syai.g_01728
OG0000004	Praa.g_00695	Syai.g_01994
OG0000004	Praa.g_00232	Syai.g_01062, Syai.g_00530
OG0000005	Praa.g_01648	Syai.g_02393
OG0000005	Praa.g_01553	Syai.g_02356
OG0000006	Praa.g_00241, Praa.g_01245	Syai.g_00317, Syai.g_00547
OG0000007	Praa.g_00497	Syai.g_00657
OG0000007	Praa.g_01635	Syai.g_02378
OG0000008	Praa.g_01241	Syai.g_01956
OG0000009	Praa.g_01264, Praa.g_01589	Syai.g_01626
OG0000009	Praa.g_00105	Syai.g_02541
OG0000010	Praa.g_01047, Praa.g_00474	Syai.g_00864
OG0000011	Praa.g_01288	Syai.g_01894, Syai.g_00582
OG0000012	Praa.g_00623	Syai.g_01987, Syai.g_01529, Syai.g_01650, Syai.g_01068
OG0000013	Praa.g_00327	Syai.g_00450, Syai.g_00436, Syai.g_00442
OG0000014	Praa.g_00306	Syai.g_00220
OG0000015	Praa.g_00765	Syai.g_01246, Syai.g_01245
OG0000016	Praa.g_00013	Syai.g_00014
OG0000017	Praa.g_00598	Syai.g_00801
OG0000018	Praa.g_01141, Praa.g_00831	Syai.g_00915
OG0000019	Praa.g_00249, Praa.g_00782	Syai.g_00304
OG0000020	Praa.g_01107	Syai.g_00476
OG0000022	Praa.g_00763, Praa.g_01124	Syai.g_01159
OG0000023	Praa.g_00359	Syai.g_01027, Syai.g_01875, Syai.g_02821, Syai.g_01681, Syai.g_01022, Syai.g_02318
OG0000024	Praa.g_00747, Praa.g_00675	Syai.g_01951
OG0000025	Praa.g_00839, Praa.g_00331	Syai.g_02044
OG0000026	Praa.g_00031, Praa.g_01054	Syai.g_00038
OG0000027	Praa.g_00470, Praa.g_01301	Syai.g_01128, Syai.g_01654
OG0000028	Praa.g_00320, Praa.g_01248	Syai.g_00205
OG0000029	Praa.g_00374, Praa.g_00754	Syai.g_01035, Syai.g_01584
OG0000030	Praa.g_01842	Syai.g_00096, Syai.g_00095
OG0000033	Praa.g_00169	Syai.g_02634
OG0000034	Praa.g_01328	Syai.g_02192, Syai.g_02604
OG0000035	Praa.g_01476	Syai.g_00955
OG0000037	Praa.g_00109	Syai.g_02544, Syai.g_02815
OG0000038	Praa.g_01883	Syai.g_02780
OG0000039	Praa.g_00686	Syai.g_02034
OG0000041	Praa.g_01683	Syai.g_02265
OG0000042	Praa.g_01839	Syai.g_00099
OG0000043	Praa.g_01259	Syai.g_01599
OG0000045	Praa.g_00370	Syai.g_02432
OG0000047	Praa.g_00330	Syai.g_00462
