Orthogroup	Praa	Prax
OG0000000	Praa.g_01300	Prax.g_01917
OG0000000	Praa.g_01598	Prax.g_01608
OG0000000	Praa.g_01244	Prax.g_00496
OG0000000	Praa.g_01597	Prax.g_00259, Prax.g_01609
OG0000000	Praa.g_01297	Prax.g_01920
OG0000000	Praa.g_01298	Prax.g_01919
OG0000000	Praa.g_01599	Prax.g_01606
OG0000001	Praa.g_01351	Prax.g_01878
OG0000001	Praa.g_01220, Praa.g_01222	Prax.g_00522
OG0000002	Praa.g_01359	Prax.g_01870
OG0000002	Praa.g_00678	Prax.g_00964
OG0000004	Praa.g_00695	Prax.g_00947
OG0000004	Praa.g_00232	Prax.g_00986
OG0000005	Praa.g_01648	Prax.g_01546
OG0000005	Praa.g_01553	Prax.g_01652
OG0000006	Praa.g_00241	Prax.g_01972
OG0000006	Praa.g_01245	Prax.g_01972
OG0000007	Praa.g_00497	Prax.g_00704
OG0000007	Praa.g_01635	Prax.g_01559
OG0000008	Praa.g_00672	Prax.g_00970
OG0000009	Praa.g_01264	Prax.g_01950
OG0000009	Praa.g_01589	Prax.g_01617
OG0000010	Praa.g_01047	Prax.g_01212
OG0000010	Praa.g_00474	Prax.g_00728
OG0000011	Praa.g_01288	Prax.g_01930
OG0000011	Praa.g_00396	Prax.g_00776
OG0000011	Praa.g_01626	Prax.g_00454
OG0000012	Praa.g_00623	Prax.g_00082
OG0000013	Praa.g_00327	Prax.g_00846
OG0000014	Praa.g_00306	Prax.g_00869
OG0000014	Praa.g_01409	Prax.g_01763
OG0000017	Praa.g_00598	Prax.g_00057
OG0000018	Praa.g_01141	Prax.g_00181
OG0000018	Praa.g_00831	Prax.g_00346
OG0000019	Praa.g_00249	Prax.g_00926
OG0000019	Praa.g_00782	Prax.g_00393
OG0000020	Praa.g_01107	Prax.g_00138
OG0000021	Praa.g_01623	Prax.g_01587
OG0000021	Praa.g_00364	Prax.g_00808
OG0000022	Praa.g_00763	Prax.g_00415
OG0000022	Praa.g_01124	Prax.g_00157
OG0000023	Praa.g_00359	Prax.g_00813
OG0000024	Praa.g_00747	Prax.g_00432
OG0000024	Praa.g_00675	Prax.g_00967
OG0000025	Praa.g_00839	Prax.g_00338
OG0000025	Praa.g_00331	Prax.g_00842
OG0000026	Praa.g_00031	Prax.g_00282
OG0000026	Praa.g_01054	Prax.g_01220
OG0000027	Praa.g_01301	Prax.g_01916
OG0000028	Praa.g_00320	Prax.g_00855
OG0000029	Praa.g_00374	Prax.g_00798
OG0000029	Praa.g_00754	Prax.g_00425
OG0000030	Praa.g_01842	Prax.g_01404
OG0000033	Praa.g_00169	Prax.g_01049
OG0000034	Praa.g_01328	Prax.g_01889
OG0000035	Praa.g_01476	Prax.g_01728, Prax.g_01733
OG0000037	Praa.g_00109	Prax.g_01110
OG0000038	Praa.g_01883	Prax.g_01445
OG0000039	Praa.g_00686	Prax.g_00956
OG0000040	Praa.g_01618	Prax.g_01591
OG0000040	Praa.g_01140	Prax.g_00180
OG0000041	Praa.g_01683	Prax.g_01512
OG0000042	Praa.g_01839	Prax.g_01401
OG0000043	Praa.g_00876	Prax.g_00301, Prax.g_00501, Prax.g_00530
OG0000043	Praa.g_01259	Prax.g_01955
OG0000045	Praa.g_00370	Prax.g_00802
OG0000047	Praa.g_00330	Prax.g_00843
OG0000048	Praa.g_00373	Prax.g_00799
OG0000049	Praa.g_00382	Prax.g_00791
OG0000049	Praa.g_00997	Prax.g_01162
OG0000049	Praa.g_01256	Prax.g_01958
OG0000050	Praa.g_01075	Prax.g_01240
OG0000051	Praa.g_01291	Prax.g_01927
OG0000053	Praa.g_01496	Prax.g_01708
OG0000054	Praa.g_00606	Prax.g_00065
OG0000055	Praa.g_00783	Prax.g_00392
OG0000057	Praa.g_00698	Prax.g_00944
OG0000058	Praa.g_01425	Prax.g_01823
OG0000059	Praa.g_01723	Prax.g_01286
OG0000061	Praa.g_01159	Prax.g_00200
OG0000062	Praa.g_01555	Prax.g_01650
OG0000063	Praa.g_00033	Prax.g_00280
OG0000065	Praa.g_00107	Prax.g_01112
OG0000066	Praa.g_00539	Prax.g_00662
OG0000067	Praa.g_00803	Prax.g_00373
OG0000068	Praa.g_01366	Prax.g_01863
OG0000069	Praa.g_01590	Prax.g_01616
OG0000070	Praa.g_00449	Prax.g_00750
OG0000071	Praa.g_01318	Prax.g_01899
OG0000072	Praa.g_00171	Prax.g_01047
OG0000073	Praa.g_00499	Prax.g_00702
OG0000074	Praa.g_00682	Prax.g_00960
OG0000075	Praa.g_01808	Prax.g_01370
OG0000076	Praa.g_01832	Prax.g_01394
OG0000077	Praa.g_00078	Prax.g_00649
OG0000078	Praa.g_00239	Prax.g_00979
OG0000079	Praa.g_00252	Prax.g_00923
OG0000081	Praa.g_00531	Prax.g_00670
OG0000082	Praa.g_00585	Prax.g_00045
OG0000083	Praa.g_00742	Prax.g_00437
OG0000083	Praa.g_01294	Prax.g_01924
OG0000083	Praa.g_00735	Prax.g_00444
OG0000084	Praa.g_01472	Prax.g_01737
OG0000085	Praa.g_01628	Prax.g_01566
OG0000086	Praa.g_00088	Prax.g_00659
OG0000087	Praa.g_00139	Prax.g_01079
OG0000088	Praa.g_00166	Prax.g_01052
OG0000089	Praa.g_00355	Prax.g_00817
OG0000090	Praa.g_00533	Prax.g_00668
OG0000091	Praa.g_00642	Prax.g_00101
OG0000092	Praa.g_00912	Prax.g_00566
OG0000093	Praa.g_00932	Prax.g_00588
OG0000094	Praa.g_01020	Prax.g_01185
OG0000095	Praa.g_01039	Prax.g_01204
OG0000096	Praa.g_01110	Prax.g_00141
OG0000096	Praa.g_01280	Prax.g_01936
OG0000097	Praa.g_01200	Prax.g_00241
OG0000098	Praa.g_01348	Prax.g_01881
OG0000099	Praa.g_01394	Prax.g_01825
OG0000100	Praa.g_01551	Prax.g_01654
OG0000101	Praa.g_01775	Prax.g_01338
OG0000102	Praa.g_01837	Prax.g_01399
OG0000103	Praa.g_01916	Prax.g_01478
OG0000104	Praa.g_01924	Prax.g_01486
OG0000105	Praa.g_00274	Prax.g_00901
OG0000106	Praa.g_00369	Prax.g_00803
OG0000107	Praa.g_00383	Prax.g_00790
OG0000108	Praa.g_00480	Prax.g_00722
OG0000109	Praa.g_00494	Prax.g_00707
OG0000110	Praa.g_00575	Prax.g_00035
OG0000111	Praa.g_00699	Prax.g_00943
OG0000112	Praa.g_00766	Prax.g_00409
OG0000113	Praa.g_00826	Prax.g_00351
OG0000114	Praa.g_00907	Prax.g_00561
OG0000115	Praa.g_01101	Prax.g_00132
OG0000116	Praa.g_01150	Prax.g_00190
OG0000117	Praa.g_01255	Prax.g_01959
OG0000118	Praa.g_01330	Prax.g_01887
OG0000119	Praa.g_01362	Prax.g_01867
OG0000120	Praa.g_01387	Prax.g_01832
OG0000121	Praa.g_01478	Prax.g_01726
OG0000122	Praa.g_01516	Prax.g_01688
OG0000123	Praa.g_01782	Prax.g_01345
OG0000124	Praa.g_01848	Prax.g_01410
OG0000125	Praa.g_01885	Prax.g_01447
OG0000126	Praa.g_01923	Prax.g_01485
OG0000128	Praa.g_00011	Prax.g_01974
OG0000129	Praa.g_00044	Prax.g_00269
OG0000130	Praa.g_00069	Prax.g_00640
OG0000131	Praa.g_00145	Prax.g_01073
OG0000132	Praa.g_00164	Prax.g_01054
OG0000133	Praa.g_00322	Prax.g_00853, Prax.g_00852
OG0000134	Praa.g_00356	Prax.g_00816
OG0000135	Praa.g_00381	Prax.g_00792
OG0000136	Praa.g_00440	Prax.g_00759
OG0000137	Praa.g_00475	Prax.g_00727
OG0000138	Praa.g_00495	Prax.g_00706
OG0000139	Praa.g_00537	Prax.g_00664
OG0000140	Praa.g_00538	Prax.g_00663
OG0000141	Praa.g_00607	Prax.g_00066
OG0000142	Praa.g_00635	Prax.g_00094
OG0000143	Praa.g_00639	Prax.g_00098
OG0000144	Praa.g_00652	Prax.g_00111
OG0000145	Praa.g_00764	Prax.g_00413
OG0000146	Praa.g_00767	Prax.g_00408
OG0000147	Praa.g_00768	Prax.g_00407
OG0000148	Praa.g_00820	Prax.g_00357
OG0000149	Praa.g_00851	Prax.g_00326
OG0000150	Praa.g_00859	Prax.g_00318
OG0000151	Praa.g_00917	Prax.g_00571
OG0000152	Praa.g_00964	Prax.g_01129
OG0000153	Praa.g_00983	Prax.g_01148
OG0000154	Praa.g_01013	Prax.g_01178
OG0000155	Praa.g_01179	Prax.g_00220
OG0000156	Praa.g_01307	Prax.g_01910
OG0000157	Praa.g_01308	Prax.g_01909
OG0000158	Praa.g_01395	Prax.g_01780
OG0000160	Praa.g_01477	Prax.g_01727
OG0000161	Praa.g_01483	Prax.g_01721
OG0000162	Praa.g_01489	Prax.g_01715
OG0000163	Praa.g_01523	Prax.g_01681
OG0000164	Praa.g_01659	Prax.g_01535
OG0000165	Praa.g_01667	Prax.g_01528
OG0000166	Praa.g_01739	Prax.g_01302
OG0000167	Praa.g_01806	Prax.g_01368
OG0000168	Praa.g_01816	Prax.g_01378
OG0000169	Praa.g_01826	Prax.g_01388
OG0000170	Praa.g_01828	Prax.g_01390
OG0000171	Praa.g_01847	Prax.g_01409
OG0000172	Praa.g_01856	Prax.g_01418
OG0000173	Praa.g_01871	Prax.g_01433
OG0000174	Praa.g_01898	Prax.g_01460
OG0000175	Praa.g_01908	Prax.g_01470
OG0000176	Praa.g_00004	Prax.g_01494
OG0000177	Praa.g_00005	Prax.g_01495
OG0000178	Praa.g_00006	Prax.g_01496
OG0000179	Praa.g_00016	Prax.g_00297
OG0000180	Praa.g_00017	Prax.g_00296
OG0000181	Praa.g_00018	Prax.g_00295
OG0000182	Praa.g_00019	Prax.g_00294
OG0000183	Praa.g_00023	Prax.g_00290
OG0000184	Praa.g_00046	Prax.g_00621
OG0000185	Praa.g_00049	Prax.g_00624
OG0000186	Praa.g_00064	Prax.g_00635
OG0000187	Praa.g_00065	Prax.g_00636
OG0000188	Praa.g_00082	Prax.g_00653
OG0000189	Praa.g_00096	Prax.g_01122
OG0000190	Praa.g_00097	Prax.g_01121
OG0000191	Praa.g_00117	Prax.g_01101
OG0000192	Praa.g_00121	Prax.g_01097
OG0000193	Praa.g_00146	Prax.g_01072
OG0000194	Praa.g_00149	Prax.g_01069
OG0000195	Praa.g_00151	Prax.g_01067
OG0000196	Praa.g_00161	Prax.g_01057
OG0000197	Praa.g_00162	Prax.g_01056
OG0000198	Praa.g_00163	Prax.g_01055
OG0000199	Praa.g_00170	Prax.g_01048
OG0000200	Praa.g_00184	Prax.g_01034
OG0000201	Praa.g_00192	Prax.g_01026
OG0000202	Praa.g_00193	Prax.g_01025
OG0000203	Praa.g_00194	Prax.g_01024
OG0000204	Praa.g_00195	Prax.g_01023
OG0000205	Praa.g_00202	Prax.g_01016
OG0000206	Praa.g_00207	Prax.g_01011
OG0000207	Praa.g_00209	Prax.g_01009
OG0000208	Praa.g_00210	Prax.g_01008
OG0000209	Praa.g_00219	Prax.g_00999
OG0000210	Praa.g_00220	Prax.g_00998
OG0000211	Praa.g_00233	Prax.g_00985
OG0000212	Praa.g_00240	Prax.g_00978
OG0000213	Praa.g_00257	Prax.g_00918
OG0000214	Praa.g_00267	Prax.g_00908
OG0000215	Praa.g_00292	Prax.g_00883
OG0000216	Praa.g_00294	Prax.g_00881
OG0000217	Praa.g_00297	Prax.g_00878
OG0000218	Praa.g_00299	Prax.g_00876
OG0000219	Praa.g_00300	Prax.g_00875
OG0000220	Praa.g_00301	Prax.g_00874
OG0000221	Praa.g_00302	Prax.g_00873
OG0000222	Praa.g_00310	Prax.g_00865
OG0000223	Praa.g_00323	Prax.g_00850
OG0000224	Praa.g_00325	Prax.g_00848
OG0000225	Praa.g_00345	Prax.g_00827
OG0000226	Praa.g_00349	Prax.g_00823
OG0000227	Praa.g_00351	Prax.g_00821
OG0000228	Praa.g_00354	Prax.g_00818
OG0000229	Praa.g_00436	Prax.g_00764
OG0000230	Praa.g_00437	Prax.g_00762
OG0000231	Praa.g_00448	Prax.g_00751
OG0000232	Praa.g_00457	Prax.g_00743
OG0000233	Praa.g_00463	Prax.g_00738
OG0000234	Praa.g_00476	Prax.g_00726
OG0000235	Praa.g_00479	Prax.g_00723
OG0000236	Praa.g_00493	Prax.g_00708
OG0000237	Praa.g_00506	Prax.g_00695
OG0000238	Praa.g_00512	Prax.g_00689
OG0000239	Praa.g_00525	Prax.g_00676
OG0000240	Praa.g_00526	Prax.g_00675
OG0000241	Praa.g_00530	Prax.g_00671
OG0000242	Praa.g_00532	Prax.g_00669
OG0000243	Praa.g_00544	Prax.g_00004
OG0000244	Praa.g_00547	Prax.g_00007
OG0000245	Praa.g_00549	Prax.g_00009
OG0000246	Praa.g_00553	Prax.g_00013
OG0000247	Praa.g_00563	Prax.g_00023
OG0000248	Praa.g_00565	Prax.g_00025
OG0000249	Praa.g_00567	Prax.g_00027
OG0000250	Praa.g_00572	Prax.g_00032
OG0000251	Praa.g_00591	Prax.g_00050
OG0000252	Praa.g_00594	Prax.g_00053
OG0000253	Praa.g_00595	Prax.g_00054
OG0000254	Praa.g_00611	Prax.g_00070
OG0000255	Praa.g_00617	Prax.g_00076
OG0000256	Praa.g_00627	Prax.g_00086
