Orthogroup	Praa	Syao
OG0000001	Praa.g_01351, Praa.g_01220, Praa.g_01222	Syao.g_00314
OG0000004	Praa.g_00695	Syao.g_02374
OG0000004	Praa.g_00232	Syao.g_01271, Syao.g_01007
OG0000005	Praa.g_01648	Syao.g_01680
OG0000005	Praa.g_01553	Syao.g_01578
OG0000006	Praa.g_00241, Praa.g_01245	Syao.g_01518
OG0000007	Praa.g_00497	Syao.g_00105
OG0000007	Praa.g_01635	Syao.g_01554
OG0000009	Praa.g_00105	Syao.g_02598
OG0000010	Praa.g_01047, Praa.g_00474	Syao.g_02683
OG0000011	Praa.g_01288, Praa.g_00396, Praa.g_01626	Syao.g_01282
OG0000012	Praa.g_00623	Syao.g_01193
OG0000013	Praa.g_00327	Syao.g_01222, Syao.g_01844, Syao.g_01910
OG0000014	Praa.g_00306	Syao.g_02027
OG0000014	Praa.g_01409	Syao.g_01136
OG0000015	Praa.g_00765	Syao.g_00302
OG0000016	Praa.g_00013	Syao.g_01955
OG0000017	Praa.g_00598	Syao.g_00997
OG0000018	Praa.g_01141, Praa.g_00831	Syao.g_00071
OG0000019	Praa.g_00249, Praa.g_00782	Syao.g_02108
OG0000021	Praa.g_01623, Praa.g_00364	Syao.g_01002
OG0000022	Praa.g_00763, Praa.g_01124	Syao.g_01218
OG0000023	Praa.g_00359	Syao.g_01266
OG0000025	Praa.g_00839, Praa.g_00331	Syao.g_00436, Syao.g_00437
OG0000026	Praa.g_00031, Praa.g_01054	Syao.g_02234
OG0000027	Praa.g_00470, Praa.g_01301	Syao.g_00202
OG0000028	Praa.g_00320, Praa.g_01248	Syao.g_02012
OG0000030	Praa.g_01842	Syao.g_02189, Syao.g_02188
OG0000033	Praa.g_01437, Praa.g_00169	Syao.g_02507
OG0000035	Praa.g_01476	Syao.g_01486
OG0000037	Praa.g_00109	Syao.g_00374
OG0000038	Praa.g_01883	Syao.g_02440, Syao.g_02442
OG0000039	Praa.g_00686	Syao.g_00704
OG0000042	Praa.g_01839	Syao.g_00019, Syao.g_01941
OG0000045	Praa.g_00370	Syao.g_01214, Syao.g_00148
OG0000047	Praa.g_00330	Syao.g_01899
OG0000048	Praa.g_00373	Syao.g_02077
OG0000051	Praa.g_01291	Syao.g_01261
OG0000052	Praa.g_01447	Syao.g_01085
OG0000053	Praa.g_01496	Syao.g_00067
OG0000058	Praa.g_01425	Syao.g_01080
OG0000059	Praa.g_01723	Syao.g_01959
OG0000061	Praa.g_01415, Praa.g_01159	Syao.g_00123
OG0000063	Praa.g_00033	Syao.g_02230
OG0000065	Praa.g_00107	Syao.g_02600
OG0000066	Praa.g_00539	Syao.g_01422
OG0000067	Praa.g_00803	Syao.g_00756
OG0000068	Praa.g_01366	Syao.g_00868, Syao.g_00036
OG0000069	Praa.g_01590	Syao.g_00313
OG0000070	Praa.g_00449	Syao.g_00330
OG0000071	Praa.g_01318	Syao.g_01433
OG0000072	Praa.g_00171	Syao.g_02509, Syao.g_01749
OG0000073	Praa.g_00499	Syao.g_00103
OG0000075	Praa.g_01808	Syao.g_02257
OG0000076	Praa.g_01832	Syao.g_01949
OG0000079	Praa.g_00252	Syao.g_00574, Syao.g_00010, Syao.g_00581, Syao.g_01145, Syao.g_02105
OG0000082	Praa.g_00585	Syao.g_01035
OG0000084	Praa.g_01472	Syao.g_02606
OG0000085	Praa.g_01628	Syao.g_01569
OG0000086	Praa.g_00088	Syao.g_02653, Syao.g_01240
OG0000087	Praa.g_00139	Syao.g_02555
OG0000088	Praa.g_00166	Syao.g_02503
OG0000089	Praa.g_00355	Syao.g_01716
OG0000090	Praa.g_00533	Syao.g_01412
OG0000091	Praa.g_00642	Syao.g_00902
OG0000092	Praa.g_00912	Syao.g_00656
OG0000094	Praa.g_01020	Syao.g_00458
OG0000097	Praa.g_01200	Syao.g_00973
OG0000098	Praa.g_01348	Syao.g_01374
OG0000099	Praa.g_01394	Syao.g_02019
OG0000100	Praa.g_01551	Syao.g_00787
OG0000101	Praa.g_01775	Syao.g_01840
OG0000102	Praa.g_01837	Syao.g_01945
OG0000103	Praa.g_01916	Syao.g_02340
OG0000104	Praa.g_01924	Syao.g_02157
OG0000105	Praa.g_00274	Syao.g_02071, Syao.g_02072
OG0000106	Praa.g_00369	Syao.g_01385
OG0000107	Praa.g_00383	Syao.g_01935
OG0000108	Praa.g_00480	Syao.g_00028
OG0000109	Praa.g_00494	Syao.g_00110
OG0000110	Praa.g_00575	Syao.g_01051
OG0000111	Praa.g_00699	Syao.g_00378
OG0000112	Praa.g_00766	Syao.g_00683, Syao.g_00303
OG0000113	Praa.g_00826	Syao.g_00782
OG0000114	Praa.g_00907	Syao.g_00965
OG0000115	Praa.g_01101	Syao.g_00065, Syao.g_01464
OG0000116	Praa.g_01150	Syao.g_00137
OG0000117	Praa.g_01255	Syao.g_00169
OG0000118	Praa.g_01330	Syao.g_01475
OG0000120	Praa.g_01387	Syao.g_02009
OG0000121	Praa.g_01478	Syao.g_01489
OG0000122	Praa.g_01516	Syao.g_01247
OG0000123	Praa.g_01782	Syao.g_01832
OG0000124	Praa.g_01848	Syao.g_02179
OG0000125	Praa.g_01885	Syao.g_02444
OG0000126	Praa.g_01923	Syao.g_02198
OG0000128	Praa.g_00011	Syao.g_02149
OG0000129	Praa.g_00044	Syao.g_02434
OG0000130	Praa.g_00069	Syao.g_02617
OG0000131	Praa.g_00145	Syao.g_02480
OG0000132	Praa.g_00164	Syao.g_02501
OG0000133	Praa.g_00322	Syao.g_00678
OG0000134	Praa.g_00356	Syao.g_01719
OG0000135	Praa.g_00381	Syao.g_00147
OG0000136	Praa.g_00440	Syao.g_01614, Syao.g_01613
OG0000137	Praa.g_01414, Praa.g_00475	Syao.g_02682
OG0000138	Praa.g_00495	Syao.g_00108
OG0000139	Praa.g_00537	Syao.g_02005
OG0000140	Praa.g_00538	Syao.g_01373, Syao.g_01372
OG0000141	Praa.g_00607	Syao.g_01202
OG0000142	Praa.g_00635	Syao.g_00894
OG0000143	Praa.g_00639	Syao.g_00898
OG0000145	Praa.g_00764	Syao.g_00102
OG0000146	Praa.g_00767	Syao.g_00684, Syao.g_00304
OG0000147	Praa.g_00768	Syao.g_00305, Syao.g_00685
OG0000148	Praa.g_00820	Syao.g_00776
OG0000149	Praa.g_00851	Syao.g_00534
OG0000150	Praa.g_00859	Syao.g_01203
OG0000151	Praa.g_00917	Syao.g_00975
OG0000152	Praa.g_00964	Syao.g_00674
OG0000153	Praa.g_00983	Syao.g_00818, Syao.g_01176
OG0000154	Praa.g_01013	Syao.g_00447
OG0000155	Praa.g_01179	Syao.g_00178
OG0000156	Praa.g_01307	Syao.g_00151
OG0000157	Praa.g_01308	Syao.g_00152
OG0000158	Praa.g_01395	Syao.g_02267
OG0000159	Praa.g_01396	Syao.g_02276
OG0000160	Praa.g_01477	Syao.g_01488
OG0000161	Praa.g_01483	Syao.g_01494
OG0000162	Praa.g_01489	Syao.g_01515
OG0000163	Praa.g_01523	Syao.g_01745
OG0000164	Praa.g_01659	Syao.g_01663
OG0000165	Praa.g_01667	Syao.g_01655
OG0000166	Praa.g_01739	Syao.g_01790
OG0000167	Praa.g_01806	Syao.g_01960
OG0000168	Praa.g_01816	Syao.g_02128
OG0000169	Praa.g_01826	Syao.g_02139
OG0000170	Praa.g_01828	Syao.g_02148
OG0000171	Praa.g_01847	Syao.g_02181
OG0000172	Praa.g_01856	Syao.g_02170
OG0000173	Praa.g_01871	Syao.g_02212
OG0000174	Praa.g_01898	Syao.g_02364, Syao.g_02355
OG0000175	Praa.g_01908	Syao.g_02327, Syao.g_00308
OG0000176	Praa.g_00004	Syao.g_02165
OG0000177	Praa.g_00005	Syao.g_02156
OG0000178	Praa.g_00006	Syao.g_02155
OG0000179	Praa.g_00016	Syao.g_02250
OG0000180	Praa.g_00017	Syao.g_02249
OG0000181	Praa.g_00018	Syao.g_02248
OG0000182	Praa.g_00019	Syao.g_02247
OG0000183	Praa.g_00023	Syao.g_02243
OG0000184	Praa.g_00046	Syao.g_02423
OG0000185	Praa.g_00049	Syao.g_02410
OG0000186	Praa.g_00064	Syao.g_02613
OG0000187	Praa.g_00065	Syao.g_02615
OG0000188	Praa.g_00082	Syao.g_02637
OG0000189	Praa.g_00096	Syao.g_02672
OG0000190	Praa.g_00097	Syao.g_01015
OG0000191	Praa.g_00117	Syao.g_02573
OG0000192	Praa.g_00121	Syao.g_02579
OG0000193	Praa.g_00146	Syao.g_02481
OG0000194	Praa.g_00149	Syao.g_02484
OG0000195	Praa.g_00151	Syao.g_02486
OG0000196	Praa.g_00161	Syao.g_02498
OG0000197	Praa.g_00162	Syao.g_02499
OG0000198	Praa.g_00163	Syao.g_02500
OG0000199	Praa.g_00170	Syao.g_02508
OG0000200	Praa.g_00184	Syao.g_02524
OG0000201	Praa.g_00192	Syao.g_02540
OG0000202	Praa.g_00193	Syao.g_02454
OG0000203	Praa.g_00194	Syao.g_02455
OG0000204	Praa.g_00195	Syao.g_02456
OG0000205	Praa.g_00202	Syao.g_02464
OG0000206	Praa.g_00207	Syao.g_02469
OG0000207	Praa.g_00209	Syao.g_02471
OG0000208	Praa.g_00210	Syao.g_02472
OG0000209	Praa.g_00219	Syao.g_02394
OG0000210	Praa.g_00220	Syao.g_02395
OG0000211	Praa.g_00233	Syao.g_01700
OG0000212	Praa.g_00240	Syao.g_01710
OG0000213	Praa.g_00257	Syao.g_02098
