Orthogroup	Praa	Syaq
OG0000004	Praa.g_00695	Syaq.g_02603
OG0000004	Praa.g_00232	Syaq.g_02042, Syaq.g_01567
OG0000005	Praa.g_01648	Syaq.g_01658
OG0000005	Praa.g_01553	Syaq.g_01692
OG0000006	Praa.g_00241, Praa.g_01245	Syaq.g_02558, Syaq.g_00696, Syaq.g_01590
OG0000007	Praa.g_00497	Syaq.g_01793
OG0000007	Praa.g_01635	Syaq.g_01673
OG0000008	Praa.g_01241	Syaq.g_02162
OG0000009	Praa.g_00105	Syaq.g_01489
OG0000010	Praa.g_01047, Praa.g_00474	Syaq.g_00443
OG0000011	Praa.g_01288, Praa.g_00396, Praa.g_01626	Syaq.g_01038
OG0000012	Praa.g_00623	Syaq.g_02059
OG0000013	Praa.g_00327	Syaq.g_00569, Syaq.g_00572, Syaq.g_02023
OG0000014	Praa.g_00306	Syaq.g_00862
OG0000014	Praa.g_01409	Syaq.g_00907, Syaq.g_00933
OG0000015	Praa.g_00765	Syaq.g_02255
OG0000016	Praa.g_00013	Syaq.g_01136
OG0000017	Praa.g_00598	Syaq.g_01992
OG0000018	Praa.g_01141, Praa.g_00831	Syaq.g_00401
OG0000019	Praa.g_00249, Praa.g_00782	Syaq.g_00717
OG0000022	Praa.g_00763, Praa.g_01124	Syaq.g_02126
OG0000023	Praa.g_00359	Syaq.g_02540
OG0000025	Praa.g_00839, Praa.g_00331	Syaq.g_02381
OG0000026	Praa.g_00031, Praa.g_01054	Syaq.g_01114
OG0000028	Praa.g_00320, Praa.g_01248	Syaq.g_00878
OG0000030	Praa.g_01842	Syaq.g_01047, Syaq.g_01048
OG0000033	Praa.g_00169	Syaq.g_01399
OG0000034	Praa.g_01328	Syaq.g_00312, Syaq.g_01431
OG0000035	Praa.g_01476	Syaq.g_00372
OG0000037	Praa.g_00109	Syaq.g_01483
OG0000038	Praa.g_01883	Syaq.g_01260, Syaq.g_01258
OG0000039	Praa.g_00686	Syaq.g_01601, Syaq.g_01241
OG0000042	Praa.g_01839	Syaq.g_00200, Syaq.g_01044
OG0000043	Praa.g_01259	Syaq.g_01920
OG0000045	Praa.g_00370	Syaq.g_02047
OG0000048	Praa.g_00373	Syaq.g_00749
OG0000052	Praa.g_01447, Praa.g_01407	Syaq.g_00969
OG0000053	Praa.g_01496	Syaq.g_00397
OG0000054	Praa.g_00606	Syaq.g_02005
OG0000055	Praa.g_00783	Syaq.g_02700
OG0000057	Praa.g_00698	Syaq.g_02605
OG0000058	Praa.g_01425	Syaq.g_00944
OG0000059	Praa.g_01723	Syaq.g_00657
OG0000061	Praa.g_01415, Praa.g_01159	Syaq.g_00249
OG0000063	Praa.g_00033	Syaq.g_01110
OG0000065	Praa.g_00107	Syaq.g_01908, Syaq.g_01487
OG0000066	Praa.g_00539	Syaq.g_01851
OG0000067	Praa.g_00803	Syaq.g_02340
OG0000068	Praa.g_01366	Syaq.g_01763
OG0000070	Praa.g_00449	Syaq.g_00484
OG0000071	Praa.g_01318	Syaq.g_00297
OG0000072	Praa.g_00171	Syaq.g_01397
OG0000073	Praa.g_00499	Syaq.g_01795
OG0000075	Praa.g_01808	Syaq.g_00986
OG0000076	Praa.g_01832	Syaq.g_01028
OG0000077	Praa.g_00078	Syaq.g_01547
OG0000078	Praa.g_00239	Syaq.g_01585
OG0000079	Praa.g_00252	Syaq.g_00721
OG0000081	Praa.g_00531	Syaq.g_01893
OG0000082	Praa.g_00585	Syaq.g_01975
OG0000084	Praa.g_01472	Syaq.g_00367
OG0000085	Praa.g_01628	Syaq.g_01683
OG0000086	Praa.g_00088	Syaq.g_01525
OG0000087	Praa.g_00139	Syaq.g_01438
OG0000088	Praa.g_00166	Syaq.g_01402
OG0000089	Praa.g_00355	Syaq.g_00529
OG0000090	Praa.g_00533	Syaq.g_01838
OG0000091	Praa.g_00642	Syaq.g_02090
OG0000094	Praa.g_01020	Syaq.g_00056, Syaq.g_02554
OG0000097	Praa.g_01200	Syaq.g_00167
OG0000098	Praa.g_01348	Syaq.g_02221
OG0000099	Praa.g_01394	Syaq.g_00882
OG0000100	Praa.g_01551	Syaq.g_02371
OG0000101	Praa.g_01775	Syaq.g_00607
OG0000102	Praa.g_01837	Syaq.g_01033
OG0000103	Praa.g_01916	Syaq.g_01170
OG0000104	Praa.g_01924	Syaq.g_01154
OG0000105	Praa.g_00274	Syaq.g_00754
OG0000106	Praa.g_00369	Syaq.g_01863
OG0000108	Praa.g_00480	Syaq.g_01772
OG0000109	Praa.g_00494	Syaq.g_01788
OG0000110	Praa.g_00575	Syaq.g_01962
OG0000111	Praa.g_00699	Syaq.g_02606
OG0000112	Praa.g_00766	Syaq.g_02476
OG0000114	Praa.g_00907	Syaq.g_02269
OG0000115	Praa.g_01101	Syaq.g_00395
OG0000116	Praa.g_01150	Syaq.g_00263
OG0000117	Praa.g_01255	Syaq.g_00203
OG0000118	Praa.g_01330	Syaq.g_00325, Syaq.g_00316
OG0000120	Praa.g_01387	Syaq.g_00883
OG0000121	Praa.g_01478	Syaq.g_00375
OG0000122	Praa.g_01516	Syaq.g_02118
OG0000123	Praa.g_01782	Syaq.g_00599
OG0000124	Praa.g_01848	Syaq.g_01055
OG0000125	Praa.g_01885	Syaq.g_01256
OG0000126	Praa.g_01923	Syaq.g_01156
OG0000128	Praa.g_00011	Syaq.g_01138
OG0000129	Praa.g_00044	Syaq.g_01269
OG0000130	Praa.g_00069	Syaq.g_01559
OG0000131	Praa.g_00145	Syaq.g_01427, Syaq.g_01424
OG0000132	Praa.g_00164	Syaq.g_01404
OG0000133	Praa.g_00322	Syaq.g_02481
OG0000134	Praa.g_00356	Syaq.g_00526
OG0000135	Praa.g_00381	Syaq.g_01227
OG0000136	Praa.g_00440	Syaq.g_00496
OG0000137	Praa.g_01414, Praa.g_00475	Syaq.g_00442
OG0000138	Praa.g_00495	Syaq.g_01789
OG0000139	Praa.g_00537	Syaq.g_01844
OG0000140	Praa.g_00538	Syaq.g_01848
OG0000141	Praa.g_00607	Syaq.g_02010
OG0000142	Praa.g_00635	Syaq.g_02082
OG0000143	Praa.g_00639	Syaq.g_02086
OG0000144	Praa.g_00652	Syaq.g_02152
OG0000145	Praa.g_00764	Syaq.g_01796
OG0000146	Praa.g_00767	Syaq.g_02475
OG0000147	Praa.g_00768	Syaq.g_02474
OG0000148	Praa.g_00820	Syaq.g_02359
OG0000149	Praa.g_00851	Syaq.g_02395
OG0000150	Praa.g_00859	Syaq.g_02011
OG0000151	Praa.g_00917	Syaq.g_02283
OG0000152	Praa.g_00964	Syaq.g_02485
OG0000153	Praa.g_00983	Syaq.g_02518
OG0000154	Praa.g_01013	Syaq.g_00066
OG0000155	Praa.g_01179	Syaq.g_00212
OG0000156	Praa.g_01307	Syaq.g_00281
OG0000157	Praa.g_01308	Syaq.g_00282
OG0000158	Praa.g_01395	Syaq.g_01003
OG0000159	Praa.g_01396	Syaq.g_00918, Syaq.g_00941
OG0000160	Praa.g_01477	Syaq.g_00374
OG0000161	Praa.g_01483	Syaq.g_00382
OG0000162	Praa.g_01489	Syaq.g_00389
OG0000163	Praa.g_01523	Syaq.g_01730
OG0000164	Praa.g_01659	Syaq.g_01642
OG0000165	Praa.g_01667	Syaq.g_01630
OG0000166	Praa.g_01739	Syaq.g_00647
OG0000167	Praa.g_01806	Syaq.g_00983
OG0000168	Praa.g_01816	Syaq.g_01004
OG0000169	Praa.g_01826	Syaq.g_01016
OG0000170	Praa.g_01828	Syaq.g_01023
OG0000171	Praa.g_01847	Syaq.g_01052
OG0000172	Praa.g_01856	Syaq.g_01074
OG0000173	Praa.g_01871	Syaq.g_01092
OG0000174	Praa.g_01898	Syaq.g_01224
OG0000175	Praa.g_01908	Syaq.g_01183
OG0000176	Praa.g_00004	Syaq.g_01146
OG0000177	Praa.g_00005	Syaq.g_01145
OG0000178	Praa.g_00006	Syaq.g_01144
OG0000179	Praa.g_00016	Syaq.g_01129
OG0000180	Praa.g_00017	Syaq.g_01128
OG0000181	Praa.g_00018	Syaq.g_01127
OG0000182	Praa.g_00019	Syaq.g_01126
OG0000183	Praa.g_00023	Syaq.g_01122
OG0000184	Praa.g_00046	Syaq.g_01277
OG0000185	Praa.g_00049	Syaq.g_01290
OG0000186	Praa.g_00064	Syaq.g_01563
OG0000187	Praa.g_00065	Syaq.g_01561
OG0000188	Praa.g_00082	Syaq.g_01539
OG0000189	Praa.g_00096	Syaq.g_01499
OG0000190	Praa.g_00097	Syaq.g_01497
OG0000191	Praa.g_00117	Syaq.g_01467
OG0000192	Praa.g_00121	Syaq.g_01462
OG0000193	Praa.g_00146	Syaq.g_01423
OG0000194	Praa.g_00149	Syaq.g_01420
OG0000195	Praa.g_00151	Syaq.g_01418
OG0000196	Praa.g_00161	Syaq.g_01407
OG0000197	Praa.g_00162	Syaq.g_01406
OG0000198	Praa.g_00163	Syaq.g_01405
OG0000199	Praa.g_00170	Syaq.g_01398
OG0000200	Praa.g_00184	Syaq.g_01382
OG0000201	Praa.g_00192	Syaq.g_01365
OG0000202	Praa.g_00193	Syaq.g_01364
OG0000203	Praa.g_00194	Syaq.g_01363
OG0000204	Praa.g_00195	Syaq.g_01362
OG0000205	Praa.g_00202	Syaq.g_01355
OG0000206	Praa.g_00207	Syaq.g_01345
OG0000207	Praa.g_00209	Syaq.g_01338
OG0000208	Praa.g_00210	Syaq.g_01337
OG0000209	Praa.g_00219	Syaq.g_01310
OG0000210	Praa.g_00220	Syaq.g_01309
OG0000211	Praa.g_00233	Syaq.g_01570
OG0000212	Praa.g_00240	Syaq.g_01586
OG0000213	Praa.g_00257	Syaq.g_00729
