Orthogroup	Praa	Syaf
OG0000001	Praa.g_01351, Praa.g_01220, Praa.g_01222	Syaf.g_01640
OG0000004	Praa.g_00695	Syaf.g_01455
OG0000004	Praa.g_00232	Syaf.g_02351, Syaf.g_02794
OG0000005	Praa.g_01648	Syaf.g_01017
OG0000005	Praa.g_01553	Syaf.g_01057
OG0000006	Praa.g_00241, Praa.g_01245	Syaf.g_00179, Syaf.g_02778
OG0000007	Praa.g_00497	Syaf.g_02702
OG0000007	Praa.g_01635	Syaf.g_01033
OG0000008	Praa.g_01241	Syaf.g_01479
OG0000009	Praa.g_00105	Syaf.g_00905
OG0000010	Praa.g_01047, Praa.g_00474	Syaf.g_02499
OG0000011	Praa.g_01288	Syaf.g_01532
OG0000012	Praa.g_00623	Syaf.g_01353, Syaf.g_01833, Syaf.g_01462, Syaf.g_01693
OG0000013	Praa.g_00327	Syaf.g_00044, Syaf.g_00061, Syaf.g_00056
OG0000014	Praa.g_00306	Syaf.g_00280
OG0000015	Praa.g_00765	Syaf.g_02120, Syaf.g_02121
OG0000016	Praa.g_00013	Syaf.g_00484
OG0000017	Praa.g_00598	Syaf.g_02561
OG0000018	Praa.g_01141, Praa.g_00831	Syaf.g_02451
OG0000019	Praa.g_00249, Praa.g_00782	Syaf.g_00193
OG0000020	Praa.g_01107	Syaf.g_02187
OG0000021	Praa.g_01623, Praa.g_00364	Syaf.g_01726
OG0000022	Praa.g_00763, Praa.g_01124	Syaf.g_02256
OG0000023	Praa.g_00359	Syaf.g_01765, Syaf.g_01987, Syaf.g_01731, Syaf.g_01995
OG0000024	Praa.g_00747, Praa.g_00675	Syaf.g_01484
OG0000025	Praa.g_00839, Praa.g_00331	Syaf.g_01385
OG0000026	Praa.g_00031, Praa.g_01054	Syaf.g_00461
OG0000027	Praa.g_00470, Praa.g_01301	Syaf.g_02284, Syaf.g_01688
OG0000028	Praa.g_00320, Praa.g_01248	Syaf.g_00297
OG0000029	Praa.g_00374, Praa.g_00754	Syaf.g_01761
OG0000030	Praa.g_01842	Syaf.g_00406, Syaf.g_00407
OG0000033	Praa.g_00169	Syaf.g_00807
OG0000034	Praa.g_01328	Syaf.g_01241, Syaf.g_00837
OG0000035	Praa.g_01476	Syaf.g_02412
OG0000037	Praa.g_00109	Syaf.g_00899
OG0000038	Praa.g_01883	Syaf.g_00642
OG0000039	Praa.g_00686	Syaf.g_01395
OG0000041	Praa.g_01683	Syaf.g_01171
OG0000042	Praa.g_01839	Syaf.g_00403
OG0000043	Praa.g_01259	Syaf.g_01747
OG0000045	Praa.g_00370	Syaf.g_00979
OG0000047	Praa.g_00330	Syaf.g_00030
OG0000048	Praa.g_00373	Syaf.g_00230
OG0000051	Praa.g_01291	Syaf.g_00972
OG0000052	Praa.g_01447, Praa.g_01407	Syaf.g_00335
OG0000053	Praa.g_01496	Syaf.g_02447
OG0000054	Praa.g_00606	Syaf.g_02376
OG0000055	Praa.g_00783	Syaf.g_01402
OG0000057	Praa.g_00698	Syaf.g_01452
OG0000058	Praa.g_01425	Syaf.g_00316
OG0000059	Praa.g_01723	Syaf.g_00143
OG0000061	Praa.g_01415, Praa.g_01159	Syaf.g_01288
OG0000062	Praa.g_01555	Syaf.g_02167
OG0000063	Praa.g_00033	Syaf.g_00457
OG0000065	Praa.g_00107	Syaf.g_00903
OG0000066	Praa.g_00539	Syaf.g_02643
OG0000067	Praa.g_00803	Syaf.g_02049
OG0000068	Praa.g_01366	Syaf.g_02733
OG0000070	Praa.g_00449	Syaf.g_01237
OG0000071	Praa.g_01318	Syaf.g_01254
OG0000072	Praa.g_00171	Syaf.g_00805
OG0000073	Praa.g_00499	Syaf.g_02700
OG0000075	Praa.g_01808	Syaf.g_00353
OG0000076	Praa.g_01832	Syaf.g_00388
OG0000077	Praa.g_00078	Syaf.g_00951
OG0000078	Praa.g_00239	Syaf.g_02782
OG0000079	Praa.g_00252	Syaf.g_00197
OG0000081	Praa.g_00531	Syaf.g_02776
OG0000082	Praa.g_00585	Syaf.g_02576
OG0000084	Praa.g_01472	Syaf.g_02409
OG0000085	Praa.g_01628	Syaf.g_01048
OG0000086	Praa.g_00088	Syaf.g_00932
OG0000087	Praa.g_00139	Syaf.g_00848
OG0000088	Praa.g_00166	Syaf.g_00811
OG0000089	Praa.g_00355	Syaf.g_02807
OG0000090	Praa.g_00533	Syaf.g_02654
OG0000091	Praa.g_00642	Syaf.g_02302
OG0000094	Praa.g_01020	Syaf.g_01940
OG0000097	Praa.g_01200	Syaf.g_01574
OG0000098	Praa.g_01348	Syaf.g_01637
OG0000099	Praa.g_01394	Syaf.g_00312
OG0000100	Praa.g_01551	Syaf.g_02017
OG0000101	Praa.g_01775	Syaf.g_00093
OG0000102	Praa.g_01837	Syaf.g_00393
OG0000103	Praa.g_01916	Syaf.g_00520
OG0000104	Praa.g_01924	Syaf.g_00502
OG0000105	Praa.g_00274	Syaf.g_00235
OG0000106	Praa.g_00369	Syaf.g_01745
OG0000107	Praa.g_00383	Syaf.g_00177
OG0000108	Praa.g_00480	Syaf.g_02721
OG0000109	Praa.g_00494	Syaf.g_02706
OG0000110	Praa.g_00575	Syaf.g_02589
OG0000112	Praa.g_00766	Syaf.g_01852
OG0000113	Praa.g_00826	Syaf.g_02022
OG0000114	Praa.g_00907	Syaf.g_02103
OG0000115	Praa.g_01101	Syaf.g_02445
OG0000116	Praa.g_01150	Syaf.g_01276
OG0000117	Praa.g_01255	Syaf.g_01605
OG0000118	Praa.g_01330	Syaf.g_02544
OG0000120	Praa.g_01387	Syaf.g_00313
OG0000121	Praa.g_01478	Syaf.g_02419
OG0000123	Praa.g_01782	Syaf.g_00086
OG0000124	Praa.g_01848	Syaf.g_00414
OG0000125	Praa.g_01885	Syaf.g_00640
OG0000126	Praa.g_01923	Syaf.g_00504
OG0000128	Praa.g_00011	Syaf.g_00486
OG0000129	Praa.g_00044	Syaf.g_00651
OG0000130	Praa.g_00069	Syaf.g_00963
OG0000131	Praa.g_00145	Syaf.g_00833
OG0000132	Praa.g_00164	Syaf.g_00813
OG0000133	Praa.g_00322	Syaf.g_01857
OG0000134	Praa.g_00356	Syaf.g_02804
OG0000135	Praa.g_00381	Syaf.g_00605
OG0000136	Praa.g_00440	Syaf.g_01224
OG0000137	Praa.g_01414, Praa.g_00475	Syaf.g_02498
OG0000138	Praa.g_00495	Syaf.g_02705
OG0000139	Praa.g_00537	Syaf.g_02648
OG0000140	Praa.g_00538	Syaf.g_02646
OG0000141	Praa.g_00607	Syaf.g_02375
OG0000142	Praa.g_00635	Syaf.g_02310
OG0000143	Praa.g_00639	Syaf.g_02306
OG0000144	Praa.g_00652	Syaf.g_01735
OG0000145	Praa.g_00764	Syaf.g_02699
OG0000146	Praa.g_00767	Syaf.g_01851
OG0000147	Praa.g_00768	Syaf.g_01850
OG0000148	Praa.g_00820	Syaf.g_02028
OG0000149	Praa.g_00851	Syaf.g_01371
OG0000150	Praa.g_00859	Syaf.g_02645
OG0000151	Praa.g_00917	Syaf.g_02091
OG0000152	Praa.g_00964	Syaf.g_01861
OG0000153	Praa.g_00983	Syaf.g_01904
OG0000154	Praa.g_01013	Syaf.g_01930
OG0000155	Praa.g_01179	Syaf.g_01324
OG0000156	Praa.g_01307	Syaf.g_01270
OG0000157	Praa.g_01308	Syaf.g_01269
OG0000158	Praa.g_01395	Syaf.g_00364
OG0000160	Praa.g_01477	Syaf.g_02418
OG0000161	Praa.g_01483	Syaf.g_02424
OG0000162	Praa.g_01489	Syaf.g_02431
OG0000163	Praa.g_01523	Syaf.g_01105
OG0000164	Praa.g_01659	Syaf.g_00999
OG0000165	Praa.g_01667	Syaf.g_01197
OG0000166	Praa.g_01739	Syaf.g_00133
OG0000167	Praa.g_01806	Syaf.g_00350
OG0000168	Praa.g_01816	Syaf.g_00365
OG0000169	Praa.g_01826	Syaf.g_00376
OG0000170	Praa.g_01828	Syaf.g_00383
OG0000171	Praa.g_01847	Syaf.g_00413
OG0000172	Praa.g_01856	Syaf.g_00419
OG0000173	Praa.g_01871	Syaf.g_00438
OG0000174	Praa.g_01898	Syaf.g_00603
OG0000175	Praa.g_01908	Syaf.g_00531
OG0000176	Praa.g_00004	Syaf.g_00494
OG0000177	Praa.g_00005	Syaf.g_00493
OG0000178	Praa.g_00006	Syaf.g_00492
OG0000179	Praa.g_00016	Syaf.g_00477
OG0000180	Praa.g_00017	Syaf.g_00476
OG0000181	Praa.g_00018	Syaf.g_00475
OG0000182	Praa.g_00019	Syaf.g_00474
OG0000183	Praa.g_00023	Syaf.g_00470
OG0000184	Praa.g_00046	Syaf.g_00664
OG0000185	Praa.g_00049	Syaf.g_00684
OG0000186	Praa.g_00064	Syaf.g_00968
OG0000187	Praa.g_00065	Syaf.g_00966
OG0000188	Praa.g_00082	Syaf.g_00944
OG0000189	Praa.g_00096	Syaf.g_00916
OG0000190	Praa.g_00097	Syaf.g_00914
OG0000191	Praa.g_00117	Syaf.g_00877
OG0000192	Praa.g_00121	Syaf.g_00871
OG0000193	Praa.g_00146	Syaf.g_00832
OG0000194	Praa.g_00149	Syaf.g_00829
OG0000195	Praa.g_00151	Syaf.g_00827
OG0000196	Praa.g_00161	Syaf.g_00816
OG0000197	Praa.g_00162	Syaf.g_00815
OG0000198	Praa.g_00163	Syaf.g_00814
OG0000199	Praa.g_00170	Syaf.g_00806
OG0000200	Praa.g_00184	Syaf.g_00789
OG0000202	Praa.g_00193	Syaf.g_00770
OG0000203	Praa.g_00194	Syaf.g_00769
OG0000204	Praa.g_00195	Syaf.g_00768
OG0000205	Praa.g_00202	Syaf.g_00761
OG0000206	Praa.g_00207	Syaf.g_00736
OG0000207	Praa.g_00209	Syaf.g_00735
OG0000208	Praa.g_00210	Syaf.g_00734
OG0000209	Praa.g_00219	Syaf.g_00714
OG0000210	Praa.g_00220	Syaf.g_00713
OG0000212	Praa.g_00240	Syaf.g_02781
OG0000213	Praa.g_00257	Syaf.g_00210
OG0000214	Praa.g_00267	Syaf.g_00226
OG0000215	Praa.g_00292	Syaf.g_00258
OG0000216	Praa.g_00294	Syaf.g_00262
OG0000217	Praa.g_00297	Syaf.g_00266
OG0000218	Praa.g_00299	Syaf.g_00268
OG0000219	Praa.g_00300	Syaf.g_00269
OG0000220	Praa.g_00301	Syaf.g_00270
OG0000221	Praa.g_00302	Syaf.g_02597, Syaf.g_00273
OG0000222	Praa.g_00310	Syaf.g_00287
OG0000223	Praa.g_00323	Syaf.g_00317
OG0000224	Praa.g_00325	Syaf.g_00324
OG0000225	Praa.g_00345	Syaf.g_00007
OG0000226	Praa.g_00349	Syaf.g_00003
OG0000227	Praa.g_00351	Syaf.g_00001
OG0000228	Praa.g_00354	Syaf.g_02808
OG0000229	Praa.g_00436	Syaf.g_01214
OG0000230	Praa.g_00437	Syaf.g_01216
OG0000231	Praa.g_00448	Syaf.g_01236
OG0000232	Praa.g_00457	Syaf.g_02536
OG0000233	Praa.g_00463	Syaf.g_02528
OG0000234	Praa.g_00476	Syaf.g_02497
OG0000235	Praa.g_00479	Syaf.g_02722
OG0000236	Praa.g_00493	Syaf.g_02707
OG0000237	Praa.g_00506	Syaf.g_02690
OG0000238	Praa.g_00512	Syaf.g_02685
OG0000239	Praa.g_00525	Syaf.g_02669
OG0000240	Praa.g_00526	Syaf.g_02668
OG0000241	Praa.g_00530	Syaf.g_02322
OG0000242	Praa.g_00532	Syaf.g_02656
OG0000243	Praa.g_00544	Syaf.g_02634
OG0000244	Praa.g_00547	Syaf.g_02627
OG0000245	Praa.g_00549	Syaf.g_02625
OG0000246	Praa.g_00553	Syaf.g_02621
OG0000247	Praa.g_00563	Syaf.g_02610
OG0000248	Praa.g_00565	Syaf.g_02607
OG0000249	Praa.g_00567	Syaf.g_02605
OG0000250	Praa.g_00572	Syaf.g_02593
OG0000251	Praa.g_00591	Syaf.g_02568
OG0000252	Praa.g_00594	Syaf.g_02565
OG0000253	Praa.g_00595	Syaf.g_02564
OG0000254	Praa.g_00611	Syaf.g_02371
OG0000255	Praa.g_00617	Syaf.g_02352
OG0000256	Praa.g_00627	Syaf.g_02329
OG0000257	Praa.g_00630	Syaf.g_02323
OG0000258	Praa.g_00643	Syaf.g_02301
OG0000259	Praa.g_00660	Syaf.g_02137
OG0000260	Praa.g_00663	Syaf.g_02134
OG0000261	Praa.g_00665	Syaf.g_02131
OG0000262	Praa.g_00669	Syaf.g_02126
OG0000263	Praa.g_00681	Syaf.g_01585
OG0000264	Praa.g_00691	Syaf.g_01473
OG0000265	Praa.g_00711	Syaf.g_01196
OG0000266	Praa.g_00721	Syaf.g_01967
OG0000267	Praa.g_00732	Syaf.g_01787
OG0000268	Praa.g_00733	Syaf.g_01788
OG0000269	Praa.g_00798	Syaf.g_02054
OG0000270	Praa.g_00801	Syaf.g_02051
OG0000271	Praa.g_00809	Syaf.g_02043
OG0000272	Praa.g_00810, Praa.g_00811	Syaf.g_02042
OG0000273	Praa.g_00834	Syaf.g_01392
OG0000274	Praa.g_00835	Syaf.g_01391
OG0000275	Praa.g_00838	Syaf.g_01386
OG0000276	Praa.g_00843	Syaf.g_01379
OG0000277	Praa.g_00844	Syaf.g_01378
OG0000278	Praa.g_00847	Syaf.g_01375
OG0000279	Praa.g_00854	Syaf.g_01367
OG0000280	Praa.g_00855	Syaf.g_01337
OG0000281	Praa.g_00860	Syaf.g_01636
OG0000282	Praa.g_00909	Syaf.g_02101
OG0000283	Praa.g_00941	Syaf.g_01804
OG0000284	Praa.g_00946	Syaf.g_01810
OG0000285	Praa.g_00951	Syaf.g_01842
OG0000286	Praa.g_00963	Syaf.g_01860
OG0000288	Praa.g_01012	Syaf.g_01929
OG0000289	Praa.g_01023	Syaf.g_01943
OG0000290	Praa.g_01036	Syaf.g_01439
OG0000291	Praa.g_01038	Syaf.g_01441
OG0000292	Praa.g_01089	Syaf.g_00505
OG0000293	Praa.g_01151	Syaf.g_01277
OG0000294	Praa.g_01152	Syaf.g_01278
OG0000295	Praa.g_01171	Syaf.g_01316
OG0000296	Praa.g_01173	Syaf.g_01318
OG0000297	Praa.g_01181	Syaf.g_01607
OG0000298	Praa.g_01182	Syaf.g_01606
OG0000299	Praa.g_01199	Syaf.g_01578
OG0000300	Praa.g_01202	Syaf.g_01571
OG0000301	Praa.g_01203	Syaf.g_01570
OG0000302	Praa.g_01205	Syaf.g_01568
OG0000303	Praa.g_01212	Syaf.g_01559
OG0000304	Praa.g_01216	Syaf.g_01551
OG0000305	Praa.g_01358	Syaf.g_01444
OG0000306	Praa.g_01361	Syaf.g_01332
OG0000307	Praa.g_01375	Syaf.g_02742
OG0000308	Praa.g_01376	Syaf.g_02744
OG0000309	Praa.g_01380	Syaf.g_02749
OG0000310	Praa.g_01461	Syaf.g_02387
OG0000311	Praa.g_01463	Syaf.g_02391
OG0000312	Praa.g_01466	Syaf.g_02397
