Orthogroup	Species	Prah	Orthologs
OG0000000	Prav	Prah.g_00562	Prav.g_01466
OG0000000	Prag	Prah.g_00562	Prag.g_01382
OG0000000	Praw	Prah.g_00562	Praw.g_01009
OG0000000	Prad	Prah.g_00562	Prad.g_00601
OG0000000	Prai	Prah.g_00562	Prai.g_01363
OG0000000	Pras	Prah.g_00562	Pras.g_00243
OG0000000	Prau	Prah.g_00562	Prau.g_01402
OG0000000	Prax	Prah.g_00562	Prax.g_01870
OG0000000	Prbd	Prah.g_00562	Prbd.g_01771
OG0000000	Pray	Prah.g_00562	Pray.g_01836
OG0000000	Praz	Prah.g_00562	Praz.g_01146
OG0000000	Prba	Prah.g_00562	Prba.g_00203
OG0000000	Prbi	Prah.g_00562	Prbi.g_01432
OG0000000	Prac	Prah.g_00562	Prac.g_00210
OG0000000	Praq	Prah.g_00562	Praq.g_00168
OG0000000	Prar	Prah.g_00562	Prar.g_00918
OG0000000	Prae	Prah.g_00562	Prae.g_01361
OG0000000	Praa	Prah.g_00562	Praa.g_01359
OG0000000	Prao	Prah.g_00562	Prao.g_01246
OG0000000	Praj	Prah.g_00562	Praj.g_00832
OG0000000	Prbc	Prah.g_00562	Prbc.g_01920
OG0000000	Prbb	Prah.g_00562	Prbb.g_00844
OG0000000	Prbm	Prah.g_00562	Prbm.g_00874
OG0000000	Prak	Prah.g_00562	Prak.g_00908, Prak.g_00913
OG0000000	Prap	Prah.g_00562	Prap.g_00720, Prap.g_00715
OG0000000	Prbe	Prah.g_00562	Prbe.g_01285, Prbe.g_01290
OG0000000	Prbf	Prah.g_00562	Prbf.g_01182, Prbf.g_01177
OG0000000	Prbg	Prah.g_00562	Prbg.g_01222, Prbg.g_01227
OG0000000	Prbn	Prah.g_00562	Prbn.g_01483, Prbn.g_01478
OG0000000	Pram	Prah.g_00562	Pram.g_00873, Pram.g_00879
OG0000000	Prbh	Prah.g_00562	Prbh.g_01016, Prbh.g_01022
OG0000000	Pral	Prah.g_00562	Pral.g_01549, Pral.g_01554
OG0000000	Prat	Prah.g_00562	Prat.g_00977
OG0000000	Prbj	Prah.g_00562	Prbj.g_02517
OG0000000	Prbk	Prah.g_00562	Prbk.g_02574
OG0000000	Prbl	Prah.g_00562	Prbl.g_01582
OG0000000	Praf	Prah.g_00562	Praf.g_01631
OG0000000	Prbm	Prah.g_01226	Prbm.g_00712, Prbm.g_01578, Prbm.g_01577, Prbm.g_01582, Prbm.g_01576, Prbm.g_01581
OG0000000	Praj	Prah.g_01226	Praj.g_00670, Praj.g_01489, Praj.g_01488, Praj.g_01493, Praj.g_01487, Praj.g_01492
OG0000000	Prbc	Prah.g_01226	Prbc.g_01759, Prbc.g_01475, Prbc.g_01474, Prbc.g_01479, Prbc.g_01473, Prbc.g_01478
OG0000000	Prbb	Prah.g_01226	Prbb.g_00683, Prbb.g_01546, Prbb.g_01545, Prbb.g_01550, Prbb.g_01544, Prbb.g_01549
OG0000000	Pral	Prah.g_01226	Pral.g_01764, Pral.g_01340, Pral.g_00430, Pral.g_01342, Pral.g_01337, Pral.g_01052
OG0000000	Prat	Prah.g_01226	Prat.g_00751, Prat.g_01184, Prat.g_01487, Prat.g_01182, Prat.g_01187, Prat.g_01462
OG0000000	Prak	Prah.g_01226	Prak.g_00805, Prak.g_01202, Prak.g_01323, Prak.g_01200, Prak.g_01207, Prak.g_01494
