Orthogroup	Species	Prai	Orthologs
OG0000000	Prbj	Prai.g_01363	Prbj.g_02517
OG0000000	Prbk	Prai.g_01363	Prbk.g_02574
OG0000000	Prbl	Prai.g_01363	Prbl.g_01582
OG0000000	Praf	Prai.g_01363	Praf.g_01631
OG0000000	Prah	Prai.g_01363	Prah.g_00562
OG0000000	Praj	Prai.g_01363	Praj.g_00832
OG0000000	Prbc	Prai.g_01363	Prbc.g_01920
OG0000000	Prbb	Prai.g_01363	Prbb.g_00844
OG0000000	Prbm	Prai.g_01363	Prbm.g_00874
OG0000000	Prak	Prai.g_01363	Prak.g_00908, Prak.g_00913
OG0000000	Prap	Prai.g_01363	Prap.g_00720, Prap.g_00715
OG0000000	Prbe	Prai.g_01363	Prbe.g_01285, Prbe.g_01290
OG0000000	Prbf	Prai.g_01363	Prbf.g_01182, Prbf.g_01177
OG0000000	Prbg	Prai.g_01363	Prbg.g_01222, Prbg.g_01227
OG0000000	Prbn	Prai.g_01363	Prbn.g_01483, Prbn.g_01478
OG0000000	Pram	Prai.g_01363	Pram.g_00873, Pram.g_00879
OG0000000	Prbh	Prai.g_01363	Prbh.g_01016, Prbh.g_01022
OG0000000	Pral	Prai.g_01363	Pral.g_01549, Pral.g_01554
OG0000000	Prat	Prai.g_01363	Prat.g_00977
OG0000000	Prav	Prai.g_01363	Prav.g_01466
OG0000000	Prag	Prai.g_01363	Prag.g_01382
OG0000000	Praw	Prai.g_01363	Praw.g_01009
OG0000000	Pras	Prai.g_01363	Pras.g_00243
OG0000000	Prau	Prai.g_01363	Prau.g_01402
OG0000000	Prax	Prai.g_01363	Prax.g_01870
OG0000000	Prbd	Prai.g_01363	Prbd.g_01771
OG0000000	Pray	Prai.g_01363	Pray.g_01836
OG0000000	Praz	Prai.g_01363	Praz.g_01146
OG0000000	Prba	Prai.g_01363	Prba.g_00203
OG0000000	Prbi	Prai.g_01363	Prbi.g_01432
OG0000000	Prac	Prai.g_01363	Prac.g_00210
OG0000000	Praq	Prai.g_01363	Praq.g_00168
OG0000000	Prar	Prai.g_01363	Prar.g_00918
OG0000000	Prae	Prai.g_01363	Prae.g_01361
OG0000000	Praa	Prai.g_01363	Praa.g_01359
OG0000000	Prao	Prai.g_01363	Prao.g_01246
OG0000000	Prad	Prai.g_01363	Prad.g_00601
OG0000000	Prbj	Prai.g_00707	Prbj.g_00030
OG0000000	Prbk	Prai.g_00707	Prbk.g_01649
OG0000000	Prbl	Prai.g_00707	Prbl.g_01092
OG0000000	Praf	Prai.g_00707	Praf.g_00948
OG0000000	Prah	Prai.g_00707	Prah.g_01226
OG0000000	Prbm	Prai.g_00707	Prbm.g_00712, Prbm.g_01578, Prbm.g_01577, Prbm.g_01582, Prbm.g_01576, Prbm.g_01581
OG0000000	Praj	Prai.g_00707	Praj.g_00670, Praj.g_01489, Praj.g_01488, Praj.g_01493, Praj.g_01487, Praj.g_01492
OG0000000	Prbc	Prai.g_00707	Prbc.g_01759, Prbc.g_01475, Prbc.g_01474, Prbc.g_01479, Prbc.g_01473, Prbc.g_01478
OG0000000	Prbb	Prai.g_00707	Prbb.g_00683, Prbb.g_01546, Prbb.g_01545, Prbb.g_01550, Prbb.g_01544, Prbb.g_01549
OG0000000	Pral	Prai.g_00707	Pral.g_01764, Pral.g_01340, Pral.g_00430, Pral.g_01342, Pral.g_01337, Pral.g_01052
OG0000000	Prat	Prai.g_00707	Prat.g_00751, Prat.g_01184, Prat.g_01487, Prat.g_01182, Prat.g_01187, Prat.g_01462
OG0000000	Prak	Prai.g_00707	Prak.g_00805, Prak.g_01202, Prak.g_01323, Prak.g_01200, Prak.g_01207, Prak.g_01494
