Orthogroup	Syad	Syam
OG0000001	Syad.g_00628	Syam.g_00946
OG0000001	Syad.g_02864	Syam.g_02177
OG0000001	Syad.g_01238	Syam.g_00929
OG0000002	Syad.g_00619	Syam.g_00931
OG0000004	Syad.g_01304	Syam.g_00787
OG0000004	Syad.g_02184	Syam.g_01499
OG0000004	Syad.g_00810	Syam.g_00501
OG0000005	Syad.g_02639	Syam.g_02004
OG0000005	Syad.g_02596	Syam.g_01970
OG0000005	Syad.g_02028	Syam.g_00715, Syam.g_01029
OG0000006	Syad.g_00588, Syad.g_00829	Syam.g_00286, Syam.g_00518
OG0000006	Syad.g_02130	Syam.g_01446
OG0000007	Syad.g_00923	Syam.g_00602
OG0000007	Syad.g_02623	Syam.g_01990
OG0000008	Syad.g_01371	Syam.g_00811
OG0000009	Syad.g_02799	Syam.g_02119
OG0000010	Syad.g_02354	Syam.g_01669
OG0000012	Syad.g_01579, Syad.g_01008	Syam.g_00794, Syam.g_00994
OG0000012	Syad.g_02176	Syam.g_01492
OG0000013	Syad.g_00737	Syam.g_00421
OG0000013	Syad.g_00724	Syam.g_00404
OG0000013	Syad.g_00729	Syam.g_00409
OG0000014	Syad.g_00480	Syam.g_00191
OG0000015	Syad.g_01600, Syad.g_01601	Syam.g_01218
OG0000016	Syad.g_00176	Syam.g_00014
OG0000016	Syad.g_01460	Syam.g_00876
OG0000016	Syad.g_02065	Syam.g_01011
OG0000017	Syad.g_01091	Syam.g_01708
OG0000017	Syad.g_01084	Syam.g_01715
OG0000018	Syad.g_02306	Syam.g_01640
OG0000019	Syad.g_00569	Syam.g_00274
OG0000021	Syad.g_00874	Syam.g_00523
OG0000022	Syad.g_02090	Syam.g_01418
OG0000023	Syad.g_02337	Syam.g_01217, Syam.g_01553, Syam.g_01583, Syam.g_01075
OG0000023	Syad.g_01583	Syam.g_01943
OG0000024	Syad.g_01374	Syam.g_00815
OG0000025	Syad.g_01241	Syam.g_00740
OG0000026	Syad.g_00198	Syam.g_00035
OG0000027	Syad.g_01257	Syam.g_00989
OG0000028	Syad.g_00463	Syam.g_00176
OG0000029	Syad.g_02099	Syam.g_01390, Syam.g_01055
OG0000030	Syad.g_00328	Syam.g_00104
OG0000030	Syad.g_00327	Syam.g_00103
OG0000031	Syad.g_00458	Syam.g_00171
OG0000032	Syad.g_02326	Syam.g_01660
OG0000033	Syad.g_02903	Syam.g_02217
OG0000034	Syad.g_02420, Syad.g_02872	Syam.g_02185, Syam.g_01843, Syam.g_02187
OG0000035	Syad.g_02275	Syam.g_01612
OG0000037	Syad.g_02805	Syam.g_02125
OG0000038	Syad.g_03038	Syam.g_02317
OG0000039	Syad.g_01249	Syam.g_00749
OG0000040	Syad.g_00104	Syam.g_02390
OG0000041	Syad.g_02498	Syam.g_01899
OG0000041	Syad.g_01281	Syam.g_00765
OG0000042	Syad.g_00333	Syam.g_00107
OG0000043	Syad.g_02119	Syam.g_01041
OG0000044	Syad.g_02214	Syam.g_01562
OG0000046	Syad.g_00730	Syam.g_00410
OG0000046	Syad.g_00736	Syam.g_00420
OG0000047	Syad.g_00754	Syam.g_00434
OG0000048	Syad.g_00534	Syam.g_00243
OG0000052	Syad.g_00434	Syam.g_00161
OG0000053	Syad.g_02302	Syam.g_01636
OG0000054	Syad.g_02209	Syam.g_01515
OG0000055	Syad.g_01255	Syam.g_00754
OG0000057	Syad.g_01301	Syam.g_00784
OG0000058	Syad.g_00452	Syam.g_00169
OG0000059	Syad.g_00642	Syam.g_00320
OG0000060	Syad.g_01508	Syam.g_00902
OG0000061	Syad.g_01152	Syam.g_01795
OG0000062	Syad.g_02598	Syam.g_01972
OG0000063	Syad.g_00202	Syam.g_00039
OG0000064	Syad.g_00081, Syad.g_02125	Syam.g_02363
OG0000065	Syad.g_02801	Syam.g_02121
OG0000066	Syad.g_00992	Syam.g_00552, Syam.g_00662
OG0000067	Syad.g_01889	Syam.g_01290
OG0000068	Syad.g_00891	Syam.g_00575
OG0000070	Syad.g_02424	Syam.g_01847
OG0000071	Syad.g_02405	Syam.g_01830
OG0000072	Syad.g_02905	Syam.g_02219
OG0000073	Syad.g_00926	Syam.g_00604
OG0000075	Syad.g_00416	Syam.g_00148
OG0000076	Syad.g_00348	Syam.g_00115
OG0000077	Syad.g_02741	Syam.g_02074
OG0000078	Syad.g_00824	Syam.g_00514
OG0000079	Syad.g_00565	Syam.g_00270
OG0000081	Syad.g_00833	Syam.g_00520
OG0000082	Syad.g_01063	Syam.g_01730
OG0000085	Syad.g_02612	Syam.g_01979
OG0000086	Syad.g_02770	Syam.g_02092
OG0000087	Syad.g_02860	Syam.g_02175
OG0000088	Syad.g_02899	Syam.g_02213
OG0000089	Syad.g_00785	Syam.g_00489
OG0000090	Syad.g_00977	Syam.g_00651
OG0000091	Syad.g_02144	Syam.g_01460
OG0000093	Syad.g_01905	Syam.g_01305
OG0000094	Syad.g_01676	Syam.g_01198
OG0000095	Syad.g_01290	Syam.g_00774
OG0000097	Syad.g_01458	Syam.g_00874
OG0000098	Syad.g_00625	Syam.g_00944
OG0000099	Syad.g_00460	Syam.g_00173
OG0000100	Syad.g_01846	Syam.g_01259
OG0000101	Syad.g_00694	Syam.g_00371
OG0000102	Syad.g_00343	Syam.g_00110
OG0000103	Syad.g_00143	Syam.g_02428
OG0000104	Syad.g_00158	Syam.g_02442
OG0000105	Syad.g_00530	Syam.g_00238
OG0000106	Syad.g_01993	Syam.g_01039
OG0000107	Syad.g_00590	Syam.g_00288
OG0000108	Syad.g_00904	Syam.g_00583
OG0000109	Syad.g_00919	Syam.g_00598
OG0000110	Syad.g_01048	Syam.g_01743
OG0000111	Syad.g_01300	Syam.g_00783
OG0000112	Syad.g_01766	Syam.g_01115
OG0000113	Syad.g_01851	Syam.g_01264
OG0000114	Syad.g_01617	Syam.g_01349
OG0000115	Syad.g_02300	Syam.g_01634
OG0000116	Syad.g_01123	Syam.g_01807
OG0000117	Syad.g_01510	Syam.g_00904
OG0000118	Syad.g_01104	Syam.g_01698
OG0000120	Syad.g_00459	Syam.g_00172
OG0000121	Syad.g_02280	Syam.g_01615
OG0000122	Syad.g_02122	Syam.g_01436
OG0000123	Syad.g_00701	Syam.g_00379
OG0000124	Syad.g_00320	Syam.g_00096
OG0000125	Syad.g_03040	Syam.g_02319
OG0000126	Syad.g_00156	Syam.g_02440
OG0000127	Syad.g_02710, Syad.g_00058, Syad.g_00383	Syam.g_02032
OG0000128	Syad.g_00174	Syam.g_00012
OG0000129	Syad.g_03028	Syam.g_02307
OG0000130	Syad.g_02728	Syam.g_02062
OG0000131	Syad.g_02876	Syam.g_02191
OG0000132	Syad.g_02897	Syam.g_02211
OG0000133	Syad.g_01761	Syam.g_01120
OG0000134	Syad.g_00788	Syam.g_00492
OG0000135	Syad.g_00063	Syam.g_02347
OG0000136	Syad.g_02445	Syam.g_01857
OG0000137	Syad.g_02353	Syam.g_01668
OG0000138	Syad.g_00920	Syam.g_00599
OG0000139	Syad.g_00983	Syam.g_00657
OG0000140	Syad.g_00987	Syam.g_00659
OG0000141	Syad.g_02208	Syam.g_01514
OG0000142	Syad.g_02152	Syam.g_01468
OG0000143	Syad.g_02148	Syam.g_01464
OG0000144	Syad.g_02024	Syam.g_01032
OG0000145	Syad.g_00927	Syam.g_00605
OG0000146	Syad.g_01767	Syam.g_01114
OG0000147	Syad.g_01768	Syam.g_01113
OG0000148	Syad.g_01861	Syam.g_01270
OG0000149	Syad.g_01221	Syam.g_00725
OG0000150	Syad.g_02207, Syad.g_00989	Syam.g_00660
OG0000151	Syad.g_01956	Syam.g_01338
OG0000152	Syad.g_01757	Syam.g_01124
OG0000153	Syad.g_01713	Syam.g_01160
OG0000154	Syad.g_01686	Syam.g_01187
OG0000155	Syad.g_01189	Syam.g_01763
OG0000156	Syad.g_01116	Syam.g_01814
OG0000157	Syad.g_01115	Syam.g_01815
OG0000158	Syad.g_00374	Syam.g_00139
OG0000160	Syad.g_02279	Syam.g_01614
OG0000161	Syad.g_02287	Syam.g_01620
OG0000162	Syad.g_02293	Syam.g_01627
OG0000163	Syad.g_02542	Syam.g_01927
OG0000164	Syad.g_02659	Syam.g_02023
OG0000165	Syad.g_02476	Syam.g_01879, Syam.g_01878
OG0000166	Syad.g_00654	Syam.g_00330
OG0000167	Syad.g_00419	Syam.g_00151
OG0000168	Syad.g_00371	Syam.g_00138
OG0000169	Syad.g_00360	Syam.g_00127
OG0000170	Syad.g_00353	Syam.g_00120
OG0000171	Syad.g_00321	Syam.g_00097
OG0000172	Syad.g_00244	Syam.g_00075
OG0000173	Syad.g_00220	Syam.g_00057
OG0000174	Syad.g_00065	Syam.g_02349
OG0000175	Syad.g_00129	Syam.g_02417
OG0000176	Syad.g_00166	Syam.g_00004
OG0000177	Syad.g_00167	Syam.g_00005
OG0000178	Syad.g_00168	Syam.g_00006
OG0000179	Syad.g_00183	Syam.g_00021
OG0000180	Syad.g_00184	Syam.g_00022
OG0000181	Syad.g_00185	Syam.g_00023
OG0000182	Syad.g_00186	Syam.g_00024
OG0000183	Syad.g_00190	Syam.g_00028
OG0000184	Syad.g_03018	Syam.g_02298
OG0000185	Syad.g_03006	Syam.g_02295
OG0000186	Syad.g_02722	Syam.g_02058
OG0000187	Syad.g_02724	Syam.g_02059
OG0000188	Syad.g_02759	Syam.g_02081
OG0000189	Syad.g_02788	Syam.g_02108
OG0000190	Syad.g_02790	Syam.g_02110
OG0000191	Syad.g_02824	Syam.g_02142
OG0000192	Syad.g_02834	Syam.g_02148
OG0000193	Syad.g_02877	Syam.g_02192
OG0000194	Syad.g_02880	Syam.g_02195
OG0000195	Syad.g_02884	Syam.g_02197
OG0000196	Syad.g_02894	Syam.g_02208
OG0000197	Syad.g_02895	Syam.g_02209
OG0000198	Syad.g_02896	Syam.g_02210
OG0000199	Syad.g_02904	Syam.g_02218
OG0000200	Syad.g_02921	Syam.g_02234
OG0000201	Syad.g_02937	Syam.g_02248
OG0000202	Syad.g_02938	Syam.g_02249
OG0000203	Syad.g_02939	Syam.g_02250
OG0000204	Syad.g_02940	Syam.g_02251
OG0000205	Syad.g_02948	Syam.g_02258
OG0000206	Syad.g_02955	Syam.g_02264
OG0000207	Syad.g_02957	Syam.g_02266
OG0000208	Syad.g_02958	Syam.g_02267
OG0000209	Syad.g_02981	Syam.g_02278
OG0000210	Syad.g_02982	Syam.g_02279
OG0000211	Syad.g_00813	Syam.g_00504
OG0000212	Syad.g_00825	Syam.g_00515
OG0000213	Syad.g_00556	Syam.g_00263
OG0000214	Syad.g_00538	Syam.g_00247
OG0000215	Syad.g_00508	Syam.g_00216
OG0000216	Syad.g_00504	Syam.g_00212
OG0000217	Syad.g_00500	Syam.g_00208
OG0000218	Syad.g_00498	Syam.g_00206
OG0000219	Syad.g_00497	Syam.g_00205
OG0000220	Syad.g_00496	Syam.g_00204
OG0000221	Syad.g_00488	Syam.g_00198
OG0000222	Syad.g_00473	Syam.g_00186
OG0000223	Syad.g_00451	Syam.g_00168
OG0000224	Syad.g_00444	Syam.g_00164
OG0000225	Syad.g_00777	Syam.g_00473
OG0000226	Syad.g_00781	Syam.g_00477
OG0000227	Syad.g_00783	Syam.g_00479
OG0000228	Syad.g_00784	Syam.g_00488
OG0000229	Syad.g_02450	Syam.g_01867
OG0000230	Syad.g_02448	Syam.g_01865
OG0000231	Syad.g_02436	Syam.g_01848
OG0000232	Syad.g_02392	Syam.g_01692
OG0000233	Syad.g_02382	Syam.g_01678
OG0000234	Syad.g_02351	Syam.g_01667
OG0000235	Syad.g_00903	Syam.g_00582
OG0000236	Syad.g_00918	Syam.g_00597
OG0000237	Syad.g_00936	Syam.g_00614
OG0000238	Syad.g_00941	Syam.g_00619
OG0000239	Syad.g_00957	Syam.g_00637
OG0000240	Syad.g_00958	Syam.g_00638
OG0000241	Syad.g_02160	Syam.g_01477
OG0000242	Syad.g_00975	Syam.g_00649
OG0000243	Syad.g_01000	Syam.g_00668
OG0000244	Syad.g_01012	Syam.g_00674
OG0000245	Syad.g_01014	Syam.g_00676
OG0000246	Syad.g_01017	Syam.g_00680
OG0000247	Syad.g_01029	Syam.g_00692
OG0000248	Syad.g_01032	Syam.g_00695
OG0000249	Syad.g_01034	Syam.g_00697
OG0000250	Syad.g_01044	Syam.g_01747
OG0000251	Syad.g_01071	Syam.g_01722
OG0000252	Syad.g_01078	Syam.g_01719
OG0000253	Syad.g_01081	Syam.g_01718
OG0000254	Syad.g_02203	Syam.g_01510
OG0000255	Syad.g_02185	Syam.g_01500
OG0000256	Syad.g_02167	Syam.g_01484
OG0000257	Syad.g_02161	Syam.g_01478
OG0000258	Syad.g_02143	Syam.g_01459
OG0000259	Syad.g_01576	Syam.g_01378
OG0000260	Syad.g_01587	Syam.g_01375
OG0000261	Syad.g_01590	Syam.g_01372
OG0000262	Syad.g_01595	Syam.g_01367
OG0000263	Syad.g_01475	Syam.g_00885
OG0000264	Syad.g_01360	Syam.g_00805
OG0000266	Syad.g_01804	Syam.g_01234
OG0000267	Syad.g_01645	Syam.g_01071
OG0000268	Syad.g_01646	Syam.g_01072
OG0000269	Syad.g_01894	Syam.g_01295
OG0000270	Syad.g_01891	Syam.g_01292
OG0000271	Syad.g_01883	Syam.g_01284
OG0000272	Syad.g_01882	Syam.g_01283
OG0000273	Syad.g_01247	Syam.g_00745
OG0000274	Syad.g_01246	Syam.g_00744
OG0000275	Syad.g_01242	Syam.g_00741
OG0000276	Syad.g_01229	Syam.g_00733
OG0000277	Syad.g_01228	Syam.g_00732
OG0000278	Syad.g_01225	Syam.g_00729
OG0000279	Syad.g_01208	Syam.g_00721
OG0000280	Syad.g_01198	Syam.g_00701
