Orthogroup	Syad	Praf
OG0000001	Syad.g_00628	Praf.g_01895, Praf.g_00818, Praf.g_01896
OG0000001	Syad.g_02864	Praf.g_01031
OG0000001	Syad.g_02865	Praf.g_02422
OG0000002	Syad.g_00619	Praf.g_01631, Praf.g_00948
OG0000003	Syad.g_01931, Syad.g_01926, Syad.g_02599	Praf.g_02727
OG0000003	Syad.g_01998, Syad.g_02748, Syad.g_02240, Syad.g_01927, Syad.g_01929, Syad.g_02601, Syad.g_01996	Praf.g_02523, Praf.g_01086, Praf.g_02530, Praf.g_01260, Praf.g_02464, Praf.g_01101, Praf.g_01162, Praf.g_00199, Praf.g_00383, Praf.g_01762, Praf.g_02595, Praf.g_01088, Praf.g_01104, Praf.g_01995, Praf.g_00381, Praf.g_00343, Praf.g_00382, Praf.g_00473
OG0000003	Syad.g_01327, Syad.g_01331	Praf.g_01103
OG0000004	Syad.g_01304	Praf.g_01121
OG0000004	Syad.g_02184, Syad.g_00810	Praf.g_00743
OG0000005	Syad.g_02596	Praf.g_00503
OG0000006	Syad.g_00588, Syad.g_00829	Praf.g_00396, Praf.g_01719
OG0000007	Syad.g_00923	Praf.g_00614
OG0000007	Syad.g_02623	Praf.g_00480
OG0000008	Syad.g_01371	Praf.g_01224
OG0000009	Syad.g_02799	Praf.g_01768, Praf.g_00246
OG0000010	Syad.g_02354	Praf.g_01908
OG0000011	Syad.g_02006	Praf.g_01188, Praf.g_01190
OG0000012	Syad.g_02176	Praf.g_01668
OG0000013	Syad.g_00737, Syad.g_00724, Syad.g_00729	Praf.g_02073
OG0000014	Syad.g_00480	Praf.g_02319
OG0000015	Syad.g_01600, Syad.g_01601	Praf.g_01030, Praf.g_01033, Praf.g_01618
OG0000016	Syad.g_00176	Praf.g_00014
OG0000016	Syad.g_01460	Praf.g_00906
OG0000017	Syad.g_01091	Praf.g_00760
OG0000017	Syad.g_01084	Praf.g_00752
OG0000018	Syad.g_02306	Praf.g_01832
OG0000019	Syad.g_00569	Praf.g_00943
OG0000020	Syad.g_00845	Praf.g_01095
OG0000021	Syad.g_00874	Praf.g_00746
OG0000022	Syad.g_02090	Praf.g_00201, Praf.g_00965
OG0000024	Syad.g_01374	Praf.g_01139
OG0000025	Syad.g_01241	Praf.g_01591
OG0000026	Syad.g_00198	Praf.g_00037
OG0000028	Syad.g_00463	Praf.g_02333
OG0000029	Syad.g_02099	Praf.g_02647, Praf.g_02091
OG0000030	Syad.g_00328	Praf.g_00160
OG0000030	Syad.g_00327	Praf.g_00159
OG0000031	Syad.g_00294	Praf.g_00101
OG0000032	Syad.g_02326	Praf.g_01851
OG0000033	Syad.g_00289	Praf.g_02707, Praf.g_00098, Praf.g_00117
OG0000033	Syad.g_02903	Praf.g_02457
OG0000034	Syad.g_02420, Syad.g_02872	Praf.g_00783
OG0000035	Syad.g_02275	Praf.g_01794
OG0000037	Syad.g_02805	Praf.g_00240
OG0000038	Syad.g_03038	Praf.g_02660
OG0000039	Syad.g_01111	Praf.g_02541
OG0000041	Syad.g_02498	Praf.g_00426
OG0000042	Syad.g_00333	Praf.g_00164, Praf.g_00920
OG0000045	Syad.g_00964	Praf.g_00322
OG0000046	Syad.g_00723, Syad.g_00730, Syad.g_00736	Praf.g_02072
OG0000047	Syad.g_00754	Praf.g_01898, Praf.g_01864
OG0000048	Syad.g_00534	Praf.g_02267
OG0000050	Syad.g_02478	Praf.g_01105
OG0000051	Syad.g_00842	Praf.g_01022
OG0000052	Syad.g_00434	Praf.g_02366
