Orthogroup	Syad	Prbe
OG0000001	Syad.g_00628	Prbe.g_00400, Prbe.g_00112
OG0000002	Syad.g_00619	Prbe.g_01285, Prbe.g_01290, Prbe.g_01579, Prbe.g_00379, Prbe.g_01577, Prbe.g_01584, Prbe.g_00208, Prbe.g_00452
OG0000004	Syad.g_01304	Prbe.g_01203
OG0000004	Syad.g_02184, Syad.g_00810	Prbe.g_01784
OG0000005	Syad.g_02596	Prbe.g_00228
OG0000006	Syad.g_00588, Syad.g_00829	Prbe.g_01794
OG0000007	Syad.g_00923	Prbe.g_00636
OG0000007	Syad.g_02623	Prbe.g_00985
OG0000008	Syad.g_01371	Prbe.g_00037
OG0000009	Syad.g_01952, Syad.g_00868	Prbe.g_00216
OG0000010	Syad.g_02354	Prbe.g_00096, Prbe.g_01411, Prbe.g_00659
OG0000011	Syad.g_02680	Prbe.g_00713
OG0000012	Syad.g_01702	Prbe.g_00196
OG0000012	Syad.g_02176	Prbe.g_00511
OG0000013	Syad.g_00737, Syad.g_00724, Syad.g_00729	Prbe.g_01879
OG0000014	Syad.g_00480	Prbe.g_01861
OG0000015	Syad.g_01600, Syad.g_01601	Prbe.g_01046, Prbe.g_01000
OG0000016	Syad.g_01460, Syad.g_02065	Prbe.g_01607
OG0000017	Syad.g_01091	Prbe.g_00529
OG0000017	Syad.g_01084	Prbe.g_00536
OG0000018	Syad.g_02306	Prbe.g_01571, Prbe.g_01250
OG0000019	Syad.g_00569	Prbe.g_01802, Prbe.g_01573
OG0000020	Syad.g_00845	Prbe.g_00204, Prbe.g_00018
OG0000021	Syad.g_00874	Prbe.g_01208
OG0000022	Syad.g_02090	Prbe.g_00220
OG0000023	Syad.g_01701, Syad.g_02337, Syad.g_01583	Prbe.g_00062
OG0000024	Syad.g_01374	Prbe.g_01415, Prbe.g_00449
OG0000025	Syad.g_01241	Prbe.g_01258
OG0000026	Syad.g_00198	Prbe.g_00132
OG0000027	Syad.g_01257	Prbe.g_01121, Prbe.g_00012
OG0000028	Syad.g_00463	Prbe.g_00034
OG0000029	Syad.g_02099	Prbe.g_01091, Prbe.g_00025, Prbe.g_01054, Prbe.g_01133
OG0000030	Syad.g_00328, Syad.g_00327	Prbe.g_00763
OG0000031	Syad.g_00294	Prbe.g_00352
OG0000032	Syad.g_02326	Prbe.g_00272
OG0000033	Syad.g_00289	Prbe.g_00345
OG0000033	Syad.g_02903	Prbe.g_01717
OG0000034	Syad.g_02420, Syad.g_02872	Prbe.g_00882
OG0000035	Syad.g_02275	Prbe.g_00311
OG0000037	Syad.g_02805	Prbe.g_01651
OG0000038	Syad.g_03038	Prbe.g_01156
OG0000039	Syad.g_01249, Syad.g_01111	Prbe.g_00461
OG0000041	Syad.g_02498	Prbe.g_00938
OG0000042	Syad.g_00333	Prbe.g_00766
OG0000043	Syad.g_02119	Prbe.g_01570
OG0000046	Syad.g_00723, Syad.g_00730, Syad.g_00736	Prbe.g_01880
OG0000047	Syad.g_00754	Prbe.g_01921
OG0000048	Syad.g_00534	Prbe.g_00906, Prbe.g_01825
OG0000050	Syad.g_02114	Prbe.g_00098
OG0000052	Syad.g_00434	Prbe.g_00333
OG0000053	Syad.g_02302	Prbe.g_01040, Prbe.g_00290
OG0000054	Syad.g_02209	Prbe.g_00527
OG0000055	Syad.g_01255	Prbe.g_01598
OG0000057	Syad.g_01301	Prbe.g_01206
OG0000058	Syad.g_00452	Prbe.g_00351
OG0000059	Syad.g_00642	Prbe.g_01094
OG0000061	Syad.g_01152	Prbe.g_01549
OG0000062	Syad.g_02598	Prbe.g_00226
OG0000063	Syad.g_00202	Prbe.g_00021
OG0000064	Syad.g_00873, Syad.g_00081, Syad.g_02125	Prbe.g_00172
OG0000065	Syad.g_02574, Syad.g_02801	Prbe.g_01649
OG0000066	Syad.g_00992	Prbe.g_00596, Prbe.g_01114
OG0000067	Syad.g_01889	Prbe.g_01222
OG0000068	Syad.g_00891	Prbe.g_00373
OG0000070	Syad.g_02424	Prbe.g_01948
OG0000071	Syad.g_02405	Prbe.g_00893
OG0000072	Syad.g_02905	Prbe.g_01719
OG0000073	Syad.g_00926	Prbe.g_00633
OG0000075	Syad.g_00416	Prbe.g_00800
OG0000076	Syad.g_00348	Prbe.g_00774
OG0000077	Syad.g_02741	Prbe.g_00183
OG0000078	Syad.g_00824	Prbe.g_01792
OG0000079	Syad.g_00565	Prbe.g_01805
OG0000081	Syad.g_00833	Prbe.g_00604
OG0000082	Syad.g_01063	Prbe.g_00549, Prbe.g_00996
OG0000084	Syad.g_02272	Prbe.g_00314
OG0000085	Syad.g_02612	Prbe.g_00993, Prbe.g_00007
OG0000086	Syad.g_02770	Prbe.g_00192
OG0000087	Syad.g_02860	Prbe.g_01683
OG0000088	Syad.g_02899	Prbe.g_01714
OG0000089	Syad.g_00785, Syad.g_02829	Prbe.g_01915
OG0000090	Syad.g_00977	Prbe.g_00602
OG0000091	Syad.g_02144	Prbe.g_01477
OG0000092	Syad.g_01190	Prbe.g_00422
OG0000097	Syad.g_01458	Prbe.g_01503
OG0000098	Syad.g_00625	Prbe.g_00397
OG0000099	Syad.g_00460	Prbe.g_00350
OG0000100	Syad.g_01846	Prbe.g_00232
OG0000101	Syad.g_00694	Prbe.g_00836
OG0000102	Syad.g_00343	Prbe.g_00769
OG0000103	Syad.g_00143	Prbe.g_01195
OG0000104	Syad.g_00158	Prbe.g_01061
OG0000105	Syad.g_00530	Prbe.g_01828
OG0000106	Syad.g_01993	Prbe.g_00740
OG0000107	Syad.g_00590	Prbe.g_00921
OG0000108	Syad.g_00904	Prbe.g_00653
OG0000109	Syad.g_00919	Prbe.g_00639
OG0000110	Syad.g_01048	Prbe.g_00560
OG0000111	Syad.g_01300	Prbe.g_01207
OG0000112	Syad.g_01766	Prbe.g_00487
OG0000113	Syad.g_01851	Prbe.g_01245
OG0000114	Syad.g_01617	Prbe.g_00417
OG0000115	Syad.g_02300	Prbe.g_01618
OG0000116	Syad.g_01123	Prbe.g_01560
OG0000117	Syad.g_01510	Prbe.g_01522
OG0000118	Syad.g_01104	Prbe.g_00880
OG0000119	Syad.g_01168	Prbe.g_01603, Prbe.g_00214
OG0000120	Syad.g_00459	Prbe.g_00353
OG0000121	Syad.g_02280	Prbe.g_00309
