Orthogroup	Syad	Prak
OG0000001	Syad.g_00628	Prak.g_01302, Prak.g_00755
OG0000002	Syad.g_00619	Prak.g_00908, Prak.g_00913, Prak.g_01202, Prak.g_01323, Prak.g_01200, Prak.g_01207, Prak.g_01494, Prak.g_00805
OG0000004	Syad.g_01304	Prak.g_00826
OG0000004	Syad.g_02184, Syad.g_00810	Prak.g_00248
OG0000005	Syad.g_02596	Prak.g_01474
OG0000006	Syad.g_00588, Syad.g_00829	Prak.g_00258
OG0000007	Syad.g_00923	Prak.g_00458
OG0000007	Syad.g_02623	Prak.g_01645
OG0000008	Syad.g_01371	Prak.g_01545, Prak.g_01546
OG0000009	Syad.g_01952, Syad.g_00868	Prak.g_01486
OG0000010	Syad.g_02354	Prak.g_00739, Prak.g_01034, Prak.g_00435
OG0000011	Syad.g_02680	Prak.g_00660
OG0000012	Syad.g_01702	Prak.g_01506
OG0000012	Syad.g_02176	Prak.g_00584
OG0000013	Syad.g_00737, Syad.g_00724, Syad.g_00729	Prak.g_00343
OG0000014	Syad.g_00480	Prak.g_00325
OG0000015	Syad.g_01600, Syad.g_01601	Prak.g_01584, Prak.g_01630
OG0000016	Syad.g_00176	Prak.g_00013
OG0000016	Syad.g_01460, Syad.g_02065	Prak.g_01230
OG0000017	Syad.g_01091	Prak.g_00566
OG0000017	Syad.g_01084	Prak.g_00559
OG0000018	Syad.g_02306	Prak.g_01194, Prak.g_00873
OG0000019	Syad.g_00569	Prak.g_00266, Prak.g_01196
OG0000020	Syad.g_00845	Prak.g_01498, Prak.g_01527
OG0000021	Syad.g_00874	Prak.g_00831
OG0000022	Syad.g_02090	Prak.g_01482
OG0000023	Syad.g_01701, Syad.g_02337, Syad.g_01583	Prak.g_00721
OG0000024	Syad.g_01374	Prak.g_01038, Prak.g_00802
OG0000025	Syad.g_01241	Prak.g_00881
OG0000026	Syad.g_00198	Prak.g_00032
OG0000027	Syad.g_01257	Prak.g_01564, Prak.g_01521
OG0000028	Syad.g_00463	Prak.g_01543
OG0000029	Syad.g_02099	Prak.g_01735, Prak.g_01534, Prak.g_01576
OG0000030	Syad.g_00328, Syad.g_00327	Prak.g_01853
OG0000031	Syad.g_00294	Prak.g_01350
OG0000032	Syad.g_02326	Prak.g_01430
OG0000033	Syad.g_00289	Prak.g_01357
OG0000033	Syad.g_02903	Prak.g_00181
OG0000034	Syad.g_02420, Syad.g_02872	Prak.g_01288
OG0000035	Syad.g_02275	Prak.g_01391
OG0000037	Syad.g_02805	Prak.g_00115
OG0000038	Syad.g_03038	Prak.g_01893
OG0000039	Syad.g_01249, Syad.g_01111	Prak.g_00814
OG0000041	Syad.g_02498	Prak.g_01692
OG0000042	Syad.g_00333	Prak.g_01850
OG0000043	Syad.g_02119	Prak.g_01193
OG0000046	Syad.g_00723, Syad.g_00730, Syad.g_00736	Prak.g_00344
OG0000047	Syad.g_00754	Prak.g_00385
OG0000048	Syad.g_00534	Prak.g_01264, Prak.g_00289
OG0000050	Syad.g_02114	Prak.g_00741
OG0000052	Syad.g_00434	Prak.g_01369
