Orthogroup	Syad	Prae
OG0000001	Syad.g_00628	Prae.g_01353, Prae.g_01236, Prae.g_01223, Prae.g_01224
OG0000002	Syad.g_00619	Prae.g_01361, Prae.g_00652
OG0000004	Syad.g_01304	Prae.g_00669
OG0000004	Syad.g_02184, Syad.g_00810	Prae.g_00235
OG0000005	Syad.g_02639	Prae.g_01636
OG0000005	Syad.g_02596	Prae.g_01535
OG0000006	Syad.g_00588, Syad.g_00829	Prae.g_00244
OG0000007	Syad.g_00923	Prae.g_00471
OG0000007	Syad.g_02623	Prae.g_01623
OG0000009	Syad.g_01952, Syad.g_00868	Prae.g_01270, Prae.g_01572
OG0000010	Syad.g_02354	Prae.g_01048, Prae.g_00448
OG0000011	Syad.g_02006	Prae.g_01291
OG0000011	Syad.g_02680	Prae.g_00398
OG0000012	Syad.g_01702, Syad.g_01136, Syad.g_01579, Syad.g_01008, Syad.g_02176	Prae.g_00597
OG0000013	Syad.g_00737, Syad.g_00724, Syad.g_00729	Prae.g_00328
OG0000014	Syad.g_00480	Prae.g_00307
OG0000015	Syad.g_01600, Syad.g_01601	Prae.g_00769, Prae.g_01235
OG0000016	Syad.g_00176	Prae.g_00013
OG0000017	Syad.g_01084	Prae.g_00572
OG0000018	Syad.g_02306	Prae.g_01144, Prae.g_00833
OG0000019	Syad.g_00569	Prae.g_00252, Prae.g_00786
OG0000020	Syad.g_00845	Prae.g_01107
OG0000022	Syad.g_02090	Prae.g_00764, Prae.g_01125
OG0000023	Syad.g_01701, Syad.g_02337, Syad.g_01583	Prae.g_00359
OG0000024	Syad.g_01374	Prae.g_00748, Prae.g_00649
OG0000025	Syad.g_01241	Prae.g_00840, Prae.g_00332
OG0000026	Syad.g_00198	Prae.g_00031, Prae.g_01056
OG0000027	Syad.g_01257	Prae.g_00444, Prae.g_01311
OG0000028	Syad.g_00463	Prae.g_00321
OG0000029	Syad.g_02099	Prae.g_00375, Prae.g_00755
OG0000030	Syad.g_00328, Syad.g_00327	Prae.g_01825
OG0000033	Syad.g_00289	Prae.g_01396
OG0000033	Syad.g_02903	Prae.g_00172
OG0000034	Syad.g_02420, Syad.g_02872	Prae.g_01339
OG0000035	Syad.g_02275	Prae.g_01459
OG0000037	Syad.g_02805	Prae.g_00108
OG0000038	Syad.g_03038	Prae.g_01865
OG0000039	Syad.g_01249, Syad.g_01111	Prae.g_00660
OG0000041	Syad.g_02498	Prae.g_01669
OG0000042	Syad.g_00333	Prae.g_01822
OG0000043	Syad.g_02119	Prae.g_00876
OG0000047	Syad.g_00754	Prae.g_00331
OG0000048	Syad.g_00534	Prae.g_00374
OG0000051	Syad.g_00842	Prae.g_01294
OG0000052	Syad.g_00434	Prae.g_01416
OG0000053	Syad.g_02302	Prae.g_01479
OG0000054	Syad.g_02209	Prae.g_00580
OG0000055	Syad.g_01255	Prae.g_00787
OG0000057	Syad.g_01301	Prae.g_00672
OG0000058	Syad.g_00452	Prae.g_01417, Prae.g_01406
OG0000059	Syad.g_00642	Prae.g_01710
OG0000060	Syad.g_01508	Prae.g_01238
OG0000061	Syad.g_01152	Prae.g_01422, Prae.g_01163
OG0000063	Syad.g_00202	Prae.g_00033
OG0000065	Syad.g_02574, Syad.g_02801	Prae.g_00106
OG0000066	Syad.g_00992	Prae.g_00514
OG0000067	Syad.g_01889	Prae.g_00806
OG0000068	Syad.g_00891	Prae.g_01368
OG0000070	Syad.g_02424	Prae.g_00424
OG0000071	Syad.g_02405	Prae.g_01329
OG0000072	Syad.g_02905	Prae.g_00174
OG0000073	Syad.g_00926	Prae.g_00473
OG0000075	Syad.g_00416	Prae.g_01791
OG0000076	Syad.g_00348	Prae.g_01815
OG0000077	Syad.g_02741	Prae.g_00078
OG0000078	Syad.g_00824	Prae.g_00242
OG0000079	Syad.g_00565	Prae.g_00255
OG0000081	Syad.g_00833	Prae.g_00505
OG0000082	Syad.g_01063	Prae.g_00559
OG0000084	Syad.g_02272	Prae.g_01455
