Orthogroup	Syad	Prbj
OG0000001	Syad.g_00628	Prbj.g_00672, Prbj.g_00169
OG0000001	Syad.g_02865	Prbj.g_01549, Prbj.g_02662
OG0000002	Syad.g_00619	Prbj.g_02517, Prbj.g_00030
OG0000003	Syad.g_01931, Syad.g_01926, Syad.g_02599	Prbj.g_02017
OG0000003	Syad.g_01998, Syad.g_02748, Syad.g_02240, Syad.g_01927, Syad.g_01929, Syad.g_02601, Syad.g_01996	Prbj.g_00170, Prbj.g_01574, Prbj.g_02693, Prbj.g_02694, Prbj.g_00096, Prbj.g_02605, Prbj.g_00226, Prbj.g_00059, Prbj.g_00058, Prbj.g_00079
OG0000003	Syad.g_01327, Syad.g_01331	Prbj.g_01916, Prbj.g_01831
OG0000004	Syad.g_01304	Prbj.g_00754
OG0000004	Syad.g_02184, Syad.g_00810	Prbj.g_01777
OG0000005	Syad.g_02596	Prbj.g_00883
OG0000006	Syad.g_00588, Syad.g_00829	Prbj.g_02699
OG0000007	Syad.g_00923	Prbj.g_01610
OG0000007	Syad.g_02623	Prbj.g_00857
OG0000008	Syad.g_01371	Prbj.g_00928
OG0000009	Syad.g_02799	Prbj.g_01300, Prbj.g_00618
OG0000010	Syad.g_02354	Prbj.g_00129
OG0000011	Syad.g_02006	Prbj.g_00897
OG0000012	Syad.g_02176	Prbj.g_02552
OG0000013	Syad.g_00737, Syad.g_00724, Syad.g_00729	Prbj.g_00359
OG0000014	Syad.g_00480	Prbj.g_01442
OG0000015	Syad.g_01600, Syad.g_01601	Prbj.g_02502
OG0000017	Syad.g_01091	Prbj.g_01761
OG0000017	Syad.g_01084	Prbj.g_01769
OG0000018	Syad.g_02306	Prbj.g_00641
OG0000019	Syad.g_00569	Prbj.g_00025
OG0000020	Syad.g_00845	Prbj.g_00046, Prbj.g_00214, Prbj.g_02701
OG0000021	Syad.g_00874	Prbj.g_01774
OG0000022	Syad.g_02090	Prbj.g_01572, Prbj.g_00050
OG0000023	Syad.g_01701, Syad.g_02337, Syad.g_01583	Prbj.g_02392
OG0000024	Syad.g_01374	Prbj.g_00773
OG0000025	Syad.g_01241	Prbj.g_02475
OG0000026	Syad.g_00198	Prbj.g_01204
OG0000028	Syad.g_00463	Prbj.g_01457
OG0000029	Syad.g_02099	Prbj.g_00378
OG0000030	Syad.g_00328	Prbj.g_01288
OG0000030	Syad.g_00327	Prbj.g_01287
OG0000032	Syad.g_02326	Prbj.g_00659
OG0000033	Syad.g_02903	Prbj.g_00518
OG0000034	Syad.g_02420, Syad.g_02872	Prbj.g_01740
OG0000035	Syad.g_02275	Prbj.g_01056
OG0000037	Syad.g_02805	Prbj.g_00624
OG0000038	Syad.g_03038	Prbj.g_01959
OG0000039	Syad.g_01111	Prbj.g_00278
OG0000041	Syad.g_02498	Prbj.g_00450
OG0000042	Syad.g_00333	Prbj.g_01808, Prbj.g_00001
OG0000045	Syad.g_00964	Prbj.g_00563
OG0000046	Syad.g_00723, Syad.g_00730, Syad.g_00736	Prbj.g_00358
OG0000047	Syad.g_00754	Prbj.g_02509, Prbj.g_00666
OG0000048	Syad.g_00534	Prbj.g_01393
OG0000051	Syad.g_00842	Prbj.g_00705
OG0000052	Syad.g_00434	Prbj.g_01487
OG0000053	Syad.g_02302	Prbj.g_00638
OG0000054	Syad.g_02209	Prbj.g_01758
OG0000056	Syad.g_01997, Syad.g_01971, Syad.g_01409, Syad.g_02690, Syad.g_01425, Syad.g_00400, Syad.g_01999, Syad.g_01346, Syad.g_02228, Syad.g_02691	Prbj.g_00371, Prbj.g_01125
OG0000057	Syad.g_01301	Prbj.g_00758
OG0000059	Syad.g_00642	Prbj.g_01521
OG0000060	Syad.g_00899	Prbj.g_01633
OG0000061	Syad.g_01152	Prbj.g_00971
OG0000062	Syad.g_02598	Prbj.g_00881
OG0000063	Syad.g_00202	Prbj.g_01208
OG0000065	Syad.g_02574, Syad.g_02801	Prbj.g_00620
OG0000066	Syad.g_00992	Prbj.g_02141
OG0000067	Syad.g_01889	Prbj.g_02412
OG0000068	Syad.g_00891	Prbj.g_01639
OG0000070	Syad.g_02424	Prbj.g_00118
OG0000071	Syad.g_02405	Prbj.g_01728
OG0000072	Syad.g_02905	Prbj.g_00516
OG0000073	Syad.g_00926	Prbj.g_01608
OG0000075	Syad.g_00416	Prbj.g_01502
OG0000076	Syad.g_00348	Prbj.g_01598
OG0000077	Syad.g_02741	Prbj.g_00576, Prbj.g_01900
OG0000078	Syad.g_00824	Prbj.g_02614
OG0000079	Syad.g_00565	Prbj.g_01353
OG0000081	Syad.g_00833	Prbj.g_00765
OG0000082	Syad.g_01063	Prbj.g_01789
OG0000084	Syad.g_02272	Prbj.g_01052
OG0000085	Syad.g_02612	Prbj.g_00869
OG0000086	Syad.g_02770	Prbj.g_00589
OG0000087	Syad.g_02860	Prbj.g_01547
OG0000088	Syad.g_02899	Prbj.g_00912, Prbj.g_00521
OG0000089	Syad.g_00785, Syad.g_02829	Prbj.g_00064
OG0000090	Syad.g_00977	Prbj.g_02127
OG0000091	Syad.g_02144	Prbj.g_02581
OG0000093	Syad.g_01905	Prbj.g_02388
OG0000095	Syad.g_01290	Prbj.g_01838
OG0000097	Syad.g_01458	Prbj.g_02152
OG0000098	Syad.g_00625	Prbj.g_00669
OG0000099	Syad.g_00460	Prbj.g_01464
OG0000100	Syad.g_01846	Prbj.g_00185, Prbj.g_02442
OG0000101	Syad.g_00694	Prbj.g_00981
OG0000102	Syad.g_00343	Prbj.g_01819
OG0000103	Syad.g_00143	Prbj.g_02055
OG0000104	Syad.g_00158	Prbj.g_02069
OG0000105	Syad.g_00530	Prbj.g_01397
OG0000106	Syad.g_01993	Prbj.g_00875
OG0000107	Syad.g_00590	Prbj.g_02659
OG0000108	Syad.g_00904	Prbj.g_01630
OG0000109	Syad.g_00919	Prbj.g_01614
OG0000110	Syad.g_01048	Prbj.g_01801
OG0000111	Syad.g_01300	Prbj.g_00759
OG0000112	Syad.g_01766	Prbj.g_02276
OG0000113	Syad.g_01851	Prbj.g_02437
OG0000114	Syad.g_01617	Prbj.g_02340
OG0000115	Syad.g_02300	Prbj.g_00634
OG0000116	Syad.g_01123	Prbj.g_00956
OG0000117	Syad.g_01510	Prbj.g_01915
OG0000118	Syad.g_01104	Prbj.g_01742
OG0000119	Syad.g_01168	Prbj.g_00740, Prbj.g_00778
OG0000120	Syad.g_00459	Prbj.g_01465
OG0000121	Syad.g_02280	Prbj.g_01064, Prbj.g_01058
OG0000122	Syad.g_02122	Prbj.g_02627
OG0000123	Syad.g_00701	Prbj.g_00406
OG0000124	Syad.g_00320	Prbj.g_01281
OG0000125	Syad.g_03040	Prbj.g_01963
OG0000126	Syad.g_00156	Prbj.g_02067
OG0000128	Syad.g_00174	Prbj.g_02085
OG0000129	Syad.g_03028	Prbj.g_01951
OG0000130	Syad.g_02728	Prbj.g_00564
OG0000131	Syad.g_02876	Prbj.g_00543
OG0000132	Syad.g_02897	Prbj.g_00523
OG0000133	Syad.g_01761	Prbj.g_01460
OG0000134	Syad.g_00788	Prbj.g_00067
OG0000135	Syad.g_00063	Prbj.g_02004
OG0000136	Syad.g_02445	Prbj.g_00105
