Orthogroup	Syad	Syac
OG0000001	Syad.g_00628	Syac.g_02154
OG0000001	Syad.g_02865	Syac.g_00341, Syac.g_00340
OG0000001	Syad.g_01238, Syad.g_00611	Syac.g_02169
OG0000002	Syad.g_00619	Syac.g_01084
OG0000004	Syad.g_01304	Syac.g_00898
OG0000004	Syad.g_02184	Syac.g_00948
OG0000004	Syad.g_00810	Syac.g_01975
OG0000005	Syad.g_02639	Syac.g_00527
OG0000005	Syad.g_02596	Syac.g_00569
OG0000005	Syad.g_02028	Syac.g_01087
OG0000006	Syad.g_00588, Syad.g_00829	Syac.g_01958, Syac.g_01961, Syac.g_02194
OG0000006	Syad.g_02130	Syac.g_01002
OG0000007	Syad.g_00923	Syac.g_01885
OG0000007	Syad.g_02623	Syac.g_00544
OG0000008	Syad.g_01371	Syac.g_00922
OG0000009	Syad.g_02799	Syac.g_00398
OG0000010	Syad.g_02354	Syac.g_01701
OG0000012	Syad.g_01579, Syad.g_01008	Syac.g_00758, Syac.g_01577
OG0000012	Syad.g_02176	Syac.g_00955
OG0000013	Syad.g_00737	Syac.g_02046
OG0000013	Syad.g_00724	Syac.g_02062
OG0000013	Syad.g_00729	Syac.g_02056
OG0000014	Syad.g_00480	Syac.g_00253
OG0000016	Syad.g_00176	Syac.g_00014
OG0000016	Syad.g_01460	Syac.g_01505
OG0000016	Syad.g_02065	Syac.g_01053
OG0000017	Syad.g_01091	Syac.g_01742
OG0000017	Syad.g_01084	Syac.g_01749
OG0000018	Syad.g_02306	Syac.g_01660
OG0000019	Syad.g_00569	Syac.g_02207
OG0000022	Syad.g_02090	Syac.g_01031
OG0000023	Syad.g_02337	Syac.g_00760
OG0000024	Syad.g_01374	Syac.g_00925
OG0000025	Syad.g_01241	Syac.g_00847
OG0000026	Syad.g_00198	Syac.g_00034
OG0000027	Syad.g_01257	Syac.g_01095
OG0000028	Syad.g_00463	Syac.g_00237
OG0000029	Syad.g_02099	Syac.g_01942
OG0000030	Syad.g_00328	Syac.g_00143
OG0000030	Syad.g_00327	Syac.g_00142
OG0000031	Syad.g_00458	Syac.g_00232
OG0000032	Syad.g_02326	Syac.g_01677
OG0000033	Syad.g_02903	Syac.g_00304
OG0000034	Syad.g_02420, Syad.g_02872	Syac.g_00334, Syac.g_00715
OG0000035	Syad.g_02275	Syac.g_01630
OG0000036	Syad.g_02714, Syad.g_02715	Syac.g_01722, Syac.g_01536
OG0000038	Syad.g_03038	Syac.g_02357
OG0000039	Syad.g_01249	Syac.g_00856
OG0000039	Syad.g_01111	Syac.g_02378
OG0000040	Syad.g_00104	Syac.g_02437
OG0000041	Syad.g_02498	Syac.g_00655
OG0000041	Syad.g_01281	Syac.g_00876
OG0000042	Syad.g_00333	Syac.g_00146
OG0000043	Syad.g_02119	Syac.g_01100
OG0000045	Syad.g_00964	Syac.g_00576
OG0000046	Syad.g_00730	Syac.g_02055
OG0000046	Syad.g_00736	Syac.g_02047
OG0000047	Syad.g_00754	Syac.g_02031
OG0000048	Syad.g_00534	Syac.g_02240
OG0000050	Syad.g_02478	Syac.g_01937
OG0000051	Syad.g_00842	Syac.g_01073
OG0000052	Syad.g_00434	Syac.g_00207
OG0000053	Syad.g_02302	Syac.g_01657
OG0000054	Syad.g_02209	Syac.g_00933
OG0000055	Syad.g_01255	Syac.g_00859
OG0000057	Syad.g_01301	Syac.g_00894
OG0000058	Syad.g_00452	Syac.g_00226
OG0000059	Syad.g_00642	Syac.g_02142
OG0000060	Syad.g_00899	Syac.g_01909
OG0000061	Syad.g_01152	Syac.g_00769
OG0000062	Syad.g_02598	Syac.g_00567
OG0000063	Syad.g_00202	Syac.g_00037
OG0000065	Syad.g_02574	Syac.g_00490
OG0000065	Syad.g_02801	Syac.g_00396
OG0000066	Syad.g_00992	Syac.g_01827
OG0000067	Syad.g_01889	Syac.g_01341
OG0000068	Syad.g_00891	Syac.g_01916
OG0000070	Syad.g_02424	Syac.g_00711
OG0000071	Syad.g_02405	Syac.g_00729
OG0000072	Syad.g_02905	Syac.g_00302
OG0000073	Syad.g_00926	Syac.g_01883
OG0000075	Syad.g_00416	Syac.g_00191
OG0000076	Syad.g_00348	Syac.g_00156
OG0000077	Syad.g_02741	Syac.g_00439
OG0000078	Syad.g_00824	Syac.g_01964
OG0000079	Syad.g_00565	Syac.g_02211
OG0000081	Syad.g_00833	Syac.g_01954
OG0000082	Syad.g_01063	Syac.g_01766
OG0000084	Syad.g_02272	Syac.g_01627
OG0000085	Syad.g_02612	Syac.g_00560
OG0000086	Syad.g_02770	Syac.g_00423
