Orthogroup	Syad	Syaa
OG0000001	Syad.g_02863, Syad.g_02862	Syaa.g_02435
OG0000001	Syad.g_02864	Syaa.g_02438, Syaa.g_02437
OG0000001	Syad.g_01238, Syad.g_00611	Syaa.g_02329
OG0000004	Syad.g_01304	Syaa.g_00892
OG0000004	Syad.g_02184	Syaa.g_01667
OG0000004	Syad.g_00810	Syaa.g_02116
OG0000005	Syad.g_02639	Syaa.g_00534
OG0000005	Syad.g_02596	Syaa.g_00573
OG0000005	Syad.g_02028	Syaa.g_01449
OG0000006	Syad.g_00588, Syad.g_00829	Syaa.g_01043, Syaa.g_02353, Syaa.g_02099
OG0000006	Syad.g_02130	Syaa.g_01611
OG0000007	Syad.g_00923	Syaa.g_02032
OG0000007	Syad.g_02623	Syaa.g_00551
OG0000008	Syad.g_01371	Syaa.g_00919
OG0000009	Syad.g_02799	Syaa.g_02378
OG0000010	Syad.g_02354	Syaa.g_01843
OG0000012	Syad.g_01579, Syad.g_01008	Syaa.g_02304
OG0000012	Syad.g_02176	Syaa.g_01660
OG0000013	Syad.g_00737	Syaa.g_02204
OG0000013	Syad.g_00724	Syaa.g_02217
OG0000013	Syad.g_00729	Syaa.g_02212
OG0000014	Syad.g_00480	Syaa.g_00222
OG0000015	Syad.g_00142	Syaa.g_02739
OG0000015	Syad.g_01600, Syad.g_01601	Syaa.g_01079
OG0000016	Syad.g_00176	Syaa.g_00014
OG0000016	Syad.g_01460	Syaa.g_00981
OG0000016	Syad.g_02065	Syaa.g_01481
OG0000017	Syad.g_01091	Syaa.g_01883
OG0000017	Syad.g_01084	Syaa.g_01890
OG0000018	Syad.g_02306	Syaa.g_01801
OG0000019	Syad.g_00569	Syaa.g_00307
OG0000021	Syad.g_00874	Syaa.g_02627
OG0000022	Syad.g_02090	Syaa.g_01571
OG0000023	Syad.g_01701	Syaa.g_01529
OG0000023	Syad.g_02337	Syaa.g_01216
OG0000024	Syad.g_01374	Syaa.g_00922
OG0000025	Syad.g_01241	Syaa.g_00839
OG0000026	Syad.g_00198	Syaa.g_00038
OG0000027	Syad.g_01257	Syaa.g_00854
OG0000028	Syad.g_00463	Syaa.g_00205
OG0000029	Syad.g_02099	Syaa.g_01578
OG0000030	Syad.g_00328	Syaa.g_00099
OG0000030	Syad.g_00327	Syaa.g_00098
OG0000031	Syad.g_00458	Syaa.g_00200
OG0000032	Syad.g_02326	Syaa.g_01818
OG0000033	Syad.g_00289	Syaa.g_00485
OG0000033	Syad.g_02903	Syaa.g_02478
OG0000034	Syad.g_02420, Syad.g_02872	Syaa.g_00722, Syaa.g_02444
OG0000035	Syad.g_02275	Syaa.g_01773
OG0000037	Syad.g_02805	Syaa.g_02384
OG0000038	Syad.g_03038	Syaa.g_02596
OG0000039	Syad.g_01249	Syaa.g_00846
OG0000040	Syad.g_00104	Syaa.g_02690
OG0000041	Syad.g_02498	Syaa.g_00660
OG0000041	Syad.g_01281	Syaa.g_00869
OG0000042	Syad.g_00333	Syaa.g_00103
OG0000043	Syad.g_02119	Syaa.g_01437
OG0000045	Syad.g_00964	Syaa.g_01518
OG0000046	Syad.g_00730	Syaa.g_02211
OG0000046	Syad.g_00736	Syaa.g_02205
OG0000047	Syad.g_00754	Syaa.g_02189
OG0000048	Syad.g_00534	Syaa.g_00275
OG0000050	Syad.g_02478	Syaa.g_01213, Syaa.g_01712
OG0000050	Syad.g_02114	Syaa.g_01591
OG0000051	Syad.g_00842	Syaa.g_01531
OG0000052	Syad.g_00434	Syaa.g_00174
OG0000053	Syad.g_02302	Syaa.g_01797
OG0000054	Syad.g_02209	Syaa.g_01691
OG0000055	Syad.g_01255	Syaa.g_00852
OG0000057	Syad.g_01301	Syaa.g_00889
OG0000058	Syad.g_00452	Syaa.g_00193
OG0000059	Syad.g_00642	Syaa.g_02315
OG0000060	Syad.g_00899	Syaa.g_02053
OG0000060	Syad.g_01508	Syaa.g_01007
OG0000061	Syad.g_01152	Syaa.g_00770
OG0000062	Syad.g_02598	Syaa.g_00571
OG0000063	Syad.g_00202	Syaa.g_00042
OG0000064	Syad.g_00081, Syad.g_02125	Syaa.g_02666
OG0000065	Syad.g_02801	Syaa.g_02380
OG0000066	Syad.g_00992	Syaa.g_01968
OG0000067	Syad.g_01889	Syaa.g_01154
OG0000068	Syad.g_00891	Syaa.g_02059
OG0000070	Syad.g_02424	Syaa.g_00718
OG0000071	Syad.g_02405	Syaa.g_00735
OG0000072	Syad.g_02905	Syaa.g_02480
OG0000073	Syad.g_00926	Syaa.g_02030
OG0000075	Syad.g_00416	Syaa.g_00157
OG0000076	Syad.g_00348	Syaa.g_00123
OG0000077	Syad.g_02741	Syaa.g_00341
OG0000078	Syad.g_00824	Syaa.g_02103
OG0000079	Syad.g_00565	Syaa.g_00303
OG0000081	Syad.g_00833	Syaa.g_02089
OG0000082	Syad.g_01063	Syaa.g_01905
OG0000084	Syad.g_02272	Syaa.g_01770
OG0000085	Syad.g_02612	Syaa.g_00564
OG0000086	Syad.g_02770	Syaa.g_00324
OG0000087	Syad.g_02860	Syaa.g_02433
OG0000088	Syad.g_02899	Syaa.g_02474
OG0000089	Syad.g_00785	Syaa.g_02149
OG0000090	Syad.g_00977	Syaa.g_01980
OG0000091	Syad.g_02144	Syaa.g_01625
OG0000093	Syad.g_01905	Syaa.g_01139
OG0000094	Syad.g_01676	Syaa.g_01288
OG0000095	Syad.g_01290	Syaa.g_00879
OG0000097	Syad.g_01458	Syaa.g_00979
OG0000099	Syad.g_00460	Syaa.g_00202
OG0000100	Syad.g_01846	Syaa.g_01201
OG0000101	Syad.g_00694	Syaa.g_02249
OG0000102	Syad.g_00343	Syaa.g_00118
OG0000103	Syad.g_00143	Syaa.g_02740
OG0000104	Syad.g_00158	Syaa.g_02754
OG0000105	Syad.g_00530	Syaa.g_00270
OG0000106	Syad.g_01993	Syaa.g_01439
OG0000107	Syad.g_00590	Syaa.g_02351
OG0000108	Syad.g_00904	Syaa.g_02051
OG0000109	Syad.g_00919	Syaa.g_02036
OG0000110	Syad.g_01048	Syaa.g_01918
OG0000111	Syad.g_01300	Syaa.g_00888
OG0000112	Syad.g_01766	Syaa.g_01366
OG0000113	Syad.g_01851	Syaa.g_01196
OG0000114	Syad.g_01617	Syaa.g_01094
OG0000115	Syad.g_02300	Syaa.g_01795
OG0000116	Syad.g_01123	Syaa.g_00757
OG0000117	Syad.g_01510	Syaa.g_01009
OG0000118	Syad.g_01104	Syaa.g_01874
OG0000119	Syad.g_01168	Syaa.g_00785
OG0000120	Syad.g_00459	Syaa.g_00201
OG0000121	Syad.g_02280	Syaa.g_01777
OG0000122	Syad.g_02122	Syaa.g_01598
OG0000123	Syad.g_00701	Syaa.g_02242
OG0000124	Syad.g_00320	Syaa.g_00092
OG0000125	Syad.g_03040	Syaa.g_02598
OG0000126	Syad.g_00156	Syaa.g_02752
OG0000127	Syad.g_02710	Syaa.g_00377
OG0000127	Syad.g_00058	Syaa.g_00390
OG0000128	Syad.g_00174	Syaa.g_00012
OG0000129	Syad.g_03028	Syaa.g_02586
OG0000130	Syad.g_02728	Syaa.g_00354
OG0000131	Syad.g_02876	Syaa.g_02448
OG0000132	Syad.g_02897	Syaa.g_02472
OG0000133	Syad.g_01761	Syaa.g_01361
OG0000134	Syad.g_00788	Syaa.g_02146
OG0000135	Syad.g_00063	Syaa.g_02649
OG0000136	Syad.g_02445	Syaa.g_00708
OG0000137	Syad.g_02353	Syaa.g_01842
OG0000138	Syad.g_00920	Syaa.g_02035
OG0000139	Syad.g_00983	Syaa.g_01974
OG0000140	Syad.g_00987	Syaa.g_01971
OG0000141	Syad.g_02208	Syaa.g_01689
OG0000142	Syad.g_02152	Syaa.g_01633
OG0000143	Syad.g_02148	Syaa.g_01629
OG0000144	Syad.g_02024	Syaa.g_01446
OG0000145	Syad.g_00927	Syaa.g_02029
OG0000146	Syad.g_01767	Syaa.g_01367
OG0000147	Syad.g_01768	Syaa.g_01368
OG0000148	Syad.g_01861	Syaa.g_01190
OG0000149	Syad.g_01221	Syaa.g_00826
OG0000150	Syad.g_02207, Syad.g_00989	Syaa.g_01688
OG0000151	Syad.g_01956	Syaa.g_01107
OG0000152	Syad.g_01757	Syaa.g_01357
OG0000153	Syad.g_01713	Syaa.g_01324
OG0000154	Syad.g_01686	Syaa.g_01298
OG0000155	Syad.g_01189	Syaa.g_00804
