Orthogroup	Syad	Prai
OG0000001	Syad.g_00628	Prai.g_01235, Prai.g_01356, Prai.g_01236
OG0000002	Syad.g_00619	Prai.g_01363, Prai.g_00707
OG0000004	Syad.g_01304	Prai.g_00724
OG0000004	Syad.g_02184, Syad.g_00810	Prai.g_00243
OG0000005	Syad.g_02639	Prai.g_01651
OG0000005	Syad.g_02596	Prai.g_01538
OG0000006	Syad.g_00588, Syad.g_00829	Prai.g_00252, Prai.g_00254
OG0000007	Syad.g_00923	Prai.g_00527
OG0000007	Syad.g_02623	Prai.g_01638
OG0000008	Syad.g_01371	Prai.g_00701
OG0000009	Syad.g_01952, Syad.g_00868	Prai.g_01578
OG0000009	Syad.g_02799	Prai.g_00105
OG0000010	Syad.g_02354	Prai.g_01292, Prai.g_01067, Prai.g_00504
OG0000011	Syad.g_02680	Prai.g_01599
OG0000012	Syad.g_01702, Syad.g_01136, Syad.g_01579, Syad.g_01008, Syad.g_02176	Prai.g_00652
OG0000013	Syad.g_00737, Syad.g_00724, Syad.g_00729	Prai.g_00340
OG0000014	Syad.g_00480	Prai.g_00319
OG0000015	Syad.g_01600, Syad.g_01601	Prai.g_01243
OG0000016	Syad.g_00176	Prai.g_00013
OG0000016	Syad.g_02065	Prai.g_01573
OG0000017	Syad.g_01084	Prai.g_00626
OG0000018	Syad.g_02306	Prai.g_01153, Prai.g_00820
OG0000019	Syad.g_00569	Prai.g_00262, Prai.g_00867
OG0000020	Syad.g_00845	Prai.g_01125, Prai.g_01248, Prai.g_00400
OG0000022	Syad.g_02090	Prai.g_00885, Prai.g_01139
OG0000023	Syad.g_01701, Syad.g_02337, Syad.g_01583	Prai.g_00373
OG0000024	Syad.g_01374	Prai.g_00899, Prai.g_00704
OG0000025	Syad.g_01241	Prai.g_00812, Prai.g_00344
OG0000026	Syad.g_00198	Prai.g_00031, Prai.g_01074
OG0000027	Syad.g_01257	Prai.g_00904
OG0000028	Syad.g_00463	Prai.g_00333, Prai.g_01297
OG0000029	Syad.g_02099	Prai.g_00890
OG0000030	Syad.g_00328, Syad.g_00327	Prai.g_01848
OG0000031	Syad.g_00294	Prai.g_01444
OG0000033	Syad.g_02903	Prai.g_00180
OG0000034	Syad.g_02420, Syad.g_02872	Prai.g_01345
OG0000035	Syad.g_02275	Prai.g_01463
OG0000037	Syad.g_02805	Prai.g_00109
OG0000038	Syad.g_03038	Prai.g_01890
OG0000039	Syad.g_01249, Syad.g_01111	Prai.g_00715
OG0000041	Syad.g_02498	Prai.g_01684
OG0000042	Syad.g_00333	Prai.g_01845
OG0000043	Syad.g_02119	Prai.g_01064, Prai.g_00910
OG0000045	Syad.g_00964	Prai.g_01274
OG0000047	Syad.g_00754	Prai.g_00424, Prai.g_00343
OG0000048	Syad.g_00534	Prai.g_00387
OG0000051	Syad.g_00842	Prai.g_00434
OG0000052	Syad.g_00434	Prai.g_00154
OG0000053	Syad.g_02302	Prai.g_01483
OG0000054	Syad.g_02209	Prai.g_00634
OG0000055	Syad.g_01255	Prai.g_00866
OG0000057	Syad.g_01301	Prai.g_00727
OG0000058	Syad.g_00452	Prai.g_01859
OG0000059	Syad.g_00642	Prai.g_01725, Prai.g_01425
OG0000061	Syad.g_01152	Prai.g_01171
OG0000063	Syad.g_00202	Prai.g_00033, Prai.g_01261
OG0000065	Syad.g_02574, Syad.g_02801	Prai.g_00107
OG0000066	Syad.g_00992	Prai.g_00567
OG0000067	Syad.g_01889	Prai.g_00848
OG0000068	Syad.g_00891	Prai.g_01370
OG0000070	Syad.g_02424	Prai.g_00481
OG0000071	Syad.g_02405	Prai.g_01335
OG0000072	Syad.g_02905	Prai.g_00182
OG0000073	Syad.g_00926	Prai.g_00529
OG0000075	Syad.g_00416	Prai.g_01814
OG0000076	Syad.g_00348	Prai.g_01838
OG0000077	Syad.g_02741	Prai.g_00078
OG0000078	Syad.g_00824	Prai.g_00250
OG0000079	Syad.g_00565	Prai.g_00265
OG0000081	Syad.g_00833	Prai.g_00559
OG0000082	Syad.g_01063	Prai.g_00613
OG0000084	Syad.g_02272	Prai.g_01459
OG0000085	Syad.g_02612	Prai.g_01631
OG0000086	Syad.g_02770	Prai.g_00088
OG0000087	Syad.g_02860	Prai.g_00139
OG0000088	Syad.g_02899	Prai.g_00177
OG0000089	Syad.g_00785, Syad.g_02829	Prai.g_00368
OG0000090	Syad.g_00977	Prai.g_00561
OG0000091	Syad.g_02144	Prai.g_00671
OG0000092	Syad.g_01190	Prai.g_01041
OG0000094	Syad.g_01676	Prai.g_00937
OG0000097	Syad.g_01458	Prai.g_01214
OG0000098	Syad.g_00625	Prai.g_01353
OG0000099	Syad.g_00460	Prai.g_01393
OG0000100	Syad.g_01846	Prai.g_01536
OG0000101	Syad.g_00694	Prai.g_01782
OG0000102	Syad.g_00343	Prai.g_01843
OG0000103	Syad.g_00143	Prai.g_01923
OG0000104	Syad.g_00158	Prai.g_01932
OG0000105	Syad.g_00530	Prai.g_00286, Prai.g_00287
OG0000106	Syad.g_01993	Prai.g_00383
