Orthogroup	Syad	Prab
OG0000001	Syad.g_00628	Prab.g_00788, Prab.g_01279, Prab.g_01281
OG0000002	Syad.g_00619	Prab.g_00683
OG0000004	Syad.g_01304	Prab.g_00700
OG0000004	Syad.g_02184, Syad.g_00810	Prab.g_00223
OG0000005	Syad.g_02639	Prab.g_01682
OG0000005	Syad.g_02596	Prab.g_01542
OG0000006	Syad.g_00588, Syad.g_00829	Prab.g_00231
OG0000007	Syad.g_00923	Prab.g_00501
OG0000007	Syad.g_02623	Prab.g_01669
OG0000009	Syad.g_01952, Syad.g_00868	Prab.g_01584
OG0000009	Syad.g_02799	Prab.g_00096
OG0000010	Syad.g_02354	Prab.g_01104, Prab.g_00478
OG0000011	Syad.g_02006	Prab.g_01624
OG0000012	Syad.g_01702, Syad.g_01136, Syad.g_01579, Syad.g_01008, Syad.g_02176	Prab.g_00627
OG0000013	Syad.g_00737, Syad.g_00724, Syad.g_00729	Prab.g_00315
OG0000014	Syad.g_00480	Prab.g_00294
OG0000014	Syad.g_00297, Syad.g_00260	Prab.g_01444, Prab.g_01445
OG0000015	Syad.g_01600, Syad.g_01601	Prab.g_00789
OG0000016	Syad.g_00176	Prab.g_00013
OG0000016	Syad.g_02065	Prab.g_01579
OG0000017	Syad.g_01084	Prab.g_00602
OG0000018	Syad.g_02306	Prab.g_01201, Prab.g_00867
OG0000019	Syad.g_00569	Prab.g_00239, Prab.g_00820
OG0000020	Syad.g_00845	Prab.g_01162, Prab.g_00379
OG0000022	Syad.g_02090	Prab.g_00782, Prab.g_01182
OG0000023	Syad.g_01701, Syad.g_02337, Syad.g_01583	Prab.g_00348
OG0000024	Syad.g_01374	Prab.g_00763, Prab.g_00680
OG0000025	Syad.g_01241	Prab.g_00874, Prab.g_00319
OG0000026	Syad.g_00198	Prab.g_01629, Prab.g_00031, Prab.g_01111
OG0000027	Syad.g_01257	Prab.g_00914, Prab.g_01616
OG0000028	Syad.g_00463	Prab.g_00308
OG0000029	Syad.g_02099	Prab.g_00773
OG0000030	Syad.g_00328, Syad.g_00327	Prab.g_01867
OG0000031	Syad.g_00294	Prab.g_01446
OG0000033	Syad.g_00289	Prab.g_01400
OG0000033	Syad.g_02903	Prab.g_00160
OG0000034	Syad.g_02420, Syad.g_02872	Prab.g_01336
OG0000035	Syad.g_02275	Prab.g_01466
OG0000037	Syad.g_02805	Prab.g_00100
OG0000038	Syad.g_03038	Prab.g_01908
OG0000039	Syad.g_01249, Syad.g_01111	Prab.g_00691
OG0000041	Syad.g_02498	Prab.g_01715
OG0000042	Syad.g_00333	Prab.g_01864
OG0000043	Syad.g_02119	Prab.g_01100
OG0000044	Syad.g_02214	Prab.g_01648
OG0000047	Syad.g_00754	Prab.g_00318
OG0000048	Syad.g_00534	Prab.g_00411, Prab.g_00363
OG0000050	Syad.g_02114	Prab.g_00394, Prab.g_01635, Prab.g_01645
OG0000051	Syad.g_00842	Prab.g_01304
OG0000052	Syad.g_00434	Prab.g_01423
OG0000053	Syad.g_02302	Prab.g_01486
OG0000054	Syad.g_02209	Prab.g_00610
OG0000055	Syad.g_01255	Prab.g_00821
OG0000057	Syad.g_01301	Prab.g_00703
OG0000058	Syad.g_00452	Prab.g_01393
OG0000059	Syad.g_00642	Prab.g_01754
OG0000060	Syad.g_01508	Prab.g_00784
OG0000061	Syad.g_01152	Prab.g_01219
OG0000063	Syad.g_00202	Prab.g_00033
OG0000065	Syad.g_02574, Syad.g_02801	Prab.g_00098
OG0000066	Syad.g_00992	Prab.g_00543
OG0000067	Syad.g_01889	Prab.g_00840
OG0000068	Syad.g_00891	Prab.g_01360
OG0000070	Syad.g_02424	Prab.g_00456
OG0000071	Syad.g_02405	Prab.g_01637, Prab.g_01326
OG0000072	Syad.g_02905	Prab.g_00162
OG0000073	Syad.g_00926	Prab.g_00503
OG0000075	Syad.g_00416	Prab.g_01834
OG0000076	Syad.g_00348	Prab.g_01857
OG0000077	Syad.g_02741	Prab.g_00070
OG0000078	Syad.g_00824	Prab.g_00229
OG0000079	Syad.g_00565	Prab.g_00242
OG0000081	Syad.g_00833	Prab.g_00535
OG0000082	Syad.g_01063	Prab.g_00589
