Orthogroup	Syad	Pral
OG0000001	Syad.g_00628	Pral.g_01236, Pral.g_01671, Pral.g_01296
OG0000002	Syad.g_00619	Pral.g_01549, Pral.g_01554, Pral.g_01340, Pral.g_00430, Pral.g_01342, Pral.g_01337, Pral.g_01052, Pral.g_01764
OG0000004	Syad.g_01304	Pral.g_01743
OG0000004	Syad.g_02184, Syad.g_00810	Pral.g_00809
OG0000005	Syad.g_02596	Pral.g_01075
OG0000006	Syad.g_00588, Syad.g_00829	Pral.g_00797
OG0000007	Syad.g_00923	Pral.g_00593
OG0000007	Syad.g_02623	Pral.g_00107
OG0000008	Syad.g_01371	Pral.g_00021
OG0000009	Syad.g_01952, Syad.g_00868	Pral.g_01065, Pral.g_01163
OG0000010	Syad.g_02354	Pral.g_01832, Pral.g_01848, Pral.g_00618
OG0000012	Syad.g_01702	Pral.g_00015
OG0000013	Syad.g_00737, Syad.g_00724, Syad.g_00729	Pral.g_00712
OG0000014	Syad.g_00480	Pral.g_00732
OG0000014	Syad.g_00260	Pral.g_00637
OG0000015	Syad.g_01600, Syad.g_01601	Pral.g_01813
OG0000017	Syad.g_01091	Pral.g_00484
OG0000017	Syad.g_01084	Pral.g_00491
OG0000018	Syad.g_02306	Pral.g_01346, Pral.g_01516
OG0000019	Syad.g_00569	Pral.g_00790, Pral.g_01344
OG0000020	Syad.g_00845	Pral.g_01038, Pral.g_00443, Pral.g_01883, Pral.g_01891
OG0000021	Syad.g_00874	Pral.g_01738
OG0000022	Syad.g_02090	Pral.g_00044
OG0000023	Syad.g_01701, Syad.g_02337, Syad.g_01583	Pral.g_01687
OG0000024	Syad.g_01374	Pral.g_01895
OG0000025	Syad.g_01241	Pral.g_01523
OG0000026	Syad.g_00198	Pral.g_01012
OG0000027	Syad.g_01257	Pral.g_00039, Pral.g_01036
OG0000028	Syad.g_00463	Pral.g_00719, Pral.g_00053
OG0000029	Syad.g_02099	Pral.g_01890
OG0000030	Syad.g_00328, Syad.g_00327	Pral.g_00316
OG0000032	Syad.g_02326	Pral.g_01121
OG0000033	Syad.g_02903	Pral.g_00874
OG0000034	Syad.g_02420, Syad.g_02872	Pral.g_01271
OG0000035	Syad.g_02275	Pral.g_01165, Pral.g_01161
OG0000037	Syad.g_02805	Pral.g_00938
OG0000038	Syad.g_03038	Pral.g_00356
OG0000039	Syad.g_01249, Syad.g_01111	Pral.g_01755
OG0000041	Syad.g_02498	Pral.g_00155
OG0000042	Syad.g_00333	Pral.g_00313
OG0000043	Syad.g_02119	Pral.g_01347
OG0000044	Syad.g_02214	Pral.g_01888
OG0000046	Syad.g_00723, Syad.g_00730, Syad.g_00736	Pral.g_00711
OG0000047	Syad.g_00754	Pral.g_00672
OG0000048	Syad.g_00534	Pral.g_00768
OG0000050	Syad.g_02114	Pral.g_01829
OG0000053	Syad.g_02302	Pral.g_00066, Pral.g_01139
OG0000054	Syad.g_02209	Pral.g_00482
OG0000055	Syad.g_01255	Pral.g_01670
OG0000057	Syad.g_01301	Pral.g_01740
OG0000058	Syad.g_00452	Pral.g_01202
OG0000059	Syad.g_00642	Pral.g_00195
OG0000061	Syad.g_01152	Pral.g_01367, Pral.g_00639
OG0000062	Syad.g_02598	Pral.g_01073
OG0000063	Syad.g_00202	Pral.g_00435
OG0000064	Syad.g_00873, Syad.g_00081, Syad.g_02125	Pral.g_00980
OG0000065	Syad.g_02574, Syad.g_02801	Pral.g_00940
OG0000066	Syad.g_00992	Pral.g_00551
OG0000067	Syad.g_01889	Pral.g_01488
OG0000068	Syad.g_00891	Pral.g_01222
OG0000070	Syad.g_02424	Pral.g_00643
OG0000071	Syad.g_02405	Pral.g_01281
OG0000072	Syad.g_02905	Pral.g_00872
OG0000073	Syad.g_00926	Pral.g_00591
OG0000075	Syad.g_00416	Pral.g_00279
OG0000076	Syad.g_00348	Pral.g_00305
OG0000077	Syad.g_02741	Pral.g_00969
OG0000078	Syad.g_00824	Pral.g_00800
OG0000079	Syad.g_00565	Pral.g_00787
OG0000081	Syad.g_00833	Pral.g_00559
OG0000082	Syad.g_01063	Pral.g_00057
OG0000084	Syad.g_02272	Pral.g_01169
OG0000085	Syad.g_02612	Pral.g_00099
OG0000086	Syad.g_02770	Pral.g_00959
OG0000087	Syad.g_02860	Pral.g_00906
OG0000088	Syad.g_02899	Pral.g_00878
OG0000089	Syad.g_00785, Syad.g_02829	Pral.g_00676
OG0000090	Syad.g_00977	Pral.g_00557
OG0000091	Syad.g_02144	Pral.g_01443
OG0000092	Syad.g_01190	Pral.g_01794, Pral.g_01244
OG0000093	Syad.g_01905	Pral.g_01472
