Orthogroup	Syad	Syae
OG0000001	Syad.g_00628	Syae.g_02061
OG0000001	Syad.g_02864	Syae.g_01416
OG0000001	Syad.g_02865	Syae.g_01417
OG0000001	Syad.g_01238, Syad.g_00611	Syae.g_02055
OG0000004	Syad.g_01304	Syae.g_00779
OG0000004	Syad.g_02184	Syae.g_00042
OG0000004	Syad.g_00810	Syae.g_02231
OG0000005	Syad.g_02639	Syae.g_01179
OG0000005	Syad.g_02596	Syae.g_01143
OG0000005	Syad.g_02028	Syae.g_00257
OG0000006	Syad.g_00588, Syad.g_00829	Syae.g_02030, Syae.g_02248
OG0000006	Syad.g_02130	Syae.g_00096
OG0000007	Syad.g_00923	Syae.g_02328
OG0000007	Syad.g_02623	Syae.g_01163
OG0000008	Syad.g_01371	Syae.g_00752
OG0000009	Syad.g_01952	Syae.g_00561
OG0000009	Syad.g_00868	Syae.g_00171
OG0000009	Syad.g_02799	Syae.g_01361
OG0000010	Syad.g_02354	Syae.g_02529
OG0000011	Syad.g_02006	Syae.g_00268
OG0000012	Syad.g_01579, Syad.g_01008	Syae.g_02397, Syae.g_02562
OG0000012	Syad.g_02176	Syae.g_00049
OG0000013	Syad.g_00737	Syae.g_02169
OG0000013	Syad.g_00724	Syae.g_02155
OG0000013	Syad.g_00729	Syae.g_02160
OG0000014	Syad.g_00480	Syae.g_01930
OG0000015	Syad.g_00142	Syae.g_01693
OG0000015	Syad.g_01600, Syad.g_01601	Syae.g_00590
OG0000016	Syad.g_00176	Syae.g_01726
OG0000016	Syad.g_01460	Syae.g_00681
OG0000016	Syad.g_02065	Syae.g_00233
OG0000017	Syad.g_01091	Syae.g_02469
OG0000017	Syad.g_01084	Syae.g_02462
OG0000018	Syad.g_02306	Syae.g_02625
OG0000019	Syad.g_00569	Syae.g_02015
OG0000021	Syad.g_01835	Syae.g_00481
OG0000022	Syad.g_02090	Syae.g_00144
OG0000023	Syad.g_02337	Syae.g_00439
OG0000023	Syad.g_01583	Syae.g_00930
OG0000025	Syad.g_01241	Syae.g_00833
OG0000026	Syad.g_00198	Syae.g_01748
OG0000027	Syad.g_01257	Syae.g_00814
OG0000028	Syad.g_00463	Syae.g_01916
OG0000029	Syad.g_02099	Syae.g_00136
