Orthogroup	Syad	Prbh
OG0000001	Syad.g_00628	Prbh.g_00001, Prbh.g_00863
OG0000002	Syad.g_00619	Prbh.g_01016, Prbh.g_01022, Prbh.g_01313, Prbh.g_00006, Prbh.g_01311, Prbh.g_01317, Prbh.g_00199, Prbh.g_00912
OG0000004	Syad.g_01304	Prbh.g_00933
OG0000004	Syad.g_02184, Syad.g_00810	Prbh.g_00548
OG0000005	Syad.g_02596	Prbh.g_00182
OG0000006	Syad.g_00588, Syad.g_00829	Prbh.g_00538
OG0000007	Syad.g_00923	Prbh.g_00334
OG0000007	Syad.g_02623	Prbh.g_01782
OG0000008	Syad.g_01371	Prbh.g_01405
OG0000009	Syad.g_01952, Syad.g_00868	Prbh.g_00377, Prbh.g_00193, Prbh.g_01841
OG0000010	Syad.g_02354	Prbh.g_00848, Prbh.g_01143, Prbh.g_00357
OG0000012	Syad.g_02176	Prbh.g_01460
OG0000013	Syad.g_00737, Syad.g_00724, Syad.g_00729	Prbh.g_00452
OG0000014	Syad.g_00480	Prbh.g_00472
OG0000015	Syad.g_01600, Syad.g_01601	Prbh.g_00840, Prbh.g_01869
OG0000016	Syad.g_01460, Syad.g_02065	Prbh.g_01336
OG0000017	Syad.g_01091	Prbh.g_00225
OG0000017	Syad.g_01084	Prbh.g_00232
OG0000018	Syad.g_02306	Prbh.g_01305, Prbh.g_00981
OG0000019	Syad.g_00569	Prbh.g_00530, Prbh.g_01307
OG0000020	Syad.g_00845	Prbh.g_00202, Prbh.g_01819, Prbh.g_01898
OG0000021	Syad.g_00874	Prbh.g_00938
OG0000022	Syad.g_02090	Prbh.g_00190
OG0000023	Syad.g_01701, Syad.g_02337, Syad.g_01583	Prbh.g_00833
OG0000024	Syad.g_01374	Prbh.g_01147, Prbh.g_00909
OG0000025	Syad.g_01241	Prbh.g_00988
OG0000026	Syad.g_00198	Prbh.g_00749
OG0000028	Syad.g_00463	Prbh.g_00459, Prbh.g_00404
OG0000029	Syad.g_02099	Prbh.g_01691, Prbh.g_01885
OG0000030	Syad.g_00328, Syad.g_00327	Prbh.g_01570
OG0000031	Syad.g_00458, Syad.g_00294	Prbh.g_00064
OG0000032	Syad.g_02326	Prbh.g_00138
OG0000033	Syad.g_02903	Prbh.g_00613
OG0000034	Syad.g_02420, Syad.g_02872	Prbh.g_01383
OG0000035	Syad.g_02275	Prbh.g_00099, Prbh.g_00096
OG0000037	Syad.g_02805	Prbh.g_00674
OG0000038	Syad.g_03038	Prbh.g_01530
OG0000039	Syad.g_01249, Syad.g_01111	Prbh.g_00921
OG0000041	Syad.g_02498	Prbh.g_01734
OG0000042	Syad.g_00333	Prbh.g_01573
OG0000043	Syad.g_02119	Prbh.g_01304
OG0000044	Syad.g_02214	Prbh.g_01794
OG0000046	Syad.g_00723, Syad.g_00730, Syad.g_00736	Prbh.g_00451
OG0000047	Syad.g_00754	Prbh.g_00408
OG0000048	Syad.g_00534	Prbh.g_00508
OG0000050	Syad.g_02114	Prbh.g_00850
OG0000052	Syad.g_00434	Prbh.g_00041
OG0000053	Syad.g_02302	Prbh.g_01834, Prbh.g_00120
OG0000054	Syad.g_02209	Prbh.g_00223
OG0000055	Syad.g_01255	Prbh.g_01332
OG0000056	Syad.g_01997, Syad.g_01971, Syad.g_01409, Syad.g_02690, Syad.g_01425, Syad.g_00400, Syad.g_01999, Syad.g_01346, Syad.g_02228, Syad.g_02691	Prbh.g_01417
OG0000057	Syad.g_01301	Prbh.g_00936
OG0000058	Syad.g_00452	Prbh.g_00030
OG0000059	Syad.g_00642	Prbh.g_01695
OG0000061	Syad.g_01152	Prbh.g_01283
OG0000062	Syad.g_02598	Prbh.g_00184
OG0000063	Syad.g_00202	Prbh.g_01401
OG0000064	Syad.g_00873, Syad.g_00081, Syad.g_02125	Prbh.g_00715
OG0000065	Syad.g_02574, Syad.g_02801	Prbh.g_00676
