Orthogroup	Syad	Praa
OG0000001	Syad.g_00628	Praa.g_01351, Praa.g_01220, Praa.g_01222
OG0000002	Syad.g_00619	Praa.g_01359, Praa.g_00678
OG0000004	Syad.g_01304	Praa.g_00695
OG0000004	Syad.g_02184, Syad.g_00810	Praa.g_00232
OG0000005	Syad.g_02639	Praa.g_01648
OG0000005	Syad.g_02596	Praa.g_01553
OG0000006	Syad.g_00588, Syad.g_00829	Praa.g_00241, Praa.g_01245
OG0000007	Syad.g_00923	Praa.g_00497
OG0000007	Syad.g_02623	Praa.g_01635
OG0000009	Syad.g_01952, Syad.g_00868	Praa.g_01264, Praa.g_01589
OG0000009	Syad.g_02799	Praa.g_00105
OG0000010	Syad.g_02354	Praa.g_01047, Praa.g_00474
OG0000011	Syad.g_02006	Praa.g_01288
OG0000011	Syad.g_02680	Praa.g_00396
OG0000012	Syad.g_01702, Syad.g_01136, Syad.g_01579, Syad.g_01008, Syad.g_02176	Praa.g_00623
OG0000013	Syad.g_00737, Syad.g_00724, Syad.g_00729	Praa.g_00327
OG0000014	Syad.g_00480	Praa.g_00306
OG0000014	Syad.g_00297, Syad.g_00260	Praa.g_01409
OG0000015	Syad.g_01600, Syad.g_01601	Praa.g_00765
OG0000016	Syad.g_00176	Praa.g_00013
OG0000017	Syad.g_01084	Praa.g_00598
OG0000018	Syad.g_02306	Praa.g_01141, Praa.g_00831
OG0000019	Syad.g_00569	Praa.g_00249, Praa.g_00782
OG0000020	Syad.g_00845	Praa.g_01107
OG0000022	Syad.g_02090	Praa.g_00763, Praa.g_01124
OG0000023	Syad.g_01701, Syad.g_02337, Syad.g_01583	Praa.g_00359
OG0000024	Syad.g_01374	Praa.g_00747, Praa.g_00675
OG0000025	Syad.g_01241	Praa.g_00839, Praa.g_00331
OG0000026	Syad.g_00198	Praa.g_00031, Praa.g_01054
OG0000027	Syad.g_01257	Praa.g_00470, Praa.g_01301
OG0000028	Syad.g_00463	Praa.g_00320, Praa.g_01248
OG0000029	Syad.g_02099	Praa.g_00374, Praa.g_00754
OG0000030	Syad.g_00328, Syad.g_00327	Praa.g_01842
OG0000033	Syad.g_00289	Praa.g_01437
OG0000033	Syad.g_02903	Praa.g_00169
OG0000034	Syad.g_02420, Syad.g_02872	Praa.g_01328
OG0000035	Syad.g_02275	Praa.g_01476
OG0000037	Syad.g_02805	Praa.g_00109
OG0000038	Syad.g_03038	Praa.g_01883
OG0000039	Syad.g_01249, Syad.g_01111	Praa.g_00686
OG0000041	Syad.g_02498	Praa.g_01683
OG0000042	Syad.g_00333	Praa.g_01839
OG0000043	Syad.g_02119	Praa.g_00876, Praa.g_01259
OG0000047	Syad.g_00754	Praa.g_00330
OG0000048	Syad.g_00534	Praa.g_00373
OG0000051	Syad.g_00842	Praa.g_01291
OG0000052	Syad.g_00434	Praa.g_01447, Praa.g_01407
OG0000053	Syad.g_02302	Praa.g_01496
OG0000054	Syad.g_02209	Praa.g_00606
OG0000055	Syad.g_01255	Praa.g_00783
OG0000057	Syad.g_01301	Praa.g_00698
OG0000058	Syad.g_00452	Praa.g_01425
OG0000059	Syad.g_00642	Praa.g_01723
OG0000061	Syad.g_01152	Praa.g_01415, Praa.g_01159
OG0000063	Syad.g_00202	Praa.g_00033
OG0000065	Syad.g_02574, Syad.g_02801	Praa.g_00107
OG0000066	Syad.g_00992	Praa.g_00539
