Orthogroup	Syad	Prbl
OG0000001	Syad.g_00628	Prbl.g_00725, Prbl.g_00121, Prbl.g_02599
OG0000001	Syad.g_02865	Prbl.g_00808, Prbl.g_02598
OG0000002	Syad.g_00619	Prbl.g_01582, Prbl.g_01092
OG0000003	Syad.g_01931, Syad.g_01926, Syad.g_02599	Prbl.g_02177
OG0000003	Syad.g_01998, Syad.g_02748, Syad.g_02240, Syad.g_01927, Syad.g_01929, Syad.g_02601, Syad.g_01996	Prbl.g_01929, Prbl.g_01308, Prbl.g_02640, Prbl.g_02639, Prbl.g_00656, Prbl.g_00202, Prbl.g_00139, Prbl.g_01063, Prbl.g_01064, Prbl.g_00673
OG0000003	Syad.g_01327, Syad.g_01331	Prbl.g_02278, Prbl.g_00920
OG0000004	Syad.g_01304	Prbl.g_00021
OG0000004	Syad.g_02184, Syad.g_00810	Prbl.g_01771
OG0000005	Syad.g_02596	Prbl.g_00419
OG0000006	Syad.g_00588, Syad.g_00829	Prbl.g_02601
OG0000007	Syad.g_00923	Prbl.g_00531
OG0000007	Syad.g_02623	Prbl.g_00394
OG0000008	Syad.g_01371	Prbl.g_01854
OG0000009	Syad.g_02799	Prbl.g_00155, Prbl.g_00554
OG0000010	Syad.g_02354	Prbl.g_01341
OG0000011	Syad.g_02006	Prbl.g_01822
OG0000012	Syad.g_02176	Prbl.g_01618
OG0000013	Syad.g_00737, Syad.g_00724, Syad.g_00729	Prbl.g_01183
OG0000014	Syad.g_00480	Prbl.g_01416
OG0000015	Syad.g_01600, Syad.g_01601	Prbl.g_01566
OG0000017	Syad.g_01091	Prbl.g_01755
OG0000017	Syad.g_01084	Prbl.g_01763
OG0000018	Syad.g_02306	Prbl.g_00694
OG0000019	Syad.g_00569	Prbl.g_01097
OG0000020	Syad.g_00845	Prbl.g_01076, Prbl.g_01026, Prbl.g_01386
OG0000021	Syad.g_00874	Prbl.g_01768
OG0000022	Syad.g_02090	Prbl.g_01310, Prbl.g_01072
OG0000023	Syad.g_01701, Syad.g_02337, Syad.g_01583	Prbl.g_02355
OG0000024	Syad.g_01374	Prbl.g_00040
OG0000025	Syad.g_01241	Prbl.g_01539
OG0000026	Syad.g_00198	Prbl.g_01977
OG0000028	Syad.g_00463	Prbl.g_00900
OG0000029	Syad.g_02099	Prbl.g_01163
OG0000030	Syad.g_00328	Prbl.g_02061
OG0000030	Syad.g_00327	Prbl.g_02060
OG0000032	Syad.g_02326	Prbl.g_00712
OG0000033	Syad.g_02903	Prbl.g_00278
OG0000034	Syad.g_02420, Syad.g_02872	Prbl.g_01734
OG0000035	Syad.g_02275	Prbl.g_00242
OG0000037	Syad.g_02805	Prbl.g_00548
OG0000038	Syad.g_03038	Prbl.g_02235
OG0000039	Syad.g_01111	Prbl.g_01272
OG0000041	Syad.g_02498	Prbl.g_00339
OG0000042	Syad.g_00333	Prbl.g_01236, Prbl.g_01121
OG0000045	Syad.g_00964	Prbl.g_00609
OG0000046	Syad.g_00723, Syad.g_00730, Syad.g_00736	Prbl.g_01184
OG0000047	Syad.g_00754	Prbl.g_01574, Prbl.g_00719
OG0000048	Syad.g_00534	Prbl.g_01465
