Orthogroup	Syad	Prav
OG0000001	Syad.g_00628	Prav.g_01458, Prav.g_01748, Prav.g_00962, Prav.g_01820, Prav.g_02007, Prav.g_01734
OG0000002	Syad.g_00619	Prav.g_01466, Prav.g_01276
OG0000004	Syad.g_01304	Prav.g_01293
OG0000004	Syad.g_02184, Syad.g_00810	Prav.g_00806
OG0000005	Syad.g_02639	Prav.g_01774
OG0000005	Syad.g_02596	Prav.g_01654
OG0000006	Syad.g_00588, Syad.g_00829	Prav.g_02001
OG0000007	Syad.g_00923	Prav.g_01095
OG0000007	Syad.g_02623	Prav.g_01761
OG0000008	Syad.g_01371	Prav.g_01750
OG0000009	Syad.g_01952, Syad.g_00868	Prav.g_01688
OG0000009	Syad.g_02799	Prav.g_00170
OG0000010	Syad.g_02354	Prav.g_00218, Prav.g_01072
OG0000011	Syad.g_02006	Prav.g_01014, Prav.g_01407
OG0000012	Syad.g_01702, Syad.g_01136, Syad.g_01579, Syad.g_01008, Syad.g_02176	Prav.g_01221
OG0000013	Syad.g_00737, Syad.g_00724, Syad.g_00729	Prav.g_01973
OG0000014	Syad.g_00480	Prav.g_01952
OG0000015	Syad.g_01600, Syad.g_01601	Prav.g_00363, Prav.g_00961
OG0000016	Syad.g_00176	Prav.g_00081
OG0000016	Syad.g_02065	Prav.g_01385
OG0000017	Syad.g_01084	Prav.g_01194
OG0000018	Syad.g_02306	Prav.g_00046, Prav.g_00424
OG0000019	Syad.g_00569	Prav.g_01896, Prav.g_00375
OG0000020	Syad.g_00845	Prav.g_00014, Prav.g_01386
OG0000022	Syad.g_02090	Prav.g_00360, Prav.g_00029
OG0000023	Syad.g_01701, Syad.g_02337, Syad.g_01583	Prav.g_00979
OG0000024	Syad.g_01374	Prav.g_00343, Prav.g_01273
OG0000025	Syad.g_01241	Prav.g_00431, Prav.g_01977
OG0000026	Syad.g_00198	Prav.g_01324, Prav.g_00099, Prav.g_00226
OG0000027	Syad.g_01257	Prav.g_01068, Prav.g_01416
OG0000028	Syad.g_00463	Prav.g_01966, Prav.g_01885
OG0000029	Syad.g_02099	Prav.g_00350
OG0000030	Syad.g_00328, Syad.g_00327	Prav.g_00699
OG0000033	Syad.g_02903	Prav.g_00869
OG0000034	Syad.g_02420, Syad.g_02872	Prav.g_01448
OG0000035	Syad.g_02275	Prav.g_01578
OG0000037	Syad.g_02805	Prav.g_00174
OG0000038	Syad.g_03038	Prav.g_00739
OG0000039	Syad.g_01249, Syad.g_01111	Prav.g_01284
OG0000041	Syad.g_02498	Prav.g_01808
OG0000042	Syad.g_00333	Prav.g_00696
OG0000043	Syad.g_02119	Prav.g_00467
OG0000047	Syad.g_00754	Prav.g_01976
OG0000048	Syad.g_00534	Prav.g_00993
OG0000050	Syad.g_02114	Prav.g_01013
OG0000051	Syad.g_00842	Prav.g_01410
OG0000052	Syad.g_00434	Prav.g_01533
OG0000053	Syad.g_02302	Prav.g_01598
OG0000054	Syad.g_02209	Prav.g_01202
OG0000055	Syad.g_01255	Prav.g_00376
OG0000057	Syad.g_01301	Prav.g_01296
OG0000058	Syad.g_00452	Prav.g_01512
OG0000059	Syad.g_00642	Prav.g_00292
OG0000060	Syad.g_01508	Prav.g_00964
OG0000061	Syad.g_01152	Prav.g_00065
OG0000063	Syad.g_00202	Prav.g_00101
OG0000065	Syad.g_02574, Syad.g_02801	Prav.g_00172
OG0000066	Syad.g_00992	Prav.g_01137
OG0000067	Syad.g_01889	Prav.g_00397
OG0000068	Syad.g_00891	Prav.g_01473
OG0000070	Syad.g_02424	Prav.g_01049
OG0000071	Syad.g_02405	Prav.g_01438
OG0000072	Syad.g_02905	Prav.g_00867
OG0000073	Syad.g_00926	Prav.g_01097
OG0000075	Syad.g_00416	Prav.g_00665
OG0000076	Syad.g_00348	Prav.g_00689
OG0000077	Syad.g_02741	Prav.g_00143
OG0000078	Syad.g_00824	Prav.g_00799
OG0000079	Syad.g_00565	Prav.g_01899
OG0000081	Syad.g_00833	Prav.g_01129
OG0000082	Syad.g_01063	Prav.g_01182
OG0000084	Syad.g_02272	Prav.g_01574
OG0000085	Syad.g_02612	Prav.g_01754
OG0000086	Syad.g_02770	Prav.g_00153
OG0000087	Syad.g_02860	Prav.g_00204
OG0000088	Syad.g_02899	Prav.g_00872
OG0000089	Syad.g_00785, Syad.g_02829	Prav.g_00975
OG0000090	Syad.g_00977	Prav.g_01131
