Orthogroup	Prav	Syap
OG0000004	Prav.g_00806	Syap.g_01987
OG0000005	Prav.g_01774	Syap.g_01773
OG0000005	Prav.g_01654	Syap.g_01218
OG0000007	Prav.g_01095	Syap.g_00275
OG0000007	Prav.g_01761	Syap.g_00621
OG0000009	Prav.g_00170	Syap.g_02081
OG0000010	Prav.g_00218, Prav.g_01072	Syap.g_02757
OG0000013	Prav.g_01973	Syap.g_01397, Syap.g_00586, Syap.g_00580, Syap.g_00583, Syap.g_00972
OG0000014	Prav.g_01952	Syap.g_01675
OG0000016	Prav.g_00081	Syap.g_00071
OG0000017	Prav.g_01194	Syap.g_00449
OG0000018	Prav.g_00046, Prav.g_00424	Syap.g_02010
OG0000019	Prav.g_01896, Prav.g_00375	Syap.g_01586
OG0000025	Prav.g_00431, Prav.g_01977	Syap.g_01846
OG0000027	Prav.g_01068, Prav.g_01416	Syap.g_01440
OG0000028	Prav.g_01966, Prav.g_01885	Syap.g_01658
OG0000030	Prav.g_00699	Syap.g_00787, Syap.g_00788
OG0000032	Prav.g_01499	Syap.g_02461, Syap.g_01133, Syap.g_01134
OG0000033	Prav.g_00869	Syap.g_01198
OG0000034	Prav.g_01448	Syap.g_02193, Syap.g_02614, Syap.g_02280
OG0000035	Prav.g_01578	Syap.g_02465
OG0000037	Prav.g_00174	Syap.g_02492
OG0000038	Prav.g_00739	Syap.g_00139
OG0000039	Prav.g_01284	Syap.g_01749, Syap.g_01748
OG0000042	Prav.g_00696	Syap.g_01891, Syap.g_01120
OG0000043	Prav.g_00467	Syap.g_01998
OG0000045	Prav.g_00990	Syap.g_02525
OG0000048	Prav.g_00993	Syap.g_02340
OG0000051	Prav.g_01410	Syap.g_01574
OG0000053	Prav.g_01598	Syap.g_02006
OG0000054	Prav.g_01202	Syap.g_00678
OG0000059	Prav.g_00292	Syap.g_01082, Syap.g_02478
OG0000060	Prav.g_00964	Syap.g_00795
OG0000061	Prav.g_00065	Syap.g_00228
OG0000062	Prav.g_01656	Syap.g_01365
OG0000063	Prav.g_00101	Syap.g_01796
OG0000066	Prav.g_01137	Syap.g_01972
OG0000067	Prav.g_00397	Syap.g_00194
OG0000068	Prav.g_01473	Syap.g_00108, Syap.g_00144
OG0000070	Prav.g_01049	Syap.g_00930, Syap.g_00931, Syap.g_00966, Syap.g_00802, Syap.g_00915, Syap.g_00953
OG0000072	Prav.g_00867	Syap.g_00555
OG0000073	Prav.g_01097	Syap.g_00273, Syap.g_01020
OG0000075	Prav.g_00665	Syap.g_01064, Syap.g_00664
OG0000076	Prav.g_00689	Syap.g_01111
OG0000079	Prav.g_01899	Syap.g_01589
OG0000085	Prav.g_01754	Syap.g_00611
OG0000087	Prav.g_00204	Syap.g_02617, Syap.g_02202, Syap.g_02203
OG0000088	Prav.g_00872	Syap.g_01202
OG0000089	Prav.g_00975	Syap.g_00115, Syap.g_02042
OG0000090	Prav.g_01131	Syap.g_01451
OG0000091	Prav.g_01240	Syap.g_01861
OG0000094	Prav.g_00914	Syap.g_02781
OG0000095	Prav.g_00933	Syap.g_01556
OG0000098	Prav.g_01455	Syap.g_01975
OG0000099	Prav.g_01514	Syap.g_01385
OG0000101	Prav.g_00632	Syap.g_00472
OG0000102	Prav.g_00694	Syap.g_01116
OG0000103	Prav.g_00773	Syap.g_02607, Syap.g_02608
OG0000104	Prav.g_00782	Syap.g_02321, Syap.g_00051, Syap.g_02320, Syap.g_02318
OG0000105	Prav.g_01920	Syap.g_01369, Syap.g_01368
OG0000107	Prav.g_01001	Syap.g_02496
OG0000108	Prav.g_01078	Syap.g_00733, Syap.g_02255
OG0000109	Prav.g_01092	Syap.g_00279, Syap.g_02237
OG0000110	Prav.g_01172	Syap.g_01313
OG0000111	Prav.g_01297	Syap.g_01566, Syap.g_01568
OG0000112	Prav.g_00364	Syap.g_02023
OG0000113	Prav.g_00419	Syap.g_02714
OG0000114	Prav.g_00499	Syap.g_01255
OG0000115	Prav.g_00010	Syap.g_02004
OG0000116	Prav.g_00055	Syap.g_00241
OG0000117	Prav.g_01390	Syap.g_01889
OG0000118	Prav.g_01450	Syap.g_02286
OG0000120	Prav.g_01513	Syap.g_02075
OG0000121	Prav.g_01580	Syap.g_02471
OG0000123	Prav.g_00639	Syap.g_00100, Syap.g_00099, Syap.g_00098, Syap.g_00464
OG0000124	Prav.g_00705	Syap.g_02456, Syap.g_02457, Syap.g_01130
OG0000125	Prav.g_00741	Syap.g_01046, Syap.g_01047
OG0000126	Prav.g_00781	Syap.g_02317, Syap.g_02576, Syap.g_02316
OG0000128	Prav.g_00079	Syap.g_00069
OG0000129	Prav.g_00115	Syap.g_00130, Syap.g_00129
OG0000130	Prav.g_00134	Syap.g_01688, Syap.g_01689
OG0000131	Prav.g_00212	Syap.g_02189
OG0000132	Prav.g_00874	Syap.g_01205
OG0000133	Prav.g_01968	Syap.g_02017
OG0000134	Prav.g_00976	Syap.g_02047
OG0000135	Prav.g_00999	Syap.g_02090
OG0000136	Prav.g_01040	Syap.g_00089
OG0000137	Prav.g_01073	Syap.g_02756
OG0000138	Prav.g_01093	Syap.g_00278
OG0000139	Prav.g_01135	Syap.g_00410
OG0000140	Prav.g_01136	Syap.g_01976
OG0000141	Prav.g_01203	Syap.g_01541, Syap.g_01542, Syap.g_01544
OG0000142	Prav.g_01233	Syap.g_00895, Syap.g_00894
OG0000143	Prav.g_01237	Syap.g_00900, Syap.g_00899, Syap.g_00901
OG0000144	Prav.g_01250	Syap.g_02504, Syap.g_02503, Syap.g_02502, Syap.g_02772
OG0000145	Prav.g_00362	Syap.g_01860, Syap.g_01859
OG0000146	Prav.g_00365	Syap.g_02024
OG0000147	Prav.g_00366	Syap.g_02025
OG0000148	Prav.g_00413	Syap.g_02720
OG0000149	Prav.g_00443	Syap.g_00824
OG0000150	Prav.g_00451	Syap.g_01540
OG0000151	Prav.g_00509	Syap.g_00142
OG0000152	Prav.g_00556	Syap.g_02012
OG0000153	Prav.g_00575	Syap.g_02682
OG0000154	Prav.g_00907	Syap.g_02761, Syap.g_02760, Syap.g_01876
OG0000155	Prav.g_01861	Syap.g_02777, Syap.g_01878, Syap.g_01879
OG0000156	Prav.g_01427	Syap.g_00248, Syap.g_00284, Syap.g_00283
OG0000157	Prav.g_01428	Syap.g_00249, Syap.g_00286
OG0000158	Prav.g_01505	Syap.g_01075
OG0000159	Prav.g_01506	Syap.g_00852
OG0000160	Prav.g_01579	Syap.g_02470, Syap.g_02469
OG0000161	Prav.g_01585	Syap.g_02476
OG0000162	Prav.g_01591	Syap.g_02531
OG0000164	Prav.g_01785	Syap.g_01391, Syap.g_01392
OG0000165	Prav.g_01792	Syap.g_01381, Syap.g_01382
OG0000166	Prav.g_00596	Syap.g_00512, Syap.g_01238
OG0000167	Prav.g_00663	Syap.g_02080
OG0000168	Prav.g_00673	Syap.g_01076
OG0000169	Prav.g_00683	Syap.g_01049, Syap.g_01093
OG0000170	Prav.g_00685	Syap.g_01467, Syap.g_01106, Syap.g_01468
OG0000171	Prav.g_00704	Syap.g_01128, Syap.g_02454, Syap.g_02453
OG0000172	Prav.g_00712	Syap.g_01143, Syap.g_00635
OG0000173	Prav.g_00727	Syap.g_00982, Syap.g_00983
OG0000174	Prav.g_00755	Syap.g_02092
OG0000175	Prav.g_00765	Syap.g_02654
OG0000176	Prav.g_00790	Syap.g_00059
OG0000177	Prav.g_00791	Syap.g_00061, Syap.g_00060
OG0000178	Prav.g_00792	Syap.g_00062
OG0000179	Prav.g_00084	Syap.g_00077, Syap.g_02638
OG0000180	Prav.g_00085	Syap.g_00078, Syap.g_02640
OG0000181	Prav.g_00086	Syap.g_00079, Syap.g_02641
OG0000182	Prav.g_00087	Syap.g_00080, Syap.g_02642
OG0000183	Prav.g_00091	Syap.g_00084
OG0000184	Prav.g_00117	Syap.g_01337
OG0000185	Prav.g_00120	Syap.g_01322
OG0000186	Prav.g_00129	Syap.g_01684
OG0000187	Prav.g_00130	Syap.g_01686
OG0000188	Prav.g_00147	Syap.g_02547
OG0000191	Prav.g_00182	Syap.g_02233
OG0000192	Prav.g_00186	Syap.g_02224
