Orthogroup	Prav	Praz
OG0000000	Prav.g_01736, Prav.g_01415	Praz.g_01198
OG0000000	Prav.g_01695	Praz.g_00921
OG0000000	Prav.g_01694	Praz.g_00694
OG0000000	Prav.g_01694	Praz.g_00922
OG0000000	Prav.g_01821	Praz.g_00694
OG0000000	Prav.g_01821	Praz.g_00922
OG0000000	Prav.g_01413	Praz.g_01200
OG0000000	Prav.g_01698	Praz.g_00920
OG0000001	Prav.g_01458	Praz.g_01154
OG0000001	Prav.g_01820, Prav.g_02007	Praz.g_01940
OG0000002	Prav.g_01466	Praz.g_01146
OG0000002	Prav.g_01276	Praz.g_01652
OG0000004	Prav.g_01293	Praz.g_01635
OG0000004	Prav.g_00806	Praz.g_00592
OG0000005	Prav.g_01774	Praz.g_00864
OG0000005	Prav.g_01654	Praz.g_00965
OG0000006	Prav.g_02001	Praz.g_00601
OG0000007	Prav.g_01095	Praz.g_01831
OG0000007	Prav.g_01761	Praz.g_00877
OG0000008	Prav.g_01749	Praz.g_01241
OG0000008	Prav.g_01270	Praz.g_01658
OG0000009	Prav.g_01688	Praz.g_00929
OG0000009	Prav.g_00170	Praz.g_00465
OG0000010	Prav.g_00218	Praz.g_00074
OG0000010	Prav.g_01072	Praz.g_01854
OG0000011	Prav.g_01014	Praz.g_00768
OG0000011	Prav.g_01407	Praz.g_01207
OG0000011	Prav.g_01334	Praz.g_01240
OG0000012	Prav.g_01221	Praz.g_01707
OG0000013	Prav.g_01973	Praz.g_00684
OG0000014	Prav.g_01952	Praz.g_00663
OG0000015	Prav.g_00961	Praz.g_01551
OG0000016	Prav.g_00081	Praz.g_00378
OG0000017	Prav.g_01194	Praz.g_01732
OG0000018	Prav.g_00046	Praz.g_00011
OG0000018	Prav.g_00424	Praz.g_01485
OG0000019	Prav.g_01896	Praz.g_00609
OG0000019	Prav.g_00375	Praz.g_01532
OG0000020	Prav.g_00014	Praz.g_00048
OG0000021	Prav.g_00984	Praz.g_00896, Praz.g_00810
OG0000022	Prav.g_00360	Praz.g_01556
OG0000022	Prav.g_00029	Praz.g_00029
OG0000023	Prav.g_00979	Praz.g_00814
OG0000024	Prav.g_00343	Praz.g_01571
OG0000024	Prav.g_01273	Praz.g_01655
OG0000025	Prav.g_00431	Praz.g_01477
OG0000025	Prav.g_01977	Praz.g_00688
OG0000026	Prav.g_00099	Praz.g_00396
OG0000026	Prav.g_00226	Praz.g_00081
OG0000027	Prav.g_01068	Praz.g_01858
