Orthogroup	Prav	Syaj
OG0000001	Prav.g_01458, Prav.g_01748, Prav.g_00962, Prav.g_01820, Prav.g_02007, Prav.g_01734	Syaj.g_02674
OG0000002	Prav.g_01466, Prav.g_01276	Syaj.g_02667
OG0000004	Prav.g_01293	Syaj.g_00441
OG0000004	Prav.g_00806	Syaj.g_01314, Syaj.g_02853
OG0000005	Prav.g_01774	Syaj.g_01736
OG0000005	Prav.g_01654	Syaj.g_01698
OG0000006	Prav.g_02001	Syaj.g_02635
OG0000007	Prav.g_01095	Syaj.g_00091
OG0000007	Prav.g_01761	Syaj.g_01721
OG0000008	Prav.g_01749	Syaj.g_00496
OG0000008	Prav.g_01750	Syaj.g_00497
OG0000009	Prav.g_01688	Syaj.g_01069
OG0000009	Prav.g_00170	Syaj.g_01885
OG0000010	Prav.g_00218, Prav.g_01072	Syaj.g_01445
OG0000011	Prav.g_01014, Prav.g_01407	Syaj.g_01133
OG0000012	Prav.g_01221	Syaj.g_00003, Syaj.g_01793, Syaj.g_00831, Syaj.g_00172, Syaj.g_01306
OG0000013	Prav.g_01973	Syaj.g_02782, Syaj.g_02769, Syaj.g_02774
OG0000014	Prav.g_01952	Syaj.g_02522
OG0000015	Prav.g_00363, Prav.g_00961	Syaj.g_00725, Syaj.g_02659
OG0000016	Prav.g_00081	Syaj.g_02276
OG0000016	Prav.g_01385	Syaj.g_01191
OG0000017	Prav.g_01194	Syaj.g_00248
OG0000018	Prav.g_00046, Prav.g_00424	Syaj.g_01413
OG0000019	Prav.g_01896, Prav.g_00375	Syaj.g_02613
OG0000021	Prav.g_00984	Syaj.g_00982
OG0000022	Prav.g_00360, Prav.g_00029	Syaj.g_01220
OG0000023	Prav.g_00979	Syaj.g_00829, Syaj.g_01791
OG0000024	Prav.g_00343, Prav.g_01273	Syaj.g_00500
OG0000025	Prav.g_00431, Prav.g_01977	Syaj.g_00383
OG0000026	Prav.g_01324, Prav.g_00099, Prav.g_00226	Syaj.g_02298
OG0000027	Prav.g_01068, Prav.g_01416	Syaj.g_00396
OG0000028	Prav.g_01966, Prav.g_01885	Syaj.g_02506
OG0000029	Prav.g_00350	Syaj.g_01229
OG0000030	Prav.g_00699	Syaj.g_02396, Syaj.g_02395
OG0000033	Prav.g_00869	Syaj.g_01990
OG0000034	Prav.g_01448	Syaj.g_01959
OG0000035	Prav.g_01578	Syaj.g_01378
OG0000037	Prav.g_00174	Syaj.g_01891, Syaj.g_02902
OG0000038	Prav.g_00739	Syaj.g_02115
OG0000039	Prav.g_01284	Syaj.g_00392, Syaj.g_00275
OG0000041	Prav.g_01808	Syaj.g_01602
OG0000042	Prav.g_00696	Syaj.g_02399
OG0000043	Prav.g_00467	Syaj.g_01247
OG0000047	Prav.g_01976	Syaj.g_02799
OG0000048	Prav.g_00993	Syaj.g_02578
OG0000050	Prav.g_01013	Syaj.g_01242
OG0000051	Prav.g_01410	Syaj.g_02898
OG0000052	Prav.g_01533	Syaj.g_02476
OG0000053	Prav.g_01598	Syaj.g_01409
OG0000054	Prav.g_01202	Syaj.g_01341
OG0000055	Prav.g_00376	Syaj.g_00394
OG0000056	Prav.g_00106, Prav.g_00107, Prav.g_01421	Syaj.g_00985, Syaj.g_02864, Syaj.g_01794
OG0000057	Prav.g_01296	Syaj.g_00438
OG0000058	Prav.g_01512	Syaj.g_02495
OG0000059	Prav.g_00292	Syaj.g_02686
OG0000060	Prav.g_00964	Syaj.g_00635
OG0000061	Prav.g_00065	Syaj.g_00302
OG0000063	Prav.g_00101	Syaj.g_02302
OG0000065	Prav.g_00172	Syaj.g_00007, Syaj.g_01887
OG0000066	Prav.g_01137	Syaj.g_00157
OG0000067	Prav.g_00397	Syaj.g_01023
OG0000068	Prav.g_01473	Syaj.g_00059
OG0000070	Prav.g_01049	Syaj.g_01529
OG0000071	Prav.g_01438	Syaj.g_01511
OG0000072	Prav.g_00867	Syaj.g_01992
OG0000073	Prav.g_01097	Syaj.g_00093
OG0000075	Prav.g_00665	Syaj.g_02457
OG0000076	Prav.g_00689	Syaj.g_02417
OG0000077	Prav.g_00143	Syaj.g_01831
OG0000078	Prav.g_00799	Syaj.g_02880
OG0000079	Prav.g_01899	Syaj.g_02609
