Orthogroup	Prav	Syag
OG0000001	Prav.g_01458, Prav.g_01748, Prav.g_00962, Prav.g_01820, Prav.g_02007, Prav.g_01734	Syag.g_00575
OG0000004	Prav.g_01293	Syag.g_00988
OG0000004	Prav.g_00806	Syag.g_00370, Syag.g_01790
OG0000005	Prav.g_01774	Syag.g_01708
OG0000005	Prav.g_01654	Syag.g_01667
OG0000006	Prav.g_02001	Syag.g_01772, Syag.g_02678, Syag.g_02687
OG0000007	Prav.g_01095	Syag.g_01507
OG0000007	Prav.g_01761	Syag.g_01687
OG0000008	Prav.g_01749	Syag.g_00496
OG0000008	Prav.g_01750	Syag.g_01017
OG0000009	Prav.g_01688	Syag.g_00220, Syag.g_00231
OG0000009	Prav.g_00170	Syag.g_01883
OG0000010	Prav.g_00218, Prav.g_01072	Syag.g_01355
OG0000011	Prav.g_01014, Prav.g_01407, Prav.g_01334	Syag.g_01299
OG0000012	Prav.g_01221	Syag.g_00995, Syag.g_00686, Syag.g_01105, Syag.g_00377
OG0000013	Prav.g_01973	Syag.g_02820, Syag.g_02806, Syag.g_02811
OG0000014	Prav.g_01952	Syag.g_02559
OG0000015	Prav.g_00363, Prav.g_00961	Syag.g_00596
OG0000016	Prav.g_00081	Syag.g_02286
OG0000017	Prav.g_01194	Syag.g_00336
OG0000018	Prav.g_00046, Prav.g_00424	Syag.g_01387
OG0000019	Prav.g_01896, Prav.g_00375	Syag.g_02663
OG0000020	Prav.g_00014, Prav.g_01386	Syag.g_00085
OG0000022	Prav.g_00360, Prav.g_00029	Syag.g_00458
OG0000023	Prav.g_00979	Syag.g_00261, Syag.g_00234
OG0000024	Prav.g_00343, Prav.g_01273	Syag.g_00455
OG0000025	Prav.g_00431, Prav.g_01977	Syag.g_00718
OG0000026	Prav.g_01324, Prav.g_00099, Prav.g_00226	Syag.g_02309
OG0000027	Prav.g_01068, Prav.g_01416	Syag.g_00950, Syag.g_00165
OG0000028	Prav.g_01966, Prav.g_01885	Syag.g_02540
OG0000029	Prav.g_00350	Syag.g_00195
OG0000030	Prav.g_00699	Syag.g_02375, Syag.g_02374
OG0000032	Prav.g_01499	Syag.g_02480
OG0000033	Prav.g_00869	Syag.g_01978
OG0000034	Prav.g_01448	Syag.g_01225, Syag.g_01947
OG0000035	Prav.g_01578	Syag.g_01420
OG0000037	Prav.g_00174	Syag.g_00173
OG0000038	Prav.g_00739	Syag.g_02130, Syag.g_02132
OG0000039	Prav.g_01284	Syag.g_01325, Syag.g_02155
OG0000041	Prav.g_01808	Syag.g_01750
OG0000042	Prav.g_00696	Syag.g_01094, Syag.g_02378
OG0000043	Prav.g_00467	Syag.g_00564
OG0000045	Prav.g_00990	Syag.g_00223
OG0000047	Prav.g_01976	Syag.g_00768
OG0000048	Prav.g_00993	Syag.g_02611
OG0000051	Prav.g_01410	Syag.g_01026
OG0000052	Prav.g_01533	Syag.g_02451
OG0000053	Prav.g_01598	Syag.g_01391
OG0000054	Prav.g_01202	Syag.g_00350
OG0000055	Prav.g_00376	Syag.g_00946
OG0000057	Prav.g_01296	Syag.g_00985
OG0000058	Prav.g_01512	Syag.g_02477
OG0000059	Prav.g_00292	Syag.g_02721
OG0000060	Prav.g_00964	Syag.g_01095
OG0000061	Prav.g_00065	Syag.g_01141
OG0000063	Prav.g_00101	Syag.g_02313
OG0000065	Prav.g_00172	Syag.g_00182, Syag.g_01885
OG0000066	Prav.g_01137	Syag.g_01443
OG0000067	Prav.g_00397	Syag.g_00667
OG0000068	Prav.g_01473	Syag.g_01537
OG0000070	Prav.g_01049	Syag.g_00049
OG0000071	Prav.g_01438	Syag.g_01192
OG0000072	Prav.g_00867	Syag.g_01980, Syag.g_02859
