Orthogroup	Prav	Praa
OG0000000	Prav.g_01736, Prav.g_01415	Praa.g_01300
OG0000000	Prav.g_01695	Praa.g_01598
OG0000000	Prav.g_00973	Praa.g_01244
OG0000000	Prav.g_01738, Prav.g_01694, Prav.g_01821	Praa.g_01597
OG0000000	Prav.g_01730, Prav.g_01715	Praa.g_01297
OG0000000	Prav.g_01413	Praa.g_01298
OG0000000	Prav.g_01698	Praa.g_01599
OG0000001	Prav.g_01458	Praa.g_01351
OG0000001	Prav.g_00962, Prav.g_01820, Prav.g_02007	Praa.g_01220, Praa.g_01222
OG0000002	Prav.g_01466	Praa.g_01359
OG0000002	Prav.g_01276	Praa.g_00678
OG0000004	Prav.g_01293	Praa.g_00695
OG0000004	Prav.g_00806	Praa.g_00232
OG0000005	Prav.g_01774	Praa.g_01648
OG0000005	Prav.g_01654	Praa.g_01553
OG0000006	Prav.g_02001	Praa.g_00241, Praa.g_01245
OG0000007	Prav.g_01095	Praa.g_00497
OG0000007	Prav.g_01761	Praa.g_01635
OG0000008	Prav.g_01749	Praa.g_01241
OG0000008	Prav.g_01270	Praa.g_00672
OG0000009	Prav.g_01688	Praa.g_01589
OG0000009	Prav.g_00170	Praa.g_00105
OG0000010	Prav.g_00218	Praa.g_01047
OG0000010	Prav.g_01072	Praa.g_00474
OG0000011	Prav.g_01407	Praa.g_01288
OG0000011	Prav.g_01334	Praa.g_01626
OG0000012	Prav.g_01221	Praa.g_00623
OG0000013	Prav.g_01973	Praa.g_00327
OG0000014	Prav.g_01952	Praa.g_00306
OG0000015	Prav.g_00363	Praa.g_00765
OG0000016	Prav.g_00081	Praa.g_00013
OG0000017	Prav.g_01194	Praa.g_00598
OG0000018	Prav.g_00046	Praa.g_01141
OG0000018	Prav.g_00424	Praa.g_00831
OG0000019	Prav.g_01896	Praa.g_00249
OG0000019	Prav.g_00375	Praa.g_00782
OG0000020	Prav.g_00014	Praa.g_01107
OG0000021	Prav.g_00984	Praa.g_01623, Praa.g_00364
OG0000022	Prav.g_00360	Praa.g_00763
OG0000022	Prav.g_00029	Praa.g_01124
OG0000023	Prav.g_00979	Praa.g_00359
OG0000024	Prav.g_00343	Praa.g_00747
OG0000024	Prav.g_01273	Praa.g_00675
OG0000025	Prav.g_00431	Praa.g_00839
OG0000025	Prav.g_01977	Praa.g_00331
OG0000026	Prav.g_00099	Praa.g_00031
OG0000026	Prav.g_00226	Praa.g_01054
OG0000027	Prav.g_01068	Praa.g_00470
OG0000027	Prav.g_01416	Praa.g_01301
OG0000028	Prav.g_01966	Praa.g_00320
OG0000028	Prav.g_01885	Praa.g_01248
OG0000029	Prav.g_00350	Praa.g_00754
OG0000030	Prav.g_00699	Praa.g_01842
OG0000033	Prav.g_00869	Praa.g_00169
OG0000034	Prav.g_01448	Praa.g_01328
OG0000035	Prav.g_01578	Praa.g_01476
OG0000037	Prav.g_00174	Praa.g_00109
OG0000038	Prav.g_00739	Praa.g_01883
OG0000039	Prav.g_01284	Praa.g_00686
OG0000040	Prav.g_01720	Praa.g_01618
OG0000040	Prav.g_00045	Praa.g_01140
OG0000041	Prav.g_01808	Praa.g_01683
OG0000042	Prav.g_00696	Praa.g_01839
OG0000043	Prav.g_00467	Praa.g_00876
OG0000045	Prav.g_00990	Praa.g_00370
OG0000047	Prav.g_01976	Praa.g_00330
OG0000048	Prav.g_00993	Praa.g_00373
OG0000049	Prav.g_01000	Praa.g_00382
OG0000049	Prav.g_01016	Praa.g_01256
OG0000050	Prav.g_00247	Praa.g_01075
OG0000051	Prav.g_01410	Praa.g_01291
OG0000052	Prav.g_01533	Praa.g_01447, Praa.g_01407
OG0000053	Prav.g_01598	Praa.g_01496
OG0000054	Prav.g_01202	Praa.g_00606
OG0000055	Prav.g_00376	Praa.g_00783
OG0000057	Prav.g_01296	Praa.g_00698
OG0000058	Prav.g_01512	Praa.g_01425
OG0000059	Prav.g_00292	Praa.g_01723
OG0000061	Prav.g_00065	Praa.g_01159
OG0000062	Prav.g_01656	Praa.g_01555
OG0000063	Prav.g_00101	Praa.g_00033
OG0000065	Prav.g_00172	Praa.g_00107
OG0000066	Prav.g_01137	Praa.g_00539
OG0000067	Prav.g_00397	Praa.g_00803
OG0000068	Prav.g_01473	Praa.g_01366
OG0000069	Prav.g_01881, Prav.g_01689	Praa.g_01590
OG0000070	Prav.g_01049	Praa.g_00449
OG0000071	Prav.g_01438	Praa.g_01318
OG0000072	Prav.g_00867	Praa.g_00171
OG0000073	Prav.g_01097	Praa.g_00499
OG0000074	Prav.g_01280	Praa.g_00682
OG0000075	Prav.g_00665	Praa.g_01808
OG0000076	Prav.g_00689	Praa.g_01832
OG0000077	Prav.g_00143	Praa.g_00078
OG0000078	Prav.g_00799	Praa.g_00239
OG0000079	Prav.g_01899	Praa.g_00252
OG0000081	Prav.g_01129	Praa.g_00531
OG0000082	Prav.g_01182	Praa.g_00585
OG0000083	Prav.g_00338	Praa.g_00742
OG0000083	Prav.g_00330	Praa.g_00735
OG0000084	Prav.g_01574	Praa.g_01472
OG0000085	Prav.g_01754	Praa.g_01628
OG0000086	Prav.g_00153	Praa.g_00088
OG0000087	Prav.g_00204	Praa.g_00139
OG0000088	Prav.g_00872	Praa.g_00166
OG0000089	Prav.g_00975	Praa.g_00355
OG0000090	Prav.g_01131	Praa.g_00533
OG0000091	Prav.g_01240	Praa.g_00642
OG0000092	Prav.g_00504	Praa.g_00912
OG0000093	Prav.g_00525	Praa.g_00932
OG0000094	Prav.g_00914	Praa.g_01020
OG0000095	Prav.g_00933	Praa.g_01039
OG0000096	Prav.g_01400	Praa.g_01280
OG0000097	Prav.g_01840	Praa.g_01200
OG0000098	Prav.g_01455	Praa.g_01348
OG0000099	Prav.g_01514	Praa.g_01394
OG0000100	Prav.g_01652	Praa.g_01551
OG0000101	Prav.g_00632	Praa.g_01775
OG0000102	Prav.g_00694	Praa.g_01837
OG0000103	Prav.g_00773	Praa.g_01916
OG0000104	Prav.g_00782	Praa.g_01924
OG0000105	Prav.g_01920	Praa.g_00274
OG0000106	Prav.g_00989	Praa.g_00369
OG0000107	Prav.g_01001	Praa.g_00383
OG0000108	Prav.g_01078	Praa.g_00480
OG0000109	Prav.g_01092	Praa.g_00494
OG0000110	Prav.g_01172	Praa.g_00575
OG0000111	Prav.g_01297	Praa.g_00699
OG0000112	Prav.g_00364	Praa.g_00766
OG0000113	Prav.g_00419	Praa.g_00826
OG0000114	Prav.g_00499	Praa.g_00907
OG0000115	Prav.g_00010	Praa.g_01101
OG0000116	Prav.g_00055	Praa.g_01150
OG0000117	Prav.g_01390	Praa.g_01255
OG0000118	Prav.g_01450	Praa.g_01330
OG0000119	Prav.g_01469	Praa.g_01362
OG0000120	Prav.g_01513	Praa.g_01387
OG0000121	Prav.g_01580	Praa.g_01478
OG0000122	Prav.g_01618	Praa.g_01516
OG0000123	Prav.g_00639	Praa.g_01782
OG0000124	Prav.g_00705	Praa.g_01848
OG0000125	Prav.g_00741	Praa.g_01885
OG0000126	Prav.g_00781	Praa.g_01923
OG0000128	Prav.g_00079	Praa.g_00011
OG0000129	Prav.g_00115	Praa.g_00044
OG0000130	Prav.g_00134	Praa.g_00069
OG0000131	Prav.g_00212	Praa.g_00145
OG0000132	Prav.g_00874	Praa.g_00164
OG0000133	Prav.g_01968	Praa.g_00322
OG0000134	Prav.g_00976	Praa.g_00356
OG0000135	Prav.g_00999	Praa.g_00381
OG0000136	Prav.g_01040	Praa.g_00440
OG0000137	Prav.g_01073	Praa.g_00475
OG0000138	Prav.g_01093	Praa.g_00495
OG0000139	Prav.g_01135	Praa.g_00537
OG0000140	Prav.g_01136	Praa.g_00538
OG0000141	Prav.g_01203	Praa.g_00607
OG0000142	Prav.g_01233	Praa.g_00635
OG0000143	Prav.g_01237	Praa.g_00639
OG0000144	Prav.g_01250	Praa.g_00652
OG0000145	Prav.g_00362	Praa.g_00764
OG0000146	Prav.g_00365	Praa.g_00767
OG0000147	Prav.g_00366	Praa.g_00768
OG0000148	Prav.g_00413	Praa.g_00820
OG0000149	Prav.g_00443	Praa.g_00851
OG0000150	Prav.g_00451	Praa.g_00859
OG0000151	Prav.g_00509	Praa.g_00917
OG0000152	Prav.g_00556	Praa.g_00964
OG0000153	Prav.g_00575	Praa.g_00983
OG0000154	Prav.g_00907	Praa.g_01013
OG0000155	Prav.g_01861	Praa.g_01179
OG0000156	Prav.g_01427	Praa.g_01307
OG0000157	Prav.g_01428	Praa.g_01308
OG0000158	Prav.g_01505	Praa.g_01395
OG0000159	Prav.g_01506	Praa.g_01396
