Orthogroup	Prav	Prbk
OG0000000	Prav.g_01695, Prav.g_00973	Prbk.g_00165
OG0000000	Prav.g_01413, Prav.g_01698	Prbk.g_00167, Prbk.g_00166
OG0000001	Prav.g_01458, Prav.g_01748, Prav.g_00962, Prav.g_01820, Prav.g_02007, Prav.g_01734	Prbk.g_01196, Prbk.g_00170
OG0000002	Prav.g_01466	Prbk.g_02574
OG0000002	Prav.g_01276	Prbk.g_01649
OG0000004	Prav.g_01293	Prbk.g_01760
OG0000004	Prav.g_00806	Prbk.g_01134
OG0000005	Prav.g_01654	Prbk.g_00933
OG0000006	Prav.g_02001	Prbk.g_02695
OG0000007	Prav.g_01761	Prbk.g_00907
OG0000008	Prav.g_01749	Prbk.g_01819
OG0000008	Prav.g_01750	Prbk.g_01820
OG0000009	Prav.g_00170	Prbk.g_01932, Prbk.g_00013
OG0000010	Prav.g_01072	Prbk.g_02112
OG0000011	Prav.g_01014, Prav.g_01407	Prbk.g_01851
OG0000012	Prav.g_01221	Prbk.g_02610
OG0000013	Prav.g_01973	Prbk.g_00853
OG0000014	Prav.g_01952	Prbk.g_00454
OG0000015	Prav.g_00363, Prav.g_00961	Prbk.g_02558
OG0000017	Prav.g_01194	Prbk.g_01142
OG0000018	Prav.g_00046, Prav.g_00424	Prbk.g_01227
OG0000019	Prav.g_01896, Prav.g_00375	Prbk.g_01644
OG0000020	Prav.g_00014	Prbk.g_01664
OG0000020	Prav.g_01386	Prbk.g_01331, Prbk.g_02697
OG0000021	Prav.g_00984	Prbk.g_01960
OG0000022	Prav.g_00360	Prbk.g_00212
OG0000022	Prav.g_00029	Prbk.g_01667
OG0000023	Prav.g_00979	Prbk.g_02448
OG0000024	Prav.g_00343, Prav.g_01273	Prbk.g_01780
OG0000025	Prav.g_00431, Prav.g_01977	Prbk.g_02531
OG0000026	Prav.g_01324, Prav.g_00099, Prav.g_00226	Prbk.g_01617
OG0000028	Prav.g_01966	Prbk.g_00469
OG0000029	Prav.g_00350	Prbk.g_00833
OG0000030	Prav.g_00699	Prbk.g_01532, Prbk.g_01533
OG0000032	Prav.g_01499	Prbk.g_00480
OG0000033	Prav.g_00869	Prbk.g_00776
OG0000034	Prav.g_01448	Prbk.g_01171
OG0000035	Prav.g_01578	Prbk.g_00259
OG0000037	Prav.g_00174	Prbk.g_00007
OG0000038	Prav.g_00739	Prbk.g_02164, Prbk.g_02166
OG0000039	Prav.g_01284	Prbk.g_01385, Prbk.g_00642
OG0000041	Prav.g_01808	Prbk.g_01406
OG0000042	Prav.g_00696	Prbk.g_01495, Prbk.g_00140
OG0000045	Prav.g_00990	Prbk.g_01321
OG0000047	Prav.g_01976	Prbk.g_01202
OG0000048	Prav.g_00993	Prbk.g_00405
