Orthogroup	Prav	Syan
OG0000004	Prav.g_01293	Syan.g_00183
OG0000004	Prav.g_00806	Syan.g_00989
OG0000005	Prav.g_01774	Syan.g_01423
OG0000005	Prav.g_01654	Syan.g_01378
OG0000006	Prav.g_02001	Syan.g_00057, Syan.g_00936, Syan.g_01505, Syan.g_02101, Syan.g_02441
OG0000007	Prav.g_01095	Syan.g_02743
OG0000007	Prav.g_01761	Syan.g_01400
OG0000008	Prav.g_01749	Syan.g_00640, Syan.g_02532
OG0000008	Prav.g_01750	Syan.g_00641, Syan.g_02531
OG0000009	Prav.g_01688, Prav.g_00170	Syan.g_02972
OG0000010	Prav.g_00218, Prav.g_01072	Syan.g_02847
OG0000012	Prav.g_01221	Syan.g_01076, Syan.g_00452, Syan.g_02349, Syan.g_02485
OG0000013	Prav.g_01973	Syan.g_02156, Syan.g_02159, Syan.g_00101
OG0000014	Prav.g_01952	Syan.g_01987
OG0000016	Prav.g_00081	Syan.g_01766
OG0000017	Prav.g_01194	Syan.g_01006
OG0000018	Prav.g_00046, Prav.g_00424	Syan.g_02816
OG0000019	Prav.g_01896, Prav.g_00375	Syan.g_02088
OG0000021	Prav.g_00984	Syan.g_01001
OG0000022	Prav.g_00360, Prav.g_00029	Syan.g_00089
OG0000023	Prav.g_00979	Syan.g_00404
OG0000025	Prav.g_00431, Prav.g_01977	Syan.g_00374
OG0000026	Prav.g_01324, Prav.g_00099, Prav.g_00226	Syan.g_01743
OG0000027	Prav.g_01068, Prav.g_01416	Syan.g_02678
OG0000028	Prav.g_01966, Prav.g_01885	Syan.g_01971
OG0000030	Prav.g_00699	Syan.g_01884, Syan.g_01883
OG0000032	Prav.g_01499	Syan.g_01819, Syan.g_01088, Syan.g_01091, Syan.g_01101
OG0000033	Prav.g_00869	Syan.g_03036
OG0000034	Prav.g_01448	Syan.g_01227, Syan.g_03003
OG0000035	Prav.g_01578	Syan.g_01276
OG0000037	Prav.g_00174	Syan.g_00136, Syan.g_02978, Syan.g_00917
OG0000038	Prav.g_00739	Syan.g_00064, Syan.g_01569, Syan.g_01571
OG0000039	Prav.g_01284	Syan.g_02771, Syan.g_00535
OG0000041	Prav.g_01808	Syan.g_01465
OG0000042	Prav.g_00696	Syan.g_00991, Syan.g_02643, Syan.g_01888
OG0000045	Prav.g_00990	Syan.g_00086, Syan.g_00151
OG0000048	Prav.g_00993	Syan.g_02036
OG0000053	Prav.g_01598	Syan.g_02812
OG0000054	Prav.g_01202	Syan.g_02503
OG0000055	Prav.g_00376	Syan.g_00312
OG0000060	Prav.g_00964	Syan.g_00277
OG0000061	Prav.g_00065	Syan.g_02696
OG0000062	Prav.g_01656	Syan.g_00098
OG0000063	Prav.g_00101	Syan.g_01739
OG0000065	Prav.g_00172	Syan.g_02974
OG0000066	Prav.g_01137	Syan.g_01156
OG0000067	Prav.g_00397	Syan.g_00690
OG0000068	Prav.g_01473	Syan.g_00845, Syan.g_00257, Syan.g_02773
OG0000069	Prav.g_01881, Prav.g_01689	Syan.g_00278
OG0000070	Prav.g_01049	Syan.g_00289
OG0000071	Prav.g_01438	Syan.g_01213
OG0000072	Prav.g_00867	Syan.g_03038, Syan.g_02999
OG0000073	Prav.g_01097	Syan.g_02741
OG0000075	Prav.g_00665	Syan.g_00981, Syan.g_01937
OG0000076	Prav.g_00689	Syan.g_01896
OG0000079	Prav.g_01899	Syan.g_02079, Syan.g_02067, Syan.g_02085
OG0000082	Prav.g_01182	Syan.g_00952
OG0000085	Prav.g_01754	Syan.g_01387
OG0000086	Prav.g_00153	Syan.g_02946, Syan.g_02515, Syan.g_00114
OG0000087	Prav.g_00204	Syan.g_02268
OG0000088	Prav.g_00872	Syan.g_03031
OG0000089	Prav.g_00975	Syan.g_02316
OG0000090	Prav.g_01131	Syan.g_01166
OG0000091	Prav.g_01240	Syan.g_00235, Syan.g_00808
OG0000092	Prav.g_00504, Prav.g_01735	Syan.g_02502
OG0000093	Prav.g_01497	Syan.g_02934
OG0000094	Prav.g_00914	Syan.g_00353, Syan.g_00065
OG0000097	Prav.g_01840	Syan.g_00160, Syan.g_00733
OG0000098	Prav.g_01455	Syan.g_00043
