Orthogroup	Prav	Praj
OG0000000	Prav.g_01736, Prav.g_01415	Praj.g_00419, Praj.g_01356, Praj.g_01076, Praj.g_01201, Praj.g_01271, Praj.g_01308
OG0000000	Prav.g_01695, Prav.g_00973	Praj.g_01272, Praj.g_01309, Praj.g_01078, Praj.g_00417, Praj.g_01202
OG0000000	Prav.g_01738, Prav.g_01694, Prav.g_01821	Praj.g_00087
OG0000000	Prav.g_01730, Prav.g_01715	Praj.g_01267
OG0000001	Prav.g_01748	Praj.g_01828
OG0000001	Prav.g_00962, Prav.g_01820, Prav.g_02007	Praj.g_01112
OG0000002	Prav.g_01466	Praj.g_00832
OG0000002	Prav.g_01276	Praj.g_01489, Praj.g_01488, Praj.g_01493, Praj.g_01487, Praj.g_01492, Praj.g_00670
OG0000004	Prav.g_01293	Praj.g_01396
OG0000004	Prav.g_00806	Praj.g_00271
OG0000005	Prav.g_01774	Praj.g_01349
OG0000005	Prav.g_01654	Praj.g_01712
OG0000006	Prav.g_02001	Praj.g_00282, Praj.g_01281, Praj.g_01505
OG0000007	Prav.g_01095	Praj.g_00489
OG0000007	Prav.g_01761	Praj.g_01768
OG0000008	Prav.g_01749	Praj.g_01829
OG0000008	Prav.g_01750	Praj.g_01830
OG0000010	Prav.g_01072	Praj.g_01026, Praj.g_00466
OG0000011	Prav.g_01407	Praj.g_01187
OG0000011	Prav.g_01334	Praj.g_01158
OG0000012	Prav.g_01221	Praj.g_01066
OG0000013	Prav.g_01973	Praj.g_00362
OG0000014	Prav.g_01952	Praj.g_00341
OG0000015	Prav.g_00363, Prav.g_00961	Praj.g_01113
OG0000016	Prav.g_00081	Praj.g_00013
OG0000016	Prav.g_01385	Praj.g_01865
OG0000017	Prav.g_01194	Praj.g_00592
OG0000018	Prav.g_00046	Praj.g_01482
OG0000018	Prav.g_00424	Praj.g_00798
OG0000019	Prav.g_00375	Praj.g_00747
OG0000020	Prav.g_00014	Praj.g_01025
OG0000020	Prav.g_01386	Praj.g_01139
OG0000021	Prav.g_00984	Praj.g_01859
OG0000022	Prav.g_00360	Praj.g_01189
OG0000022	Prav.g_00029	Praj.g_01216
OG0000023	Prav.g_00979	Praj.g_01365, Praj.g_01329
OG0000024	Prav.g_00343	Praj.g_01134
OG0000024	Prav.g_01273	Praj.g_00666
OG0000025	Prav.g_00431, Prav.g_01977	Praj.g_00805
OG0000026	Prav.g_01324, Prav.g_00099, Prav.g_00226	Praj.g_00031
OG0000027	Prav.g_01068, Prav.g_01416	Praj.g_01331
OG0000028	Prav.g_01885	Praj.g_01571
OG0000029	Prav.g_00350	Praj.g_01745
OG0000030	Prav.g_00699	Praj.g_02024
OG0000033	Prav.g_00869	Praj.g_00209
OG0000034	Prav.g_01448	Praj.g_01538
OG0000035	Prav.g_01578	Praj.g_01632
OG0000037	Prav.g_00174	Praj.g_00147
OG0000038	Prav.g_00739	Praj.g_02089
OG0000039	Prav.g_01284	Praj.g_00679
OG0000040	Prav.g_01720	Praj.g_01735
OG0000041	Prav.g_01808	Praj.g_01813
OG0000042	Prav.g_00696	Praj.g_02020
OG0000043	Prav.g_00467	Praj.g_00864
OG0000045	Prav.g_00990	Praj.g_01049
OG0000047	Prav.g_01976	Praj.g_00370
OG0000048	Prav.g_00993	Praj.g_00308
OG0000050	Prav.g_01013	Praj.g_01398
OG0000050	Prav.g_00247	Praj.g_00099
OG0000053	Prav.g_01598	Praj.g_01651
OG0000054	Prav.g_01202	Praj.g_00594
OG0000055	Prav.g_00376	Praj.g_00733
OG0000057	Prav.g_01296	Praj.g_00691, Praj.g_01313
OG0000058	Prav.g_01512	Praj.g_00839
OG0000059	Prav.g_00292	Praj.g_01892
OG0000060	Prav.g_00964	Praj.g_01108
