Orthogroup	Prav	Syas
OG0000004	Prav.g_01293	Syas.g_00176
OG0000004	Prav.g_00806	Syas.g_00509, Syas.g_00174, Syas.g_00311, Syas.g_00072
OG0000005	Prav.g_01774	Syas.g_02665
OG0000005	Prav.g_01654	Syas.g_02704
OG0000006	Prav.g_02001	Syas.g_00942, Syas.g_01684, Syas.g_02565, Syas.g_00720
OG0000007	Prav.g_01095	Syas.g_01232
OG0000007	Prav.g_01761	Syas.g_02681
OG0000008	Prav.g_01749	Syas.g_00886
OG0000008	Prav.g_01750	Syas.g_00887
OG0000009	Prav.g_00170	Syas.g_01450
OG0000010	Prav.g_00218, Prav.g_01072	Syas.g_01334
OG0000013	Prav.g_01973	Syas.g_00158, Syas.g_01552, Syas.g_01555, Syas.g_01557
OG0000014	Prav.g_01952	Syas.g_01816
OG0000016	Prav.g_00081	Syas.g_02048
OG0000017	Prav.g_01194	Syas.g_00849
OG0000018	Prav.g_00046, Prav.g_00424	Syas.g_01290
OG0000019	Prav.g_01896, Prav.g_00375	Syas.g_01696
OG0000022	Prav.g_00360, Prav.g_00029	Syas.g_02758
OG0000025	Prav.g_00431, Prav.g_01977	Syas.g_00231
OG0000026	Prav.g_01324, Prav.g_00099, Prav.g_00226	Syas.g_02070
OG0000027	Prav.g_01068, Prav.g_01416	Syas.g_01480
OG0000028	Prav.g_01966, Prav.g_01885	Syas.g_01793
OG0000030	Prav.g_00699	Syas.g_01644, Syas.g_01645
OG0000033	Prav.g_00869	Syas.g_02328
OG0000034	Prav.g_01448	Syas.g_02371, Syas.g_02838
OG0000035	Prav.g_01578	Syas.g_02814, Syas.g_02818
OG0000037	Prav.g_00174	Syas.g_01479, Syas.g_00147, Syas.g_01928
OG0000038	Prav.g_00739	Syas.g_01885, Syas.g_01887
OG0000039	Prav.g_01284	Syas.g_02795
OG0000040	Prav.g_01720	Syas.g_02028
OG0000042	Prav.g_00696	Syas.g_01121, Syas.g_02147
OG0000048	Prav.g_00993	Syas.g_01734
OG0000051	Prav.g_01410	Syas.g_01445
OG0000053	Prav.g_01598	Syas.g_01287
OG0000054	Prav.g_01202	Syas.g_00961
OG0000060	Prav.g_00964	Syas.g_00975
OG0000061	Prav.g_00065	Syas.g_01184
OG0000062	Prav.g_01656	Syas.g_00070
