Orthogroup	Prav	Prbh
OG0000000	Prav.g_01736, Prav.g_01415	Prbh.g_01853
OG0000000	Prav.g_01695, Prav.g_00973	Prbh.g_01903
OG0000002	Prav.g_01466	Prbh.g_01016, Prbh.g_01022
OG0000002	Prav.g_01276	Prbh.g_01313, Prbh.g_00006, Prbh.g_01311, Prbh.g_01317, Prbh.g_00199, Prbh.g_00912
OG0000004	Prav.g_01293	Prbh.g_00933
OG0000004	Prav.g_00806	Prbh.g_00548
OG0000005	Prav.g_01654	Prbh.g_00182
OG0000006	Prav.g_02001	Prbh.g_00538
OG0000007	Prav.g_01095	Prbh.g_00334
OG0000007	Prav.g_01761	Prbh.g_01782
OG0000008	Prav.g_01749	Prbh.g_01406
OG0000008	Prav.g_01750	Prbh.g_01405
OG0000010	Prav.g_01072	Prbh.g_00848, Prbh.g_01143, Prbh.g_00357
OG0000011	Prav.g_01334	Prbh.g_01835
OG0000012	Prav.g_01221	Prbh.g_01460
OG0000013	Prav.g_01973	Prbh.g_00452
OG0000014	Prav.g_01952	Prbh.g_00472
OG0000015	Prav.g_00363, Prav.g_00961	Prbh.g_00840, Prbh.g_01869
OG0000016	Prav.g_01385	Prbh.g_01336
OG0000017	Prav.g_01194	Prbh.g_00232
OG0000018	Prav.g_00046	Prbh.g_01305
OG0000018	Prav.g_00424	Prbh.g_00981
OG0000019	Prav.g_01896	Prbh.g_00530
OG0000019	Prav.g_00375	Prbh.g_01307
OG0000020	Prav.g_00014	Prbh.g_00202
OG0000020	Prav.g_01386	Prbh.g_01898
OG0000021	Prav.g_00984	Prbh.g_00203
OG0000022	Prav.g_00360	Prbh.g_00190
OG0000023	Prav.g_00979	Prbh.g_00833
OG0000024	Prav.g_00343	Prbh.g_01147
OG0000024	Prav.g_01273	Prbh.g_00909
OG0000025	Prav.g_00431, Prav.g_01977	Prbh.g_00988
OG0000026	Prav.g_00226	Prbh.g_00749
OG0000028	Prav.g_01966	Prbh.g_00459
OG0000028	Prav.g_01885	Prbh.g_00404
OG0000029	Prav.g_00350	Prbh.g_01885
OG0000030	Prav.g_00699	Prbh.g_01570
OG0000033	Prav.g_00869	Prbh.g_00613
OG0000034	Prav.g_01448	Prbh.g_01383
OG0000035	Prav.g_01578	Prbh.g_00096
OG0000037	Prav.g_00174	Prbh.g_00674
OG0000038	Prav.g_00739	Prbh.g_01530
OG0000039	Prav.g_01284	Prbh.g_00921
OG0000040	Prav.g_01720	Prbh.g_01815
OG0000041	Prav.g_01808	Prbh.g_01734
OG0000042	Prav.g_00696	Prbh.g_01573
OG0000043	Prav.g_00467	Prbh.g_01304
OG0000045	Prav.g_00990	Prbh.g_01327
OG0000048	Prav.g_00993	Prbh.g_00508
OG0000050	Prav.g_01013	Prbh.g_01445, Prbh.g_00850
OG0000052	Prav.g_01533	Prbh.g_00041
OG0000053	Prav.g_01598	Prbh.g_01834, Prbh.g_00120
OG0000054	Prav.g_01202	Prbh.g_00223
OG0000055	Prav.g_00376	Prbh.g_01332
OG0000056	Prav.g_00106, Prav.g_00107, Prav.g_01421	Prbh.g_01803
OG0000057	Prav.g_01296	Prbh.g_00936
OG0000058	Prav.g_01512	Prbh.g_00030
OG0000059	Prav.g_00292	Prbh.g_01695
OG0000061	Prav.g_00065	Prbh.g_01283
OG0000062	Prav.g_01551, Prav.g_01338, Prav.g_01656	Prbh.g_00184
OG0000065	Prav.g_00172	Prbh.g_00676
OG0000066	Prav.g_01137	Prbh.g_01856
OG0000067	Prav.g_00397	Prbh.g_00953
OG0000068	Prav.g_01473	Prbh.g_00009
OG0000069	Prav.g_01881, Prav.g_01689	Prbh.g_00376
OG0000070	Prav.g_01049	Prbh.g_00382
OG0000071	Prav.g_01438	Prbh.g_01373
OG0000072	Prav.g_00867	Prbh.g_00611
OG0000073	Prav.g_01097	Prbh.g_00330, Prbh.g_00051
OG0000074	Prav.g_01280	Prbh.g_00916
OG0000075	Prav.g_00665	Prbh.g_01607
OG0000076	Prav.g_00689	Prbh.g_01581
OG0000077	Prav.g_00143	Prbh.g_00704
OG0000078	Prav.g_00799	Prbh.g_00540
OG0000079	Prav.g_01899	Prbh.g_00527
OG0000081	Prav.g_01129	Prbh.g_00298
OG0000082	Prav.g_01182	Prbh.g_01855
OG0000084	Prav.g_01574	Prbh.g_00093
OG0000085	Prav.g_01754	Prbh.g_01408
OG0000086	Prav.g_00153	Prbh.g_00695
OG0000087	Prav.g_00204	Prbh.g_00642
OG0000088	Prav.g_00872	Prbh.g_00616
OG0000089	Prav.g_00975	Prbh.g_00415
OG0000090	Prav.g_01131	Prbh.g_00296
OG0000091	Prav.g_01240	Prbh.g_01211
OG0000092	Prav.g_00504	Prbh.g_00883
OG0000093	Prav.g_01497, Prav.g_00525	Prbh.g_01181
OG0000094	Prav.g_00914	Prbh.g_01130
OG0000095	Prav.g_00933	Prbh.g_01031
OG0000096	Prav.g_01732, Prav.g_01400	Prbh.g_01909, Prbh.g_01948
OG0000097	Prav.g_01840	Prbh.g_01236
OG0000098	Prav.g_01455	Prbh.g_01935
OG0000099	Prav.g_01514	Prbh.g_00032
OG0000100	Prav.g_01652	Prbh.g_00179
OG0000101	Prav.g_00632	Prbh.g_01644
OG0000102	Prav.g_00694	Prbh.g_01576
OG0000103	Prav.g_00773	Prbh.g_01489
OG0000104	Prav.g_00782	Prbh.g_01480
OG0000105	Prav.g_01920	Prbh.g_00505
