Orthogroup	Prau	Syar
OG0000001	Prau.g_01394	Syar.g_00069, Syar.g_00070, Syar.g_02229
OG0000004	Prau.g_00735	Syar.g_02051
OG0000004	Prau.g_00233	Syar.g_02225, Syar.g_00842
OG0000005	Prau.g_01745	Syar.g_02952
OG0000005	Prau.g_01607	Syar.g_02909
OG0000006	Prau.g_01316	Syar.g_02439, Syar.g_00151, Syar.g_02056, Syar.g_03013
OG0000007	Prau.g_00538	Syar.g_01491
OG0000007	Prau.g_01732	Syar.g_02929
OG0000008	Prau.g_00781	Syar.g_02097
OG0000008	Prau.g_00712	Syar.g_00419, Syar.g_02048
OG0000009	Prau.g_00106	Syar.g_03116
OG0000010	Prau.g_01698, Prau.g_01096	Syar.g_01272
OG0000012	Prau.g_00663	Syar.g_00690, Syar.g_02860
OG0000013	Prau.g_00329	Syar.g_03281, Syar.g_02032, Syar.g_01103, Syar.g_01106, Syar.g_03167
OG0000014	Prau.g_00308	Syar.g_00825
OG0000014	Prau.g_01470	Syar.g_02736
OG0000015	Prau.g_00817	Syar.g_00451, Syar.g_00180
OG0000016	Prau.g_00013	Syar.g_02859
OG0000017	Prau.g_00636	Syar.g_03181, Syar.g_02188, Syar.g_02180
OG0000018	Prau.g_01188	Syar.g_01409
OG0000019	Prau.g_00251, Prau.g_00834	Syar.g_00163
OG0000022	Prau.g_01170	Syar.g_00835
OG0000025	Prau.g_00333, Prau.g_00888	Syar.g_01811
OG0000026	Prau.g_00030, Prau.g_01103	Syar.g_00505
OG0000027	Prau.g_01353	Syar.g_02055, Syar.g_02835
OG0000028	Prau.g_01338, Prau.g_00322	Syar.g_00718
OG0000032	Prau.g_01475, Prau.g_01446	Syar.g_00543
OG0000033	Prau.g_01465	Syar.g_00105
OG0000034	Prau.g_01381	Syar.g_00074, Syar.g_02790
OG0000035	Prau.g_01531, Prau.g_01528	Syar.g_02809
OG0000037	Prau.g_00110	Syar.g_02154, Syar.g_02562, Syar.g_01310, Syar.g_02856
OG0000038	Prau.g_01976	Syar.g_00334, Syar.g_00336
OG0000039	Prau.g_00726	Syar.g_00007, Syar.g_02827, Syar.g_02151, Syar.g_02044
OG0000040	Prau.g_01662	Syar.g_02831
OG0000040	Prau.g_01187	Syar.g_00858
OG0000041	Prau.g_01778	Syar.g_01370, Syar.g_02014, Syar.g_02993
OG0000042	Prau.g_01932	Syar.g_00595, Syar.g_01970
OG0000045	Prau.g_01682	Syar.g_02592
OG0000048	Prau.g_00377	Syar.g_00213
OG0000051	Prau.g_01275, Prau.g_01681, Prau.g_01347	Syar.g_01597
OG0000053	Prau.g_00040, Prau.g_01551	Syar.g_01413
OG0000054	Prau.g_00644	Syar.g_02265
OG0000055	Prau.g_00835	Syar.g_01386
OG0000057	Prau.g_00738	Syar.g_01941, Syar.g_00006
OG0000059	Prau.g_01818	Syar.g_01024
OG0000061	Prau.g_01206	Syar.g_01539
OG0000062	Prau.g_01609	Syar.g_02911
