Orthogroup	Prau	Prai
OG0000000	Prau.g_01352	Prai.g_00905, Prai.g_01772
OG0000000	Prau.g_01665	Prai.g_01612
OG0000000	Prau.g_01648	Prai.g_01592
OG0000000	Prau.g_01266	Prai.g_00908
OG0000000	Prau.g_01647	Prai.g_00908
OG0000000	Prau.g_01266	Prai.g_01234
OG0000000	Prau.g_01647	Prai.g_01234
OG0000000	Prau.g_01266	Prai.g_01591
OG0000000	Prau.g_01647	Prai.g_01591
OG0000000	Prau.g_01266	Prai.g_01775
OG0000000	Prau.g_01647	Prai.g_01775
OG0000000	Prau.g_01350	Prai.g_01314
OG0000000	Prau.g_01650	Prai.g_01596
OG0000001	Prau.g_01394	Prai.g_01235, Prai.g_01356
OG0000001	Prau.g_01267, Prau.g_01269	Prai.g_01236
OG0000002	Prau.g_01402	Prai.g_01363
OG0000002	Prau.g_00718	Prai.g_00707
OG0000004	Prau.g_00735	Prai.g_00724
OG0000004	Prau.g_00233	Prai.g_00243
OG0000005	Prau.g_01745	Prai.g_01651
OG0000005	Prau.g_01607	Prai.g_01538
OG0000006	Prau.g_01316	Prai.g_00252, Prai.g_00254
OG0000007	Prau.g_00538	Prai.g_00527
OG0000007	Prau.g_01732	Prai.g_01638
OG0000008	Prau.g_00781, Prau.g_00712	Prai.g_00701
OG0000009	Prau.g_01324, Prau.g_01641	Prai.g_01578
OG0000009	Prau.g_00106	Prai.g_00105
OG0000010	Prau.g_00515	Prai.g_00504
OG0000010	Prau.g_01698	Prai.g_01292
OG0000010	Prau.g_01096	Prai.g_01067
OG0000012	Prau.g_00663	Prai.g_00652
OG0000013	Prau.g_00329	Prai.g_00340
OG0000014	Prau.g_00308	Prai.g_00319
OG0000015	Prau.g_00817	Prai.g_01243
OG0000016	Prau.g_00013	Prai.g_00013
OG0000017	Prau.g_00636	Prai.g_00626
OG0000018	Prau.g_00881	Prai.g_00820
OG0000018	Prau.g_01188	Prai.g_01153
OG0000019	Prau.g_00251	Prai.g_00262
OG0000019	Prau.g_00834	Prai.g_00867
OG0000020	Prau.g_01153	Prai.g_01125
OG0000020	Prau.g_01704	Prai.g_00400
OG0000021	Prau.g_01680, Prau.g_00367	Prai.g_00378
OG0000022	Prau.g_01170	Prai.g_01139
OG0000022	Prau.g_00814	Prai.g_00885
OG0000023	Prau.g_00362	Prai.g_00373
OG0000024	Prau.g_00796	Prai.g_00899
OG0000024	Prau.g_00715	Prai.g_00704
OG0000025	Prau.g_00333	Prai.g_00344
OG0000025	Prau.g_00888	Prai.g_00812
OG0000026	Prau.g_00030	Prai.g_00031
OG0000026	Prau.g_01103	Prai.g_01074
OG0000027	Prau.g_01353	Prai.g_00904
OG0000028	Prau.g_01338	Prai.g_01297
OG0000028	Prau.g_00322	Prai.g_00333
OG0000029	Prau.g_00804	Prai.g_00890
OG0000030	Prau.g_01935	Prai.g_01848
OG0000031	Prau.g_01431, Prau.g_01469	Prai.g_01444
OG0000033	Prau.g_00170	Prai.g_00180
OG0000034	Prau.g_01381	Prai.g_01345
OG0000035	Prau.g_01531, Prau.g_01528	Prai.g_01463
OG0000037	Prau.g_00110	Prai.g_00109
OG0000038	Prau.g_01976	Prai.g_01890
OG0000039	Prau.g_00726	Prai.g_00715
OG0000041	Prau.g_01778	Prai.g_01684
OG0000042	Prau.g_01932	Prai.g_01845
OG0000043	Prau.g_01321	Prai.g_00910
OG0000043	Prau.g_00926	Prai.g_01064
OG0000045	Prau.g_00374	Prai.g_00384
OG0000045	Prau.g_01682	Prai.g_01274
OG0000047	Prau.g_00332	Prai.g_00343
OG0000047	Prau.g_00414	Prai.g_00424
OG0000048	Prau.g_00377	Prai.g_00387
OG0000049	Prau.g_00387	Prai.g_00394
OG0000049	Prau.g_01319	Prai.g_00437
OG0000049	Prau.g_01303	Prai.g_00433, Prai.g_01256
OG0000050	Prau.g_01123	Prai.g_01093
OG0000051	Prau.g_01275, Prau.g_01681	Prai.g_01263
OG0000051	Prau.g_01347	Prai.g_00434
OG0000052	Prau.g_01489	Prai.g_00154
OG0000053	Prau.g_01551	Prai.g_01483
OG0000054	Prau.g_00644	Prai.g_00634
OG0000055	Prau.g_00835	Prai.g_00866
OG0000057	Prau.g_00738	Prai.g_00727
OG0000058	Prau.g_01432, Prau.g_01460	Prai.g_01859
OG0000059	Prau.g_01818	Prai.g_01725
OG0000061	Prau.g_01206	Prai.g_01171
OG0000062	Prau.g_01609	Prai.g_01540
OG0000063	Prau.g_00032	Prai.g_00033
OG0000063	Prau.g_01295	Prai.g_01261
OG0000065	Prau.g_00108	Prai.g_00107
OG0000066	Prau.g_00579	Prai.g_00567
OG0000067	Prau.g_00854	Prai.g_00848
OG0000068	Prau.g_01409	Prai.g_01370
OG0000069	Prau.g_01642	Prai.g_01579
OG0000070	Prau.g_00491	Prai.g_00481
OG0000071	Prau.g_01371	Prai.g_01335
OG0000072	Prau.g_00172	Prai.g_00182
OG0000073	Prau.g_00540	Prai.g_00529
OG0000074	Prau.g_00722	Prai.g_00711
OG0000075	Prau.g_01901	Prai.g_01814
OG0000076	Prau.g_00037, Prau.g_01925	Prai.g_01838
OG0000077	Prau.g_00079	Prai.g_00078
OG0000078	Prau.g_00240	Prai.g_00250
OG0000079	Prau.g_00254	Prai.g_00265
OG0000081	Prau.g_00571	Prai.g_00559
OG0000082	Prau.g_00624	Prai.g_00613
OG0000083	Prau.g_00785	Prai.g_00441
OG0000084	Prau.g_01524	Prai.g_01459
OG0000085	Prau.g_01725	Prai.g_01631
OG0000086	Prau.g_00089	Prai.g_00088
OG0000087	Prau.g_00140	Prai.g_00139
OG0000088	Prau.g_00167	Prai.g_00177
OG0000089	Prau.g_00358	Prai.g_00368
OG0000090	Prau.g_00573	Prai.g_00561
OG0000091	Prau.g_00682	Prai.g_00671
OG0000092	Prau.g_00961	Prai.g_01041
OG0000093	Prau.g_00983	Prai.g_01021
OG0000094	Prau.g_01070	Prai.g_00937
OG0000095	Prau.g_01089	Prai.g_00918
OG0000097	Prau.g_01247	Prai.g_01214
OG0000098	Prau.g_01391	Prai.g_01353
OG0000099	Prau.g_01435	Prai.g_01393
OG0000100	Prau.g_01605	Prai.g_01536
OG0000101	Prau.g_01869	Prai.g_01782
OG0000102	Prau.g_01930	Prai.g_01843
OG0000103	Prau.g_02009	Prai.g_01923
OG0000104	Prau.g_02018	Prai.g_01932
OG0000105	Prau.g_00276	Prai.g_00286, Prai.g_00287
OG0000106	Prau.g_00373	Prai.g_00383
OG0000107	Prau.g_00389	Prai.g_00397
OG0000108	Prau.g_00521	Prai.g_00510
OG0000109	Prau.g_00535	Prai.g_00524
OG0000110	Prau.g_00614	Prai.g_00603
OG0000111	Prau.g_00739	Prai.g_00728
OG0000112	Prau.g_00818	Prai.g_00882
OG0000113	Prau.g_00876	Prai.g_00825
OG0000114	Prau.g_00956	Prai.g_01046
OG0000115	Prau.g_01148	Prai.g_01119
OG0000116	Prau.g_01197	Prai.g_01162
OG0000117	Prau.g_01318	Prai.g_01273
OG0000118	Prau.g_01383	Prai.g_01347
OG0000119	Prau.g_01405	Prai.g_01366
OG0000120	Prau.g_01430	Prai.g_01443
OG0000121	Prau.g_01533	Prai.g_01465
OG0000123	Prau.g_01876	Prai.g_01789
OG0000124	Prau.g_01941	Prai.g_01854
OG0000125	Prau.g_01978	Prai.g_01892
