Orthogroup	Prau	Syai
OG0000001	Prau.g_01394	Syai.g_01716, Syai.g_01197, Syai.g_02594, Syai.g_00891, Syai.g_02595, Syai.g_01729
OG0000002	Prau.g_01402, Prau.g_00718	Syai.g_01728
OG0000004	Prau.g_00735	Syai.g_01994
OG0000004	Prau.g_00233	Syai.g_01062, Syai.g_00530
OG0000005	Prau.g_01745	Syai.g_02393
OG0000005	Prau.g_01607	Syai.g_02356
OG0000006	Prau.g_01316	Syai.g_01126, Syai.g_00317, Syai.g_00547
OG0000007	Prau.g_00538	Syai.g_00657
OG0000007	Prau.g_01732	Syai.g_02378
OG0000008	Prau.g_00781	Syai.g_01956
OG0000009	Prau.g_01324, Prau.g_01641	Syai.g_01626
OG0000009	Prau.g_00106	Syai.g_02541
OG0000010	Prau.g_01698, Prau.g_01096	Syai.g_00864
OG0000011	Prau.g_00441	Syai.g_01894, Syai.g_00582
OG0000011	Prau.g_01307, Prau.g_01335	Syai.g_01952
OG0000012	Prau.g_00663	Syai.g_01068, Syai.g_01987, Syai.g_01529, Syai.g_01650
OG0000013	Prau.g_00329	Syai.g_00442, Syai.g_00450, Syai.g_00436
OG0000014	Prau.g_00308	Syai.g_00220
OG0000015	Prau.g_00817	Syai.g_01246, Syai.g_01245
OG0000016	Prau.g_00013	Syai.g_00014
OG0000017	Prau.g_00636	Syai.g_00801, Syai.g_00808
OG0000018	Prau.g_01188	Syai.g_00915
OG0000019	Prau.g_00251, Prau.g_00834	Syai.g_00304
OG0000020	Prau.g_01153, Prau.g_01704	Syai.g_00476
OG0000021	Prau.g_01680, Prau.g_00367	Syai.g_00556
OG0000022	Prau.g_01170	Syai.g_01159
OG0000023	Prau.g_00362	Syai.g_01027, Syai.g_01875, Syai.g_02821, Syai.g_01681, Syai.g_01022, Syai.g_02318
OG0000024	Prau.g_00796, Prau.g_00715	Syai.g_01951
OG0000025	Prau.g_00333, Prau.g_00888	Syai.g_02044
OG0000026	Prau.g_00030, Prau.g_01103	Syai.g_00038
OG0000027	Prau.g_01353	Syai.g_01128, Syai.g_01654
OG0000028	Prau.g_01338, Prau.g_00322	Syai.g_00205
OG0000029	Prau.g_00804, Prau.g_00378	Syai.g_01035, Syai.g_01584
OG0000030	Prau.g_01935	Syai.g_00096, Syai.g_00095
OG0000033	Prau.g_01465	Syai.g_02634
OG0000034	Prau.g_01381	Syai.g_02192, Syai.g_02604
OG0000035	Prau.g_01531, Prau.g_01528	Syai.g_00955
OG0000037	Prau.g_00110	Syai.g_02544, Syai.g_02815
OG0000038	Prau.g_01976	Syai.g_02780
OG0000039	Prau.g_00726	Syai.g_02034
OG0000040	Prau.g_01187	Syai.g_02876
OG0000041	Prau.g_01778	Syai.g_02265, Syai.g_02016
OG0000042	Prau.g_01932	Syai.g_00099
OG0000045	Prau.g_00374	Syai.g_02432
OG0000047	Prau.g_00332, Prau.g_00414	Syai.g_00462
OG0000048	Prau.g_00377	Syai.g_00272
OG0000050	Prau.g_01123	Syai.g_01332
OG0000051	Prau.g_01347	Syai.g_01773
OG0000053	Prau.g_00040, Prau.g_01551	Syai.g_00930
OG0000054	Prau.g_00644	Syai.g_01040
OG0000055	Prau.g_00835	Syai.g_02029
OG0000057	Prau.g_00738	Syai.g_01997
OG0000059	Prau.g_01818	Syai.g_00351
OG0000061	Prau.g_01206	Syai.g_02144
OG0000062	Prau.g_01609	Syai.g_02358
OG0000063	Prau.g_00032, Prau.g_01295	Syai.g_00042
OG0000066	Prau.g_00579	Syai.g_01709, Syai.g_00719
OG0000067	Prau.g_00854	Syai.g_01321
OG0000068	Prau.g_01409	Syai.g_00628
OG0000070	Prau.g_00491	Syai.g_02196
OG0000071	Prau.g_01371	Syai.g_02179
OG0000072	Prau.g_00172	Syai.g_02636
OG0000073	Prau.g_00540	Syai.g_00659
OG0000075	Prau.g_01901	Syai.g_00161
OG0000076	Prau.g_00037, Prau.g_01925	Syai.g_00111
OG0000077	Prau.g_00079	Syai.g_02486
OG0000078	Prau.g_00240	Syai.g_00543
OG0000079	Prau.g_00254	Syai.g_00300
OG0000081	Prau.g_00571	Syai.g_00553, Syai.g_02292
OG0000082	Prau.g_00624	Syai.g_00781
OG0000084	Prau.g_01524	Syai.g_01196, Syai.g_00958
OG0000085	Prau.g_01725	Syai.g_02365
OG0000086	Prau.g_00089	Syai.g_02507
OG0000087	Prau.g_00140	Syai.g_02592
OG0000088	Prau.g_00167	Syai.g_02630
OG0000089	Prau.g_00358	Syai.g_00517
OG0000090	Prau.g_00573	Syai.g_00707
OG0000091	Prau.g_00682	Syai.g_01112
OG0000092	Prau.g_00961, Prau.g_00052, Prau.g_00451	Syai.g_01358
OG0000093	Prau.g_00983	Syai.g_01306
OG0000094	Prau.g_01070	Syai.g_01424
OG0000095	Prau.g_01089	Syai.g_02007
OG0000097	Prau.g_01247	Syai.g_01787
OG0000098	Prau.g_01391	Syai.g_01718
OG0000099	Prau.g_01435	Syai.g_00199
OG0000100	Prau.g_01605	Syai.g_01372
OG0000101	Prau.g_01869	Syai.g_00404
OG0000102	Prau.g_01930	Syai.g_00106
OG0000103	Prau.g_02009	Syai.g_02912
OG0000104	Prau.g_02018	Syai.g_02929
OG0000105	Prau.g_00276	Syai.g_00267
OG0000106	Prau.g_00373	Syai.g_01601
OG0000107	Prau.g_00389	Syai.g_00319
OG0000108	Prau.g_00521	Syai.g_00638
OG0000109	Prau.g_00535	Syai.g_00653
OG0000110	Prau.g_00614	Syai.g_00878, Syai.g_00766
OG0000111	Prau.g_00739	Syai.g_00884, Syai.g_01998
OG0000112	Prau.g_00818	Syai.g_01512
OG0000113	Prau.g_00876	Syai.g_01367
OG0000114	Prau.g_00956	Syai.g_01261
OG0000115	Prau.g_01148	Syai.g_00932
OG0000116	Prau.g_01197	Syai.g_02156
OG0000117	Prau.g_01318	Syai.g_01756
OG0000118	Prau.g_01383	Syai.g_00818
OG0000119	Prau.g_01405	Syai.g_02127
OG0000120	Prau.g_01430	Syai.g_00198
OG0000121	Prau.g_01533	Syai.g_00951
OG0000122	Prau.g_01571	Syai.g_01143
OG0000123	Prau.g_01876	Syai.g_00411
OG0000124	Prau.g_01941	Syai.g_00089
OG0000125	Prau.g_01978	Syai.g_02782
OG0000126	Prau.g_02017	Syai.g_02927
OG0000127	Prau.g_01292	Syai.g_01872, Syai.g_01906, Syai.g_01855, Syai.g_02459
OG0000128	Prau.g_00011	Syai.g_00012
OG0000129	Prau.g_00051	Syai.g_02771
OG0000130	Prau.g_00071	Syai.g_02474
