Orthogroup	Prbe	Prak
OG0000000	Prbe.g_01285	Prak.g_00908
OG0000000	Prbe.g_01290	Prak.g_00913
OG0000000	Prbe.g_00452	Prak.g_00805
OG0000000	Prbe.g_01579	Prak.g_01202
OG0000000	Prbe.g_00379	Prak.g_01323
OG0000000	Prbe.g_01577	Prak.g_01200
OG0000000	Prbe.g_01584	Prak.g_01207
OG0000000	Prbe.g_00208	Prak.g_01494
OG0000001	Prbe.g_01052	Prak.g_01578
OG0000001	Prbe.g_01120	Prak.g_01209
OG0000001	Prbe.g_01120	Prak.g_01563
OG0000002	Prbe.g_00400	Prak.g_01302
OG0000002	Prbe.g_00112	Prak.g_00755
OG0000003	Prbe.g_01587	Prak.g_01210
OG0000004	Prbe.g_01628	Prak.g_01251
OG0000005	Prbe.g_01119	Prak.g_01562
OG0000006	Prbe.g_00636	Prak.g_00458
OG0000006	Prbe.g_00985	Prak.g_01645
OG0000007	Prbe.g_00036	Prak.g_01544
OG0000007	Prbe.g_00037	Prak.g_01545, Prak.g_01546
OG0000009	Prbe.g_01573	Prak.g_01196
OG0000009	Prbe.g_01802	Prak.g_00266
OG0000010	Prbe.g_00081	Prak.g_00702
OG0000011	Prbe.g_01921	Prak.g_00385
OG0000012	Prbe.g_00536	Prak.g_00559
OG0000012	Prbe.g_00529	Prak.g_00566
OG0000013	Prbe.g_01046	Prak.g_01584
OG0000013	Prbe.g_01000	Prak.g_01630
OG0000014	Prbe.g_00012	Prak.g_01521
OG0000014	Prbe.g_01121	Prak.g_01564
OG0000015	Prbe.g_01130	Prak.g_01573
OG0000015	Prbe.g_01024	Prak.g_01606
OG0000016	Prbe.g_01603	Prak.g_01226
OG0000016	Prbe.g_00214	Prak.g_01488
OG0000017	Prbe.g_00290	Prak.g_01412
OG0000017	Prbe.g_01040	Prak.g_01590
OG0000018	Prbe.g_01794	Prak.g_00258
OG0000019	Prbe.g_01208	Prak.g_00831
OG0000020	Prbe.g_00906	Prak.g_01264
OG0000020	Prbe.g_01825	Prak.g_00289
OG0000021	Prbe.g_01003	Prak.g_01627
OG0000023	Prbe.g_00216	Prak.g_01486
OG0000024	Prbe.g_01861	Prak.g_00325
OG0000025	Prbe.g_00098	Prak.g_00741
OG0000026	Prbe.g_00021	Prak.g_01530
OG0000028	Prbe.g_00311	Prak.g_01391
OG0000029	Prbe.g_00678	Prak.g_00416
OG0000031	Prbe.g_00720	Prak.g_00667
OG0000032	Prbe.g_00352	Prak.g_01350
OG0000033	Prbe.g_01607	Prak.g_01230
OG0000034	Prbe.g_00158	Prak.g_00058
OG0000034	Prbe.g_00333	Prak.g_01369
OG0000035	Prbe.g_00074	Prak.g_00709
OG0000036	Prbe.g_00996	Prak.g_01634
OG0000036	Prbe.g_00549	Prak.g_00546
OG0000037	Prbe.g_00196	Prak.g_01506
OG0000037	Prbe.g_00511	Prak.g_00584
OG0000038	Prbe.g_00220	Prak.g_01482
OG0000039	Prbe.g_01714	Prak.g_00178
OG0000040	Prbe.g_00062	Prak.g_00721
OG0000041	Prbe.g_01021	Prak.g_01609
OG0000041	Prbe.g_01027	Prak.g_01603
OG0000042	Prbe.g_01214	Prak.g_00837
OG0000043	Prbe.g_01314	Prak.g_00937
OG0000044	Prbe.g_01549	Prak.g_01172
OG0000045	Prbe.g_00351	Prak.g_01351
OG0000046	Prbe.g_00993	Prak.g_01637
OG0000046	Prbe.g_00007	Prak.g_01516
OG0000047	Prbe.g_00774	Prak.g_01842
OG0000048	Prbe.g_00766	Prak.g_01850
OG0000050	Prbe.g_00132	Prak.g_00032
OG0000051	Prbe.g_01705	Prak.g_00169
OG0000052	Prbe.g_00740	Prak.g_00687
OG0000053	Prbe.g_00596	Prak.g_00498
OG0000053	Prbe.g_01114	Prak.g_01557
OG0000054	Prbe.g_00494	Prak.g_00601
OG0000055	Prbe.g_01245	Prak.g_00868
OG0000056	Prbe.g_01605	Prak.g_01228
OG0000057	Prbe.g_01789	Prak.g_00253
OG0000058	Prbe.g_00658	Prak.g_00436
OG0000059	Prbe.g_01206	Prak.g_00829
OG0000062	Prbe.g_00041	Prak.g_01550
OG0000063	Prbe.g_01522	Prak.g_01145
OG0000065	Prbe.g_00893	Prak.g_01277
OG0000066	Prbe.g_00353	Prak.g_01349
OG0000067	Prbe.g_00713	Prak.g_00660
OG0000068	Prbe.g_00836	Prak.g_01780
