Orthogroup	Prbe	Prat
OG0000000	Prbe.g_01285	Prat.g_00977
OG0000000	Prbe.g_00452	Prat.g_00751
OG0000000	Prbe.g_01579	Prat.g_01184
OG0000000	Prbe.g_00379	Prat.g_01487
OG0000000	Prbe.g_01577	Prat.g_01182
OG0000000	Prbe.g_01584	Prat.g_01187
OG0000000	Prbe.g_00208	Prat.g_01462
OG0000001	Prbe.g_01052	Prat.g_01189
OG0000001	Prbe.g_01586, Prbe.g_01120	Prat.g_01547
OG0000002	Prbe.g_00400	Prat.g_01285, Prat.g_01286
OG0000002	Prbe.g_00112	Prat.g_00851
OG0000003	Prbe.g_01587	Prat.g_01190
OG0000004	Prbe.g_01628	Prat.g_00824
OG0000006	Prbe.g_00636	Prat.g_00458
OG0000006	Prbe.g_00985	Prat.g_01592
OG0000007	Prbe.g_00036	Prat.g_00376
OG0000007	Prbe.g_00037	Prat.g_00377
OG0000009	Prbe.g_01573	Prat.g_01180
OG0000009	Prbe.g_01802	Prat.g_00255
OG0000010	Prbe.g_00081	Prat.g_00634
OG0000011	Prbe.g_01921	Prat.g_00374
OG0000012	Prbe.g_00536	Prat.g_00560
OG0000013	Prbe.g_01046, Prbe.g_01000	Prat.g_00701
OG0000014	Prbe.g_00012	Prat.g_01474
OG0000014	Prbe.g_01121	Prat.g_01548
OG0000015	Prbe.g_01130, Prbe.g_01024	Prat.g_01580
OG0000016	Prbe.g_01603	Prat.g_00647
OG0000016	Prbe.g_00214	Prat.g_01452
OG0000018	Prbe.g_01794	Prat.g_00248
OG0000019	Prbe.g_01208	Prat.g_00461
OG0000020	Prbe.g_00906, Prbe.g_01825	Prat.g_00278
OG0000023	Prbe.g_00216	Prat.g_01451
OG0000024	Prbe.g_01861	Prat.g_00314
OG0000025	Prbe.g_00098	Prat.g_00685
OG0000026	Prbe.g_00021	Prat.g_01516
OG0000028	Prbe.g_00311	Prat.g_01353
OG0000029	Prbe.g_00678	Prat.g_01400
OG0000032	Prbe.g_00352	Prat.g_01266
OG0000033	Prbe.g_01607	Prat.g_01219
OG0000034	Prbe.g_00158	Prat.g_00058
OG0000035	Prbe.g_00074	Prat.g_00657
OG0000036	Prbe.g_00996, Prbe.g_00549	Prat.g_01507
OG0000037	Prbe.g_00511	Prat.g_00586
OG0000038	Prbe.g_00220	Prat.g_01192, Prat.g_01448
OG0000039	Prbe.g_01714	Prat.g_00166
OG0000040	Prbe.g_00062	Prat.g_00834
OG0000041	Prbe.g_01021	Prat.g_00613
OG0000041	Prbe.g_01027	Prat.g_01552
OG0000042	Prbe.g_01214	Prat.g_00788
OG0000043	Prbe.g_01314	Prat.g_00856
OG0000044	Prbe.g_01549	Prat.g_01156
OG0000045	Prbe.g_00351	Prat.g_01311
OG0000046	Prbe.g_00993, Prbe.g_00007	Prat.g_01584
OG0000047	Prbe.g_00774	Prat.g_01788
OG0000048	Prbe.g_00766	Prat.g_01796
OG0000050	Prbe.g_00132	Prat.g_00033
OG0000051	Prbe.g_01705	Prat.g_00157
OG0000052	Prbe.g_00740	Prat.g_00637
OG0000053	Prbe.g_01114	Prat.g_01499
OG0000054	Prbe.g_00494	Prat.g_01503
OG0000055	Prbe.g_01245	Prat.g_01014
OG0000056	Prbe.g_01605	Prat.g_01463, Prat.g_00666
OG0000057	Prbe.g_01789	Prat.g_00242
OG0000058	Prbe.g_00658	Prat.g_00434
OG0000059	Prbe.g_01206	Prat.g_00775
OG0000062	Prbe.g_00041	Prat.g_01561, Prat.g_01495
OG0000063	Prbe.g_01522	Prat.g_01129
OG0000065	Prbe.g_00893	Prat.g_01249
OG0000066	Prbe.g_00353	Prat.g_00344
OG0000067	Prbe.g_00713	Prat.g_01532
OG0000068	Prbe.g_00836	Prat.g_01726
OG0000069	Prbe.g_00272	Prat.g_01394
OG0000071	Prbe.g_01076	Prat.g_00012, Prat.g_00011
OG0000072	Prbe.g_01875	Prat.g_00329
OG0000073	Prbe.g_01449	Prat.g_01054
OG0000074	Prbe.g_00466	Prat.g_00765
OG0000075	Prbe.g_01229	Prat.g_01030
OG0000076	Prbe.g_01297	Prat.g_00965
OG0000078	Prbe.g_00350	Prat.g_01312
OG0000079	Prbe.g_00226	Prat.g_01442
OG0000080	Prbe.g_00714	Prat.g_01539
OG0000081	Prbe.g_00802	Prat.g_01759
OG0000082	Prbe.g_00709	Prat.g_01853
OG0000083	Prbe.g_01068	Prat.g_00003
OG0000084	Prbe.g_01071	Prat.g_00006
OG0000085	Prbe.g_00123	Prat.g_00024
OG0000087	Prbe.g_00152	Prat.g_00054
OG0000088	Prbe.g_01657	Prat.g_00112
OG0000089	Prbe.g_01666	Prat.g_00121
OG0000090	Prbe.g_01683	Prat.g_00138
OG0000091	Prbe.g_01717	Prat.g_00170
OG0000092	Prbe.g_01718	Prat.g_00171
OG0000093	Prbe.g_01732	Prat.g_00185
OG0000094	Prbe.g_01751	Prat.g_00204
OG0000095	Prbe.g_01756	Prat.g_00209
OG0000096	Prbe.g_01804	Prat.g_00257
OG0000097	Prbe.g_01828	Prat.g_00281
OG0000098	Prbe.g_01839	Prat.g_00292
OG0000099	Prbe.g_01849	Prat.g_00302
OG0000100	Prbe.g_01852	Prat.g_00305
OG0000101	Prbe.g_01917	Prat.g_00372
OG0000102	Prbe.g_00911	Prat.g_01477
OG0000103	Prbe.g_00657	Prat.g_00435
OG0000104	Prbe.g_00653	Prat.g_00440
OG0000105	Prbe.g_00633	Prat.g_00462
OG0000106	Prbe.g_00603	Prat.g_00494
OG0000107	Prbe.g_00602	Prat.g_00495
OG0000108	Prbe.g_00592	Prat.g_00504
OG0000109	Prbe.g_00583	Prat.g_00514, Prat.g_00513
OG0000110	Prbe.g_00566	Prat.g_00532
OG0000111	Prbe.g_01468	Prat.g_01073
OG0000112	Prbe.g_01467	Prat.g_01072
OG0000113	Prbe.g_01417	Prat.g_00815
OG0000114	Prbe.g_01220	Prat.g_01039
OG0000115	Prbe.g_01350	Prat.g_00896
OG0000116	Prbe.g_01354	Prat.g_00900
OG0000117	Prbe.g_01300	Prat.g_00962
OG0000118	Prbe.g_01594	Prat.g_01208
OG0000119	Prbe.g_00044	Prat.g_01557
OG0000120	Prbe.g_01543	Prat.g_01150
OG0000121	Prbe.g_01520	Prat.g_01127
OG0000122	Prbe.g_01500	Prat.g_01107
OG0000123	Prbe.g_00501	Prat.g_00595
OG0000124	Prbe.g_00215	Prat.g_01509
OG0000125	Prbe.g_00880	Prat.g_01261
OG0000126	Prbe.g_00373	Prat.g_01291
OG0000127	Prbe.g_00323	Prat.g_01338
OG0000128	Prbe.g_00310	Prat.g_01354
OG0000129	Prbe.g_00274	Prat.g_01392
OG0000130	Prbe.g_00988	Prat.g_01589
OG0000131	Prbe.g_00949	Prat.g_01377
OG0000132	Prbe.g_00946	Prat.g_01631
OG0000133	Prbe.g_01088	Prat.g_01685
