Orthogroup	Prbe	Prau
OG0000000	Prbe.g_01285, Prbe.g_01290	Prau.g_01402
OG0000000	Prbe.g_00452, Prbe.g_01579, Prbe.g_00379, Prbe.g_01577, Prbe.g_01584, Prbe.g_00208	Prau.g_00718
OG0000002	Prbe.g_00400	Prau.g_01394
OG0000002	Prbe.g_00112	Prau.g_01267, Prau.g_01269
OG0000003	Prbe.g_01587	Prau.g_01300, Prau.g_01350
OG0000004	Prbe.g_01628	Prau.g_00785, Prau.g_00792
OG0000005	Prbe.g_01119	Prau.g_01665
OG0000006	Prbe.g_00636	Prau.g_00538
OG0000006	Prbe.g_00985	Prau.g_01732
OG0000007	Prbe.g_00036	Prau.g_00781
OG0000009	Prbe.g_01573	Prau.g_00834
OG0000009	Prbe.g_01802	Prau.g_00251
OG0000010	Prbe.g_00081	Prau.g_01156, Prau.g_01331
OG0000011	Prbe.g_01921	Prau.g_00414
OG0000012	Prbe.g_00536, Prbe.g_00529	Prau.g_00636
OG0000013	Prbe.g_01046, Prbe.g_01000	Prau.g_00817
OG0000014	Prbe.g_00012, Prbe.g_01121	Prau.g_01353
OG0000015	Prbe.g_01130, Prbe.g_01024	Prau.g_00385, Prau.g_01284
OG0000016	Prbe.g_01603, Prbe.g_00214	Prau.g_01405
OG0000017	Prbe.g_00290, Prbe.g_01040	Prau.g_00040
OG0000018	Prbe.g_01794	Prau.g_00243, Prau.g_01316
OG0000019	Prbe.g_01208	Prau.g_01680
OG0000020	Prbe.g_00906, Prbe.g_01825	Prau.g_00377
OG0000021	Prbe.g_01003	Prau.g_00836
OG0000023	Prbe.g_00216	Prau.g_01324
OG0000024	Prbe.g_01861	Prau.g_00308
OG0000026	Prbe.g_00021	Prau.g_01295
OG0000028	Prbe.g_00311	Prau.g_01528
OG0000029	Prbe.g_00678	Prau.g_01642, Prau.g_01285
OG0000032	Prbe.g_00352	Prau.g_01431, Prau.g_01469
OG0000033	Prbe.g_01607	Prau.g_00013
OG0000034	Prbe.g_00333	Prau.g_01489
OG0000036	Prbe.g_00996, Prbe.g_00549	Prau.g_00624
OG0000037	Prbe.g_00196, Prbe.g_00511	Prau.g_00663
OG0000038	Prbe.g_00220	Prau.g_00814
OG0000039	Prbe.g_01714	Prau.g_00167
OG0000040	Prbe.g_00062	Prau.g_00362
OG0000041	Prbe.g_01021, Prbe.g_01027	Prau.g_00458
OG0000042	Prbe.g_01214	Prau.g_00755
OG0000043	Prbe.g_01314	Prau.g_00839
OG0000045	Prbe.g_00351	Prau.g_01432, Prau.g_01460
OG0000046	Prbe.g_00993, Prbe.g_00007	Prau.g_01725
OG0000047	Prbe.g_00774	Prau.g_01925, Prau.g_00037
OG0000048	Prbe.g_00766	Prau.g_01932
OG0000050	Prbe.g_00132	Prau.g_00030
OG0000051	Prbe.g_01705	Prau.g_00158
OG0000052	Prbe.g_00740	Prau.g_00373
OG0000053	Prbe.g_00596, Prbe.g_01114	Prau.g_00579
OG0000054	Prbe.g_00494	Prau.g_00808
OG0000055	Prbe.g_01245	Prau.g_00876
OG0000056	Prbe.g_01605	Prau.g_01162
OG0000057	Prbe.g_01789	Prau.g_00238, Prau.g_00784
