Orthogroup	Prbe	Pram
OG0000000	Prbe.g_01285	Pram.g_00873
OG0000000	Prbe.g_01290	Pram.g_00879
OG0000000	Prbe.g_00452	Pram.g_00768
OG0000000	Prbe.g_01579	Pram.g_01170
OG0000000	Prbe.g_00379	Pram.g_01471
OG0000000	Prbe.g_01577	Pram.g_01168
OG0000000	Prbe.g_01584	Pram.g_01174
OG0000000	Prbe.g_00208	Pram.g_01278
OG0000001	Prbe.g_01052	Pram.g_01556
OG0000001	Prbe.g_01120	Pram.g_01512
OG0000002	Prbe.g_00400	Pram.g_01954, Pram.g_01953
OG0000002	Prbe.g_00112	Pram.g_00719
OG0000003	Prbe.g_01587	Pram.g_01176
OG0000004	Prbe.g_01628	Pram.g_01207
OG0000005	Prbe.g_01119	Pram.g_01511
OG0000006	Prbe.g_00636	Pram.g_00433
OG0000006	Prbe.g_00985	Pram.g_01632
OG0000007	Prbe.g_00036	Pram.g_01263
OG0000007	Prbe.g_00037	Pram.g_01262
OG0000009	Prbe.g_01573	Pram.g_01164
OG0000009	Prbe.g_01802	Pram.g_00237
OG0000010	Prbe.g_00081	Pram.g_01505, Pram.g_00621
OG0000011	Prbe.g_01921	Pram.g_00359
OG0000012	Prbe.g_00536	Pram.g_00535
OG0000012	Prbe.g_00529	Pram.g_00542
OG0000013	Prbe.g_01046, Prbe.g_01000	Pram.g_01545
OG0000015	Prbe.g_01130, Prbe.g_01024	Pram.g_00662
OG0000016	Prbe.g_00214	Pram.g_01283
OG0000017	Prbe.g_00290	Pram.g_01357
OG0000017	Prbe.g_01040	Pram.g_01580
OG0000018	Prbe.g_01794	Pram.g_00229
OG0000019	Prbe.g_01208	Pram.g_00794
OG0000020	Prbe.g_00906, Prbe.g_01825	Pram.g_00259
OG0000021	Prbe.g_01003	Pram.g_00644
OG0000023	Prbe.g_00216	Pram.g_01284
OG0000024	Prbe.g_01861	Pram.g_00295
OG0000025	Prbe.g_00098	Pram.g_00706
OG0000026	Prbe.g_00021	Pram.g_01258
OG0000028	Prbe.g_00311	Pram.g_01378
OG0000029	Prbe.g_00678	Pram.g_00391
OG0000033	Prbe.g_01607	Pram.g_01193
OG0000034	Prbe.g_00158	Pram.g_00040
OG0000035	Prbe.g_00074	Pram.g_00681
OG0000036	Prbe.g_00996	Pram.g_01559
OG0000037	Prbe.g_00196, Prbe.g_00511	Pram.g_00561
OG0000038	Prbe.g_00220	Pram.g_01287
OG0000039	Prbe.g_01714	Pram.g_00151
OG0000040	Prbe.g_00062	Pram.g_00689
OG0000041	Prbe.g_01021	Pram.g_01587
OG0000042	Prbe.g_01214	Pram.g_00801
OG0000043	Prbe.g_01314	Pram.g_00905
OG0000044	Prbe.g_01549	Pram.g_01140
OG0000045	Prbe.g_00351	Pram.g_01447
OG0000046	Prbe.g_00993, Prbe.g_00007	Pram.g_01265
OG0000047	Prbe.g_00774	Pram.g_01833
OG0000048	Prbe.g_00766	Pram.g_01841
OG0000050	Prbe.g_00132	Pram.g_00018
OG0000051	Prbe.g_01705	Pram.g_00142
OG0000052	Prbe.g_00740	Pram.g_00677
OG0000053	Prbe.g_00596, Prbe.g_01114	Pram.g_01558
OG0000054	Prbe.g_00494	Pram.g_01517
OG0000055	Prbe.g_01245	Pram.g_00832
OG0000056	Prbe.g_01605	Pram.g_01191
OG0000057	Prbe.g_01789	Pram.g_00224
OG0000058	Prbe.g_00658	Pram.g_00411
OG0000059	Prbe.g_01206	Pram.g_00792
OG0000062	Prbe.g_00041	Pram.g_01546
OG0000063	Prbe.g_01522	Pram.g_01112
OG0000065	Prbe.g_00893	Pram.g_01230
OG0000066	Prbe.g_00353	Pram.g_01446
OG0000067	Prbe.g_00713	Pram.g_01579
OG0000068	Prbe.g_00836	Pram.g_01770
OG0000069	Prbe.g_00272	Pram.g_01339
OG0000071	Prbe.g_01076	Pram.g_01949
OG0000072	Prbe.g_01875	Pram.g_00310
OG0000073	Prbe.g_01449	Pram.g_01039
OG0000074	Prbe.g_00466	Pram.g_00782
OG0000075	Prbe.g_01229	Pram.g_00816
OG0000076	Prbe.g_01297	Pram.g_00888
OG0000077	Prbe.g_01118	Pram.g_01510
OG0000078	Prbe.g_00350	Pram.g_01445
OG0000079	Prbe.g_00226	Pram.g_01293
OG0000080	Prbe.g_00714	Pram.g_01554
OG0000081	Prbe.g_00802	Pram.g_01805
OG0000082	Prbe.g_00709	Pram.g_01898
OG0000083	Prbe.g_01068	Pram.g_01941
OG0000084	Prbe.g_01071	Pram.g_01944
OG0000085	Prbe.g_00123	Pram.g_00010
OG0000087	Prbe.g_00152	Pram.g_00036
OG0000088	Prbe.g_01657	Pram.g_00099
OG0000089	Prbe.g_01666	Pram.g_00108
OG0000090	Prbe.g_01683	Pram.g_00125
OG0000091	Prbe.g_01717	Pram.g_00154
OG0000092	Prbe.g_01718	Pram.g_00155
OG0000093	Prbe.g_01732	Pram.g_00168
OG0000094	Prbe.g_01751	Pram.g_00187
OG0000095	Prbe.g_01756	Pram.g_00192
OG0000096	Prbe.g_01804	Pram.g_00239
OG0000097	Prbe.g_01828	Pram.g_00262
OG0000098	Prbe.g_01839	Pram.g_00273
OG0000099	Prbe.g_01849	Pram.g_00283
OG0000100	Prbe.g_01852	Pram.g_00286
OG0000101	Prbe.g_01917	Pram.g_00354
OG0000102	Prbe.g_00911	Pram.g_01589
OG0000103	Prbe.g_00657	Pram.g_00412
OG0000104	Prbe.g_00653	Pram.g_00416
OG0000105	Prbe.g_00633	Pram.g_00437
OG0000106	Prbe.g_00603	Pram.g_00470
OG0000107	Prbe.g_00602	Pram.g_00471
OG0000108	Prbe.g_00592	Pram.g_00480
OG0000109	Prbe.g_00583	Pram.g_00489
OG0000110	Prbe.g_00566	Pram.g_00507
OG0000111	Prbe.g_01468	Pram.g_01059
OG0000112	Prbe.g_01467	Pram.g_01058
OG0000113	Prbe.g_01417	Pram.g_01006
OG0000114	Prbe.g_01220	Pram.g_00807
OG0000115	Prbe.g_01350	Pram.g_00943
OG0000116	Prbe.g_01354	Pram.g_00947
OG0000117	Prbe.g_01300	Pram.g_00891
OG0000118	Prbe.g_01594	Pram.g_01185
OG0000119	Prbe.g_00044	Pram.g_01549
OG0000120	Prbe.g_01543	Pram.g_01133
OG0000121	Prbe.g_01520	Pram.g_01110
OG0000122	Prbe.g_01500	Pram.g_01090
OG0000123	Prbe.g_00501	Pram.g_00571
OG0000124	Prbe.g_00215	Pram.g_01254
OG0000125	Prbe.g_00880	Pram.g_01242
OG0000126	Prbe.g_00373	Pram.g_01468
OG0000127	Prbe.g_00323	Pram.g_01393
OG0000128	Prbe.g_00310	Pram.g_01377
OG0000129	Prbe.g_00274	Pram.g_01341
OG0000130	Prbe.g_00988	Pram.g_01629
OG0000131	Prbe.g_00949	Pram.g_01669
OG0000132	Prbe.g_00946	Pram.g_01672
OG0000133	Prbe.g_01088	Pram.g_01728
OG0000134	Prbe.g_00842	Pram.g_01764
OG0000135	Prbe.g_00840	Pram.g_01766
OG0000136	Prbe.g_00790	Pram.g_01817
OG0000137	Prbe.g_00746	Pram.g_01851
OG0000138	Prbe.g_01158	Pram.g_01886
OG0000139	Prbe.g_01189	Pram.g_01917
OG0000140	Prbe.g_01066	Pram.g_01939
OG0000141	Prbe.g_01067	Pram.g_01940
OG0000142	Prbe.g_01069	Pram.g_01942
OG0000143	Prbe.g_01070	Pram.g_01943
OG0000144	Prbe.g_01072	Pram.g_01945
OG0000145	Prbe.g_01073	Pram.g_01946
OG0000146	Prbe.g_01074	Pram.g_01947
OG0000147	Prbe.g_01075	Pram.g_01948
OG0000148	Prbe.g_01077	Pram.g_01950
OG0000149	Prbe.g_00114	Pram.g_00001
OG0000150	Prbe.g_00115	Pram.g_00002
OG0000151	Prbe.g_00116	Pram.g_00003
OG0000152	Prbe.g_00117	Pram.g_00004
OG0000153	Prbe.g_00118	Pram.g_00005
OG0000154	Prbe.g_00119	Pram.g_00006
OG0000155	Prbe.g_00120	Pram.g_00007
OG0000156	Prbe.g_00121	Pram.g_00008
OG0000157	Prbe.g_00122	Pram.g_00009
OG0000158	Prbe.g_00124	Pram.g_00011
OG0000159	Prbe.g_00125	Pram.g_00012
OG0000160	Prbe.g_00126	Pram.g_00013
OG0000161	Prbe.g_00127	Pram.g_00014
OG0000162	Prbe.g_00128	Pram.g_00015
