Orthogroup	Prbe	Prad
OG0000000	Prbe.g_01285, Prbe.g_01290	Prad.g_00601
OG0000000	Prbe.g_00452, Prbe.g_01579, Prbe.g_00379, Prbe.g_01577, Prbe.g_01584, Prbe.g_00208	Prad.g_01252
OG0000002	Prbe.g_00400	Prad.g_00609
OG0000002	Prbe.g_00112	Prad.g_01434, Prad.g_01994
OG0000003	Prbe.g_01587	Prad.g_00350
OG0000004	Prbe.g_01628	Prad.g_01075, Prad.g_01082, Prad.g_00345
OG0000005	Prbe.g_01119	Prad.g_01982
OG0000006	Prbe.g_00636	Prad.g_00132
OG0000006	Prbe.g_00985	Prad.g_00941
OG0000009	Prbe.g_01573	Prad.g_01125
OG0000009	Prbe.g_01802	Prad.g_01742
OG0000010	Prbe.g_00081	Prad.g_00650, Prad.g_00330
OG0000011	Prbe.g_01921	Prad.g_00683
OG0000012	Prbe.g_00536, Prbe.g_00529	Prad.g_01387
OG0000013	Prbe.g_01046, Prbe.g_01000	Prad.g_01108
OG0000014	Prbe.g_00012, Prbe.g_01121	Prad.g_00353, Prad.g_01298
OG0000015	Prbe.g_01130, Prbe.g_01024	Prad.g_00728, Prad.g_00951
OG0000016	Prbe.g_01603, Prbe.g_00214	Prad.g_00598
OG0000018	Prbe.g_01794	Prad.g_01750
OG0000019	Prbe.g_01208	Prad.g_01981
OG0000020	Prbe.g_00906, Prbe.g_01825	Prad.g_00735
OG0000021	Prbe.g_01003	Prad.g_01127
OG0000023	Prbe.g_00216	Prad.g_00317
OG0000024	Prbe.g_01861	Prad.g_01685
OG0000025	Prbe.g_00098	Prad.g_00985
OG0000026	Prbe.g_00021	Prad.g_00081
OG0000028	Prbe.g_00311	Prad.g_00515
OG0000029	Prbe.g_00678	Prad.g_00400, Prad.g_00952
OG0000033	Prbe.g_01607	Prad.g_01973
OG0000034	Prbe.g_00158	Prad.g_00571
OG0000035	Prbe.g_00074	Prad.g_00258
OG0000036	Prbe.g_00996, Prbe.g_00549	Prad.g_01374
OG0000037	Prbe.g_00196, Prbe.g_00511	Prad.g_01412
OG0000038	Prbe.g_00220	Prad.g_01105
OG0000039	Prbe.g_01714	Prad.g_01825
OG0000040	Prbe.g_00062	Prad.g_00751
OG0000042	Prbe.g_01214	Prad.g_01049
OG0000043	Prbe.g_01314	Prad.g_01130
OG0000044	Prbe.g_01549	Prad.g_01496
OG0000045	Prbe.g_00351	Prad.g_00565
OG0000046	Prbe.g_00993, Prbe.g_00007	Prad.g_00948
OG0000047	Prbe.g_00774	Prad.g_01631
OG0000048	Prbe.g_00766	Prad.g_01624
OG0000050	Prbe.g_00132	Prad.g_01955
OG0000051	Prbe.g_01705	Prad.g_01834
OG0000052	Prbe.g_00740	Prad.g_00739
OG0000053	Prbe.g_00596, Prbe.g_01114	Prad.g_00090
OG0000054	Prbe.g_00494	Prad.g_01099
OG0000055	Prbe.g_01245	Prad.g_01168
OG0000056	Prbe.g_01605	Prad.g_00657
OG0000057	Prbe.g_01789	Prad.g_01754, Prad.g_00965
OG0000058	Prbe.g_00658	Prad.g_00032
OG0000059	Prbe.g_01206	Prad.g_01272
OG0000062	Prbe.g_00041	Prad.g_01989
OG0000063	Prbe.g_01522	Prad.g_01214
OG0000065	Prbe.g_00893	Prad.g_00628
OG0000066	Prbe.g_00353	Prad.g_00564
OG0000067	Prbe.g_00713	Prad.g_01218
OG0000068	Prbe.g_00836	Prad.g_00807
OG0000069	Prbe.g_00272	Prad.g_00561
OG0000071	Prbe.g_01076	Prad.g_01975
OG0000072	Prbe.g_01875	Prad.g_01669
OG0000073	Prbe.g_01449	Prad.g_01243
OG0000074	Prbe.g_00466	Prad.g_01265
OG0000075	Prbe.g_01229	Prad.g_01153
OG0000076	Prbe.g_01297	Prad.g_01018
OG0000077	Prbe.g_01118	Prad.g_01983
OG0000078	Prbe.g_00350	Prad.g_00566
OG0000079	Prbe.g_00226	Prad.g_00436
OG0000080	Prbe.g_00714	Prad.g_00383
OG0000081	Prbe.g_00802	Prad.g_00777
OG0000082	Prbe.g_00709	Prad.g_01570
OG0000083	Prbe.g_01068	Prad.g_01533
OG0000084	Prbe.g_01071	Prad.g_01530
OG0000085	Prbe.g_00123	Prad.g_01963
OG0000087	Prbe.g_00152	Prad.g_01937
OG0000088	Prbe.g_01657	Prad.g_00011
OG0000089	Prbe.g_01666	Prad.g_01872
OG0000090	Prbe.g_01683	Prad.g_01854
OG0000091	Prbe.g_01717	Prad.g_01822
OG0000092	Prbe.g_01718	Prad.g_01821
