Orthogroup	Prae	Praj
OG0000000	Prae.g_01361	Praj.g_00832
OG0000000	Prae.g_00652	Praj.g_00670, Praj.g_01492, Praj.g_01489, Praj.g_01488, Praj.g_01493, Praj.g_01487
OG0000001	Prae.g_01300	Praj.g_01267, Praj.g_00087
OG0000002	Prae.g_01353	Praj.g_01549
OG0000002	Prae.g_01223, Prae.g_01224, Prae.g_01236	Praj.g_01861, Praj.g_00463, Praj.g_01112
OG0000003	Prae.g_01308, Prae.g_01581	Praj.g_01099, Praj.g_01204, Praj.g_01311, Praj.g_01274, Praj.g_00415, Praj.g_01737
OG0000004	Prae.g_00742	Praj.g_01222, Praj.g_00411, Praj.g_01121
OG0000005	Prae.g_01580	Praj.g_01730, Praj.g_00418, Praj.g_01077, Praj.g_01357, Praj.g_01202, Praj.g_01272, Praj.g_01309, Praj.g_01078, Praj.g_00417
OG0000006	Prae.g_00471	Praj.g_00489
OG0000006	Prae.g_01623	Praj.g_01768
OG0000009	Prae.g_00786	Praj.g_00747
OG0000010	Prae.g_01110, Prae.g_01283	Praj.g_01249
OG0000011	Prae.g_00331	Praj.g_00370
OG0000012	Prae.g_00572	Praj.g_00592, Praj.g_00585
OG0000013	Prae.g_00769, Prae.g_01235	Praj.g_01113
OG0000014	Prae.g_01311, Prae.g_00444	Praj.g_01331
OG0000015	Prae.g_00381	Praj.g_01148
OG0000016	Prae.g_01364	Praj.g_01568
OG0000017	Prae.g_01479	Praj.g_01651
OG0000018	Prae.g_00244	Praj.g_01505, Praj.g_01281, Praj.g_00282
OG0000019	Prae.g_01600, Prae.g_00364	Praj.g_00084
OG0000021	Prae.g_00788	Praj.g_01335, Praj.g_00976, Praj.g_00975, Praj.g_01051, Praj.g_01316
OG0000022	Prae.g_01310	Praj.g_01076, Praj.g_01308, Praj.g_01201, Praj.g_01271, Praj.g_01356, Praj.g_00419
OG0000024	Prae.g_00307	Praj.g_00341, Praj.g_01609
OG0000026	Prae.g_00033	Praj.g_01867
OG0000027	Prae.g_01546	Praj.g_01070, Praj.g_01084
OG0000028	Prae.g_01459	Praj.g_01632
OG0000029	Prae.g_01573	Praj.g_01276, Praj.g_01675
OG0000030	Prae.g_00039	Praj.g_01595
OG0000030	Prae.g_00040	Praj.g_01902
OG0000031	Prae.g_01602	Praj.g_01339
OG0000032	Prae.g_01402	Praj.g_00371
OG0000033	Prae.g_00013	Praj.g_00013
OG0000034	Prae.g_01416	Praj.g_00095
OG0000035	Prae.g_00894	Praj.g_01395
OG0000036	Prae.g_00559	Praj.g_01827
OG0000037	Prae.g_00597	Praj.g_01066
OG0000038	Prae.g_00764	Praj.g_01189
OG0000039	Prae.g_00169	Praj.g_00206
OG0000040	Prae.g_00359	Praj.g_01329, Praj.g_01365
OG0000041	Prae.g_00402	Praj.g_01242
OG0000042	Prae.g_00711	Praj.g_00698
OG0000043	Prae.g_00791	Praj.g_00909
OG0000044	Prae.g_01163, Prae.g_01422	Praj.g_01461
OG0000045	Prae.g_01406	Praj.g_00839
OG0000046	Prae.g_01616	Praj.g_01762
OG0000047	Prae.g_01815	Praj.g_02012
OG0000048	Prae.g_01822	Praj.g_02020
OG0000050	Prae.g_00031	Praj.g_00031
OG0000051	Prae.g_00160	Praj.g_00197
OG0000052	Prae.g_00370	Praj.g_01156, Praj.g_01282
OG0000053	Prae.g_00514	Praj.g_00530
