Orthogroup	Prae	Praw
OG0000000	Prae.g_01361	Praw.g_01009
OG0000000	Prae.g_00652	Praw.g_01844
OG0000001	Prae.g_01222	Praw.g_00294, Praw.g_00496, Praw.g_00454
OG0000001	Prae.g_01300	Praw.g_00472
OG0000002	Prae.g_01353	Praw.g_01000
OG0000002	Prae.g_01223, Prae.g_01224	Praw.g_01951
OG0000002	Prae.g_01236	Praw.g_01739
OG0000003	Prae.g_01308	Praw.g_00959
OG0000003	Prae.g_01581	Praw.g_00457
OG0000004	Prae.g_00735	Praw.g_01775
OG0000004	Prae.g_00742	Praw.g_01769
OG0000004	Prae.g_01297	Praw.g_00958
OG0000005	Prae.g_01580	Praw.g_00455
OG0000006	Prae.g_00471	Praw.g_00651
OG0000006	Prae.g_01623	Praw.g_00515
OG0000007	Prae.g_00646	Praw.g_01850
OG0000008	Prae.g_00383	Praw.g_00750
OG0000008	Prae.g_01264	Praw.g_00928
OG0000009	Prae.g_00786	Praw.g_01717
OG0000009	Prae.g_00252	Praw.g_00884
OG0000010	Prae.g_01110	Praw.g_00184
OG0000010	Prae.g_01283	Praw.g_00945
OG0000011	Prae.g_00331	Praw.g_00804
OG0000012	Prae.g_00572	Praw.g_01944
OG0000013	Prae.g_01235	Praw.g_01738
OG0000014	Prae.g_01311	Praw.g_00962
OG0000014	Prae.g_00444	Praw.g_00677
OG0000015	Prae.g_00381	Praw.g_00752
OG0000016	Prae.g_01364	Praw.g_01012
OG0000017	Prae.g_01479	Praw.g_00357
OG0000018	Prae.g_00244	Praw.g_01950
OG0000019	Prae.g_01600	Praw.g_00479
OG0000019	Prae.g_00364	Praw.g_00767
OG0000020	Prae.g_00374	Praw.g_00758
OG0000021	Prae.g_00788	Praw.g_01715
OG0000022	Prae.g_01310	Praw.g_00961, Praw.g_01782
OG0000023	Prae.g_01572	Praw.g_00447
OG0000024	Prae.g_00307	Praw.g_00828
OG0000025	Prae.g_01077	Praw.g_01432
OG0000026	Prae.g_00033	Praw.g_01395
OG0000027	Prae.g_00738	Praw.g_01773
