Orthogroup	Prae	Prac
OG0000000	Prae.g_01361	Prac.g_00210
OG0000000	Prae.g_00652	Prac.g_00693
OG0000001	Prae.g_01222	Prac.g_00926
OG0000002	Prae.g_01353	Prac.g_00202
OG0000002	Prae.g_01223, Prae.g_01224	Prac.g_00924
OG0000003	Prae.g_01308	Prac.g_00157
OG0000003	Prae.g_01581	Prac.g_00290
OG0000004	Prae.g_00735	Prac.g_01536
OG0000004	Prae.g_00742	Prac.g_01529
OG0000005	Prae.g_01580	Prac.g_00292
OG0000006	Prae.g_00471	Prac.g_00874
OG0000006	Prae.g_01623	Prac.g_00625
OG0000007	Prae.g_00646	Prac.g_00699
OG0000008	Prae.g_00383	Prac.g_01149
OG0000008	Prae.g_01264	Prac.g_01954
OG0000009	Prae.g_00786	Prac.g_01496
OG0000009	Prae.g_00252	Prac.g_01681
OG0000010	Prae.g_01110	Prac.g_01035
OG0000010	Prae.g_01283	Prac.g_00139
OG0000011	Prae.g_00331	Prac.g_01601
OG0000012	Prae.g_00572	Prac.g_00773
OG0000013	Prae.g_01235	Prac.g_00898
OG0000014	Prae.g_00444	Prac.g_01074
OG0000015	Prae.g_00381	Prac.g_01151
OG0000016	Prae.g_01364	Prac.g_00213
OG0000017	Prae.g_01479	Prac.g_00391
OG0000018	Prae.g_00244	Prac.g_01689
OG0000019	Prae.g_00364	Prac.g_01169
OG0000020	Prae.g_00374	Prac.g_01159
OG0000021	Prae.g_00788	Prac.g_01494
OG0000022	Prae.g_01310	Prac.g_00159
OG0000023	Prae.g_01572	Prac.g_00301
OG0000024	Prae.g_01401, Prae.g_00307	Prac.g_01625
OG0000025	Prae.g_01077	Prac.g_01220
OG0000026	Prae.g_00033	Prac.g_01914, Prac.g_01913
OG0000027	Prae.g_01546	Prac.g_00325
OG0000027	Prae.g_00738	Prac.g_01533
OG0000028	Prae.g_01459	Prac.g_00411
OG0000029	Prae.g_01573	Prac.g_00300
OG0000030	Prae.g_00040	Prac.g_01905
OG0000032	Prae.g_01391	Prac.g_00249
OG0000033	Prae.g_00013	Prac.g_01934
OG0000035	Prae.g_00894	Prac.g_01399
OG0000036	Prae.g_00559	Prac.g_00788
OG0000037	Prae.g_00597	Prac.g_00748
OG0000038	Prae.g_00764	Prac.g_01510
OG0000039	Prae.g_00169	Prac.g_01764
OG0000040	Prae.g_00359	Prac.g_01174
OG0000041	Prae.g_00402	Prac.g_01119
OG0000042	Prae.g_00711	Prac.g_01560
OG0000043	Prae.g_00791	Prac.g_01491
OG0000044	Prae.g_01163	Prac.g_00985
OG0000045	Prae.g_01406	Prac.g_00434
OG0000045	Prae.g_01417	Prac.g_00258
OG0000046	Prae.g_01616	Prac.g_00632
OG0000047	Prae.g_01815	Prac.g_00041
OG0000048	Prae.g_01822	Prac.g_00048
OG0000050	Prae.g_00031	Prac.g_01916
OG0000051	Prae.g_00160	Prac.g_01590, Prac.g_01773
OG0000052	Prae.g_00370	Prac.g_01163
OG0000053	Prae.g_00514	Prac.g_00833
OG0000054	Prae.g_00758	Prac.g_01515
OG0000055	Prae.g_00828	Prac.g_01453
OG0000057	Prae.g_00240	Prac.g_01693
OG0000058	Prae.g_00449	Prac.g_01069
OG0000059	Prae.g_00672	Prac.g_00673
OG0000060	Prae.g_00740	Prac.g_01531
OG0000061	Prae.g_01128	Prac.g_01020
OG0000062	Prae.g_01130	Prac.g_01018
