Orthogroup	Prae	Prbd
OG0000000	Prae.g_01361	Prbd.g_01771
OG0000000	Prae.g_00652	Prbd.g_00566
OG0000001	Prae.g_01222	Prbd.g_00528
OG0000001	Prae.g_01300	Prbd.g_01836
OG0000002	Prae.g_01353	Prbd.g_01779
OG0000002	Prae.g_01223, Prae.g_01224, Prae.g_01236	Prbd.g_01930
OG0000003	Prae.g_01308	Prbd.g_01835
OG0000003	Prae.g_01581	Prbd.g_01567
OG0000004	Prae.g_00735	Prbd.g_00031
OG0000004	Prae.g_00742	Prbd.g_00038
OG0000004	Prae.g_01297	Prbd.g_01855
OG0000005	Prae.g_01580	Prbd.g_01568
OG0000006	Prae.g_00471	Prbd.g_00745
OG0000006	Prae.g_01623	Prbd.g_01525
OG0000007	Prae.g_00646	Prbd.g_00572
OG0000008	Prae.g_00383	Prbd.g_00854
OG0000008	Prae.g_00997	Prbd.g_00297
OG0000008	Prae.g_01264	Prbd.g_01894
OG0000009	Prae.g_00786	Prbd.g_00082
OG0000009	Prae.g_00252	Prbd.g_00990
OG0000010	Prae.g_01110	Prbd.g_00409
OG0000010	Prae.g_01283	Prbd.g_01870
OG0000011	Prae.g_00331	Prbd.g_00909
OG0000012	Prae.g_00572	Prbd.g_00646
OG0000013	Prae.g_00769	Prbd.g_00065
OG0000013	Prae.g_01235	Prbd.g_00826
OG0000014	Prae.g_01311	Prbd.g_01832
OG0000014	Prae.g_00444	Prbd.g_00772
OG0000015	Prae.g_00381	Prbd.g_00856
OG0000016	Prae.g_01364	Prbd.g_01768
OG0000017	Prae.g_01479	Prbd.g_01669
OG0000018	Prae.g_00244	Prbd.g_00998
OG0000019	Prae.g_01600	Prbd.g_01546
OG0000019	Prae.g_00364	Prbd.g_00874
OG0000020	Prae.g_00374	Prbd.g_00864
OG0000021	Prae.g_00788	Prbd.g_00084
OG0000022	Prae.g_01310	Prbd.g_01833
OG0000023	Prae.g_01270	Prbd.g_01887
OG0000023	Prae.g_01572	Prbd.g_01576
OG0000024	Prae.g_00307	Prbd.g_00933
OG0000025	Prae.g_01077	Prbd.g_00375
OG0000026	Prae.g_00033	Prbd.g_01204
OG0000027	Prae.g_01546	Prbd.g_01601
OG0000027	Prae.g_00738	Prbd.g_00034
OG0000028	Prae.g_01459	Prbd.g_01689
OG0000029	Prae.g_01573	Prbd.g_01575
OG0000031	Prae.g_01602	Prbd.g_01544
OG0000033	Prae.g_00013	Prbd.g_01224
OG0000035	Prae.g_00894	Prbd.g_00192
OG0000036	Prae.g_00559	Prbd.g_00658
OG0000037	Prae.g_00597	Prbd.g_00621
OG0000038	Prae.g_00764	Prbd.g_00061
OG0000039	Prae.g_00169	Prbd.g_01074
OG0000040	Prae.g_00359	Prbd.g_00879
OG0000041	Prae.g_00402	Prbd.g_00833
OG0000042	Prae.g_00711	Prbd.g_00007
OG0000043	Prae.g_00791	Prbd.g_00087
OG0000044	Prae.g_01163	Prbd.g_00468
OG0000045	Prae.g_01417	Prbd.g_01733
OG0000046	Prae.g_01616	Prbd.g_01532
OG0000047	Prae.g_01815	Prbd.g_01335
OG0000048	Prae.g_01822	Prbd.g_01328
OG0000050	Prae.g_00031	Prbd.g_01206
OG0000051	Prae.g_00160	Prbd.g_01083
OG0000052	Prae.g_00370	Prbd.g_00868
OG0000053	Prae.g_00514	Prbd.g_00703
OG0000054	Prae.g_00758	Prbd.g_00055
OG0000055	Prae.g_00828	Prbd.g_00124
OG0000057	Prae.g_00240	Prbd.g_01002
OG0000058	Prae.g_00449	Prbd.g_00767
OG0000059	Prae.g_00672	Prbd.g_00546
OG0000060	Prae.g_00740	Prbd.g_00036
OG0000061	Prae.g_01128	Prbd.g_00425
OG0000061	Prae.g_00984	Prbd.g_00284
OG0000062	Prae.g_01130	Prbd.g_00427
OG0000063	Prae.g_01263	Prbd.g_01895
OG0000064	Prae.g_01272	Prbd.g_01884
OG0000065	Prae.g_01329	Prbd.g_01801
OG0000066	Prae.g_01389	Prbd.g_01737
OG0000067	Prae.g_01245	Prbd.g_00534
OG0000068	Prae.g_01758	Prbd.g_01391
OG0000071	Prae.g_00011	Prbd.g_01226
OG0000072	Prae.g_00323	Prbd.g_00917
OG0000073	Prae.g_00643	Prbd.g_00575
OG0000074	Prae.g_00665	Prbd.g_00553
OG0000075	Prae.g_00813	Prbd.g_00109
OG0000076	Prae.g_01040	Prbd.g_00340
OG0000078	Prae.g_01390	Prbd.g_01734
OG0000079	Prae.g_01537	Prbd.g_01610
OG0000080	Prae.g_01588	Prbd.g_01561
OG0000081	Prae.g_01789	Prbd.g_01361
OG0000082	Prae.g_01877	Prbd.g_01272
OG0000083	Prae.g_00003	Prbd.g_01234
OG0000084	Prae.g_00006	Prbd.g_01231
OG0000085	Prae.g_00023	Prbd.g_01214
OG0000086	Prae.g_00041	Prbd.g_01199
OG0000087	Prae.g_00051	Prbd.g_01188
OG0000088	Prae.g_00112	Prbd.g_01131
OG0000089	Prae.g_00121	Prbd.g_01122
OG0000090	Prae.g_00139	Prbd.g_01103
OG0000091	Prae.g_00172	Prbd.g_01071
OG0000092	Prae.g_00173	Prbd.g_01070
OG0000093	Prae.g_00187	Prbd.g_01056
OG0000094	Prae.g_00205	Prbd.g_01038
OG0000095	Prae.g_00210	Prbd.g_01033
OG0000096	Prae.g_00254	Prbd.g_00988
OG0000097	Prae.g_01440	Prbd.g_00965
OG0000098	Prae.g_00285	Prbd.g_00955
OG0000099	Prae.g_00295	Prbd.g_00945
OG0000100	Prae.g_00298	Prbd.g_00942
OG0000101	Prae.g_00356	Prbd.g_00882
OG0000102	Prae.g_00382	Prbd.g_00855
OG0000103	Prae.g_00450	Prbd.g_00766
OG0000104	Prae.g_00454	Prbd.g_00762
OG0000105	Prae.g_00473	Prbd.g_00743
OG0000106	Prae.g_00506	Prbd.g_00710
OG0000107	Prae.g_00508	Prbd.g_00709
OG0000108	Prae.g_00518	Prbd.g_00699
OG0000109	Prae.g_00527	Prbd.g_00690
OG0000110	Prae.g_00543	Prbd.g_00674
OG0000111	Prae.g_00625	Prbd.g_00593
OG0000112	Prae.g_00626	Prbd.g_00592
OG0000113	Prae.g_00733	Prbd.g_00029
OG0000114	Prae.g_00804	Prbd.g_00100
OG0000115	Prae.g_00964	Prbd.g_00264
OG0000116	Prae.g_00968	Prbd.g_00268
OG0000117	Prae.g_01037	Prbd.g_00337
OG0000118	Prae.g_01090	Prbd.g_00389
OG0000119	Prae.g_01133	Prbd.g_00430
OG0000120	Prae.g_01169	Prbd.g_00474
OG0000121	Prae.g_01188	Prbd.g_00493
OG0000122	Prae.g_01207	Prbd.g_00512
OG0000123	Prae.g_01220	Prbd.g_00525
OG0000124	Prae.g_01434	Prbd.g_01921
OG0000125	Prae.g_01341	Prbd.g_01789
OG0000126	Prae.g_01368	Prbd.g_01764
OG0000127	Prae.g_01446	Prbd.g_01702
OG0000128	Prae.g_01460	Prbd.g_01688
OG0000129	Prae.g_01496	Prbd.g_01652
OG0000130	Prae.g_01621	Prbd.g_01527
OG0000131	Prae.g_01659	Prbd.g_01489
OG0000132	Prae.g_01662	Prbd.g_01486
OG0000133	Prae.g_01717	Prbd.g_01432
OG0000134	Prae.g_01753	Prbd.g_01396
OG0000135	Prae.g_01755	Prbd.g_01394
OG0000136	Prae.g_01800	Prbd.g_01350
OG0000137	Prae.g_01832	Prbd.g_01317
