Orthogroup	Prae	Prbl
OG0000000	Prae.g_01361	Prbl.g_01582
OG0000000	Prae.g_00652	Prbl.g_01092
OG0000001	Prae.g_01300	Prbl.g_00118
OG0000002	Prae.g_01353	Prbl.g_00808, Prbl.g_02598, Prbl.g_02578, Prbl.g_00725, Prbl.g_00121
OG0000002	Prae.g_01223, Prae.g_01224, Prae.g_01236	Prbl.g_02599
OG0000003	Prae.g_01308, Prae.g_01581	Prbl.g_00117
OG0000004	Prae.g_00742	Prbl.g_01685, Prbl.g_00628, Prbl.g_00679
OG0000006	Prae.g_00471	Prbl.g_00531
OG0000006	Prae.g_01623	Prbl.g_00394
OG0000007	Prae.g_00646	Prbl.g_01854, Prbl.g_01855
OG0000009	Prae.g_00786, Prae.g_00252	Prbl.g_01509
OG0000011	Prae.g_00331	Prbl.g_00719
OG0000012	Prae.g_00572	Prbl.g_01755, Prbl.g_01763
OG0000013	Prae.g_00769, Prae.g_01235	Prbl.g_01566
OG0000016	Prae.g_01364	Prbl.g_00007, Prbl.g_00046
OG0000018	Prae.g_00244	Prbl.g_02601
OG0000019	Prae.g_01600, Prae.g_00364	Prbl.g_01768
OG0000024	Prae.g_00307	Prbl.g_01416
OG0000026	Prae.g_00033	Prbl.g_01981
OG0000028	Prae.g_01459	Prbl.g_00242
OG0000031	Prae.g_01602	Prbl.g_01677
OG0000032	Prae.g_01391	Prbl.g_00835, Prbl.g_00830
OG0000034	Prae.g_01416	Prbl.g_00870
OG0000036	Prae.g_00559	Prbl.g_01783
OG0000037	Prae.g_00597	Prbl.g_01618
OG0000038	Prae.g_00764	Prbl.g_01072, Prbl.g_01310
OG0000039	Prae.g_00169	Prbl.g_00281, Prbl.g_01838
OG0000040	Prae.g_00359	Prbl.g_02355
OG0000042	Prae.g_00711	Prbl.g_02567, Prbl.g_01839
OG0000043	Prae.g_00791	Prbl.g_01099, Prbl.g_01097
OG0000044	Prae.g_01163, Prae.g_01422	Prbl.g_02084
OG0000045	Prae.g_01406, Prae.g_01417	Prbl.g_00890
OG0000046	Prae.g_01616	Prbl.g_00405
OG0000047	Prae.g_01815	Prbl.g_01285
OG0000048	Prae.g_01822	Prbl.g_01236, Prbl.g_01121
OG0000050	Prae.g_00031	Prbl.g_01977
OG0000051	Prae.g_00160	Prbl.g_00290
OG0000052	Prae.g_00370	Prbl.g_00411
OG0000053	Prae.g_00514	Prbl.g_00752
OG0000054	Prae.g_00758	Prbl.g_01943
OG0000055	Prae.g_00828	Prbl.g_02310
OG0000056	Prae.g_01322	Prbl.g_00138
OG0000058	Prae.g_00449	Prbl.g_01340
OG0000059	Prae.g_00672	Prbl.g_00025
OG0000062	Prae.g_01130	Prbl.g_02204
OG0000063	Prae.g_01263	Prbl.g_01384
OG0000065	Prae.g_01329	Prbl.g_01722
OG0000066	Prae.g_01389	Prbl.g_00892
OG0000068	Prae.g_01758	Prbl.g_01126, Prbl.g_01000
OG0000071	Prae.g_00011	Prbl.g_02109
OG0000072	Prae.g_00323	Prbl.g_00897
OG0000073	Prae.g_00643	Prbl.g_01395
OG0000074	Prae.g_00665	Prbl.g_01859
OG0000075	Prae.g_00813	Prbl.g_02328
OG0000076	Prae.g_01040	Prbl.g_00927
OG0000078	Prae.g_01390	Prbl.g_00893
OG0000079	Prae.g_01537	Prbl.g_00417
OG0000080	Prae.g_01588	Prbl.g_00462
OG0000081	Prae.g_01789	Prbl.g_00857
OG0000083	Prae.g_00003	Prbl.g_02118
OG0000084	Prae.g_00006	Prbl.g_02115
OG0000085	Prae.g_00023	Prbl.g_01968
OG0000087	Prae.g_00051	Prbl.g_02273
OG0000088	Prae.g_00112	Prbl.g_01331
OG0000089	Prae.g_00121	Prbl.g_01316
OG0000090	Prae.g_00139	Prbl.g_00810
OG0000091	Prae.g_00172, Prae.g_01396	Prbl.g_00278
OG0000092	Prae.g_00173	Prbl.g_00277
OG0000093	Prae.g_00187	Prbl.g_00069
OG0000094	Prae.g_00205	Prbl.g_00098
OG0000095	Prae.g_00210	Prbl.g_01282
OG0000096	Prae.g_00254	Prbl.g_01506
OG0000097	Prae.g_01440	Prbl.g_01461
OG0000099	Prae.g_00295	Prbl.g_01436
OG0000100	Prae.g_00298	Prbl.g_01432
OG0000101	Prae.g_00356	Prbl.g_02677
OG0000102	Prae.g_00382	Prbl.g_02190
OG0000103	Prae.g_00450	Prbl.g_01339
OG0000104	Prae.g_00454	Prbl.g_00511
OG0000105	Prae.g_00473	Prbl.g_00533
OG0000106	Prae.g_00506	Prbl.g_00768
OG0000107	Prae.g_00508	Prbl.g_00766
OG0000108	Prae.g_00518	Prbl.g_02647
OG0000109	Prae.g_00527	Prbl.g_01886
