Orthogroup	Prae	Prba
OG0000000	Prae.g_01361	Prba.g_00203
OG0000000	Prae.g_00652	Prba.g_01639
OG0000001	Prae.g_01222	Prba.g_00003, Prba.g_00270
OG0000002	Prae.g_01353	Prba.g_00211
OG0000002	Prae.g_01223, Prae.g_01224	Prba.g_01081, Prba.g_01080
OG0000003	Prae.g_01308	Prba.g_01172
OG0000003	Prae.g_01581	Prba.g_00268
OG0000004	Prae.g_00735	Prba.g_01570
OG0000004	Prae.g_00742	Prba.g_01563
OG0000004	Prae.g_01297	Prba.g_01171
OG0000005	Prae.g_01580	Prba.g_00269
OG0000006	Prae.g_00471	Prba.g_00964
OG0000006	Prae.g_01623	Prba.g_00226
OG0000007	Prae.g_00646	Prba.g_01645
OG0000008	Prae.g_00383	Prba.g_00878
OG0000008	Prae.g_00997	Prba.g_01304
OG0000008	Prae.g_01264	Prba.g_00901
OG0000009	Prae.g_00786	Prba.g_01519
OG0000009	Prae.g_00252	Prba.g_00468
OG0000010	Prae.g_01110	Prba.g_00734
OG0000010	Prae.g_01283	Prba.g_01157
OG0000011	Prae.g_00331	Prba.g_00546
OG0000012	Prae.g_00572	Prba.g_01719
OG0000013	Prae.g_01235	Prba.g_01538
OG0000014	Prae.g_01311	Prba.g_01175
OG0000014	Prae.g_00444	Prba.g_00991
OG0000015	Prae.g_00381	Prba.g_00876
OG0000016	Prae.g_01364	Prba.g_00200
OG0000017	Prae.g_01479	Prba.g_00693
OG0000018	Prae.g_00244	Prba.g_00460
OG0000019	Prae.g_01600	Prba.g_00245
OG0000019	Prae.g_00364	Prba.g_00858
OG0000020	Prae.g_00374	Prba.g_00868
OG0000021	Prae.g_00788	Prba.g_01517
OG0000022	Prae.g_01310	Prba.g_01174
OG0000023	Prae.g_01270	Prba.g_01142
OG0000023	Prae.g_01572	Prba.g_00276
OG0000024	Prae.g_00307	Prba.g_00522
OG0000025	Prae.g_01077	Prba.g_01229
OG0000026	Prae.g_00033	Prba.g_01826
OG0000027	Prae.g_01546	Prba.g_00301
OG0000027	Prae.g_00738	Prba.g_01567
OG0000028	Prae.g_01459	Prba.g_00713
OG0000029	Prae.g_01573	Prba.g_00275
OG0000030	Prae.g_00040	Prba.g_01832
OG0000031	Prae.g_01294	Prba.g_01168
OG0000032	Prae.g_01391, Prae.g_01402	Prba.g_00173
OG0000033	Prae.g_00013	Prba.g_01806
OG0000034	Prae.g_01416	Prba.g_00160
OG0000035	Prae.g_00894	Prba.g_01409
OG0000036	Prae.g_00559	Prba.g_01731
OG0000037	Prae.g_00597	Prba.g_01694
OG0000038	Prae.g_00764	Prba.g_01543
OG0000039	Prae.g_00169	Prba.g_00622
OG0000040	Prae.g_00359	Prba.g_00854
OG0000041	Prae.g_00402	Prba.g_01041
OG0000042	Prae.g_00711	Prba.g_01594
OG0000043	Prae.g_00791	Prba.g_01514
OG0000044	Prae.g_01163	Prba.g_00064
OG0000045	Prae.g_01406, Prae.g_01417	Prba.g_00153
OG0000046	Prae.g_01616	Prba.g_00233
OG0000047	Prae.g_01815	Prba.g_00768
OG0000048	Prae.g_01822	Prba.g_00775
OG0000050	Prae.g_00031	Prba.g_01824
OG0000051	Prae.g_00160	Prba.g_01945
OG0000052	Prae.g_00370	Prba.g_00864
OG0000053	Prae.g_00514	Prba.g_00922
OG0000054	Prae.g_00758	Prba.g_01548
OG0000055	Prae.g_00828	Prba.g_01477
OG0000057	Prae.g_00240	Prba.g_00456
OG0000058	Prae.g_00449	Prba.g_00986
OG0000059	Prae.g_00672	Prba.g_01619
OG0000060	Prae.g_00740	Prba.g_01565
OG0000061	Prae.g_01128	Prba.g_00099
OG0000061	Prae.g_00984	Prba.g_01317
OG0000062	Prae.g_01130	Prba.g_00097
OG0000063	Prae.g_01263	Prba.g_01135
OG0000064	Prae.g_01272	Prba.g_01145
OG0000065	Prae.g_01329	Prba.g_01192
OG0000066	Prae.g_01389	Prba.g_00175
OG0000067	Prae.g_01245	Prba.g_01132
OG0000068	Prae.g_01758	Prba.g_00429
OG0000071	Prae.g_00011	Prba.g_01804
OG0000072	Prae.g_00323	Prba.g_00538
OG0000073	Prae.g_00643	Prba.g_01648
OG0000074	Prae.g_00665	Prba.g_01626
OG0000075	Prae.g_00813	Prba.g_01492
OG0000076	Prae.g_01040	Prba.g_01264
OG0000078	Prae.g_01390	Prba.g_00155
OG0000079	Prae.g_01537	Prba.g_00310
OG0000080	Prae.g_01588	Prba.g_00261
OG0000081	Prae.g_01789	Prba.g_01069
OG0000082	Prae.g_01877	Prba.g_00831
OG0000083	Prae.g_00003	Prba.g_01796
OG0000084	Prae.g_00006	Prba.g_01799
OG0000085	Prae.g_00023	Prba.g_01816
OG0000086	Prae.g_00041	Prba.g_01833
OG0000087	Prae.g_00051	Prba.g_01843
OG0000088	Prae.g_00112	Prba.g_01901
OG0000089	Prae.g_00121	Prba.g_01909
OG0000090	Prae.g_00139	Prba.g_01927
OG0000091	Prae.g_00172	Prba.g_00625
OG0000092	Prae.g_00173	Prba.g_00626
OG0000093	Prae.g_00187	Prba.g_00640
OG0000094	Prae.g_00205	Prba.g_00658
OG0000095	Prae.g_00210	Prba.g_00663
OG0000096	Prae.g_00254	Prba.g_00470
OG0000097	Prae.g_01440	Prba.g_00491
OG0000098	Prae.g_00285	Prba.g_00501
OG0000099	Prae.g_00295	Prba.g_00510
OG0000100	Prae.g_00298	Prba.g_00513
OG0000101	Prae.g_00356	Prba.g_00851
OG0000102	Prae.g_00382	Prba.g_00877
OG0000103	Prae.g_00450	Prba.g_00985
OG0000104	Prae.g_00454	Prba.g_00981
OG0000105	Prae.g_00473	Prba.g_00962
OG0000106	Prae.g_00506	Prba.g_00929
OG0000107	Prae.g_00508	Prba.g_00928
OG0000108	Prae.g_00518	Prba.g_01772
OG0000109	Prae.g_00527	Prba.g_01763
OG0000110	Prae.g_00543	Prba.g_01747
OG0000111	Prae.g_00625	Prba.g_01666
OG0000112	Prae.g_00626	Prba.g_01665
OG0000113	Prae.g_00733	Prba.g_01572
OG0000114	Prae.g_00804	Prba.g_01501
OG0000115	Prae.g_00964	Prba.g_01337
OG0000116	Prae.g_00968	Prba.g_01333
OG0000117	Prae.g_01037	Prba.g_01267
OG0000118	Prae.g_01090	Prba.g_01216
OG0000119	Prae.g_01133	Prba.g_00094
OG0000120	Prae.g_01169	Prba.g_00057
OG0000121	Prae.g_01188	Prba.g_00038
OG0000122	Prae.g_01207	Prba.g_00019
OG0000123	Prae.g_01220	Prba.g_00006
OG0000124	Prae.g_01434	Prba.g_01084
OG0000125	Prae.g_01341	Prba.g_01204
OG0000126	Prae.g_01368	Prba.g_00196
OG0000127	Prae.g_01446	Prba.g_00110
OG0000128	Prae.g_01460	Prba.g_00712
OG0000129	Prae.g_01496	Prba.g_00351, Prba.g_00676
OG0000130	Prae.g_01621	Prba.g_00228
OG0000131	Prae.g_01659	Prba.g_00584
OG0000132	Prae.g_01662	Prba.g_00581
OG0000133	Prae.g_01717	Prba.g_00388
OG0000134	Prae.g_01753	Prba.g_00424
OG0000135	Prae.g_01755	Prba.g_00426
OG0000136	Prae.g_01800	Prba.g_00752
OG0000137	Prae.g_01832	Prba.g_00785
OG0000138	Prae.g_01867	Prba.g_00821
OG0000139	Prae.g_01894	Prba.g_01776, Prba.g_00848
OG0000140	Prae.g_00001	Prba.g_01794
OG0000141	Prae.g_00002	Prba.g_01795
OG0000142	Prae.g_00004	Prba.g_01797
OG0000143	Prae.g_00005	Prba.g_01798
OG0000144	Prae.g_00007	Prba.g_01800
OG0000145	Prae.g_00008	Prba.g_01801
OG0000146	Prae.g_00009	Prba.g_01802
OG0000147	Prae.g_00010	Prba.g_01803
OG0000148	Prae.g_00012	Prba.g_01805
OG0000149	Prae.g_00014	Prba.g_01807
OG0000150	Prae.g_00015	Prba.g_01808
OG0000151	Prae.g_00016	Prba.g_01809
OG0000152	Prae.g_00017	Prba.g_01810
OG0000153	Prae.g_00018	Prba.g_01811
OG0000154	Prae.g_00019	Prba.g_01812
OG0000155	Prae.g_00020	Prba.g_01813
OG0000156	Prae.g_00021	Prba.g_01814
OG0000157	Prae.g_00022	Prba.g_01815
OG0000158	Prae.g_00024	Prba.g_01817
OG0000159	Prae.g_00025	Prba.g_01818
OG0000160	Prae.g_00026	Prba.g_01819
OG0000161	Prae.g_00027	Prba.g_01820
OG0000162	Prae.g_00028	Prba.g_01821
OG0000163	Prae.g_00029	Prba.g_01822
OG0000164	Prae.g_00032	Prba.g_01825
OG0000165	Prae.g_00035	Prba.g_01828
OG0000166	Prae.g_00036	Prba.g_01829
